05:07:17 INFO Logging to C:\Users\nikit\Documents\clairvoyance\extract_events.log
05:07:17 INFO Querying master database...
05:07:17 INFO Found 250 character variants, 128 characters with shared events
05:07:17 INFO Total unique story_ids to process: 12957
05:07:17 INFO Reading meta database for story bundles...
05:07:19 INFO Found 12957/12957 story bundles in meta
05:07:19 INFO Extracting choices from 12957 bundles...
05:07:19 INFO Using 8 worker processes
05:07:20 INFO   Progress: 100/12957 bundles
05:08:40 INFO   Progress: 6700/12957 bundles
05:08:42 INFO   Progress: 6800/12957 bundles
05:08:43 INFO   Progress: 6900/12957 bundles
05:08:44 INFO   Progress: 7000/12957 bundles
05:08:46 INFO   Progress: 7100/12957 bundles
05:08:47 INFO   Progress: 7200/12957 bundles
05:08:49 INFO   Progress: 7300/12957 bundles
05:08:50 INFO   Progress: 7400/12957 bundles
05:08:52 INFO   Progress: 7500/12957 bundles
05:08:53 INFO   Progress: 7600/12957 bundles
05:08:54 INFO   Progress: 7700/12957 bundles
05:08:56 INFO   Progress: 7800/12957 bundles
05:08:57 INFO   Progress: 7900/12957 bundles
05:08:58 INFO   Progress: 8000/12957 bundles
05:09:00 INFO   Progress: 8100/12957 bundles
05:09:02 INFO   Progress: 8200/12957 bundles
05:09:03 INFO   Progress: 8300/12957 bundles
05:09:04 INFO   Progress: 8400/12957 bundles
05:09:06 INFO   Progress: 8500/12957 bundles
05:09:07 INFO   Progress: 8600/12957 bundles
05:09:08 INFO   Progress: 8700/12957 bundles
05:09:10 INFO   Progress: 8800/12957 bundles
05:09:11 INFO   Progress: 8900/12957 bundles
05:09:13 INFO   Progress: 9000/12957 bundles
05:09:15 INFO   Progress: 9100/12957 bundles
05:09:16 INFO   Progress: 9200/12957 bundles
05:09:18 INFO   Progress: 9300/12957 bundles
05:09:19 INFO   Progress: 9400/12957 bundles
05:09:21 INFO   Progress: 9500/12957 bundles
05:09:22 INFO   Progress: 9600/12957 bundles
05:09:24 INFO   Progress: 9700/12957 bundles
05:09:25 INFO   Progress: 9800/12957 bundles
05:09:27 INFO   Progress: 9900/12957 bundles
05:09:28 INFO   Progress: 10000/12957 bundles
05:09:29 INFO   Progress: 10100/12957 bundles
05:09:31 INFO   Progress: 10200/12957 bundles
05:09:33 INFO   Progress: 10300/12957 bundles
05:09:34 INFO   Progress: 10400/12957 bundles
05:09:35 INFO   Progress: 10500/12957 bundles
05:09:37 INFO   Progress: 10600/12957 bundles
05:09:38 INFO   Progress: 10700/12957 bundles
05:09:40 INFO   Progress: 10800/12957 bundles
05:09:41 INFO   Progress: 10900/12957 bundles
05:09:43 INFO   Progress: 11000/12957 bundles
05:09:45 INFO   Progress: 11100/12957 bundles
05:09:46 INFO   Progress: 11200/12957 bundles
05:09:48 INFO   Progress: 11300/12957 bundles
05:09:49 INFO   Progress: 11400/12957 bundles
05:09:51 INFO   Progress: 11500/12957 bundles
05:09:52 INFO   Progress: 11600/12957 bundles
05:09:54 INFO   Progress: 11700/12957 bundles
05:09:56 INFO   Progress: 11800/12957 bundles
05:09:57 INFO   Progress: 11900/12957 bundles
05:09:59 INFO   Progress: 12000/12957 bundles
05:10:00 INFO   Progress: 12100/12957 bundles
05:10:02 INFO   Progress: 12200/12957 bundles
05:10:04 INFO   Progress: 12300/12957 bundles
05:10:05 INFO   Progress: 12400/12957 bundles
05:10:07 INFO   Progress: 12500/12957 bundles
05:10:09 INFO   Progress: 12600/12957 bundles
05:10:10 INFO   Progress: 12700/12957 bundles
05:10:12 INFO   Progress: 12800/12957 bundles
05:10:14 INFO   Progress: 12900/12957 bundles
05:10:15 INFO Extracted choices from 4007 stories
05:10:15 INFO Building event data...
05:10:15 INFO Built event data for 250 character variants in 178.2s (250 with asset choices)
05:10:16 INFO Wrote 250 character variants to C:\Users\nikit\Documents\clairvoyance\character_events.json
