id,login_bonus_id,count,item_category,item_id,item_num,item_category_2,item_id_2,item_num_2,item_category_3,item_id_3,item_num_3,item_category_4,item_id_4,item_num_4,item_category_5,item_id_5,item_num_5
100,30036,3,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
101,30036,4,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
102,30036,5,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
103,30036,6,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
104,30036,7,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
105,30036,8,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
106,30036,9,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
107,30036,10,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
108,30036,11,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
109,30036,12,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
110,30036,13,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
111,30036,14,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
112,30036,15,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
113,30037,1,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
114,30037,2,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
115,30037,3,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
116,30037,4,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
117,30037,5,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
118,30037,6,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
119,30037,7,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
120,30037,8,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
121,30037,9,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
122,30037,10,90,43,564,0,0,0,0,0,0,0,0,0,0,0,0
123,30038,1,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
124,30038,2,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
125,30038,3,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
126,30038,4,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
127,30038,5,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
128,30038,6,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
129,30038,7,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
130,30038,8,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
131,30038,9,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
132,30038,10,90,43,150,0,0,0,0,0,0,0,0,0,0,0,0
1100101,11001,1,90,43,25,0,0,0,0,0,0,0,0,0,0,0,0
1100102,11001,2,30,110,500,0,0,0,0,0,0,0,0,0,0,0,0
1100103,11001,3,90,43,25,0,0,0,0,0,0,0,0,0,0,0,0
1100104,11001,4,91,59,1500,0,0,0,0,0,0,0,0,0,0,0,0
1100105,11001,5,90,43,25,0,0,0,0,0,0,0,0,0,0,0,0
1100106,11001,6,103,98,150,0,0,0,0,0,0,0,0,0,0,0,0
1100107,11001,7,90,43,75,0,0,0,0,0,0,0,0,0,0,0,0
3900101,39001,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
3900102,39002,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
3900103,39003,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
3900104,39004,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
3900105,39005,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
3900106,39006,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
3900107,39007,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
3900108,39008,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
3900109,39009,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
3900110,39010,1,90,43,300,0,0,0,0,0,0,0,0,0,0,0,0
