tbl,idx,stat
single_mode_top_bg,single_mode_top_bg_0_scenario_id,62 21
single_mode_top_bg,single_mode_top_bg_0_month_1_scenario_id,62 5 2
race_bgm,race_bgm_0_race_type,228 18
mission_race_equate,mission_race_equate_0_input_id,8 2
team_stadium_evaluation_rate,sqlite_autoindex_team_stadium_evaluation_rate_1,24 8 1
honor_data,,516
story_event_point_reward,story_event_point_reward_0_story_event_id,1608 101
single_mode_recommend,,14
race_track,,12
race_player_camera,race_player_camera_0_category,104 35
race_player_camera,race_player_camera_0_prefab_name,104 1
legend_race_boss_npc,legend_race_boss_npc_0_chara_id,45 2
circle_stamp_data,sqlite_autoindex_circle_stamp_data_1,43 1
crane_game_hidden_odds,,33
single_mode_hint_gain,single_mode_hint_gain_0_hint_id,1840 25
single_mode_npc,single_mode_npc_0_npc_group_id,1662 139
home_prop_setting,sqlite_autoindex_home_prop_setting_1,20 5 1
circle_rank_data,,11
campaign_single_race_add_reward,campaign_single_race_add_reward_0_race_additional_reward_id,54 3
audience_dress_color_set,,78
audience_data,,78
mob_dress_color_set,,802
mob_data,,823
race_jikkyo_cue,race_jikkyo_cue_0_cuesheet_type,1590 795
race_jikkyo_cue,sqlite_autoindex_race_jikkyo_cue_1,1590 1 1
champions_entry_reward,champions_entry_reward_0_champions_id,2 2
champions_entry_reward,sqlite_autoindex_champions_entry_reward_1,2 2 1
single_mode_free_training_plate,single_mode_free_training_plate_0_condition_type,3 3
single_mode_change_chara_route,single_mode_change_chara_route_0_route_race_group_id_1_chara_id,61 61 1
race_proper_distance_rate,,9
champions_bgm,champions_bgm_0_round_id_1_scene_type_2_race_number,55 10 3 1
homestory_hip_offset,homestory_hip_offset_0_story_id_1_chara_id,26 1 1
announce_data,,87
champions_stand_motion,sqlite_autoindex_champions_stand_motion_1,18 6 1
trained_chara_trade_item,trained_chara_trade_item_0_trained_chara_rank,98 1
season_data,season_data_0_type,28 6
single_mode_fan_count,single_mode_fan_count_0_fan_set_id_1_order,900 18 1
single_mode_fan_count,single_mode_fan_count_0_fan_set_id,900 18
champions_race_condition,sqlite_autoindex_champions_race_condition_1,112 7 1
note_profile_text_type,note_profile_text_type_0_text_type,24 3
main_story_race_bonus_condition,main_story_race_bonus_condition_0_group_id,16 1
main_story_part,,7
item_group,item_group_0_group_id,35 18
champions_round_detail,champions_round_detail_0_champions_id_1_league_type,224 14 7
team_building_discount_point,team_building_discount_point_0_team_rank,24 1
mini_bg,mini_bg_0_scene_type,6 2
directory,directory_0_rank_level,200 1
directory,directory_0_required_point,200 1
champions_round_schedule,champions_round_schedule_0_champions_id,96 6
main_story_data,main_story_data_0_part_id,118 17
main_story_data,sqlite_autoindex_main_story_data_1,118 1
single_mode_route_race,single_mode_route_race_0_race_set_id,796 12
race_proper_runningstyle_rate,,9
champions_news_chara_comment,champions_news_chara_comment_0_round_id,798 160
champions_schedule,,16
highlight_interpolate,,3
training_cutt_chara_data,training_cutt_chara_data_0_command_id_1_sub_id,325 16 16
single_mode_aoharu_result_cutt,single_mode_aoharu_result_cutt_0_chara_id,4 2
race_bgm_cutin,race_bgm_cutin_0_card_id_1_bgm_group_id,3 1 1
race_bgm_cutin,race_bgm_cutin_0_bgm_group_id,3 2
race_bgm_cutin,race_bgm_cutin_0_card_id,3 1
support_card_group,support_card_group_0_chara_id,9 1
support_card_group,support_card_group_0_support_card_id,9 5
single_mode_chara_grade,,10
race_fence_set,,111
nickname,nickname_0_user_show,219 219
main_story_race_chara_data,main_story_race_chara_data_0_running_style,320 64
main_story_race_chara_data,main_story_race_chara_data_0_group_id,320 12
race_course_set,race_course_set_0_race_track_id,110 10
jukebox_motion_data,jukebox_motion_data_0_song_type,16 3
home_event_schedule,home_event_schedule_0_event_footer_type,3 3
home_event_schedule,home_event_schedule_0_event_walk_type,3 3
home_event_schedule,home_event_schedule_0_event_story_type,3 3
home_character_type,sqlite_autoindex_home_character_type_1,26 7 1
gacha_exchange,gacha_exchange_0_gacha_id,253 3
gacha_exchange,sqlite_autoindex_gacha_exchange_1,253 3 1
random_ear_tail_motion,random_ear_tail_motion_0_parts_type,27 14
story_event_story_data,story_event_story_data_0_story_event_id,130 9
story_event_story_data,story_event_story_data_0_story_event_id_1_episode_index_id,130 9 1
single_mode_ao_offset,,5
single_mode_chara_program,single_mode_chara_program_0_chara_id,685 12
single_mode_scenario_update,single_mode_scenario_update_0_scenario_id,2 1
chara_motion_act,chara_motion_act_0_chara_id,36 3
chara_motion_act,chara_motion_act_0_chara_id_1_command_name,36 3 1
single_mode_free_coin_race,single_mode_free_coin_race_0_grade_1_order_min,36 4 1
single_mode_free_coin_race,single_mode_free_coin_race_0_grade,36 4
race_single_mode_team_status,,6
live_data,sqlite_autoindex_live_data_1,38 1
face_type_data,sqlite_autoindex_face_type_data_1,124 1
story_event_roulette_bingo,story_event_roulette_bingo_0_character_id,64 4
story_event_roulette_bingo,story_event_roulette_bingo_0_story_event_id,64 4
story_event_roulette_bingo,sqlite_autoindex_story_event_roulette_bingo_1,64 4 4 1
announce_character,,50
character_system_lottery,character_system_lottery_0_trigger_1_param1,3818 22 3
character_system_lottery,character_system_lottery_0_chara_id_1_trigger,3818 58 3
character_system_lottery,character_system_lottery_0_chara_id,3818 58
challenge_match_boss_npc,,12
single_mode_ao_training_plate,,3
single_mode_scenario_group,single_mode_scenario_group_0_scenario_id,11 4
race_bib_color,sqlite_autoindex_race_bib_color_1,92 16 1
character_system_text,character_system_text_0_character_id,13309 165
character_system_text,sqlite_autoindex_character_system_text_1,13309 165 1
single_mode_team_name,,4
single_mode_difficulty_mode,,4
audience_impostor_lottery,audience_impostor_lottery_0_group_id_1_pattern,132 22 8
race_bgm_cutin_extension_time,race_bgm_cutin_extension_time_0_cutin_category,155 52
team_building_rank_reward_group,team_building_rank_reward_group_0_reward_group_id,27 2
fan_raid_bonus_support_card,fan_raid_bonus_support_card_0_fan_raid_id,3 3
transfer_event_data,,13
single_mode_race_live,,126
legend_race_cutt_chara_data,legend_race_cutt_chara_data_0_sub_id_1_chara_num,1 1 1
piece_data,,92
banner_data,banner_data_0_group_id,232 22
support_card_data,support_card_data_0_chara_id,229 3
team_building_rank,team_building_rank_0_team_rank,24 1
background_offset_data,background_offset_data_0_bg_id_1_bg_sub,56 2 2
background_offset_data,sqlite_autoindex_background_offset_data_1,56 2 2 1
race_jikkyo_message,race_jikkyo_message_0_comment_group,2877 76
race_jikkyo_message,race_jikkyo_message_0_group_id,2877 3
race_motivation_rate,,5
champions_news_title,champions_news_title_0_round_id,438 88
chara_motion_set,,4391
challenge_match_raw_point,challenge_match_raw_point_0_race_point_name_id,92 23
challenge_match_raw_point,challenge_match_raw_point_0_condition_type,92 11
single_mode_team_race_set,single_mode_team_race_set_0_super_team_chara_id,68 6
single_mode_difficulty_data,single_mode_difficulty_data_0_difficulty_id_1_difficulty_index,13 4 1
single_mode_difficulty_data,sqlite_autoindex_single_mode_difficulty_data_1,13 4 1
single_mode_rank,,98
audio_ignored_cue_on_highspeed,audio_ignored_cue_on_highspeed_0_cue_name_1_cue_sheet,7 1 1
daily_pack,daily_pack_0_group_id,4 4
daily_pack,sqlite_autoindex_daily_pack_1,4 4 1
login_bonus_detail,login_bonus_detail_0_login_bonus_id,149 3
login_bonus_detail,sqlite_autoindex_login_bonus_detail_1,149 3 1
live_permission_data,live_permission_data_0_music_id,257 13
live_permission_data,sqlite_autoindex_live_permission_data_1,257 13 1
item_exchange,item_exchange_0_pay_item_id,571 32
item_exchange,item_exchange_0_condition_type,571 191
item_exchange,item_exchange_0_item_exchange_top_id,571 24
champions_reward_rate,champions_reward_rate_0_champions_id_1_round_id,768 48 10
facial_mouth_change,facial_mouth_change_0_chara_id,14 1
facial_mouth_change,facial_mouth_change_0_chara_id_1_before_facialname,14 1 1
chara_category_motion,,61
single_mode_aoharu_schedule,,5
race_condition,race_condition_0_ground_1_weather,32 8 4
race_condition,race_condition_0_weather_1_ground,32 8 4
race_condition,race_condition_0_season_1_weather,32 7 2
race_condition,race_condition_0_season_1_ground,32 7 2
love_rank,love_rank_0_rank,13 1
story_hip_offset,sqlite_autoindex_story_hip_offset_1,133 27 1
single_mode_scenario_record,single_mode_scenario_record_0_scenario_id,27 9
succession_relation_rank,,3
audio_cuesheet,audio_cuesheet_0_attribute,12 2
single_mode_event_item_detail,single_mode_event_item_detail_0_event_category_id_1_item_id,17 2 1
support_card_effect_filter,support_card_effect_filter_0_group_id,25 7
team_building_data,,1
fan_raid_data,,1
story_extra_story_data,story_extra_story_data_0_story_extra_id,13 7
single_mode_conclusion_set,single_mode_conclusion_set_0_story_id,819 1
single_mode_event_production,,72
succession_factor,succession_factor_0_factor_group_id_1_rarity,1094 3 1
race_bgm_pattern,,36
daily_race_billing,,1
daily_race,daily_race_0_race_instance_id,8 1
champions_news_win_comment,champions_news_win_comment_0_round_id,737 148
card_rarity_data,card_rarity_data_0_card_id_1_rarity,298 4 1
card_rarity_data,card_rarity_data_0_race_dress_id,298 4
card_rarity_data,card_rarity_data_0_card_id,298 4
fan_raid_story_data,fan_raid_story_data_0_fan_raid_id_1_story_condition_type,2 2 1
team_stadium,,1
mini_motion_set,mini_motion_set_0_id,229 1
mini_motion_set,sqlite_autoindex_mini_motion_set_1,229 1
story_event_nickname_bonus,story_event_nickname_bonus_0_story_event_id,48 3
story_event_nickname_bonus,sqlite_autoindex_story_event_nickname_bonus_1,48 3 1
single_mode_free_win_point,single_mode_free_win_point_0_grade_1_order_min,66 7 2
single_mode_free_win_point,single_mode_free_win_point_0_race_group_id_1_order_min,66 17 3
single_mode_free_win_point,single_mode_free_win_point_0_grade,66 7
single_mode_free_win_point,single_mode_free_win_point_0_race_group_id,66 17
single_mode_analyze_message,single_mode_analyze_message_0_popularity,53 3
single_mode_training_effect,single_mode_training_effect_0_command_id_1_result_state,168 12 11
single_mode_program,single_mode_program_0_month,745 63
support_card_level,support_card_level_0_rarity,135 45
support_card_level,sqlite_autoindex_support_card_level_1,135 45 1
team_building_collection_chara,team_building_collection_chara_0_team_building_event_id,60 60
team_building_collection_chara,team_building_collection_chara_0_chara_id,60 1
story_event_bonus_support_card,story_event_bonus_support_card_0_story_event_id,244 16
story_event_bonus_support_card,sqlite_autoindex_story_event_bonus_support_card_1,244 16 3 2 1
story_extra_data,,2
race_jikkyo_comment,race_jikkyo_comment_0_message_group,296 296
race_jikkyo_comment,race_jikkyo_comment_0_group_id,296 2
daily_race_npc,,176
support_card_team_score_bonus,support_card_team_score_bonus_0_level,7 1
crane_game_prize_pattern,,3
crane_game_arm_swing,,3
team_stadium_rank,,30
single_mode_free_shop_bg,,5
card_talent_upgrade,card_talent_upgrade_0_talent_group_id_1_talent_level,368 4 1
story_still,story_still_0_still_id,84 2
main_story_race_data,,28
single_mode_skill_need_point,,539
race_overrun_pattern,,5
login_bonus_data,login_bonus_data_0_group_id,51 51
login_bonus_data,login_bonus_data_0_type,51 17
login_bonus_data,sqlite_autoindex_login_bonus_data_1,51 1
item_data,item_data_0_group_id,184 62
item_data,item_data_0_item_category,184 7
short_episode,short_episode_0_scene,10 2
announce_event,,14
support_card_unique_effect,,150
fan_raid_bonus_chara,fan_raid_bonus_chara_0_fan_raid_id,1 1
training_challenge_exam,,8
mini_bg_chara_motion,mini_bg_chara_motion_0_bg_id,94 16
transfer_event_detail,transfer_event_detail_0_transfer_event_id,93 8
challenge_match_data,,2
single_mode_member_rank,single_mode_member_rank_0_member_rank_id,8 1
single_mode_training_se,single_mode_training_se_0_sheet_id,220 1
price_change,price_change_0_group_id,9 5
chara_data,,94
campaign_present_bonus_detail,campaign_present_bonus_detail_0_card_id,68 1
campaign_present_bonus_detail,sqlite_autoindex_campaign_present_bonus_detail_2,68 1
campaign_present_bonus_detail,sqlite_autoindex_campaign_present_bonus_detail_1,68 68 1
chara_story_data,chara_story_data_0_chara_id,427 7
chara_story_data,chara_story_data_0_chara_id_1_episode_index,427 7 1
chara_story_data,chara_story_data_0_story_id,427 1
single_mode_difficulty_box_gauge,single_mode_difficulty_box_gauge_0_difficulty_id,16 8
champions_news_race,champions_news_race_0_round_id,211 43
support_card_limit_break,,2
skill_data,skill_data_0_group_id,670 2
single_mode_story_guide,,2
card_data,card_data_0_get_piece_id,93 1
card_data,card_data_0_chara_id,93 2
story_event_mission_top_chara,story_event_mission_top_chara_0_story_event_id,32 2
story_event_mission,story_event_mission_0_item_category,703 176
story_event_mission,story_event_mission_0_story_event_id,703 44
item_exchange_top,item_exchange_top_0_item_top_category,22 8
support_card_effect_filter_group,,4
single_mode_member_rank_points,single_mode_member_rank_points_0_rank_id,12 1
single_mode_difficulty_box_reward,single_mode_difficulty_box_reward_0_box_id,65 13
single_mode_route,single_mode_route_0_scenario_id_1_chara_id,68 34 1
single_mode_route,single_mode_route_0_scenario_id,68 34
gacha_available,gacha_available_0_gacha_id,12265 98
gacha_available,sqlite_autoindex_gacha_available_1,12265 98 1
champions_evaluation_rate,,16
support_card_limit,,3
background_data,background_data_0_bg_id_1_bg_sub,441 3 1
legend_race_npc,,715
need_piece_num_data,need_piece_num_data_0_rarity,3 1
training_challenge_master,,2
campaign_data,campaign_data_0_open_flag_id,163 163
campaign_data,campaign_data_0_image_change,163 82
campaign_data,campaign_data_0_target_type,163 24
crane_game_prize_face,,3
story_event_bonus_group_support_card,story_event_bonus_group_support_card_0_support_card_id,2 2
story_event_bonus_group_support_card,story_event_bonus_group_support_card_0_story_event_id,2 1
story_event_bonus_group_support_card,sqlite_autoindex_story_event_bonus_group_support_card_1,2 1 1 1
gacha_piece,gacha_piece_0_rarity,3 1
support_card_effect_table,support_card_effect_table_0_id,1907 9
support_card_effect_table,sqlite_autoindex_support_card_effect_table_1,1907 9 1
race_trophy,race_trophy_0_race_instance_id,262 1
race_trophy,race_trophy_0_trophy_id,262 2
chara_type,chara_type_0_target_scene_1_target_cut,3906 434 126
chara_type,sqlite_autoindex_chara_type_1,3906 1
single_mode_analyze_ticket,single_mode_analyze_ticket_0_grade,7 1
character_prop_animation,character_prop_animation_0_prop_id_1_scene_type,18 4 2
crane_game_define_param,,1
single_mode_race_group,single_mode_race_group_0_race_program_id,745 1
single_mode_race_group,single_mode_race_group_0_race_group_id,745 2
single_mode_recommend_setting,single_mode_recommend_setting_0_recommend_course_id,3 1
announce_support_card,,37
champions_news_win_title,,541
team_building_chara_count,,10
campaign_chara_story_schedule,campaign_chara_story_schedule_0_campaign_id,260 4
campaign_chara_story_schedule,campaign_chara_story_schedule_0_chara_id,260 5
mini_mouth_type,,32
tutorial_guide_data,tutorial_guide_data_0_group_id_1_page_index,148 3 1
tutorial_guide_data,tutorial_guide_data_0_group_id,148 3
transfer_event_reward,transfer_event_reward_0_transfer_detail_id,227 3
audience_hair_color_set,,78
mob_hair_color_set,,102
limited_exchange,,3
dress_data,dress_data_0_chara_id_1_costume_type,213 3 2
dress_data,dress_data_0_body_type,213 12
dress_data,dress_data_0_condition_type,213 36
dress_data,dress_data_0_chara_id,213 3
skill_set,,1424
team_building_scout_point,team_building_scout_point_0_chara_rank,98 1
single_mode_route_condition,single_mode_route_condition_0_condition_set_id,16 2
single_mode_message,,26
card_talent_hint_upgrade,card_talent_hint_upgrade_0_rarity_1_talent_level,6 3 1
available_skill_set,available_skill_set_0_available_skill_set_id,637 7
team_building_consecutive_wins,,10
team_stadium_stand_motion,team_stadium_stand_motion_0_character_id_1_type,14 5 5
single_mode_tag_card_pos,single_mode_tag_card_pos_0_support_card_id,3405 15
single_mode_outing,single_mode_outing_0_command_group_id,3 1
race,race_0_group,1452 104
race,race_0_course_set,1452 16
daily_legend_race,daily_legend_race_0_race_instance_id,16 1
daily_legend_race,daily_legend_race_0_group_id,16 1
skill_exp,skill_exp_0_type,10 10
crane_game_prop,,2
team_stadium_bgm,team_stadium_bgm_0_scene_type,11 2
team_stadium_class,team_stadium_class_0_team_stadium_id,6 6
topics,topics_0_type,339 113
skill_level_value,skill_level_value_0_ability_type,261 10
