id,type,scenario_id,disp_order,group_id,rank,chara_data_id,user_show,receive_condition_type,start_date,end_date
63,0,0,5025,5025,3,0,1,3,1483228800,2524608000
64,0,0,5012,5012,3,0,1,3,1483228800,2524608000
65,0,0,5013,5013,3,0,1,3,1483228800,2524608000
66,0,0,3001,3001,3,1001,1,3,1483228800,2524608000
67,0,0,3002,3002,3,1002,1,3,1483228800,2524608000
68,0,0,3014,3014,3,1014,1,1,1483228800,2524608000
69,0,0,3004,3004,3,1004,1,3,1483228800,2524608000
70,0,0,3024,3024,3,1024,1,3,1483228800,2524608000
71,0,0,3041,3041,3,1041,1,3,1483228800,2524608000
72,0,0,3045,3045,3,1045,1,3,1483228800,2524608000
73,0,0,3011,3011,3,1011,1,3,1483228800,2524608000
74,0,0,3008,3008,3,1008,1,3,1483228800,2524608000
75,0,0,3009,3009,3,1009,1,3,1483228800,2524608000
76,0,0,3003,3003,3,1003,1,3,1483228800,2524608000
77,0,0,3007,3007,3,1007,1,3,1483228800,2524608000
78,0,0,3017,3017,3,1017,1,3,1483228800,2524608000
79,0,0,3056,3056,3,1056,1,3,1483228800,2524608000
80,0,0,3005,3005,3,1005,1,3,1759442400,2524608000
81,0,0,3060,3060,3,1060,1,3,1483228800,2524608000
82,0,0,3027,3027,3,1027,1,3,1483228800,2524608000
83,0,0,3010,3010,3,1010,1,3,1483228800,2524608000
84,0,0,3006,3006,3,1006,1,3,1483228800,2524608000
85,0,0,3012,3012,3,1012,1,3,1758146400,2524608000
86,0,0,3015,3015,3,1015,1,3,1750897800,2524608000
87,0,0,3026,3026,3,1026,1,3,1751493600,2524608000
88,0,0,3046,3046,3,1046,1,3,1754949600,2524608000
89,0,0,3038,3038,3,1038,1,3,1753653600,2524608000
90,0,0,2009,2009,2,0,1,3,1483228800,2524608000
91,0,0,5009,5009,3,0,1,3,1483228800,2524608000
92,0,0,46,46,1,0,1,3,1483228800,2524608000
97,0,0,5001,5001,3,0,1,3,1483228800,2524608000
98,0,0,5026,5026,3,0,1,3,1483228800,2524608000
99,0,0,2027,2027,2,0,1,3,1483228800,2524608000
100,0,0,2,2,1,0,1,3,1483228800,2524608000
101,0,0,1,1,1,0,1,3,1483228800,2524608000
102,0,0,5,5,1,0,1,3,1483228800,2524608000
103,0,0,2019,2019,2,0,1,3,1483228800,2524608000
104,0,0,2030,2030,2,0,1,3,1483228800,2524608000
105,0,0,2016,2016,2,0,1,3,1483228800,2524608000
106,0,0,2017,2017,2,0,1,3,1483228800,2524608000
107,0,0,2005,2005,2,0,1,3,1483228800,2524608000
108,0,0,2022,2022,2,0,1,2,1483228800,2524608000
109,0,0,2018,2018,2,0,1,3,1483228800,2524608000
110,0,0,2020,2020,2,0,1,3,1483228800,2524608000
112,0,0,2008,2008,2,0,1,3,1483228800,2524608000
113,0,0,5015,5015,3,0,1,3,1483228800,2524608000
114,0,0,5021,5021,3,0,1,3,1483228800,2524608000
115,0,0,2011,2011,2,0,1,1,1483228800,2524608000
116,0,0,2006,2006,2,0,1,3,1483228800,2524608000
117,0,0,5007,5007,3,0,1,3,1483228800,2524608000
118,0,0,2014,2014,2,0,1,3,1483228800,2524608000
119,0,0,2007,2007,2,0,1,3,1483228800,2524608000
120,0,0,25,25,1,0,1,3,1483228800,2524608000
121,0,0,24,24,1,0,1,3,1483228800,2524608000
122,0,0,26,26,1,0,1,3,1483228800,2524608000
123,0,0,28,28,1,0,1,3,1483228800,2524608000
124,0,0,27,27,1,0,1,3,1483228800,2524608000
125,0,0,21,21,1,0,1,3,1483228800,2524608000
126,0,0,3061,3061,3,1061,1,3,1483228800,2524608000
127,0,0,3013,3013,3,1013,1,3,1483228800,2524608000
128,0,0,45,45,1,0,1,3,1483228800,2524608000
129,0,0,44,44,1,0,1,3,1483228800,2524608000
130,0,0,2038,2038,2,0,1,3,1483228800,2524608000
131,0,0,39,39,1,0,1,3,1483228800,2524608000
132,0,0,30,30,1,0,1,1,1483228800,2524608000
133,0,0,19,19,1,0,1,3,1483228800,2524608000
134,0,0,12,12,1,0,1,3,1483228800,2524608000
135,0,0,5006,5006,3,0,1,3,1483228800,2524608000
136,0,0,5004,5004,3,0,1,3,1483228800,2524608000
137,0,0,5005,5005,3,0,1,3,1483228800,2524608000
138,0,0,5002,5002,3,0,1,3,1483228800,2524608000
139,0,0,5003,5003,3,0,1,3,1483228800,2524608000
140,0,0,2031,2031,2,0,1,3,1483228800,2524608000
141,0,0,11,11,1,0,1,3,1483228800,2524608000
142,0,0,2004,2004,2,0,1,3,1483228800,2524608000
143,0,0,2003,2003,2,0,1,1,1483228800,2524608000
144,0,0,2001,2001,2,0,1,1,1483228800,2524608000
145,0,0,5019,5019,3,0,1,3,1483228800,2524608000
146,0,0,5017,5017,3,0,1,3,1483228800,2524608000
147,0,0,2002,2002,2,0,1,1,1483228800,2524608000
148,0,0,5018,5018,3,0,1,3,1483228800,2524608000
149,0,0,5016,5016,3,0,1,3,1483228800,2524608000
150,0,0,5014,5014,3,0,1,3,1483228800,2524608000
151,0,0,3023,3023,3,1023,1,2,1752184800,2524608000
152,0,2,1002,1002,2,0,1,2,1762466400,2524608000
153,0,2,1001,1001,2,0,1,2,1762466400,2524608000
154,0,2,4001,4001,3,0,1,3,1762466400,2524608000
155,0,2,4002,4002,3,0,1,2,1762466400,2524608000
160,0,0,3050,3050,3,1050,1,3,1754258400,2524608000
161,0,0,3016,3016,3,1016,1,3,1755727200,2524608000
162,0,2,4003,4003,3,0,1,3,1762466400,2524608000
163,0,2,4004,4004,3,0,1,3,1762466400,2524608000
164,0,0,3020,3020,3,1020,1,3,1757282400,2524608000
165,0,0,3058,3058,3,1058,1,3,1761084000,2524608000
166,0,0,3028,3028,3,1028,1,3,1762898400,2524608000
167,0,0,3019,3019,3,1019,1,3,1763589600,2524608000
168,0,0,3039,3039,3,1039,1,3,1764626400,2524608000
169,0,0,3025,3025,3,1025,1,3,1765231200,2524608000
170,0,0,3048,3048,3,1048,1,3,1766095200,2524608000
171,0,0,3059,3059,3,1059,1,3,1766959200,2524608000
172,0,0,3022,3022,3,1022,1,3,1768514400,2524608000
173,0,0,3021,3021,3,1021,1,3,1769119200,2524608000
174,0,0,3069,3069,3,1069,1,3,1770847200,2524608000
175,0,0,3071,3071,3,1071,1,1,1772056800,2524608000
176,0,0,3033,3033,3,1033,1,3,1772748000,2524608000
177,0,0,3062,3062,3,1062,1,3,1773352800,2524608000
178,0,0,3068,3068,3,1068,1,3,1773352800,2524608000
179,0,0,3067,3067,3,1067,1,3,1774216800,2524608000
180,0,4,4005,4005,3,0,1,1,1773352800,2524608000
181,0,4,4006,4006,3,0,1,1,1773352800,2524608000
182,0,4,4007,4007,3,0,1,1,1773352800,2524608000
183,0,0,4008,4008,3,0,1,1,1773352800,2524608000
184,0,4,1003,1003,2,0,1,1,1773352800,2524608000
185,0,0,1004,1004,2,0,1,1,1773352800,2524608000
186,0,0,3074,3074,3,1074,1,3,1774562400,2524608000
187,0,4,5027,5027,3,0,1,3,1773352800,2524608000
188,0,4,5028,5028,3,0,1,3,1773352800,2524608000
189,0,4,5029,5029,3,0,1,3,1773352800,2524608000
190,0,4,5030,5030,3,0,1,3,1773352800,2524608000
191,0,4,5031,5031,3,0,1,3,1773352800,2524608000
192,0,4,2039,2039,2,0,1,3,1773352800,2524608000
193,0,4,2040,2040,2,0,1,3,1773352800,2524608000
194,0,4,5032,5032,3,0,1,3,1773352800,2524608000
195,0,4,2041,2041,2,0,1,3,1773352800,2524608000
196,0,4,2042,2042,2,0,1,3,1773352800,2524608000
197,0,4,2043,2043,2,0,1,3,1773352800,2524608000
198,0,4,5033,5033,3,0,1,3,1773352800,2524608000
199,0,4,5034,5034,3,0,1,3,1773352800,2524608000
200,0,4,2044,2044,2,0,1,3,1773352800,2524608000
201,0,4,2045,2045,2,0,1,3,1773352800,2524608000
202,0,4,2046,2046,2,0,1,3,1773352800,2524608000
203,0,4,2047,2047,2,0,1,3,1773352800,2524608000
204,0,4,2048,2048,2,0,1,3,1773352800,2524608000
205,0,4,5035,5035,3,0,1,3,1773352800,2524608000
206,0,4,2049,2049,2,0,1,3,1773352800,2524608000
207,0,4,2050,2050,2,0,1,3,1773352800,2524608000
208,0,4,2051,2051,2,0,1,3,1773352800,2524608000
209,0,4,2052,2052,2,0,1,3,1773352800,2524608000
210,0,4,2053,2053,2,0,1,3,1773352800,2524608000
211,0,4,2054,2054,2,0,1,3,1773352800,2524608000
212,0,4,2055,2055,2,0,1,3,1773352800,2524608000
213,0,4,2056,2056,2,0,1,3,1773352800,2524608000
214,0,4,2057,2057,2,0,1,3,1773352800,2524608000
215,0,4,2058,2058,2,0,1,3,1773352800,2524608000
216,0,4,2059,2059,2,0,1,3,1773352800,2524608000
217,0,4,47,47,1,0,1,3,1773352800,2524608000
218,0,4,48,48,1,0,1,3,1773352800,2524608000
219,0,4,49,49,1,0,1,3,1773352800,2524608000
220,0,4,50,50,1,0,1,3,1773352800,2524608000
221,0,4,51,51,1,0,1,3,1773352800,2524608000
222,0,4,52,52,1,0,1,3,1773352800,2524608000
223,0,0,3051,3051,3,1051,1,3,1776031200,2524608000
224,0,0,3072,3072,3,1072,1,3,1776722400,2524608000
225,0,0,3031,3031,3,1031,1,3,1777586400,2524608000
226,0,0,3064,3064,3,1064,1,3,1778450400,2524608000
227,0,0,3034,3034,3,1034,1,3,1780005600,2524608000
228,0,0,3044,3044,3,1044,1,3,1780610400,2524608000
229,0,0,3036,3036,3,1036,1,3,1781820000,2524608000
230,0,0,3053,3053,3,1053,1,3,1783461600,2524608000
