id,group_id,message,voice,per,comment_group,reuse,omit_tag
21,100020,"Snow continues falling here at\n%course. After clearing it away,\nthe turf's condition has been rated good.",1002301|%course|1002302,100,100012,0,0
22,100021,The dirt track at %course is in\ngood condition as the field gets ready to run\nthrough the billowing snow.,1002401|%course|1002402,100,100013,0,0
23,100022,Snow removal is in progress as it continues to\nblanket the ground. The\n%course track has been rated\nsoft.,1002501|%course|1002502,100,100014,0,0
24,100023,"The snow falls gently from the gray skies\nabove, softening the condition of\n%course's dirt track.",1002601|%c_0.05|%course|1002602,100,100015,0,0
25,100200,"The fanfare rings out! The first spring G1, the\nFebruary Stakes, is about to begin!",1088701,100,0,0,0
26,100201,"A heated battle ignites under the watchful eye\nof the cherry blossoms! This is the electrifying,\nsix-furlong Takamatsunomiya Kinen!",1088801,100,0,0,0
27,100202,"The best of the best gather here every year for\nthe first leg of the medium-to-long-distance\nSpring Triple Crown, the Osaka Hai!",1088901,100,0,0,0
28,100203,"The cherry blossoms bloom, waiting for the\ncrowning of our next queen! This is the first\nrace of the Classics, the Oka Sho!",1089001,100,0,0,0
29,100204,"This is the Satsuki Sho, where the fastest\nUmamusume wins! Who's going to show us how\nfar they've come today?!",1089101,100,0,0,0
30,100205,"We're here at the longest of the G1s, the\nspring Tenno Sho! Today we shall bear witness\nto a passionate battle for the one and only\nshield plaque!",1089201,100,0,0,0
31,100206,The fastest Umamusume of the generation\ngather here at Fuchu for the NHK Mile Cup!,1089301,100,0,0,0
32,100207,Angels are descending upon blessed Fuchu!\nWhoever first catches Victoria's gaze will be\nthe winner!,1089401,100,0,0,0
33,100208,Umamusume gather at Fuchu seeking to\nbecome queen of the oaks! Who will take\nhome the crown at today's Japanese Oaks?!,1089501,100,0,0,0
34,100209,"The pinnacle of racing that all Umamusume\ndream of, the Japanese Derby! Who will make\ntheir mark on history today?!",1089601,100,0,0,0
35,100210,Those confident in their speed gather here in\nTokyo today for the mile-long Yasuda Kinen!\nWho will take home the prize?!,1089701,100,0,0,0
36,100211,"Boosted by their fans' votes, the field gathers\nto run in the Takarazuka Kinen grand prix!",1089801,100,0,0,0
37,100212,Speedsters gather here as Nakayama starts to\nshow signs of fall! This is the lightning-fast\nSprinters Stakes!,1089901,100,0,0,0
38,100213,Lovely fall flowers decorate the course today.\nWho will be the one to bloom at today's Shuka\nSho?!,1090001,100,0,0,0
39,100214,The final step of the Classics. Who will conquer\nthe Kikuka Sho and take home the title of the\nbest Umamusume?!,1090101,100,0,0,0
40,100215,These Umamusume are fired up and ready to\nfight for glory and the shield plaque! It's time\nfor the fall Tenno Sho!,1090201,100,0,0,0
41,100216,"Under the Japanese flag and the Union Jack,\nwho will hold the Queen Elizabeth II Cup high\nover Yodo turf?!",1090301,100,0,0,0
42,100217,"The long run of mile races is coming to an end,\nand a champion is ready to be crowned! It's the\nMile Championship!",1090401,100,0,0,0
43,100218,Umamusume from around the world gather\nhere in Fuchu for the Japan Cup! Will the\ntrophy remain on home soil?!,1090501,100,0,0,0
44,100219,The fiercest warriors gather for this battle on\nthe sand! Who will be crowned dirt queen in\nthe Champions Cup?,1090601,100,0,0,0
45,100220,"Hot-blooded, young racers gather under the\ncold Hanshin sky! On the path to the Classics,\nthis is the Hanshin Juvenile Fillies!",1090701,100,0,0,0
46,100221,The road to the Classics begins here! The Asahi\nHai Futurity Stakes!,1090801,100,0,0,0
47,100222,"The year-end fight for the dream here in\nNakayama, the Arima Kinen grand prix! Will\nour dreams come true today?!",1090901,100,0,0,0
48,100223,A star will be born today who will steal\neveryone's hearts! This is the Hopeful Stakes!,1091001,100,0,0,0
49,100224,"After all their training and hard work, the\nUmamusume finally stand on the track! It's time\nfor the training race!",1092301,100,0,0,0
50,100225,"Full of hidden potential, these runners are in\nthe public eye for the very first time! The\nbeginners' race starts now!",1091101,100,0,0,0
51,100226,Even the greatest fall sometimes. Who will\nmake their comeback at the repechage?!,1091201,100,0,0,0
52,100227,"Even after winning, there's no time to rest!\nWho will overcome a new hurdle in the Virgo\nRace?!",1091301,100,0,0,0
53,100228,Which Umamusume will outshine even the stars\nabove?! This is the Aries Race!,1091401,100,0,0,0
54,100229,A beautiful constellation that helps travelers\nfind their way north. Who will it guide today?!\nThis is the Cassiopeia Race!,1091501,100,0,0,0
55,100230,"Who will shine bright like the beautiful,\ntwinkling Betelgeuse?! This is the Orion Race!",1091601,100,0,0,0
56,100231,"The assassin from the Twinkle Series,\n%legend! Will someone finally\nappear who can defeat this legend?!",1091701|%legend|1091702,100,0,0,0
57,100300,"Umamusume confident in their speed gather\nfor the Niigata 1,000 meter.",1034601,100,0,0,0
58,100800,The current favorite is\n%h_pop1.,%w_0.3|1002701|%h_pop1,100,0,0,0
59,100800,The most popular athlete in this race is\n%h_pop1. She's the favorite to\nwin.,1002801|%h_pop1|1002802,100,0,0,0
60,100800,"To begin, introducing the favorite, it's\n%h_pop1.",1002901|%h_pop1,100,0,0,0
61,100800,You guessed it! The favorite is\n%h_pop1.,%w_0.3|1003001|%h_pop1,100,0,0,0
62,100802,The second favorite is\n%h_pop2.,%w_0.3|1003101|%h_pop2,100,0,0,0
63,100802,"Moving onto the second favorite, it's\n%h_pop2.",%w_0.3|1003201|%h_pop2,100,0,0,0
64,100802,"With more than enough skill to rival the top\npick, today's second favorite is\n%h_pop2.",%w_0.3|1003301|%h_pop2,100,0,0,0
65,100802,"She might not be satisfied with this ranking,\nbut the second favorite is\n%h_pop2.",%w_0.1|1003401|%h_pop2,100,0,0,0
66,100803,"Moving onto the second favorite, it's\n%h_pop2.",%w_0.3|1003201|%h_pop2,100,0,0,0
67,100803,"She might not be satisfied with this ranking,\nbut the second favorite is\n%h_pop2.",%w_0.1|1003401|%h_pop2,100,0,0,0
68,100804,The third favorite is %h_pop3.,%w_0.3|1003501|%h_pop3,100,0,0,0
69,100804,"For the third favorite, we have\n%h_pop3.",%w_0.3|1003601|%h_pop3,100,0,0,0
70,100804,"With her sights firmly set on the top spots, the\nthird favorite is %h_pop3.",%w_0.3|1003701|%h_pop3,100,0,0,0
71,100804,"Combining popularity and ability,\n%h_pop3 is today's third\nfavorite.",%w_0.3|1003801|%h_pop3|1003802,100,0,0,0
72,100805,"Now, here's the undisputed star of the show.\nIt's %h_pop1!",%w_0.1|1003901|1003902|%w_0.01|%h_pop1,100,0,0,0
73,100805,"Waiting for the start with an air of dignity is\ntoday's favorite, %h_pop1!",%w_0.1|1003903|1003904|%h_pop1,100,0,0,0
74,100805,"Carrying the hopes of all the fans crowding the\nstands, the favorite for today is\n%h_pop1!",%w_0.1|1003905|1003906|%h_pop1,100,0,0,0
75,100805,"Now, here's the undisputed star of the show.\nIt's %h_pop1!",%w_0.1|1003901|1003904|%h_pop1,100,0,0,0
76,100805,"Waiting for the start with an air of dignity is\ntoday's favorite, %h_pop1!",%w_0.1|1003903|1003906|%h_pop1,100,0,0,0
77,100805,"Carrying the hopes of all the fans crowding the\nstands, the favorite for today is\n%h_pop1!",%w_0.1|1003905|1003902|%h_pop1,100,0,0,0
78,100805,"Now, here's the undisputed star of the show.\nIt's %h_pop1!",%w_0.1|1003901|1003906|%h_pop1,100,0,0,0
80,100805,"Carrying the hopes of all the fans crowding the\nstands, the favorite is\n%h_pop1!",%w_0.1|1003905|1003904|%w_0.01|%h_pop1,100,0,0,0
81,100806,Taking her on is %h_pop2. This\nshould be a showdown to remember.,1004001|%h_pop2|1004002,100,0,0,0
82,100806,"The second favorite, %h_pop2,\ncan certainly hold her own against today's top\nfavorite.",1004003|%h_pop2|1004004,100,0,0,0
83,100806,"Now, here's the second favorite.\n%h_pop2 is fully set on\nclinching victory.",1004005|%h_pop2|1004006,100,0,0,0
84,100806,"Taking her on is %h_pop2, who\ncan certainly hold her own against the favorite.",1004001|%h_pop2|1004004,100,0,0,0
85,100806,"The second favorite, %h_pop2,\nis fully set on clinching victory.",1004003|%h_pop2|1004006,100,0,0,0
86,100806,"Now, here's the second favorite.\n%h_pop2 should give us a\nshowdown to remember.",1004005|%h_pop2|1004002,100,0,0,0
87,100806,"Taking her on is %h_pop2, who\nis fully set on clinching victory.",1004001|%h_pop2|1004006,100,0,0,0
88,100806,"The second favorite, %h_pop2,\nshould give us a showdown to remember.",1004003|%h_pop2|1004002,100,0,0,0
89,100806,"Now, here's the second favorite.\n%h_pop2 can certainly hold\nher own against today's top favorite.",1004005|%h_pop2|1004004,100,0,0,0
90,100807,%h_pop3 is currently the third\nfavorite. She's the hot pick of late!,%w_0.3|%h_pop3|1004101|1004102,100,0,0,0
91,100807,%h_pop3 is the third favorite.\nCan she overcome the odds?!,%w_0.3|%h_pop3|1004103|1004104,100,0,0,0
93,100807,%h_pop3 is currently the third\nfavorite. Can she overcome the odds?!,%w_0.3|%h_pop3|1004101|1004104,100,0,0,0
94,100807,%h_pop3 is the third favorite.\nHer superior ability is undeniable!,%w_0.3|%h_pop3|1004103|1004106,100,0,0,0
96,100807,%h_pop3 is currently the third\nfavorite. Her superior ability is undeniable!,%w_0.3|%h_pop3|1004101|1004106,100,0,0,0
97,100807,%h_pop3 is the third favorite.\nShe's the hot pick of late!,%w_0.3|%h_pop3|1004103|1004102,100,0,0,0
99,100808,"All eyes are on %h_player,\nrunning in %p_waku_ban.",1088201|%h_player|%p_waku_ban,100,0,0,0
100,100999,All the Umamusume have entered the gate and\nare ready to start.,%w_0.3|1000901,100,0,0,0
101,100999,They're all in line. We're ready for the start.,%w_0.3|1001001,100,0,0,0
102,102000,And they're off!,%w_0.2|1004201|%w_0.2,100,0,0,0
103,102000,There's the start.,%w_0.2|1004301|%w_0.2,100,0,0,0
104,102000,And the gates are open.,%w_0.2|1004401|%w_0.2,100,0,0,0
105,102000,The race begins.,%w_0.2|1004501|%w_0.2,100,0,0,0
106,102001,%horse1 goes out for the early\nlead.,%horse1|1004601,100,0,0,0
107,102001,%horse1 has an excellent start!,%horse1|1004801,100,0,0,0
108,102001,Dashing ahead here is\n%horse_ta1.,1040401|%horse_ta1,100,0,0,0
110,102001,A fine start for %horse1.,%horse1|1040201,100,0,0,0
111,102001,%horse1 flies out of the gate.,%horse1|1040701,100,0,0,0
112,102001,%horse_ta1 is off to a good start.,1040801|%horse_ta1,100,0,0,0
113,102001,%horse1 breaks well.,%horse1|1040901,100,0,0,0
114,102001,%horse1 is dashing ahead early.,%horse1|1041001,100,0,0,0
115,102002,"It's an excellent beginning for\n%horse_ta1, followed by\n%horse2.",1004701|%horse_ta1|1004702|%horse2,100,100021,0,0
116,102003,A smooth start from all runners.,1004901,100,100024,0,0
117,102004,Oh no! A slow start from\n%horse1! She begins the race at\nthe back.,1005301|%horse1|1005302,100,0,0,0
118,102004,Oh no! Has %horse1 made a\nslow start?!,1005101|%horse1|1005102,100,0,0,0
119,102004,%horse1 makes a slow start and\nbegins the race at the back.,%horse1|1040301,100,0,0,0
120,102004,%horse1 starts the race at the\nback of the pack with a bit of a stumble.,%horse1|1040601,100,0,0,0
121,102004,%horse1 is a little slow out of\nthe gate.,%horse1|1041101,100,0,0,0
122,102004,%horse1 breaks rather poorly.,%horse1|1041201,100,0,0,0
123,102005,We have a bit of a staggered start.,1005201,100,100027,0,0
124,102006,A wonderful start from all runners!,1005001,100,100025,0,0
125,102006,A great start from all runners!,1040101,100,100025,0,0
127,103000,%h_rank1 takes the lead.,%h_rank1|1042201,100,0,0,0
128,103000,%h_rank_ta1 takes over the lead\nposition.,1005401|%h_rank_ta1,100,0,0,0
129,103000,Rushing into the lead is\n%h_rank1.,1006401|%h_rank1,100,0,0,0
130,103000,%h_rank_ta1 steals it.,1041301|%h_rank_ta1,100,0,0,0
131,103001,"The favorite, %h_pop1, takes\nan early lead.",1005501|%h_pop1|1005502,100,0,0,0
132,103001,Can %h_pop1 take the lead?,%h_pop1|1041601,100,0,0,0
133,103001,"And it's %h_pop1, of course.",1041501||%h_pop1,100,0,0,0
134,103001,"The hot ticket,%h_pop1, is in\nthe lead!",1007901|%c_0.02|%h_pop1|1007902,100,0,0,0
136,103003,%h_rank_a1\n%h_rank_to2 are locked in a\nstruggle for the lead.,%h_rank_a1|%h_rank_to2|1005701,100,0,0,0
137,103004,And leaving the pack to take the lead is\n%h_rank_ta1.,1005801|%h_rank_ta1,100,0,0,0
138,103004,A textbook advance by\n%h_rank_ta1!,1005901|%h_rank_ta1,100,0,0,0
139,103005,%h_rank1 springs into the lead.,%h_rank1|1006002,100,0,0,0
140,103006,"Now, %h_rank_ta1 has taken the\nlead. But can she keep it?",1006101|%h_rank_ta1|1006102,100,0,0,0
141,103006,%h_rank1 is all by herself out\nin the lead.,1006201|%h_rank1|1006202,100,0,0,0
142,103007,Pulling ahead after a fierce battle is\n%h_rank_ta1.,1006301|%h_rank_ta1,100,0,0,0
143,103008,"Living up to everyone's expectations, it's\n%h_pop1! She's done it! She's\ntaken the lead!",1006501||%h_pop1|1006502,100,0,0,0
144,103009,Behind her is %h_rank2.,%w_0.1|1006601|%w_0.1|%h_rank2,100,0,0,0
145,103009,Next is %h_rank2.,%w_0.1|1041701|%h_rank2,100,0,0,0
146,103010,The struggle between\n%h_rank1 and\n%h_rank2 continues.,%h_rank1|%h_rank2|1006701,100,100044,0,0
147,103010,%h_rank_a1\n%h_rank_to2 both refuse to\ngive up the lead.,%h_rank_a1|%h_rank_to2|1006801,100,100044,0,0
148,103010,%h_rank_a1\n%h_rank_to2 have been\ngrappling for the lead from the opening leg.,%h_rank_a1|%h_rank_to2|1006901,100,100044,0,0
149,103011,Eyeing up the lead from second position is\n%h_rank2!,%w_0.1|1007001|%w_0.02|%h_rank2,100,0,0,0
150,103012,Far behind the lead in second position is\n%h_rank2!,1007101|%h_rank2,100,0,0,0
152,103013,A fierce battle for the lead.,%w_0.1|2052001,100,0,0,0
153,103013,This is already shaping up to be a fierce battle.,%w_0.1|1081501,100,0,0,0
155,103015,%h_pop1 is currently the\ntrailer! Did she make a mistake or is this all\npart of the plan?!,%h_pop1|1007401,100,100075,0,0
156,103015,"Currently trailing is the favorite,\n%h_pop1. How do we take\nthis?",1008101|%h_pop1|1008102,100,100075,0,0
159,103016,"Can the favorite, %h_pop1,\nlive up to everyone's expectations?!",1008501|%h_pop1,100,0,0,0
160,103017,%h_pop1 is fighting an uphill\nbattle. How will she handle it from here?,1008701|%h_pop1|1008702,100,0,0,0
161,103020,The promising %h_pop1 has\nfallen a little behind.,1008001|%c_0.01|%h_pop1|1008002,100,100074,0,0
162,103018,"Battling for the lead are\n%h_rank1,\n%h_rank2, and\n%h_rank3.",%w_0.1|1041401|%h_rank1|%w_0.1|%h_rank2|%w_0.1|%h_rank3,100,0,0,0
163,103019,"This race still has a long way to go, but\n%h_rank1 makes an early jump\nto the front.",1006001|%h_rank1|1006002,100,0,0,0
164,105000,They're still fighting for the lead! Will this race\nbe decided on the final stretch?!,%w_0.1|2013701|2013702,100,0,0,0
165,105000,No one's taken the lead! Will this be a battle\non the final stretch?!,%w_0.1|2013703|2013704,100,0,0,0
166,105000,They're saving their stamina for the end! Who\nwill break out ahead first?!,%w_0.1|2013705|2013706,100,0,0,0
167,105000,They're still fighting for the lead! Will this be a\nbattle on the final stretch?!,%w_0.1|2013701|2013704,100,0,0,0
168,105000,No one's taken the lead! Who will break out\nahead first?!,%w_0.1|2013703|2013706,100,0,0,0
169,105000,They're saving their stamina for the end! Will\nthis race be decided on the final stretch?!,%w_0.1|2013705|2013702,100,0,0,0
170,105000,They're still vying for the lead! Who will be the\nfirst to break out ahead?!,%w_0.1|2013701|2013706,100,0,0,0
171,105000,No one's taken the lead! Will this race be\ndecided on the final stretch?!,%w_0.1|2013703|2013702,100,0,0,0
172,105000,They're saving their stamina for the end! Will\nthis be a battle on the final stretch?!,%w_0.1|2013705|2013704,100,0,0,0
173,105001,They're still going at it as they come into the\nfinal stretch!,2013801,100,0,0,0
174,105001,The race will be decided on the final stretch!,2013901,100,0,0,0
175,105001,And they're into the stretch! Who will be the\nfirst to make a move?!,2014001|2014002,100,0,0,0
176,106000,Coming out of the final turn first is\n%h_rank_ta1.,%w_0.1|2014101|2014102|%h_rank_ta1,100,0,0,0
177,106000,First to rush out of the final corner is\n%h_rank_ta1.,%w_0.1|2014103|2014104|%h_rank_ta1,100,0,0,0
178,106000,Rounding the final corner in the lead is\n%h_rank_ta1.,%w_0.1|2014105|2014106|%h_rank_ta1,100,0,0,0
179,106000,Rushing out of the final turn first is\n%h_rank_ta1.,%w_0.1|2014101|2014104|%h_rank_ta1,100,0,0,0
180,106000,Taking the lead out of the final turn is\n%h_rank_ta1.,%w_0.1|2014103|2014106|%h_rank_ta1,100,0,0,0
181,106000,"As they round the final turn, it is\n%h_rank_ta1 to come out on top.",%w_0.1|2014105|2014102|%h_rank_ta1,100,0,0,0
182,106000,Taking the lead out of the final turn is\n%h_rank_ta1.,%w_0.1|2014101|2014106|%h_rank_ta1,100,0,0,0
183,106000,Coming out of the final turn first is\n%h_rank_ta1.,%w_0.1|2014103|2014102|%h_rank_ta1,100,0,0,0
184,106000,"After the final corner, rushing out in front is\n%h_rank_ta1.",%w_0.1|2014105|2014104|%h_rank_ta1,100,0,0,0
185,106000,They've come around the final turn and\nentered the homestretch.,1044801,100,0,0,0
186,106001,"Now in front of the stands, they're all pushing\nforward in unison!",2014201|2014202,100,0,0,0
187,106001,This is where the race will be decided!,2014203|2014204,100,0,0,0
188,106001,They've shifted it up a gear now that they're\nnearing the stands!,2014205|2014206,100,0,0,0
189,106001,They've shifted it up a gear now that they're in\nfront of the stands!,2014201|2014206,100,0,0,0
190,106001,They're all pushing forward in unison as they\napproach the finish line!,2014205|2014202,100,0,0,0
191,108000,They're neck and neck coming up to the finish\nline!,3021801,100,0,0,0
192,108001,Neither of these two are conceding an inch!,2016601,100,0,0,0
193,108001,It's the final battle between these two!,2016701,100,0,0,0
194,108001,We'll test these two to the wire!,3021901,100,0,0,0
195,108001,It's a one-on-one duel between the two\nleaders!,2020101,100,0,0,0
196,108002,Three runners neck and neck! No one is giving\nup!,2016401|2016402,100,0,0,0
197,108002,It's a fierce competition between these three!,2016501,100,0,0,0
198,108002,"%h_rank1,\n%h_rank2, and\n%h_rank3 are racing neck and\nneck.",%h_rank1|%h_rank2|%h_rank3|2051801,100,0,0,0
199,108002,"%h_rank1,\n%h_rank2, and\n%h_rank3 are racing neck and\nneck.",%h_rank1|%h_rank2|%h_rank3|2055301,100,0,0,0
200,108002,"%h_rank1,\n%h_rank2, and\n%h_rank3 are now racing neck\nand neck.",%h_rank1|%h_rank2|%h_rank3|2055401,100,0,0,0
201,108002,"It's a three-way battle between\n%h_rank1,\n%h_rank2, and\n%h_rank3!",%h_rank1|%h_rank2|%h_rank3|2055501,100,0,0,0
202,108003,It's a free-for-all between the first four places!,3022101,100,0,0,0
203,108004,And now... it's %horse1?!,3022201|%horse1,100,0,0,0
205,108006,We might be in for a dead heat!,2016201,100,0,0,0
206,108006,It's still going. It's still going!,2016301|2016302,100,0,0,0
207,108007,In the lead is %h_rank1!,3022501|%h_rank1,100,0,0,0
208,108007,In the lead is %h_rank1.,2014401|%h_rank1,100,0,0,0
209,108007,In the lead is %h_rank1.,2014501|%h_rank1,100,0,0,0
210,108007,%h_rank1 out in front!,2014401|%h_rank1,100,0,0,0
211,108008,Still in the lead is %h_rank1!,2012601|%h_rank1,100,0,0,0
212,108008,Keeping the lead is %h_rank1.,2012701|%w_0.01|%h_rank1,100,0,0,0
213,108008,%h_rank1 keeps her lead out in\nfront!,2014501|%h_rank1|2014502,100,0,0,0
214,108009,"Will the leader, %h_rank1, go\nall the way?!",2014401|%h_rank1|2014402,100,0,0,0
215,108010,%h_rank1！,%h_rank1,100,0,0,0
216,108010,%h_rank_l1！,%h_rank_l1,100,0,0,0
217,109003,It's %h_rank_l1! She crosses the\nfinish line with no one in sight! Absolute\ndomination!,%w_0.1|%h_rank_l1|3022601|3022602,100,0,0,0
218,109000,It's %h_rank_l1! A perfect\nvictory! She didn't let anyone catch up to her!,%h_rank_l1|3022701|3022702,100,0,0,0
219,109000,It's %h_rank_l1! What an amazing\nrun! I'm sure we're all looking forward to her\nnext race!,%h_rank_l1|3022801|3022802,100,0,0,0
220,109000,It's %h_rank_l1! A brilliant run!\nShe certainly showed us who the main star of\nthis race was!,%h_rank_l1|3023301|3023302,100,0,0,0
221,109001,They cross the finish line shoulder to shoulder!\nHas %h_rank1 won it by a\nnose?!,3023801|%h_rank1|%w_0.01|3023802,100,0,0,0
222,109001,It's a photo finish! Has\n%h_rank1 won it by a nose?!,3023901|%h_rank1|3023902,100,0,0,0
224,109001,%h_rank_a1\n%h_rank_to2 cross the finish\nline shoulder to shoulder!,%h_rank_a1|%h_rank_to2|3036401,100,0,0,0
227,109002,All three cross the finish line shoulder to\nshoulder! Has %h_rank1\nmanaged to win it by a nose?!,3024201|%h_rank1|3024202,100,0,0,0
228,109002,And it's a three-way photo! Has\n%h_rank1 won it by a nose?!,3022001|%h_rank1|3037001,100,0,0,0
229,109004,The whole pack rushes across the finish line!,3024301,100,0,0,0
230,109004,Astounding! What a close finish!,3024601,100,0,0,0
231,109005,She made it look easy!\n%h_rank1 takes the win after\nan amazing race!,3022901|%h_rank1|3022902|3022903,100,0,0,0
232,109005,%h_rank1 flies past the post\nafter a true display of strength! That was an\noutstanding race!,3023001|%h_rank1|3023002|3023003,100,0,0,0
233,109005,Does anyone stand a chance against this\nUmamusume?!,3023101|%h_rank1|3023102|3023103,100,0,0,0
234,109005,She makes it look so easy!\n%h_rank1 flies past the post!\nWhat an outstanding race!,3022901|%h_rank1|3023002|3023003,100,0,0,0
235,109005,%h_rank1 wins it after a true\ndisplay of strength! Does anyone stand a\nchance against this Umamusume?!,3023001|%h_rank1|3023102|3023103,100,0,0,0
236,109005,%h_rank1 pushes through to\nthe front and takes the win! What an amazing\nrace!,3023101|%h_rank1|%w_0.01|3022902|3022903,100,0,0,0
237,109005,She makes it look so easy! It's\n%h_rank1 to win it! Does\nanyone stand a chance against this\nUmamusume?!,3022901|%h_rank1|3023102|3023103,100,0,0,0
238,109005,%h_rank1 has done it in a true\ndisplay of strength! What an amazing\nperformance!,3023001|%h_rank1|%w_0.01|3022902|3022903,100,0,0,0
239,109005,"Pushing through to the front,\n%h_rank1 flies past the winning\npost! That was an outstanding race!",3023101|%h_rank1|3023002|3023003,100,0,0,0
240,109006,"%h_rank_l1 comes in first place!\nShowing us her full potential, she wins the race!",%h_rank_l1|3023201|3023202,100,0,0,0
241,109006,"Well done, %h_rank_l1! She\nshowed us that her strength is more than the\nmargin of her win!",3023401|%h_rank_l1|3023402,100,0,0,0
242,109007,%h_rank_l1 takes first place! She\ndefeats the other runners and seizes victory!,3023501|%h_rank_l1|3023502,100,0,0,0
243,109007,%h_rank_ta1 wins! A great run\nearns her the victory!,%w_0.1|3023601|%h_rank_ta1|3023602,100,0,0,0
244,109007,%h_rank_l1 does it! Her\ndetermination wins her the glory at the end!,3023701|%h_rank_l1|3023702,100,0,0,0
245,109007,%h_rank_l1 takes first place! A\ngreat run earns her the victory!,3023501|%h_rank_l1|3023602,100,0,0,0
246,109007,%h_rank_ta1 wins! Her\ndetermination wins her the glory at the end!,%w_0.1|3023601|%h_rank_ta1|3023702,100,0,0,0
247,109007,%h_rank_l1 has done it! She\ndefeats the other runners and seizes victory!,3023701|%h_rank_l1|3023502,100,0,0,0
248,109007,%h_rank_l1 takes first place! Her\ndetermination wins her the glory at the end!,3023501|%h_rank_l1|3023702,100,0,0,0
249,109007,%h_rank_ta1 wins! She defeats the\nother runners and seizes victory!,%w_0.1|3023601|%h_rank_ta1|3023502,100,0,0,0
250,109007,%h_rank_l1 did it! A great run\nearns her the victory!,3023701|%h_rank_l1|3023602,100,0,0,0
258,109012,%h_rank_ta1 wins!,%w_0.1|3024701|%h_rank_ta1,100,0,0,0
259,109012,%h_rank_l1 claims victory!,%w_0.2|%h_rank_l1|3025001,100,0,0,0
260,109012,%h_rank_l1 dominates the race.,%w_0.2|%h_rank_l1|3037401,100,0,0,0
261,109012,That's the %race!\n%h_rank_l1 achieves a fantastic\nvictory!,%w_0.2|%race_wo|%w_0.01|%h_rank_l1|3024801,100,0,0,0
262,109202,It's %h_rank_l1! A brilliant\nvictory in the\n%race!,%w_0.2|%h_rank_l1|3024901|%race_wo,100,0,0,0
263,109202,That's the %race!\n%h_rank_no1 claims victory!,%w_0.2|%race_wo|%h_rank_no1|%c_0.02|3025101,100,0,0,0
264,109012,%h_rank_l1！\n%race_wo！,%w_0.2|%h_rank_l1|%race_wo,100,0,0,0
265,109009,%h_rank_l1 finishes in first place.,%h_rank_l1|3036501,100,0,0,0
266,109009,%h_rank_l1 finishes.,%h_rank_l1|3036801,100,0,0,0
267,109010,%h_rank_l1 surges to the finish!,%h_rank_l1|3036601,100,0,0,0
269,109011,In second place is %h_rank_l2.,%w_0.2|3037301|%h_rank_l2,100,0,0,0
270,109011,In second is %h_rank_l2. In third\nis %h_rank_l3.,%w_0.2|3024401|%h_rank_l2|%w_0.2|3024402|%h_rank_l3,100,0,0,0
