id,announce_id,order,cue_name,text_message
90,10,5,snd_voi_event_090010_0104,
91,10,6,snd_voi_event_090010_0105,
92,10,7,snd_voi_event_090010_0106,
93,10,8,snd_voi_event_090010_0107,
94,10,9,snd_voi_event_090010_0108,
95,10,10,snd_voi_event_090010_0109,
96,10,11,snd_voi_event_090010_0110,
97,10,12,snd_voi_event_090010_0111,
98,10,13,snd_voi_event_090010_0112,
99,10,14,snd_voi_event_090010_0113,
100,10,15,snd_voi_event_090010_0114,
101,10,16,snd_voi_event_090010_0115,
102,11,1,snd_voi_event_090011_0100,
103,11,2,snd_voi_event_090011_0101,
104,11,3,snd_voi_event_090011_0102,
105,11,4,snd_voi_event_090011_0103,
106,11,5,snd_voi_event_090011_0104,
107,11,6,snd_voi_event_090011_0105,
108,11,7,snd_voi_event_090011_0106,
109,11,8,snd_voi_event_090011_0107,
110,11,9,snd_voi_event_090011_0108,
111,11,10,snd_voi_event_090011_0109,
112,11,11,snd_voi_event_090011_0110,
113,11,12,snd_voi_event_090011_0111,
114,12,1,snd_voi_event_090012_0100,
115,12,2,snd_voi_event_090012_0101,
116,12,3,snd_voi_event_090012_0102,
117,12,4,snd_voi_event_090012_0103,
118,12,5,snd_voi_event_090012_0104,
119,12,6,snd_voi_event_090012_0105,
120,12,7,snd_voi_event_090012_0106,
121,12,8,snd_voi_event_090012_0107,
122,12,9,snd_voi_event_090012_0108,
123,12,10,snd_voi_event_090012_0109,
124,12,11,snd_voi_event_090012_0110,
125,12,12,snd_voi_event_090012_0111,
126,12,13,snd_voi_event_090012_0112,
127,12,14,snd_voi_event_090012_0113,
128,12,15,snd_voi_event_090012_0114,
129,12,16,snd_voi_event_090012_0115,
130,13,1,snd_voi_event_090013_0100,
131,13,2,snd_voi_event_090013_0101,
132,13,3,snd_voi_event_090013_0102,
133,13,4,snd_voi_event_090013_0103,
134,13,5,snd_voi_event_090013_0104,
135,13,6,snd_voi_event_090013_0105,
136,13,7,snd_voi_event_090013_0106,
137,13,8,snd_voi_event_090013_0107,
138,13,9,snd_voi_event_090013_0108,
139,13,10,snd_voi_event_090013_0109,
140,14,1,snd_voi_event_090014_0100,
141,14,2,snd_voi_event_090014_0101,
142,14,3,snd_voi_event_090014_0102,
143,14,4,snd_voi_event_090014_0103,
144,14,5,snd_voi_event_090014_0104,
145,14,6,snd_voi_event_090014_0105,
146,14,7,snd_voi_event_090014_0106,
147,14,8,snd_voi_event_090014_0107,
148,14,9,snd_voi_event_090014_0108,
149,14,10,snd_voi_event_090014_0109,
150,14,11,snd_voi_event_090014_0110,
151,14,12,snd_voi_event_090014_0111,
152,15,1,snd_voi_event_090015_0100,
153,15,2,snd_voi_event_090015_0101,
154,15,3,snd_voi_event_090015_0102,
155,15,4,snd_voi_event_090015_0103,
156,15,5,snd_voi_event_090015_0104,
157,15,6,snd_voi_event_090015_0105,
158,15,7,snd_voi_event_090015_0106,
159,15,8,snd_voi_event_090015_0107,
160,15,9,snd_voi_event_090015_0108,
161,15,10,snd_voi_event_090015_0109,
162,15,11,snd_voi_event_090015_0110,
163,15,12,snd_voi_event_090015_0111,
164,15,13,snd_voi_event_090015_0112,
165,16,1,snd_voi_event_090016_0100,
166,16,2,snd_voi_event_090016_0101,
167,16,3,snd_voi_event_090016_0102,
168,16,4,snd_voi_event_090016_0103,
169,16,5,snd_voi_event_090016_0104,
170,16,6,snd_voi_event_090016_0105,
171,16,7,snd_voi_event_090016_0106,
172,16,8,snd_voi_event_090016_0107,
173,16,9,snd_voi_event_090016_0108,
