id,type,card_type,daily_pay_cost,disp_order,only_once_flag,rarity_odds_id,draw_guarantee_rarity,draw_guarantee_num,cost_type,cost_single,prize_odds_id,additional_piece_target_card_type_1,additional_piece_target_card_id_1,additional_piece_target_rarity_1,additional_piece_num_1,additional_piece_target_card_type_2,additional_piece_target_card_id_2,additional_piece_target_rarity_2,additional_piece_num_2,additional_piece_target_card_type_3,additional_piece_target_card_id_3,additional_piece_target_rarity_3,additional_piece_num_3,additional_piece_target_card_type_4,additional_piece_target_card_id_4,additional_piece_target_rarity_4,additional_piece_num_4,additional_piece_target_card_type_5,additional_piece_target_card_id_5,additional_piece_target_rarity_5,additional_piece_num_5,additional_piece_target_card_type_6,additional_piece_target_card_id_6,additional_piece_target_rarity_6,additional_piece_num_6,bonus_target_draw_num,bonus_item_category_1,bonus_item_id_1,bonus_item_num_1,bonus_item_category_2,bonus_item_id_2,bonus_item_num_2,start_date,end_date
30004,3,1,50,801,0,1001,2,1,90,150,0,1,101501,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750897800,1751493599
30005,3,2,50,800,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750897800,1751493599
30006,3,1,50,803,0,1001,2,1,90,150,0,1,102601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751493600,1752184799
30007,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751493600,1752184799
30008,3,1,50,803,0,1001,2,1,90,150,0,1,102301,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752184800,1753221599
30009,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752184800,1753221599
30010,3,1,50,803,0,1001,2,1,90,150,0,1,100302,0,90,1,101302,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1752703200,1754085599
30011,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752703200,1754085599
30012,3,1,50,803,0,1001,2,1,90,150,0,1,103801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753653600,1754603999
30013,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753653600,1754603999
30014,3,1,50,803,0,1001,2,1,90,150,0,1,105001,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754258400,1755122399
30015,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754258400,1755122399
30016,3,1,50,803,0,1001,2,1,90,150,0,1,104601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754949600,1755899999
30017,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754949600,1755899999
30018,3,1,50,803,0,1001,2,1,90,150,0,1,101601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755727200,1756677599
30019,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755727200,1756677599
30020,3,1,50,803,0,1001,2,1,90,150,0,1,102402,0,90,1,101802,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1756418400,1757541599
30021,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756418400,1757541599
30022,3,1,50,803,0,1001,2,1,90,150,0,1,102001,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757282400,1758232799
30023,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757282400,1758232799
30024,3,1,50,803,0,1001,2,1,90,150,0,1,101201,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758146400,1758837599
30025,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758146400,1758837599
30026,3,1,50,803,0,1001,2,1,90,150,0,1,101402,0,90,1,101102,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1758492000,1759615199
30027,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1758492000,1759615199
30028,3,1,50,803,0,1001,2,1,90,150,0,1,100501,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759442400,1760133599
30029,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759442400,1760133599
30030,3,1,50,803,0,1001,2,1,90,150,0,1,104001,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759874400,1760651999
30031,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759874400,1760651999
30032,3,1,50,803,0,1001,2,1,90,150,0,1,100102,0,90,1,100402,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1760479200,1761602399
30033,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760479200,1761602399
30034,3,1,50,803,0,1001,2,1,90,150,0,1,105801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761084000,1761861599
30035,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761084000,1761861599
30036,3,1,50,803,0,1001,2,1,90,150,0,1,103701,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761861600,1762725599
30037,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761861600,1762725599
30038,3,1,50,803,0,1001,2,1,90,150,0,1,105602,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762466400,1763416799
30039,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762466400,1763416799
30040,3,1,50,803,0,1001,2,1,90,150,0,1,102801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762898400,1763762399
30041,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762898400,1763762399
30042,3,1,50,803,0,1001,2,1,90,150,0,1,101901,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763589600,1764367199
30043,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763589600,1764367199
30044,3,1,50,803,0,1001,2,1,90,150,0,1,103002,0,90,1,104502,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1764021600,1765058399
30045,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764021600,1765058399
30046,3,1,50,803,0,1001,2,1,90,150,0,1,103901,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764626400,1765403999
30047,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764626400,1765403999
30048,3,1,50,803,0,1001,2,1,90,150,0,1,102501,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765231200,1765922399
30049,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765231200,1765922399
30050,3,1,50,803,0,1001,2,1,90,150,0,1,101702,0,90,1,104002,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1765749600,1766699999
30051,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765749600,1766699999
30052,3,1,50,803,0,1001,2,1,90,150,0,1,104801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766095200,1767045599
30053,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766095200,1767045599
30054,3,1,50,803,0,1001,2,1,90,150,0,1,105901,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766959200,1767823199
30055,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766959200,1767823199
30056,3,1,50,803,0,1001,2,1,90,150,0,1,100602,0,90,1,102302,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1767650400,1768946399
30057,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767650400,1768946399
30058,3,1,50,803,0,1001,2,1,90,150,0,1,102201,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768514400,1769205599
30059,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768514400,1769205599
30060,3,1,50,803,0,1001,2,1,90,150,0,1,102101,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769119200,1769896799
30061,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769119200,1769896799
30062,3,1,50,803,0,1001,2,1,90,150,0,1,105202,0,90,1,101502,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1769724000,1770674399
30063,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769724000,1770674399
30064,3,1,50,803,0,1001,2,1,90,150,0,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770328800,1771106399
30065,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770328800,1771106399
30066,3,1,50,803,0,1001,2,1,90,150,0,1,106901,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770847200,1771538399
30067,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770847200,1771538399
30068,3,1,50,803,0,1001,2,1,90,150,0,1,102602,0,90,1,103702,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1771452000,1772402399
30069,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771452000,1772402399
30070,3,1,50,803,0,1001,2,1,90,150,0,1,107101,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772056800,1772747999
30071,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772056800,1772747999
30072,3,1,50,803,0,1001,2,1,90,150,0,1,103301,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772748000,1773439199
30073,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772748000,1773439199
30074,3,1,50,803,0,1001,2,1,90,150,0,1,106801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773352800,1774303199
30075,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773352800,1774303199
30076,3,1,50,803,0,1001,2,1,90,150,0,1,106701,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774216800,1775167199
30077,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774216800,1775167199
30078,3,1,50,803,0,1001,2,1,90,150,0,1,107401,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774562400,1775512799
30079,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774562400,1775512799
30080,3,1,50,803,0,1001,2,1,90,150,0,1,102002,0,90,1,100502,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1775426400,1776549599
30081,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775426400,1776549599
30082,3,1,50,803,0,1001,2,1,90,150,0,1,105101,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776031200,1776722399
30083,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776031200,1776722399
30084,3,1,50,803,0,1001,2,1,90,150,0,1,107201,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776722400,1777499999
30085,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776722400,1777499999
30086,3,1,50,803,0,1001,2,1,90,150,0,1,106002,0,90,1,106102,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1777240800,1778277599
30087,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777240800,1778277599
30088,3,1,50,803,0,1001,2,1,90,150,0,1,103101,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777586400,1778450399
30089,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777586400,1778450399
30090,3,1,50,803,0,1001,2,1,90,150,0,1,106401,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778450400,1779314399
30091,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778450400,1779314399
30092,3,1,50,803,0,1001,2,1,90,150,0,1,103802,0,90,1,102202,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1779141600,1780091999
30093,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1779141600,1780091999
30094,3,1,50,803,0,1001,2,1,90,150,0,1,103401,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780005600,1780869599
30095,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780005600,1780869599
30096,3,1,50,803,0,1001,2,1,90,150,0,1,104401,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780610400,1781474399
30097,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780610400,1781474399
30098,3,1,50,803,0,1001,2,1,90,150,0,1,101002,0,90,1,105902,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1781215200,1782165599
30099,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781215200,1782165599
30100,3,1,50,803,0,1001,2,1,90,150,0,1,103601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781820000,1782597599
30101,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781820000,1782597599
30102,3,1,50,803,0,1001,2,1,90,150,0,1,102001,0,90,1,101601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1782424800,1783202399
30103,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782424800,1783202399
30104,3,1,50,803,0,1001,2,1,90,150,0,1,101303,0,90,1,100702,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1783029600,1784066399
30105,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783029600,1784066399
30106,3,1,50,803,0,1001,2,1,90,150,0,1,105301,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783461600,1784239199
30107,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783461600,1784239199
30130,3,1,50,400,0,1001,2,1,90,150,0,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752444000,1752703199
30131,3,2,50,390,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752444000,1752703199
50001,5,1,0,500,1,1001,3,1,92,150,0,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609513200,2524662000
50002,5,2,0,490,1,1002,3,1,92,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609513200,2524662000
50003,5,1,0,810,1,1001,3,1,92,150,0,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762207200,1765317599
50004,5,2,0,809,1,1002,3,1,92,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762207200,1765317599
50005,5,1,0,810,1,1001,3,1,92,150,0,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770328800,1774475999
50006,5,2,0,809,1,1002,3,1,92,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770328800,1774475999
50007,5,1,0,810,1,1001,3,1,92,150,0,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774216800,1776117599
50008,5,2,0,809,1,1002,3,1,92,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774216800,1776117599
