transfer_reward_id,transfer_detail_id,reward_rank,item_category,item_id,item_num,odds
80030102,8003,1,91,59,3000,1000000
80040101,8004,1,30,110,500,1000000
80040102,8004,1,91,59,3000,1000000
80050101,8005,1,30,110,300,1000000
80050102,8005,1,91,59,1500,1000000
80060101,8006,1,30,110,300,1000000
80060102,8006,1,91,59,1500,1000000
90010101,9001,1,102,0,5,1000000
90010102,9001,1,30,110,1000,1000000
90010103,9001,1,91,59,5000,1000000
90020101,9002,1,102,0,5,1000000
90020102,9002,1,30,110,1000,1000000
90020103,9002,1,91,59,5000,1000000
90030101,9003,1,30,110,500,1000000
90030102,9003,1,91,59,3000,1000000
90040101,9004,1,30,110,500,1000000
90040102,9004,1,91,59,3000,1000000
90050101,9005,1,30,110,300,1000000
90050102,9005,1,91,59,1500,1000000
90060101,9006,1,30,110,300,1000000
90060102,9006,1,91,59,1500,1000000
100010101,10001,1,102,0,5,1000000
100010102,10001,1,30,110,1000,1000000
100010103,10001,1,91,59,5000,1000000
100020101,10002,1,102,0,5,1000000
100020102,10002,1,30,110,1000,1000000
100020103,10002,1,91,59,5000,1000000
100030101,10003,1,30,110,500,1000000
100030102,10003,1,91,59,3000,1000000
100040101,10004,1,30,110,500,1000000
100040102,10004,1,91,59,3000,1000000
100050101,10005,1,30,110,300,1000000
100050102,10005,1,91,59,1500,1000000
100060101,10006,1,30,110,300,1000000
100060102,10006,1,91,59,1500,1000000
110010101,11001,1,102,0,5,1000000
110010102,11001,1,30,110,1000,1000000
110010103,11001,1,91,59,5000,1000000
110020101,11002,1,102,0,5,1000000
110020102,11002,1,30,110,1000,1000000
110020103,11002,1,91,59,5000,1000000
110030101,11003,1,30,110,500,1000000
110030102,11003,1,91,59,3000,1000000
110040101,11004,1,30,110,500,1000000
110040102,11004,1,91,59,3000,1000000
110050101,11005,1,30,110,300,1000000
110050102,11005,1,91,59,1500,1000000
110060101,11006,1,30,110,300,1000000
110060102,11006,1,91,59,1500,1000000
120010101,12001,1,102,0,5,1000000
120010102,12001,1,30,110,1000,1000000
120010103,12001,1,91,59,5000,1000000
120020101,12002,1,102,0,5,1000000
120020102,12002,1,30,110,1000,1000000
120020103,12002,1,91,59,5000,1000000
120030101,12003,1,30,110,500,1000000
120030102,12003,1,91,59,3000,1000000
120040101,12004,1,30,110,500,1000000
120040102,12004,1,91,59,3000,1000000
120050101,12005,1,30,110,300,1000000
120050102,12005,1,91,59,1500,1000000
120060101,12006,1,30,110,300,1000000
120060102,12006,1,91,59,1500,1000000
130010101,13001,1,11,163,1,1000000
130010102,13001,1,11,160,2,1000000
130010103,13001,1,20,174,1,1000000
130020101,13002,1,102,0,5,1000000
130020102,13002,1,30,110,1000,1000000
130020103,13002,1,91,59,5000,1000000
130020104,13002,1,20,174,1,1000000
130030101,13003,1,102,0,5,1000000
130030102,13003,1,30,110,1000,1000000
130030103,13003,1,91,59,5000,1000000
130030104,13003,1,20,174,1,1000000
130040101,13004,1,30,110,500,1000000
130040102,13004,1,91,59,3000,1000000
130050101,13005,1,30,110,500,1000000
130050102,13005,1,91,59,3000,1000000
130060101,13006,1,11,162,2,1000000
130060102,13006,1,11,161,2,1000000
130060103,13006,1,20,174,1,1000000
130070101,13007,1,102,0,5,1000000
130070102,13007,1,30,110,1000,1000000
130070103,13007,1,91,59,5000,1000000
130070104,13007,1,20,174,1,1000000
130080101,13008,1,102,0,5,1000000
130080102,13008,1,30,110,1000,1000000
130080103,13008,1,91,59,5000,1000000
130080104,13008,1,20,174,1,1000000
130090101,13009,1,30,110,500,1000000
130090102,13009,1,91,59,3000,1000000
130100101,13010,1,30,110,500,1000000
130100102,13010,1,91,59,3000,1000000
130110101,13011,1,11,163,1,1000000
130110102,13011,1,11,160,2,1000000
130110103,13011,1,20,174,1,1000000
130120101,13012,1,102,0,5,1000000
130120102,13012,1,30,110,1000,1000000
130120103,13012,1,91,59,5000,1000000
130120104,13012,1,20,174,1,1000000
130130101,13013,1,102,0,5,1000000
130130102,13013,1,30,110,1000,1000000
130130103,13013,1,91,59,5000,1000000
130130104,13013,1,20,174,1,1000000
130140101,13014,1,30,110,500,1000000
130140102,13014,1,91,59,3000,1000000
130150101,13015,1,30,110,500,1000000
130150102,13015,1,91,59,3000,1000000
