id,npc_group_id,mob_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id_1,skill_set_id_2
96,2030,-1,398,253,365,339,358,7,1,3,1,3,7,6,1,7,1,500013,500014
97,2030,-1,393,252,367,329,359,7,3,2,1,3,4,7,6,7,1,500023,500024
98,2030,-1,392,256,352,359,333,7,2,1,1,1,3,4,7,7,1,500033,500034
99,2030,-1,382,259,366,345,362,7,1,3,1,2,7,4,3,7,1,500013,500014
100,2030,-1,384,254,362,339,360,7,3,2,1,1,7,4,3,7,1,500013,500014
101,2031,-1,392,263,365,337,349,3,7,2,1,7,3,2,1,7,1,500103,500104
102,2031,-1,394,259,367,339,351,2,7,1,1,6,7,3,1,7,1,500113,500114
103,2031,-1,397,254,378,341,354,1,7,3,1,3,6,7,1,7,1,500123,500124
104,2031,-1,391,250,378,336,348,3,7,2,1,3,6,3,7,7,1,500133,500134
105,2031,-1,396,266,369,340,353,2,7,1,1,7,5,4,1,7,1,500103,500104
106,2031,-1,390,256,363,335,347,1,7,3,1,3,7,6,1,7,1,500113,500114
107,2031,-1,395,253,376,339,352,3,7,2,1,3,4,7,6,7,1,500123,500124
108,2031,-1,399,256,385,343,355,2,7,1,1,1,3,4,7,7,1,500133,500134
109,2031,-1,393,258,366,338,350,1,7,3,1,2,7,4,3,7,1,500113,500114
110,2031,-1,398,261,371,342,354,3,7,2,1,1,7,4,3,7,1,500113,500114
111,2032,-1,401,291,347,332,334,1,2,7,2,7,3,2,1,7,1,500203,500204
112,2032,-1,407,282,361,314,337,1,2,7,2,6,7,3,1,7,1,500213,500214
113,2032,-1,402,256,361,284,338,1,2,7,2,3,6,7,1,7,1,500223,500224
114,2032,-1,409,251,355,289,337,1,2,7,2,3,6,3,7,7,1,500233,500234
115,2032,-1,405,287,364,325,337,1,2,7,2,3,7,6,1,7,1,500213,500214
116,2032,-1,408,293,351,339,358,1,2,7,2,7,4,6,1,7,1,500203,500204
117,2032,-1,403,252,347,309,349,1,2,7,2,3,7,3,6,7,1,500213,500214
118,2032,-1,402,255,371,277,333,1,2,7,2,1,3,7,6,7,1,500223,500224
119,2032,-1,403,262,366,285,342,1,2,7,2,6,3,4,7,7,1,500233,500234
120,2032,-1,404,264,372,299,340,1,2,7,2,1,6,7,3,7,1,500223,500224
