group_id,pattern,asset_id,odds
310,1,112000021,100
310,1,111000022,100
310,2,122000012,100
310,2,121000013,100
310,2,122000014,100
310,2,121000015,100
310,2,122000016,100
310,2,121000017,100
310,2,122000018,100
310,2,121000019,100
310,2,122000010,100
310,2,121000021,100
310,2,122000022,100
320,1,112000012,100
320,1,112000013,100
320,1,112000014,100
320,1,112000015,100
320,1,112000016,100
320,1,112000017,100
320,1,112000018,100
320,1,112000019,100
320,1,112000020,100
320,1,112000021,100
320,1,112000022,100
320,2,122000012,100
320,2,122000013,100
320,2,122000014,100
320,2,122000015,100
320,2,122000016,100
320,2,122000017,100
320,2,122000018,100
320,2,122000019,100
320,2,122000020,100
320,2,122000021,100
320,2,122000022,100
400,1,111000012,100
400,1,111000021,100
400,1,111000020,100
400,1,111000018,100
400,2,121000013,100
400,2,121000022,100
400,2,121000017,100
400,2,121000018,100
400,3,113000005,100
400,3,113000006,100
400,3,113000007,100
400,3,113000008,100
400,3,114000004,100
400,3,114000005,100
400,3,114000006,100
400,4,123000005,100
400,4,123000006,100
400,4,123000007,100
400,4,123000008,100
400,4,124000004,100
400,4,124000005,100
400,4,124000006,100
410,1,111000012,100
410,1,112000021,100
410,1,111000020,100
410,1,112000018,100
410,2,122000013,100
410,2,121000021,100
410,2,122000017,100
410,2,121000018,100
410,3,113000005,100
410,3,113200006,100
410,3,113000007,100
410,3,113200008,100
410,3,114000004,100
410,3,114000005,100
410,3,114000006,100
410,4,123200005,100
410,4,123200006,100
410,4,123200007,100
410,4,123200008,100
410,4,124000004,100
410,4,124000005,100
410,4,124000006,100
420,1,112000012,100
420,1,112000021,100
420,1,112000020,100
420,1,112000018,100
420,2,122000013,100
420,2,122000021,100
420,2,122000017,100
420,2,122000018,100
420,3,113200005,100
420,3,113200006,100
420,3,113200007,100
420,3,113200008,100
420,3,114000004,100
420,3,114000005,100
420,3,114000006,100
420,4,123200005,100
420,4,123200006,100
420,4,123200007,100
420,4,123200008,100
420,4,124000004,100
420,4,124000005,100
420,4,124000006,100
500,1,111000023,95
500,1,111000013,100
500,1,111000014,100
500,1,111000015,190
500,1,111000016,100
500,1,111000017,100
500,1,111000018,100
500,1,111000024,95
500,1,111000020,190
500,1,111000021,100
500,1,111000022,100
500,2,121000023,95
500,2,121000013,100
500,2,121000014,190
500,2,121000015,100
500,2,121000016,100
500,2,121000017,190
500,2,121000018,100
500,2,121000024,95
500,2,121000020,100
500,2,121000021,100
500,2,121000022,100
510,1,111000023,95
510,1,112000013,100
510,1,111000014,100
510,1,112000015,190
510,1,111000016,100
510,1,112000017,100
510,1,111000018,100
510,1,112000024,95
510,1,111000020,190
510,1,112000021,100
510,1,111000022,100
510,2,122000023,95
510,2,121000013,100
510,2,122000014,190
510,2,121000015,100
510,2,122000016,100
510,2,121000017,190
510,2,122000018,100
510,2,121000024,95
510,2,122000010,100
510,2,121000021,100
510,2,122000022,100
520,1,112000023,95
520,1,112000013,100
520,1,112000014,100
520,1,112000015,190
520,1,112000016,100
520,1,112000017,100
520,1,112000018,100
520,1,112000024,95
520,1,112000020,190
520,1,112000021,100
520,1,112000022,100
520,2,122000023,95
520,2,122000013,100
520,2,122000014,190
520,2,122000015,100
520,2,122000016,100
520,2,122000017,190
520,2,122000018,100
520,2,122000024,95
520,2,122000020,100
520,2,122000021,100
520,2,122000022,100
600,1,111000023,100
600,1,111000021,185
600,1,111000020,200
600,1,111000018,185
600,2,121000023,100
600,2,121000022,185
600,2,121000017,200
600,2,121000018,185
600,3,113000009,165
600,3,113000006,325
600,3,113000007,400
600,3,113000008,400
600,3,114000004,325
600,3,114000005,400
600,3,114000008,165
600,4,123000009,165
600,4,123000006,325
600,4,123000007,400
600,4,123000008,400
600,4,124000007,165
600,4,124000005,400
600,4,124000006,325
610,1,111000023,100
610,1,112000021,185
610,1,111000020,200
610,1,112000018,185
610,2,122000023,100
610,2,121000021,185
610,2,122000017,200
610,2,121000018,185
610,3,113000009,165
610,3,113200006,325
610,3,113000007,400
610,3,113200008,400
610,3,114000004,325
610,3,114000005,400
610,3,114000008,165
610,4,123200009,165
610,4,123200006,325
610,4,123200007,400
610,4,123200008,400
610,4,124000007,165
610,4,124000005,400
610,4,124000006,325
620,1,112000023,100
620,1,112000021,185
620,1,112000020,200
620,1,112000018,185
620,2,122000023,100
620,2,122000021,185
620,2,122000017,200
620,2,122000018,185
620,3,113200009,165
620,3,113200006,325
620,3,113200007,400
620,3,113200008,400
620,3,114000004,325
620,3,114000005,400
620,3,114000008,165
620,4,123200009,165
620,4,123200006,325
620,4,123200007,400
620,4,123200008,400
620,4,124000007,165
620,4,124000005,400
620,4,124000006,325
700,1,111900001,100
700,1,111900002,100
700,1,111900003,100
700,1,111900004,100
700,1,111900005,100
700,1,111900006,100
700,1,111900007,100
700,1,111900008,100
700,1,111900009,100
700,1,111900010,100
700,1,111900011,100
700,2,121900001,100
700,2,121900002,100
700,2,121900003,100
700,2,121900004,100
700,2,121900005,100
700,2,121900006,100
700,2,121900007,100
700,2,121900008,100
700,2,121900009,100
700,2,121900010,100
700,2,121900011,100
710,1,111900001,100
710,1,112900002,100
710,1,111900003,100
710,1,112900004,100
710,1,111900005,100
710,1,112900006,100
710,1,111900007,100
710,1,112900008,100
710,1,111900009,100
710,1,112900010,100
710,1,111900011,100
710,2,122900001,100
710,2,121900002,100
710,2,122900003,100
710,2,121900004,100
710,2,122900005,100
710,2,121900006,100
710,2,122900007,100
710,2,121900008,100
710,2,122900009,100
710,2,121900010,100
710,2,122900011,100
720,1,112900001,100
720,1,112900002,100
720,1,112900003,100
720,1,112900004,100
720,1,112900005,100
720,1,112900006,100
720,1,112900007,100
720,1,112900008,100
720,1,112900009,100
720,1,112900010,100
720,1,112900011,100
720,2,122900001,100
720,2,122900002,100
720,2,122900003,100
720,2,122900004,100
720,2,122900005,100
720,2,122900006,100
720,2,122900007,100
720,2,122900008,100
720,2,122900009,100
720,2,122900010,100
720,2,122900011,100
800,1,111900001,100
800,1,111900010,100
800,1,111900009,100
800,1,111900007,100
800,2,121900002,100
800,2,121900011,100
800,2,121900006,100
800,2,121900007,100
800,3,113900001,100
800,3,113900002,100
800,3,113900003,100
800,3,113900004,100
800,3,114900001,100
800,3,114900002,100
800,3,114900003,100
800,4,123900001,100
800,4,123900002,100
800,4,123900003,100
800,4,123900004,100
800,4,124900001,100
800,4,124900002,100
800,4,124900003,100
810,1,111900001,100
810,1,112900010,100
810,1,111900009,100
810,1,112900007,100
810,2,122900002,100
810,2,121900011,100
810,2,122900006,100
810,2,121900007,100
810,3,113900001,100
810,3,113290002,100
810,3,113900003,100
810,3,113290004,100
810,3,114900001,100
810,3,114900002,100
810,3,114900003,100
810,4,123290001,100
810,4,123290002,100
810,4,123290003,100
810,4,123290004,100
810,4,124900001,100
810,4,124900002,100
810,4,124900003,100
820,1,112900001,100
820,1,112900010,100
820,1,112900009,100
820,1,112900007,100
820,2,122900002,100
820,2,122900011,100
820,2,122900006,100
820,2,122900007,100
820,3,113290001,100
820,3,113290002,100
820,3,113290003,100
820,3,113290004,100
820,3,114900001,100
820,3,114900002,100
820,3,114900003,100
820,4,123290001,100
820,4,123290002,100
820,4,123290003,100
820,4,123290004,100
820,4,124900001,100
820,4,124900002,100
820,4,124900003,100
