music_id,sort,music_type,title_color_top,title_color_bottom,condition_type,song_chara_type,live_member_number,default_main_dress,default_main_dress_color,default_mob_dress,default_mob_dress_color,backdancer_order,backdancer_dress,backdancer_dress_color,has_live,start_date,end_date
1073,941,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1074,939,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1075,942,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1076,940,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1077,943,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1078,944,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1079,945,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1667962800,4102412399
1080,951,99,#cccccc,#cccccc,2,2,12,101,0,7,0,3,7,1,0,1680058800,4102412399
1081,403,5,#3667b5,#ed73aa,2,2,18,101,0,7,2,4,7,2,1,1683514800,4102412399
1082,15,1,#d6191f,#ffd77c,2,2,20,101,0,7,0,4,7,0,1,1692846000,4102412399
1083,304,5,#ff2700,#ffece6,2,2,18,31,0,31,3,5,32,3,1,1692846000,4102412399
1084,203,3,#D9C74C,#ED160D,2,2,18,101,0,7,3,4,7,3,1,1703732400,4102412399
1085,10024,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1724986800,4102412399
1086,952,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1680318000,4102412399
1087,953,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1682650800,4102412399
1088,16,1,#E04B14,#FF1201,2,2,18,101,0,7,0,4,7,0,1,1708743600,4102412399
1089,305,5,#aa84d9,#042bfd,2,2,18,101,0,7,1,7,7,1,1,1708743600,4102412399
1091,990,99,#cccccc,#cccccc,2,2,7,101,0,7,0,3,7,1,0,1711681200,4102412399
1092,17,1,#57D92C,#FF7D25,2,2,6,101,0,7,3,7,7,3,1,1719370800,4102412399
1093,306,5,#ff9204,#913eec,2,2,14,50,0,50,0,5,50,1,1,1724749200,4102412399
1094,18,1,#12FFD1,#0008AB,2,2,7,101,0,7,0,8,7,0,1,1730170800,4102412399
1095,992,99,#f89892,#ffda7e,2,2,19,101,0,7,1,4,7,1,0,1726801200,4102412399
1096,954,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1097,955,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1098,956,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1099,957,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1100,958,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1101,959,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1102,960,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1103,961,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1104,962,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1105,963,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1106,964,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1107,965,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1108,966,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1109,967,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1110,968,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1111,969,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1112,970,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1113,971,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1114,972,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1689908400,4102412399
1115,973,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1116,974,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1117,975,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1118,976,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1119,977,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1120,978,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1121,979,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1122,980,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1123,981,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1124,982,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1695178800,4102412399
1125,988,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1703732400,4102412399
1126,404,5,#1BD672,#3981DD,2,2,12,101,0,7,2,5,7,2,1,1718247600,4102412399
1127,10007,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1709089200,4102412399
1128,10000,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1707274800,4102412399
1129,10001,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1707274800,4102412399
1130,10002,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1707274800,4102412399
1131,10003,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1707274800,4102412399
1132,10004,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1707274800,4102412399
1133,10006,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1707274800,4102412399
1134,10008,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1135,10009,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1136,10010,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1137,10011,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1138,10012,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1139,10013,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1140,10014,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1141,10015,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1142,10016,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1143,10017,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1144,10018,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1145,10019,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1146,10020,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1147,10021,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711681200,4102412399
1148,10022,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1711940400,4102412399
1149,10023,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1714446000,4102412399
1150,307,5,#70ff00,#ffc100,2,2,18,101,2,7,2,4,7,2,1,1740366000,4102412399
1151,19,1,#9F289E,#CDAB3A,2,2,15,101,0,7,0,4,7,0,1,1740366000,4102412399
1152,995,99,#cccccc,#cccccc,2,2,10,101,0,7,0,4,7,0,0,1727665200,4102412399
1153,996,99,#cccccc,#cccccc,2,2,3,101,0,7,0,4,7,0,0,1743390000,4102412399
1154,20,1,#ffb700,#8c2c0c,2,2,7,25,0,25,0,8,25,1,1,1750993200,4102412399
1155,106,2,#ffe5e9,#fd637f,2,2,1,101,0,7,1,2,7,1,1,1753153200,4102412399
1156,308,5,#FF698D,#D19AFF,2,2,10,52,0,52,0,5,51,0,1,1756285200,4102412399
1157,21,1,#cccccc,#cccccc,2,2,8,32,0,32,0,9,32,0,1,1761706800,4102412399
1158,10025,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1743476400,4102412399
1159,10026,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1745982000,4102412399
1160,10027,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1161,10028,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1162,10029,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1163,10030,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1164,10031,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1165,10032,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1166,10033,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1167,10034,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1168,10035,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1169,10036,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1170,10037,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1171,10038,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1172,10039,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1173,10040,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1174,997,99,#cccccc,#cccccc,2,2,5,101,0,7,0,6,7,0,0,1756436400,4102412399
1175,204,5,#FF8000,#004CE7,2,2,2,101,0,7,2,3,7,2,1,1765702800,4102412399
1176,309,5,#E0FF00,#2E2EE2,2,2,14,101,0,7,0,4,7,0,1,1771902000,4102412399
1177,22,1,#D9D9D9,#5717B6,2,2,4,101,0,7,3,5,7,3,1,1771902000,4102412399
1178,10041,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1179,10042,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1748574000,4102412399
1180,20003,99,#cccccc,#cccccc,2,2,2,101,0,7,0,3,7,0,0,1774839600,4102412399
1181,23,1,#DA060C,#FFEB36,2,2,6,101,0,7,3,7,7,3,1,1782702000,4102412399
1182,10043,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1183,10044,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1184,10045,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1185,10046,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1186,10047,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1187,10048,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1188,10049,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1189,10050,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1190,10051,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1191,10052,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1764295200,4102412399
1192,10053,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1761706800,4102412399
1194,20005,5,#cccccc,#cccccc,2,2,6,101,0,7,0,7,7,0,0,1777518000,4102412399
1200,10054,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1201,10055,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1202,10056,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1203,10057,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1204,10058,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1205,10059,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1206,10060,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1207,10061,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1208,10062,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1209,10063,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
1210,10064,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1782702000,4102412399
3155,998,99,#cccccc,#cccccc,2,2,1,101,0,7,0,2,7,0,0,1753153200,4102412399
3180,20006,99,#cccccc,#cccccc,2,2,2,101,0,7,0,3,7,0,0,1774839600,4102412399
8501,920,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
8502,921,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
8503,922,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
8504,923,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
8505,924,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1658286000,4102412399
8506,983,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1698634800,4102412399
8507,984,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1698634800,4102412399
8508,985,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1698634800,4102412399
8509,986,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1698634800,4102412399
8510,987,5,#18d8ff,#c7f8ff,2,2,18,101,0,7,0,4,5,0,0,1698634800,4102412399
9051,917,99,#cccccc,#cccccc,2,2,7,101,0,7,1,8,7,1,0,1658286000,4102412399
