id,score_group_id,score_type,data,disp_order,bonus_score,reward_coin
193,10,102,3,16,60,0
194,10,102,4,17,70,0
195,10,102,5,18,80,0
196,10,102,6,19,90,0
197,10,102,7,20,100,0
198,10,102,8,21,100,0
199,11,1,1000,1,1500,60
200,11,2,1000,2,1500,60
201,11,3,1000,3,1500,60
202,11,4,1000,4,1500,60
203,11,5,1000,5,1500,60
204,11,1,1201,1,1000,40
205,11,2,1201,2,1000,40
206,11,3,1201,3,1000,40
207,11,4,1201,4,1000,40
208,11,5,1201,5,1000,40
209,11,6,200332,1,400,40
210,11,6,200712,2,400,40
211,11,6,200722,3,400,40
212,11,6,210072,4,400,40
213,11,6,200331,5,1200,100
214,11,6,200711,6,1200,100
215,11,6,200721,7,1200,100
216,11,6,210071,8,1200,100
217,11,3000,4,11,2000,200
218,11,3001,10,12,2000,200
219,11,3001,15,13,2000,200
220,11,103,1,14,40,0
221,11,103,2,15,50,0
222,11,103,3,16,60,0
223,11,103,4,17,70,0
224,11,103,5,18,80,0
225,11,103,6,19,90,0
226,11,103,7,20,100,0
227,11,103,8,21,100,0
228,12,1,1000,1,1500,60
229,12,2,1000,2,1500,60
230,12,3,1000,3,1500,60
231,12,4,1000,4,1500,60
232,12,5,1000,5,1500,60
233,12,1,1201,1,1000,40
234,12,2,1201,2,1000,40
235,12,3,1201,3,1000,40
236,12,4,1201,4,1000,40
237,12,5,1201,5,1000,40
238,12,6,200352,1,400,40
239,12,6,200742,2,400,40
240,12,6,201212,3,400,40
241,12,6,210072,4,400,40
242,12,6,200351,5,1200,100
243,12,6,200741,6,1200,100
244,12,6,201211,7,1200,100
245,12,6,210071,8,1200,100
246,12,3000,4,11,2000,200
247,12,3001,10,12,2000,200
248,12,3001,15,13,2000,200
249,12,104,1,14,40,0
250,12,104,2,15,50,0
251,12,104,3,16,60,0
252,12,104,4,17,70,0
253,12,104,5,18,80,0
254,12,104,6,19,90,0
255,12,104,7,20,100,0
256,12,104,8,21,100,0
257,13,1,1000,1,1500,60
258,13,2,1000,2,1500,60
259,13,3,1000,3,1500,60
260,13,4,1000,4,1500,60
261,13,5,1000,5,1500,60
262,13,1,1201,1,1000,40
263,13,2,1201,2,1000,40
264,13,3,1201,3,1000,40
265,13,4,1201,4,1000,40
266,13,5,1201,5,1000,40
267,13,6,200452,1,400,40
268,13,6,201672,2,400,40
269,13,6,202282,3,400,40
270,13,6,210072,4,400,40
271,13,6,200451,5,1200,100
272,13,6,201671,6,1200,100
273,13,6,202281,7,1200,100
274,13,6,210071,8,1200,100
275,13,3000,4,11,2000,200
276,13,3001,10,12,2000,200
277,13,3001,15,13,2000,200
278,13,106,1,14,40,0
279,13,106,2,15,50,0
280,13,106,3,16,60,0
281,13,106,4,17,70,0
282,13,106,5,18,80,0
283,13,106,6,19,90,0
284,13,106,7,20,100,0
285,13,106,8,21,100,0
286,14,1,1000,1,1500,60
287,14,2,1000,2,1500,60
288,14,3,1000,3,1500,60
289,14,4,1000,4,1500,60
290,14,5,1000,5,1500,60
291,14,1,1201,1,1000,40
292,14,2,1201,2,1000,40
293,14,3,1201,3,1000,40
294,14,4,1201,4,1000,40
295,14,5,1201,5,1000,40
296,14,6,200332,1,400,40
297,14,6,200502,2,400,40
298,14,6,200712,3,400,40
299,14,6,200722,4,400,40
300,14,6,201702,5,400,40
301,14,6,210072,6,400,40
302,14,6,200331,7,1200,100
303,14,6,200501,8,1200,100
304,14,6,200711,11,1200,100
305,14,6,200721,12,1200,100
306,14,6,201701,13,1200,100
307,14,6,210071,14,1200,100
308,14,7,100,15,100,20
309,14,7,200,16,70,0
310,14,7,300,17,50,0
311,14,7,400,18,20,0
312,14,3000,4,11,2000,200
313,14,3001,10,12,2000,200
314,14,3001,15,13,2000,200
315,15,1,1000,1,1500,60
316,15,2,1000,2,1500,60
317,15,3,1000,3,1500,60
318,15,4,1000,4,1500,60
319,15,5,1000,5,1500,60
320,15,1,1201,1,1000,40
321,15,2,1201,2,1000,40
322,15,3,1201,3,1000,40
323,15,4,1201,4,1000,40
324,15,5,1201,5,1000,40
325,15,8,1,6,400,40
326,15,8,2,7,1200,100
327,15,7,100,8,100,20
328,15,7,200,9,70,0
329,15,7,300,10,50,0
330,15,7,400,11,20,0
331,15,3000,4,12,2000,200
332,15,3001,10,13,2000,200
333,15,3001,15,14,2000,200
334,16,1,1000,1,1500,150
335,16,1,1201,2,1000,100
336,16,2,1000,3,1500,150
337,16,2,1201,4,1000,100
338,16,3,1000,5,1500,150
339,16,3,1201,6,1000,100
340,16,4,1000,7,1500,150
341,16,4,1201,8,1000,100
342,16,5,1000,9,1500,150
343,16,5,1201,10,1000,100
344,16,8,6,11,1500,300
345,16,6,200342,12,400,100
346,16,6,202042,13,400,100
347,16,6,202402,14,400,100
348,16,6,202552,15,400,100
349,16,6,210262,16,400,100
350,16,6,210272,17,400,100
351,16,6,210282,18,400,100
352,16,6,200512,19,400,100
353,16,6,200152,20,400,100
354,16,6,200151,21,400,100
355,16,6,200341,22,1200,200
356,16,6,202041,23,1200,200
357,16,6,202401,24,1200,200
358,16,6,202551,25,1200,200
359,16,6,210261,26,1200,200
360,16,6,210271,27,1200,200
361,16,6,210281,28,1200,200
362,16,6,200511,29,1200,200
363,16,6,200154,30,1200,200
364,16,5000,1,31,500,150
365,16,5001,1,32,500,150
366,16,5002,1,33,1000,300
367,16,5003,1,34,1000,300
368,16,5004,7,35,1000,300
369,16,5004,8,36,1000,300
370,16,5004,9,37,1000,300
371,16,101,1,38,40,0
372,16,101,2,39,50,0
373,16,101,3,40,60,0
374,16,101,4,41,70,0
375,16,101,5,42,80,0
376,16,101,6,43,90,0
377,16,101,7,44,100,0
378,16,101,8,45,100,0
379,17,1,1000,1,1500,150
380,17,1,1201,2,1000,100
381,17,2,1000,3,1500,150
382,17,2,1201,4,1000,100
383,17,3,1000,5,1500,150
384,17,3,1201,6,1000,100
385,17,4,1000,7,1500,150
386,17,4,1201,8,1000,100
387,17,5,1000,9,1500,150
388,17,5,1201,10,1000,100
389,17,8,6,11,1500,300
390,17,6,200682,12,400,100
391,17,6,202402,13,400,100
392,17,6,202532,14,400,100
393,17,6,202552,15,400,100
394,17,6,210262,16,400,100
395,17,6,210272,17,400,100
396,17,6,210282,18,400,100
397,17,6,200512,19,400,100
398,17,6,200152,20,400,100
399,17,6,200151,21,400,100
400,17,6,200681,22,1200,200
401,17,6,202401,23,1200,200
402,17,6,202531,24,1200,200
403,17,6,202551,25,1200,200
404,17,6,210261,26,1200,200
405,17,6,210271,27,1200,200
406,17,6,210281,28,1200,200
407,17,6,200511,29,1200,200
408,17,6,200154,30,1200,200
409,17,5000,1,31,500,150
410,17,5001,1,32,500,150
411,17,5002,1,33,1000,300
412,17,5003,1,34,1000,300
413,17,5004,7,35,1000,300
414,17,5004,8,36,1000,300
415,17,5004,9,37,1000,300
416,17,102,1,38,40,0
417,17,102,2,39,50,0
418,17,102,3,40,60,0
419,17,102,4,41,70,0
420,17,102,5,42,80,0
421,17,102,6,43,90,0
422,17,102,7,44,100,0
423,17,102,8,45,100,0
424,18,1,1000,1,1500,150
425,18,1,1201,2,1000,100
426,18,2,1000,3,1500,150
427,18,2,1201,4,1000,100
428,18,3,1000,5,1500,150
429,18,3,1201,6,1000,100
430,18,4,1000,7,1500,150
431,18,4,1201,8,1000,100
432,18,5,1000,9,1500,150
433,18,5,1201,10,1000,100
434,18,8,6,11,1500,300
435,18,6,200332,12,400,100
436,18,6,200722,13,400,100
437,18,6,202532,14,400,100
438,18,6,202552,15,400,100
439,18,6,210262,16,400,100
440,18,6,210272,17,400,100
441,18,6,210282,18,400,100
442,18,6,200512,19,400,100
443,18,6,200152,20,400,100
444,18,6,200151,21,400,100
445,18,6,200331,22,1200,200
446,18,6,200721,23,1200,200
447,18,6,202531,24,1200,200
448,18,6,202551,25,1200,200
449,18,6,210261,26,1200,200
450,18,6,210271,27,1200,200
451,18,6,210281,28,1200,200
452,18,6,200511,29,1200,200
453,18,6,200154,30,1200,200
454,18,5000,1,31,500,150
455,18,5001,1,32,500,150
456,18,5002,1,33,1000,300
457,18,5003,1,34,1000,300
458,18,5004,7,35,1000,300
459,18,5004,8,36,1000,300
460,18,5004,9,37,1000,300
461,18,103,1,38,40,0
462,18,103,2,39,50,0
463,18,103,3,40,60,0
464,18,103,4,41,70,0
465,18,103,5,42,80,0
466,18,103,6,43,90,0
467,18,103,7,44,100,0
468,18,103,8,45,100,0
469,19,1,1000,1,1500,150
470,19,1,1201,2,1000,100
471,19,2,1000,3,1500,150
472,19,2,1201,4,1000,100
473,19,3,1000,5,1500,150
474,19,3,1201,6,1000,100
475,19,4,1000,7,1500,150
476,19,4,1201,8,1000,100
477,19,5,1000,9,1500,150
478,19,5,1201,10,1000,100
479,19,8,6,11,1500,300
480,19,6,200352,12,400,100
481,19,6,200742,13,400,100
482,19,6,202582,14,400,100
483,19,6,202552,15,400,100
484,19,6,210262,16,400,100
485,19,6,210272,17,400,100
486,19,6,210282,18,400,100
487,19,6,200512,19,400,100
488,19,6,200152,20,400,100
489,19,6,200151,21,400,100
490,19,6,200351,22,1200,200
491,19,6,200741,23,1200,200
492,19,6,202581,24,1200,200
493,19,6,202551,25,1200,200
494,19,6,210261,26,1200,200
495,19,6,210271,27,1200,200
496,19,6,210281,28,1200,200
497,19,6,200511,29,1200,200
498,19,6,200154,30,1200,200
499,19,5000,1,31,500,150
500,19,5001,1,32,500,150
501,19,5002,1,33,1000,300
502,19,5003,1,34,1000,300
503,19,5004,7,35,1000,300
504,19,5004,8,36,1000,300
505,19,5004,9,37,1000,300
506,19,104,1,38,40,0
507,19,104,2,39,50,0
508,19,104,3,40,60,0
509,19,104,4,41,70,0
510,19,104,5,42,80,0
511,19,104,6,43,90,0
512,19,104,7,44,100,0
513,19,104,8,45,100,0
514,20,1,1000,1,1500,150
515,20,1,1201,2,1000,100
516,20,2,1000,3,1500,150
517,20,2,1201,4,1000,100
518,20,3,1000,5,1500,150
519,20,3,1201,6,1000,100
520,20,4,1000,7,1500,150
521,20,4,1201,8,1000,100
522,20,5,1000,9,1500,150
523,20,5,1201,10,1000,100
524,20,8,6,11,1500,300
525,20,6,200452,12,400,100
526,20,6,201682,13,400,100
527,20,6,201672,14,400,100
528,20,6,202552,14,400,100
529,20,6,210262,15,400,100
530,20,6,210272,16,400,100
531,20,6,210282,17,400,100
532,20,6,200512,18,400,100
533,20,6,200152,19,400,100
534,20,6,200151,20,400,100
535,20,6,200451,21,1200,200
536,20,6,201681,22,1200,200
537,20,6,201671,23,1200,200
538,20,6,202551,23,1200,200
539,20,6,210261,24,1200,200
540,20,6,210271,25,1200,200
541,20,6,210281,26,1200,200
542,20,6,200511,27,1200,200
543,20,6,200154,28,1200,200
544,20,5000,1,29,500,150
545,20,5001,1,30,500,150
546,20,5002,1,31,1000,300
547,20,5003,1,32,1000,300
548,20,5004,7,33,1000,300
549,20,5004,8,34,1000,300
550,20,5004,9,35,1000,300
551,20,106,1,36,40,0
552,20,106,2,37,50,0
553,20,106,3,38,60,0
554,20,106,4,39,70,0
555,20,106,5,40,80,0
556,20,106,6,41,90,0
557,20,106,7,42,100,0
558,20,106,8,43,100,0
559,21,1,1000,1,1500,150
560,21,1,1201,2,1000,100
561,21,2,1000,3,1500,150
562,21,2,1201,4,1000,100
563,21,3,1000,5,1500,150
564,21,3,1201,6,1000,100
565,21,4,1000,7,1500,150
566,21,4,1201,8,1000,100
567,21,5,1000,9,1500,150
568,21,5,1201,10,1000,100
569,21,8,6,11,1500,300
570,21,6,200332,12,400,100
571,21,6,200362,13,400,100
572,21,6,200722,14,400,100
573,21,6,202532,15,400,100
574,21,6,202552,16,400,100
575,21,6,210262,17,400,100
576,21,6,210272,18,400,100
577,21,6,210282,19,400,100
578,21,6,200512,20,400,100
579,21,6,200152,21,400,100
580,21,6,200151,22,400,100
581,21,6,200331,23,1200,250
582,21,6,200361,24,1200,250
583,21,6,200721,25,1200,250
584,21,6,202531,26,1200,250
585,21,6,202551,27,1200,250
586,21,6,210261,28,1200,250
587,21,6,210271,29,1200,250
588,21,6,210281,30,1200,250
589,21,6,200511,31,1200,250
590,21,6,200154,32,1200,250
591,21,7,100,33,100,100
592,21,7,200,34,70,0
593,21,7,300,35,50,0
594,21,7,400,36,20,0
595,21,5000,1,37,500,150
596,21,5001,1,38,500,150
597,21,5002,1,39,1000,300
598,21,5003,1,40,1000,300
599,21,5004,8,41,1000,300
600,21,5004,9,42,1000,300
601,21,5004,10,43,1000,300
602,22,1,1000,1,1500,150
603,22,1,1201,2,1000,100
604,22,2,1000,3,1500,150
605,22,2,1201,4,1000,100
606,22,3,1000,5,1500,150
607,22,3,1201,6,1000,100
608,22,4,1000,7,1500,150
609,22,4,1201,8,1000,100
610,22,5,1000,9,1500,150
611,22,5,1201,10,1000,100
612,22,8,1,11,400,100
613,22,8,2,12,1200,250
614,22,8,6,13,1500,300
615,22,7,100,14,100,100
616,22,7,200,15,70,0
617,22,7,300,16,50,0
618,22,7,400,17,20,0
619,22,5000,1,18,500,150
620,22,5001,1,19,500,150
621,22,5002,1,20,1000,300
622,22,5003,1,21,1000,300
623,22,5004,8,22,1000,300
624,22,5004,9,23,1000,300
625,22,5004,10,24,1000,300
626,23,1,1000,1,1500,150
627,23,1,1201,2,1000,100
628,23,2,1000,3,1500,150
629,23,2,1201,4,1000,100
630,23,3,1000,5,1500,150
631,23,3,1201,6,1000,100
632,23,4,1000,7,1500,150
633,23,4,1201,8,1000,100
634,23,5,1000,9,1500,150
635,23,5,1201,10,1000,100
636,23,8,6,11,1500,300
637,23,6,200342,12,400,100
638,23,6,202042,13,400,100
639,23,6,202402,14,400,100
640,23,6,200462,15,400,100
641,23,6,202722,16,400,100
642,23,6,202712,17,400,100
643,23,6,210292,18,400,100
644,23,6,200341,19,1200,200
645,23,6,202041,20,1200,200
646,23,6,202401,21,1200,200
647,23,6,200461,22,1200,200
648,23,6,202721,23,1200,200
649,23,6,202711,24,1200,200
650,23,6,210291,25,1200,200
651,23,6000,40,26,1500,450
652,23,6002,9,27,1500,450
653,23,6003,15,28,1500,450
654,23,6004,1,29,1500,450
655,23,101,1,30,40,0
656,23,101,2,31,50,0
657,23,101,3,32,60,0
658,23,101,4,33,70,0
659,23,101,5,34,80,0
660,23,101,6,35,90,0
661,23,101,7,36,100,0
662,23,101,8,37,100,0
663,24,1,1000,1,1500,150
664,24,1,1201,2,1000,100
665,24,2,1000,3,1500,150
666,24,2,1201,4,1000,100
667,24,3,1000,5,1500,150
668,24,3,1201,6,1000,100
669,24,4,1000,7,1500,150
670,24,4,1201,8,1000,100
671,24,5,1000,9,1500,150
672,24,5,1201,10,1000,100
673,24,8,6,11,1500,300
674,24,6,200682,12,400,100
675,24,6,202402,13,400,100
676,24,6,202532,14,400,100
677,24,6,200462,15,400,100
678,24,6,202722,16,400,100
679,24,6,202712,17,400,100
680,24,6,210292,18,400,100
681,24,6,200681,19,1200,200
682,24,6,202401,20,1200,200
683,24,6,202531,21,1200,200
684,24,6,200461,22,1200,200
685,24,6,202721,23,1200,200
686,24,6,202711,24,1200,200
687,24,6,210291,25,1200,200
688,24,6000,40,26,1500,450
689,24,6002,9,27,1500,450
690,24,6003,15,28,1500,450
691,24,6004,1,29,1500,450
692,24,102,1,30,40,0
693,24,102,2,31,50,0
694,24,102,3,32,60,0
695,24,102,4,33,70,0
696,24,102,5,34,80,0
697,24,102,6,35,90,0
698,24,102,7,36,100,0
699,24,102,8,37,100,0
700,25,1,1000,1,1500,150
701,25,1,1201,2,1000,100
702,25,2,1000,3,1500,150
703,25,2,1201,4,1000,100
704,25,3,1000,5,1500,150
705,25,3,1201,6,1000,100
706,25,4,1000,7,1500,150
707,25,4,1201,8,1000,100
708,25,5,1000,9,1500,150
709,25,5,1201,10,1000,100
710,25,8,6,11,1500,300
711,25,6,200332,12,400,100
712,25,6,202532,13,400,100
713,25,6,202662,14,400,100
714,25,6,201702,15,400,100
715,25,6,202722,16,400,100
716,25,6,202712,17,400,100
717,25,6,210292,18,400,100
718,25,6,200331,19,1200,200
719,25,6,202531,20,1200,200
720,25,6,202661,21,1200,200
721,25,6,201701,22,1200,200
722,25,6,202721,23,1200,200
723,25,6,202711,24,1200,200
724,25,6,210291,25,1200,200
725,25,6000,40,26,1500,450
726,25,6002,9,27,1500,450
727,25,6003,15,28,1500,450
728,25,6004,1,29,1500,450
729,25,103,1,30,40,0
730,25,103,2,31,50,0
731,25,103,3,32,60,0
732,25,103,4,33,70,0
733,25,103,5,34,80,0
734,25,103,6,35,90,0
735,25,103,7,36,100,0
736,25,103,8,37,100,0
737,26,1,1000,1,1500,150
738,26,1,1201,2,1000,100
739,26,2,1000,3,1500,150
740,26,2,1201,4,1000,100
741,26,3,1000,5,1500,150
742,26,3,1201,6,1000,100
743,26,4,1000,7,1500,150
744,26,4,1201,8,1000,100
745,26,5,1000,9,1500,150
746,26,5,1201,10,1000,100
747,26,8,6,11,1500,300
748,26,6,200352,12,400,100
749,26,6,200742,13,400,100
750,26,6,202662,14,400,100
751,26,6,200752,15,400,100
752,26,6,202722,16,400,100
753,26,6,202712,17,400,100
754,26,6,210292,18,400,100
755,26,6,200351,19,1200,200
756,26,6,200741,20,1200,200
757,26,6,202661,21,1200,200
758,26,6,200751,22,1200,200
759,26,6,202721,23,1200,200
760,26,6,202711,24,1200,200
761,26,6,210291,25,1200,200
762,26,6000,40,26,1500,450
763,26,6002,9,27,1500,450
764,26,6003,15,28,1500,450
765,26,6004,1,29,1500,450
766,26,104,1,30,40,0
767,26,104,2,31,50,0
768,26,104,3,32,60,0
769,26,104,4,33,70,0
770,26,104,5,34,80,0
771,26,104,6,35,90,0
772,26,104,7,36,100,0
773,26,104,8,37,100,0
774,27,1,1000,1,1500,150
775,27,1,1201,2,1000,100
776,27,2,1000,3,1500,150
777,27,2,1201,4,1000,100
778,27,3,1000,5,1500,150
779,27,3,1201,6,1000,100
780,27,4,1000,7,1500,150
781,27,4,1201,8,1000,100
782,27,5,1000,9,1500,150
783,27,5,1201,10,1000,100
784,27,8,6,11,1500,300
785,27,6,200452,12,400,100
786,27,6,201682,13,400,100
787,27,6,201672,14,400,100
788,27,6,200492,15,400,100
789,27,6,202722,16,400,100
790,27,6,202712,17,400,100
791,27,6,210292,18,400,100
792,27,6,200451,19,1200,200
793,27,6,201681,20,1200,200
794,27,6,201671,21,1200,200
795,27,6,200491,22,1200,200
796,27,6,202721,23,1200,200
797,27,6,202711,24,1200,200
798,27,6,210291,25,1200,200
799,27,6000,40,26,1500,450
800,27,6002,9,27,1500,450
801,27,6003,15,28,1500,450
802,27,6004,5,29,1500,450
803,27,106,1,30,40,0
804,27,106,2,31,50,0
805,27,106,3,32,60,0
806,27,106,4,33,70,0
807,27,106,5,34,80,0
808,27,106,6,35,90,0
809,27,106,7,36,100,0
810,27,106,8,37,100,0
811,28,1,1000,1,1500,150
812,28,1,1201,2,1000,100
813,28,2,1000,3,1500,150
814,28,2,1201,4,1000,100
815,28,3,1000,5,1500,150
816,28,3,1201,6,1000,100
817,28,4,1000,7,1500,150
818,28,4,1201,8,1000,100
819,28,5,1000,9,1500,150
820,28,5,1201,10,1000,100
821,28,8,6,11,1500,300
822,28,6,200332,12,400,100
823,28,6,200362,13,400,100
824,28,6,202532,14,400,100
825,28,6,200012,15,400,100
826,28,6,200011,16,400,100
827,28,6,202032,17,400,100
828,28,6,202722,18,400,100
829,28,6,202712,19,400,100
830,28,6,210292,20,400,100
831,28,6,200331,21,1200,250
832,28,6,200361,22,1200,250
833,28,6,202531,23,1200,250
834,28,6,200014,24,1200,250
835,28,6,202031,25,1200,250
836,28,6,202721,26,1200,250
837,28,6,202711,27,1200,250
838,28,6,210291,28,1200,250
839,28,7,100,29,100,100
840,28,7,200,30,70,0
841,28,7,300,31,50,0
842,28,7,400,32,20,0
843,28,6000,40,33,1500,450
844,28,6002,9,34,1500,450
845,28,6003,15,35,1500,450
846,28,6004,1,36,1500,450
847,29,1,1000,1,1500,150
848,29,1,1201,2,1000,100
849,29,2,1000,3,1500,150
850,29,2,1201,4,1000,100
851,29,3,1000,5,1500,150
852,29,3,1201,6,1000,100
853,29,4,1000,7,1500,150
854,29,4,1201,8,1000,100
855,29,5,1000,9,1500,150
856,29,5,1201,10,1000,100
857,29,8,1,11,400,100
858,29,8,2,12,1200,250
859,29,8,6,13,1500,300
860,29,7,100,14,100,100
861,29,7,200,15,70,0
862,29,7,300,16,50,0
863,29,7,400,17,20,0
864,29,6000,40,18,1500,450
865,29,6002,9,20,1500,450
866,29,6003,15,21,1500,450
867,29,6004,1,22,1500,450
868,30,1,1000,1,1500,150
869,30,1,1201,2,1000,100
870,30,2,1000,3,1500,150
871,30,2,1201,4,1000,100
872,30,3,1000,5,1500,150
873,30,3,1201,6,1000,100
874,30,4,1000,7,1500,150
875,30,4,1201,8,1000,100
876,30,5,1000,9,1500,150
877,30,5,1201,10,1000,100
878,30,8,6,11,1500,300
879,30,6,200342,12,400,100
880,30,6,200992,13,400,100
881,30,6,202722,14,400,100
882,30,6,200462,15,400,100
883,30,6,200332,16,400,100
884,30,6,202552,17,400,100
885,30,6,202802,18,400,100
886,30,6,200341,19,1200,200
887,30,6,200991,20,1200,200
888,30,6,202721,21,1200,200
889,30,6,200461,22,1200,200
890,30,6,200331,23,1200,200
891,30,6,202551,24,1200,200
892,30,6,202801,25,1200,200
893,30,7000,4,26,1500,450
894,30,7001,300,27,1500,450
895,30,7002,300,28,1500,450
896,30,7003,300,29,1500,450
897,30,101,1,30,40,0
898,30,101,2,31,50,0
899,30,101,3,32,60,0
900,30,101,4,33,70,0
901,30,101,5,34,80,0
902,30,101,6,35,90,0
903,30,101,7,36,100,0
904,30,101,8,37,100,0
905,31,1,1000,1,1500,150
906,31,1,1201,2,1000,100
907,31,2,1000,3,1500,150
908,31,2,1201,4,1000,100
909,31,3,1000,5,1500,150
910,31,3,1201,6,1000,100
