id,chara_id,chara_motion_set_id
2,1081,27009
2,1082,3013
2,1083,1083800
2,1084,2009
2,1085,1019
2,1086,26013
2,1087,2000
2,1088,2000
2,1089,2002
2,1090,2001
2,1091,1091834
2,1092,3002
2,1093,2001
2,1094,28009
2,1095,27017
2,1096,1096006
2,1097,26016
2,1098,3002
2,1099,2001
2,1100,2002
2,1102,2018
2,1103,2000
2,1104,26009
2,1105,4017
2,1106,2001
2,1107,1107822
2,1108,28000
2,1109,3001
2,1110,24001
2,1111,2000
2,1112,28001
2,1113,3001
2,1114,1114851
2,1115,2017
2,1116,2013
2,1117,2000
2,1118,1118824
2,1119,4001
2,1120,1120820
2,1121,26001
2,1124,3000
2,1127,2017
2,1129,26009
2,1130,26001
2,1131,4002
2,1132,3013
2,1133,3018
2,1134,3001
2,1135,27000
2,1136,3018
2,1137,1137014
2,1143,26000
3,1001,40000
3,1002,40001
3,1003,40000
3,1004,40002
3,1005,2001
3,1006,40003
3,1007,40004
3,1008,40005
3,1009,40006
3,1010,40007
3,1011,40008
3,1012,28009
3,1013,40009
3,1014,40000
3,1015,40065
3,1016,1016020
3,1017,40010
3,1018,40011
3,1019,26014
3,1020,1020006
3,1021,1021820
3,1022,2002
3,1023,24001
3,1024,40012
3,1025,2001
3,1026,40023
3,1027,40000
3,1028,1028802
3,1029,1029001
3,1030,40013
3,1031,28002
3,1032,40014
3,1033,1033828
3,1034,7009
3,1035,1035846
3,1036,1036810
3,1037,1037802
3,1038,3002
3,1039,1039815
3,1040,1040023
3,1041,40016
3,1042,2001
3,1043,1043000
3,1044,1044815
3,1045,40017
3,1046,1046800
3,1047,1047800
3,1048,29002
3,1049,4009
3,1050,1050802
3,1051,1051007
3,1052,40010
3,1053,4009
3,1054,1054819
3,1055,1055812
3,1056,40018
3,1057,29001
3,1058,1058804
3,1059,25009
3,1060,1060850
3,1061,40014
3,1062,5009
3,1063,2000
3,1064,27001
3,1065,2009
3,1066,2009
3,1067,3001
3,1068,1068809
3,1069,2001
3,1070,2009
3,1071,26001
3,1072,2000
3,1073,1073848
3,1074,4001
3,1076,1076000
3,1077,2000
3,1078,24001
3,1079,1079832
3,1080,3000
3,1081,27009
3,1082,3013
3,1083,1083800
3,1084,2009
3,1085,1019
3,1086,26013
3,1087,2000
3,1088,2000
3,1089,2002
3,1090,2001
3,1091,1091834
3,1092,3002
3,1093,2001
3,1094,28009
3,1095,27017
3,1096,1096006
3,1097,26016
3,1098,3002
3,1099,2001
3,1100,2002
3,1102,2018
3,1103,2000
3,1104,26009
3,1105,4017
3,1106,2001
3,1107,1107822
3,1108,28000
3,1109,3001
3,1110,24001
3,1111,2000
3,1112,28001
3,1113,3001
3,1114,1114851
3,1115,2017
3,1116,2013
3,1117,2000
3,1118,1118824
3,1119,4001
3,1120,1120820
3,1121,26001
3,1124,3000
3,1127,2017
3,1129,26009
3,1130,26001
3,1131,4002
3,1132,3013
3,1133,3018
3,1134,3001
3,1135,27000
3,1136,3018
3,1137,1137014
3,1143,26000
4,1001,1001825
4,1002,1002823
4,1003,1003004
4,1004,1004005
4,1005,11007
4,1006,1006839
4,1007,1007863
4,1008,1008847
4,1009,1009824
4,1010,1010849
4,1011,1011836
4,1012,1012042
4,1013,1013818
4,1014,1014821
4,1015,1015824
4,1016,1016800
4,1017,1017830
4,1018,1018839
4,1019,1019817
4,1020,1020018
4,1021,1021850
4,1022,1022828
4,1023,1023008
4,1024,1024838
4,1025,1025814
4,1026,1026819
4,1027,1027835
4,1028,1028004
4,1029,1029810
4,1030,1030833
4,1031,1031854
4,1032,1032834
4,1033,3004
4,1034,1034828
4,1035,40058
4,1036,3003
4,1037,1037801
4,1038,1038822
4,1039,1039839
4,1040,1040848
4,1041,1041843
4,1042,1042840
4,1043,1043835
4,1044,1044846
4,1045,1045005
4,1046,1046801
4,1047,1047833
4,1048,1048867
4,1049,1049835
4,1050,1050803
4,1051,4007
4,1052,1052826
4,1053,1053833
4,1054,1054820
4,1055,1055813
4,1056,1056825
4,1057,1057832
4,1058,1058825
4,1059,1059837
4,1060,1060851
4,1061,1061847
4,1062,3014
4,1063,1063832
4,1064,1064800
4,1065,1065857
4,1066,1066838
4,1067,1067833
4,1068,9005
4,1069,1069820
4,1070,1070835
4,1071,1071820
4,1072,1072004
4,1073,1073821
4,1074,1074800
4,1076,1016
4,1077,1077812
4,1078,1078816
4,1079,2007
4,1080,1080806
4,1081,1081853
4,1082,1082828
4,1083,1083808
4,1084,1084821
4,1085,1085805
4,1086,3017
4,1087,1087834
4,1088,1088854
4,1089,1089862
4,1090,1090830
4,1091,1091004
4,1092,1092843
4,1093,1093814
4,1094,1094016
4,1095,1095823
4,1096,1096015
4,1097,1097843
4,1098,1098847
4,1099,1099801
4,1100,3007
4,1102,1102841
4,1103,3003
4,1104,1104830
4,1105,1105830
4,1106,1106015
4,1107,1107839
4,1108,1108817
4,1109,1109839
4,1110,1110840
4,1111,1111828
4,1112,1112822
4,1113,1113810
4,1114,1114852
4,1115,1115811
4,1116,1116811
4,1117,1117850
4,1118,1118832
4,1119,1119842
4,1120,1120822
4,1121,1121832
4,1124,1124009
4,1127,4003
4,1129,1129003
4,1130,5020
4,1131,1131010
4,1132,1132851
4,1133,1133838
4,1134,1134835
4,1135,1135831
4,1136,1136808
4,1137,1137011
4,1143,1143008
