id,available_skill_set_id,skill_id,need_rank
10050250,100502,200581,5
10050300,100503,202552,0
10050301,100503,200012,0
10050302,100503,202712,0
10050320,100503,204012,2
10050330,100503,202551,3
10050340,100503,203432,4
10050350,100503,202711,5
10060100,100601,200342,0
10060101,100601,201062,0
10060102,100601,201352,0
10060120,100601,200222,2
10060130,100601,201351,3
10060140,100601,200492,4
10060150,100601,200341,5
10060200,100602,201621,0
10060201,100602,200752,0
10060202,100602,201352,0
10060220,100602,201422,2
10060230,100602,201351,3
10060240,100602,201571,4
10060250,100602,200751,5
10060300,100603,203412,0
10060301,100603,203992,0
10060302,100603,202482,0
10060320,100603,203712,2
10060330,100603,203411,3
10060340,100603,204082,4
10060350,100603,202481,5
10070100,100701,201591,0
10070101,100701,201212,0
10070102,100701,201472,0
10070120,100701,201482,2
10070130,100701,201471,3
10070140,100701,200622,4
10070150,100701,201481,5
10070200,100702,201562,0
10070201,100702,200752,0
10070202,100702,201482,0
10070220,100702,202102,2
10070230,100702,200751,3
10070240,100702,202032,4
10070250,100702,202101,5
10070300,100703,200642,0
10070301,100703,200162,0
10070302,100703,200352,0
10070320,100703,200632,2
10070330,100703,200641,3
10070340,100703,201102,4
10070350,100703,200164,5
10080100,100801,200382,0
10080101,100801,200702,0
10080102,100801,200602,0
10080120,100801,200372,2
10080130,100801,200381,3
10080140,100801,201032,4
10080150,100801,200701,5
10080200,100802,202452,0
10080201,100802,200492,0
10080202,100802,201112,0
10080220,100802,202152,2
10080230,100802,200491,3
10080240,100802,201382,4
10080250,100802,202451,5
10090100,100901,200282,0
10090101,100901,200722,0
10090102,100901,200572,0
10090120,100901,200562,2
10090130,100901,200721,3
10090140,100901,200582,4
10090150,100901,200571,5
10090200,100902,202462,0
10090201,100902,201282,0
10090202,100902,202012,0
10090220,100902,201172,2
10090230,100902,201281,3
10090240,100902,201182,4
10090250,100902,202461,5
10100100,101001,200362,0
10100101,101001,201052,0
10100102,101001,201532,0
10100120,101001,200682,2
10100130,101001,201051,3
10100140,101001,201032,4
10100150,101001,200681,5
10100200,101002,200162,0
10100201,101002,200682,0
10100202,101002,201902,0
10100220,101002,201042,2
10100230,101002,200681,3
10100240,101002,201322,4
10100250,101002,201901,5
10100300,101003,204152,0
10100301,101003,203962,0
10100302,101003,204162,0
10100320,101003,203712,2
10100330,101003,204151,3
10100340,101003,204172,4
10100350,101003,204161,5
10110100,101101,200871,0
10110101,101101,201152,0
10110102,101101,200602,0
10110120,101101,200512,2
10110130,101101,201151,3
10110140,101101,200592,4
10110150,101101,200601,5
10110200,101102,200472,0
10110201,101102,200742,0
10110202,101102,201422,0
10110220,101102,200771,2
10110230,101102,200741,3
10110240,101102,201542,4
10110250,101102,201421,5
10110300,101103,202152,0
10110301,101103,200202,0
10110302,101103,203372,0
10110320,101103,201382,2
10110330,101103,202151,3
10110340,101103,201392,4
10110350,101103,203371,5
10120100,101201,200502,0
10120101,101201,200632,0
10120102,101201,200732,0
10120120,101201,201452,2
10120130,101201,200731,3
10120140,101201,201462,4
10120150,101201,200631,5
10120200,101202,202022,0
10120201,101202,201152,0
10120202,101202,202492,0
10120220,101202,200632,2
10120230,101202,202021,3
10120240,101202,200642,4
10120250,101202,202491,5
10130100,101301,200172,0
10130101,101301,200562,0
10130102,101301,201192,0
10130120,101301,201182,2
10130130,101301,201191,3
10130140,101301,201352,4
10130150,101301,200561,5
10130200,101302,200362,0
10130201,101302,200562,0
10130202,101302,200742,0
10130220,101302,200192,2
10130230,101302,200741,3
10130240,101302,200462,4
10130250,101302,200361,5
10130300,101303,200432,0
10130301,101303,201532,0
10130302,101303,202012,0
10130320,101303,202192,2
10130330,101303,202011,3
10130340,101303,200562,4
10130350,101303,202191,5
10140100,101401,200362,0
10140101,101401,201122,0
10140102,101401,201312,0
10140120,101401,200562,2
10140130,101401,201121,3
10140140,101401,200722,4
10140150,101401,200561,5
10140200,101402,200512,0
10140201,101402,200702,0
10140202,101402,200612,0
10140220,101402,201072,2
10140230,101402,200701,3
10140240,101402,201412,4
10140250,101402,200611,5
10150100,101501,200582,0
10150101,101501,200722,0
10150102,101501,200142,0
10150120,101501,200362,2
10150130,101501,200581,3
10150140,101501,200562,4
10150150,101501,200721,5
10150200,101502,201312,0
10150201,101502,202012,0
10150202,101502,200352,0
10150220,101502,200252,2
10150230,101502,200351,3
10150240,101502,200202,4
10150250,101502,202011,5
10160100,101601,200362,0
10160101,101601,201102,0
10160102,101601,200572,0
10160120,101601,200512,2
10160130,101601,200361,3
10160140,101601,201641,4
10160150,101601,200511,5
10160200,101602,200172,0
10160201,101602,202472,0
10160202,101602,202482,0
10160220,101602,200742,2
10160230,101602,202471,3
10160240,101602,202192,4
10160250,101602,202481,5
10170100,101701,200332,0
10170101,101701,201152,0
10170102,101701,200572,0
10170120,101701,200891,2
10170130,101701,201151,3
10170140,101701,201322,4
10170150,101701,200331,5
10170200,101702,200192,0
10170201,101702,200752,0
10170202,101702,200562,0
10170220,101702,201342,2
10170230,101702,200561,3
10170240,101702,201312,4
10170250,101702,200194,5
10180100,101801,200502,0
10180101,101801,200722,0
10180102,101801,201372,0
10180120,101801,200941,2
10180130,101801,201371,3
10180140,101801,200931,4
10180150,101801,200501,5
10180200,101802,200342,0
10180201,101802,201072,0
10180202,101802,201322,0
10180220,101802,201532,2
10180230,101802,201071,3
10180240,101802,200462,4
10180250,101802,200341,5
10190100,101901,201591,0
10190101,101901,201682,0
10190102,101901,201382,0
10190120,101901,200162,2
10190130,101901,201592,3
10190140,101901,201102,4
10190150,101901,201681,5
10190200,101902,202272,0
10190201,101902,200462,0
10190202,101902,200702,0
10190220,101902,201591,2
10190230,101902,200461,3
10190240,101902,201682,4
10190250,101902,202271,5
10200100,102001,200881,0
10200101,102001,201192,0
10200102,102001,200542,0
10200120,102001,201522,2
10200130,102001,201191,3
10200140,102001,201611,4
10200150,102001,200541,5
10200200,102002,200172,0
10200201,102002,200712,0
10200202,102002,200542,0
10200220,102002,201272,2
10200230,102002,200541,3
10200240,102002,200532,4
10200250,102002,201271,5
10210100,102101,201611,0
10210101,102101,201132,0
10210102,102101,200592,0
10210120,102101,200572,2
10210130,102101,200591,3
10210140,102101,200642,4
10210150,102101,201612,5
10210200,102102,200462,0
10210201,102102,200722,0
10210202,102102,201902,0
10210220,102102,200162,2
10210230,102102,200721,3
10210240,102102,201611,4
10210250,102102,200461,5
10220100,102201,200192,0
10220101,102201,200582,0
10220102,102201,201112,0
10220120,102201,201342,2
10220130,102201,200581,3
10220140,102201,200012,4
10220150,102201,201341,5
10220200,102202,200152,0
10220201,102202,201902,0
10220202,102202,201052,0
10220220,102202,201042,2
10220230,102202,201051,3
10220240,102202,200192,4
10220250,102202,201901,5
10230100,102301,200162,0
10230101,102301,200742,0
10230102,102301,200562,0
10230120,102301,200262,2
10230130,102301,200561,3
10230140,102301,200821,4
10230150,102301,200741,5
10230200,102302,200512,0
10230201,102302,201202,0
10230202,102302,200572,0
10230220,102302,201532,2
10230230,102302,201201,3
10230240,102302,201312,4
10230250,102302,200511,5
10230300,102303,202772,0
10230301,102303,201172,0
10230302,102303,202582,0
10230320,102303,200012,2
10230330,102303,202771,3
10230340,102303,203132,4
10230350,102303,202581,5
10240100,102401,200382,0
10240101,102401,201272,0
10240102,102401,200742,0
10240120,102401,200492,2
10240130,102401,200381,3
10240140,102401,200502,4
10240150,102401,200491,5
10240200,102402,200352,0
10240201,102402,201332,0
10240202,102402,201162,0
10240220,102402,200432,2
10240230,102402,201161,3
10240240,102402,200332,4
10240250,102402,200351,5
10240300,102403,201262,0
10240301,102403,202822,0
10240302,102403,203202,0
10240320,102403,201601,2
10240330,102403,202821,3
10240340,102403,203212,4
10240350,102403,203201,5
10250100,102501,200232,0
10250101,102501,201222,0
10250102,102501,201422,0
10250120,102501,201581,2
10250130,102501,201421,3
10250140,102501,201202,4
10250150,102501,201221,5
10250200,102502,200642,0
10250201,102502,200742,0
10250202,102502,202852,0
10250220,102502,200142,2
10250230,102502,200641,3
10250240,102502,202562,4
10250250,102502,202851,5
10250300,102503,200752,0
10250301,102503,201382,0
10250302,102503,204432,0
10250320,102503,202622,2
10250330,102503,200751,3
10250340,102503,204442,4
10250350,102503,204431,5
10260100,102601,200232,0
10260101,102601,200532,0
10260102,102601,200712,0
10260120,102601,201242,2
10260130,102601,200531,3
10260140,102601,201252,4
10260150,102601,200711,5
10260200,102602,200432,0
10260201,102602,200542,0
10260202,102602,200762,0
10260220,102602,201522,2
10260230,102602,200541,3
10260240,102602,201601,4
10260250,102602,200431,5
10270100,102701,200232,0
10270101,102701,200722,0
10270102,102701,200612,0
10270120,102701,200472,2
10270130,102701,200721,3
10270140,102701,201102,4
10270150,102701,200611,5
10270200,102702,202172,0
10270201,102702,201342,0
10270202,102702,200292,0
10270220,102702,201112,2
10270230,102702,201341,3
10270240,102702,201322,4
10270250,102702,202171,5
10280100,102801,200212,0
10280101,102801,201352,0
10280102,102801,201002,0
10280120,102801,201362,2
10280130,102801,201001,3
10280140,102801,201012,4
10280150,102801,201351,5
10280200,102802,203942,0
10280201,102802,203042,0
10280202,102802,201902,0
10280220,102802,201312,2
10280230,102802,203941,3
10280240,102802,200152,4
10280250,102802,201901,5
10290100,102901,200492,0
10290101,102901,201102,0
10290102,102901,201342,0
10290120,102901,200242,2
10290130,102901,200491,3
10290140,102901,201322,4
10290150,102901,201341,5
10290200,102902,202372,0
10290201,102902,201072,0
10290202,102902,200342,0
10290220,102902,200282,2
10290230,102902,202371,3
10290240,102902,201042,4
10290250,102902,200341,5
10300100,103001,200861,0
10300101,103001,201342,0
10300102,103001,200742,0
10300120,103001,201581,2
10300130,103001,201341,3
10300140,103001,201352,4
10300150,103001,200741,5
10300200,103002,200771,0
10300201,103002,201172,0
10300202,103002,200562,0
10300220,103002,200352,2
10300230,103002,200561,3
10300240,103002,200851,4
10300250,103002,200772,5
10300300,103003,201581,0
10300301,103003,200062,0
10300302,103003,202012,0
10300320,103003,201172,2
10300330,103003,201582,3
10300340,103003,202482,4
10300350,103003,200064,5
10310100,103101,201651,0
10310101,103101,201282,0
10310102,103101,202132,0
10310120,103101,200032,2
10310130,103101,201281,3
10310140,103101,201082,4
10310150,103101,202131,5
10310200,103102,201601,0
10310201,103102,200432,0
10310202,103102,201252,0
10310220,103102,201522,2
10310230,103102,200431,3
10310240,103102,201082,4
10310250,103102,201253,5
10310300,103103,202692,0
10310301,103103,200452,0
10310302,103103,201661,0
10310320,103103,203462,2
10310330,103103,202691,3
10310340,103103,203402,4
10310350,103103,201662,5
10320100,103201,200132,0
10320101,103201,201152,0
10320102,103201,200572,0
10320120,103201,201102,2
10320130,103201,201151,3
10320140,103201,201112,4
10320150,103201,200571,5
10320200,103202,202702,0
10320201,103202,201702,0
10320202,103202,202372,0
10320220,103202,200182,2
10320230,103202,202701,3
10320240,103202,201902,4
10320250,103202,202371,5
10320300,103203,202982,0
10320301,103203,201591,0
10320302,103203,202652,0
10320320,103203,201322,2
10320330,103203,202981,3
10320340,103203,200492,4
10320350,103203,201592,5
10330100,103301,200492,0
10330101,103301,201152,0
10330102,103301,201492,0
10330120,103301,200632,2
10330130,103301,201491,3
10330140,103301,200861,4
10330150,103301,200631,5
10330200,103302,202872,0
10330201,103302,203172,0
10330202,103302,203342,0
10330220,103302,201112,2
10330230,103302,203341,3
10330240,103302,203152,4
10330250,103302,203171,5
10340100,103401,201611,0
10340101,103401,201452,0
10340102,103401,202002,0
10340120,103401,200202,2
10340130,103401,201612,3
10340140,103401,200642,4
10340150,103401,202001,5
10340200,103402,200952,0
10340201,103402,200752,0
10340202,103402,200642,0
10340220,103402,201472,2
10340230,103402,200751,3
10340240,103402,202322,4
10340250,103402,200641,5
10350100,103501,200152,0
10350101,103501,200732,0
10350102,103501,201402,0
10350120,103501,200592,2
10350130,103501,201401,3
10350140,103501,201392,4
10350150,103501,200591,5
10350200,103502,202172,0
10350201,103502,201412,0
10350202,103502,201702,0
10350220,103502,200592,2
10350230,103502,201411,3
10350240,103502,202152,4
10350250,103502,201701,5
10350300,103503,200132,0
10350301,103503,202102,0
10350302,103503,202642,0
10350320,103503,200462,2
10350330,103503,202101,3
10350340,103503,202622,4
10350350,103503,202641,5
10360100,103601,200462,0
10360101,103601,202102,0
10360102,103601,201452,0
10360120,103601,201492,2
10360130,103601,202101,3
10360140,103601,201502,4
10360150,103601,201453,5
10360200,103602,201222,0
10360201,103602,201392,0
10360202,103602,200752,0
10360220,103602,202452,2
10360230,103602,201221,3
10360240,103602,202072,4
10360250,103602,200751,5
10370100,103701,200502,0
10370101,103701,201542,0
10370102,103701,201112,0
10370120,103701,200512,2
10370130,103701,200501,3
10370140,103701,200432,4
10370150,103701,200511,5
10370200,103702,200302,0
10370201,103702,200592,0
10370202,103702,201152,0
10370220,103702,201102,2
10370230,103702,201151,3
10370240,103702,201392,4
10370250,103702,201103,5
10370300,103703,201382,0
10370301,103703,200032,0
10370302,103703,202152,0
10370320,103703,202452,2
10370330,103703,200034,3
10370340,103703,202622,4
10370350,103703,202151,5
10380100,103801,200462,0
10380101,103801,201372,0
10380102,103801,201012,0
10380120,103801,201002,2
10380130,103801,201371,3
10380140,103801,200582,4
10380150,103801,201011,5
10380200,103802,200851,0
10380201,103802,201322,0
10380202,103802,201012,0
10380220,103802,200652,2
10380230,103802,201011,3
10380240,103802,201532,4
10380250,103802,200651,5
10390100,103901,200492,0
10390101,103901,201072,0
10390102,103901,200612,0
10390120,103901,201382,2
10390130,103901,200491,3
10390140,103901,200132,4
10390150,103901,200611,5
10390200,103902,202452,0
10390201,103902,202102,0
10390202,103902,202172,0
10390220,103902,202472,2
10390230,103902,202451,3
10390240,103902,201112,4
10390250,103902,202171,5
10400100,104001,200052,0
10400101,104001,200692,0
10400102,104001,200602,0
10400120,104001,201651,2
10400130,104001,200691,3
10400140,104001,201062,4
10400150,104001,200601,5
10400200,104002,200232,0
10400201,104002,201092,0
10400202,104002,201692,0
10400220,104002,201542,2
10400230,104002,201091,3
10400240,104002,201392,4
10400250,104002,201691,5
10400300,104003,202152,0
10400301,104003,201392,0
10400302,104003,203672,0
10400320,104003,202522,2
10400330,104003,202151,3
10400340,104003,202662,4
10400350,104003,203671,5
10410100,104101,200841,0
10410101,104101,201312,0
10410102,104101,200652,0
10410120,104101,200982,2
10410130,104101,200651,3
10410140,104101,200992,4
10410150,104101,200981,5
10410200,104102,202042,0
10410201,104102,200542,0
10410202,104102,200962,0
10410220,104102,201522,2
10410230,104102,202041,3
10410240,104102,200532,4
10410250,104102,200963,5
10410300,104103,203872,0
10410301,104103,204312,0
10410302,104103,204162,0
10410320,104103,203882,2
10410330,104103,203871,3
10410340,104103,203942,4
10410350,104103,204161,5
10420100,104201,200152,0
10420101,104201,200962,0
10420102,104201,201072,0
10420120,104201,202042,2
10420130,104201,200963,3
10420140,104201,201902,4
10420150,104201,201071,5
10420200,104202,200372,0
10420201,104202,201072,0
10420202,104202,202722,0
10420220,104202,202472,2
10420230,104202,200371,3
10420240,104202,202672,4
10420250,104202,202721,5
10430100,104301,202343,0
10430101,104301,200162,0
10430102,104301,202282,0
10430120,104301,201052,2
10430130,104301,202281,3
10430140,104301,201072,4
10430150,104301,202341,5
10440100,104401,200781,0
10440101,104401,201482,0
10440102,104401,202082,0
10440120,104401,201512,2
10440130,104401,201481,3
10440140,104401,200642,4
10440150,104401,201511,5
10440200,104402,201651,0
10440201,104402,202492,0
10440202,104402,202922,0
10440220,104402,200632,2
10440230,104402,202491,3
10440240,104402,202942,4
10440250,104402,202921,5
10450100,104501,200352,0
10450101,104501,200742,0
10450102,104501,201372,0
10450120,104501,200462,2
10450130,104501,201371,3
10450140,104501,200881,4
10450150,104501,200351,5
10450200,104502,200332,0
10450201,104502,201162,0
10450202,104502,201352,0
10450220,104502,201322,2
10450230,104502,200331,3
10450240,104502,201102,4
10450250,104502,201161,5
10450300,104503,200742,0
10450301,104503,202372,0
10450302,104503,202482,0
10450320,104503,200462,2
10450330,104503,202371,3
10450340,104503,201172,4
10450350,104503,202481,5
10460100,104601,200452,0
10460101,104601,201522,0
10460102,104601,201672,0
10460120,104601,200162,2
10460130,104601,200451,3
10460140,104601,200952,4
10460150,104601,201671,5
10460200,104602,201672,0
10460201,104602,201252,0
10460202,104602,202132,0
10460220,104602,202312,2
10460230,104602,201671,3
10460240,104602,202352,4
10460250,104602,202311,5
10460300,104603,200432,0
10460301,104603,203103,0
10460302,104603,202832,0
10460320,104603,200532,2
10460330,104603,200431,3
10460340,104603,200452,4
10460350,104603,202831,5
10470100,104701,200192,0
10470101,104701,200572,0
10470102,104701,201112,0
10470120,104701,201322,2
10470130,104701,200571,3
10470140,104701,201172,4
10470150,104701,201113,5
10470200,104702,202372,0
10470201,104702,201312,0
10470202,104702,200192,0
10470220,104702,202472,2
10470230,104702,201313,3
10470240,104702,202772,4
10470250,104702,200194,5
10480100,104801,200302,0
10480101,104801,200602,0
10480102,104801,201102,0
10480120,104801,200572,2
10480130,104801,200601,3
10480140,104801,201702,4
10480150,104801,200571,5
10480200,104802,202662,0
10480201,104802,202082,0
10480202,104802,202122,0
10480220,104802,201142,2
10480230,104802,202081,3
10480240,104802,200302,4
10480250,104802,202121,5
10480300,104803,203622,0
10480301,104803,202712,0
10480302,104803,202472,0
10480320,104803,202172,2
10480330,104803,203621,3
10480340,104803,203652,4
10480350,104803,202711,5
10490100,104901,202442,0
10490101,104901,202032,0
10490102,104901,201702,0
10490120,104901,201382,2
10490130,104901,202031,3
10490140,104901,201102,4
10490150,104901,202441,5
10490200,104902,202452,0
10490201,104902,203172,0
10490202,104902,203432,0
10490220,104902,202522,2
10490230,104902,202451,3
10490240,104902,203252,4
10490250,104902,203171,5
10500100,105001,201641,0
10500101,105001,200622,0
10500102,105001,201162,0
10500120,105001,200642,2
10500130,105001,200621,3
10500140,105001,201452,4
10500150,105001,200641,5
10500200,105002,200492,0
10500201,105002,202382,0
10500202,105002,202082,0
10500220,105002,201552,2
10500230,105002,202381,3
10500240,105002,201452,4
10500250,105002,202081,5
10500300,105003,202902,0
10500301,105003,202882,0
10500302,105003,202922,0
10500320,105003,202932,2
10500330,105003,202901,3
10500340,105003,201452,4
10500350,105003,202881,5
10510100,105101,200362,0
10510101,105101,201062,0
10510102,105101,201342,0
10510120,105101,200652,2
10510130,105101,200361,3
10510140,105101,201392,4
10510150,105101,201341,5
10510200,105102,201042,0
10510201,105102,200052,0
10510202,105102,202172,0
10510220,105102,201072,2
10510230,105102,201043,3
10510240,105102,202472,4
10510250,105102,202171,5
10520100,105201,200442,0
10520101,105201,200652,0
10520102,105201,201412,0
10520120,105201,200472,2
10520130,105201,200441,3
10520140,105201,200302,4
10520150,105201,200471,5
10520200,105202,200452,0
10520201,105202,201072,0
10520202,105202,201402,0
10520220,105202,201621,2
10520230,105202,200451,3
10520240,105202,200242,4
10520250,105202,201401,5
10530100,105301,200462,0
10530101,105301,200612,0
10530102,105301,202112,0
10530120,105301,200972,2
10530130,105301,200611,3
10530140,105301,202122,4
10530150,105301,202111,5
10530200,105302,200972,0
10530201,105302,200602,0
10530202,105302,200652,0
10530220,105302,202122,2
10530230,105302,200601,3
10530240,105302,200492,4
10530250,105302,200651,5
10540100,105401,200592,0
10540101,105401,201382,0
10540102,105401,200672,0
10540120,105401,201002,2
10540130,105401,200591,3
10540140,105401,200652,4
10540150,105401,200671,5
10550100,105501,202102,0
10550101,105501,201542,0
10550102,105501,200492,0
10550120,105501,202422,2
10550130,105501,202101,3
10550140,105501,201702,4
10550150,105501,200491,5
10550200,105502,202602,0
10550201,105502,201651,0
10550202,105502,203952,0
10550220,105502,202472,2
10550230,105502,202601,3
10550240,105502,201591,4
10550250,105502,203951,5
10560100,105601,201562,0
10560101,105601,201422,0
10560102,105601,201232,0
10560120,105601,201571,2
10560130,105601,201231,3
10560140,105601,200781,4
10560150,105601,201561,5
10560200,105602,200012,0
10560201,105602,200602,0
10560202,105602,201212,0
10560220,105602,200752,2
10560230,105602,201211,3
10560240,105602,200062,4
10560250,105602,200751,5
10570100,105701,201142,0
10570101,105701,202522,0
10570102,105701,200642,0
10570120,105701,200232,2
10570130,105701,202521,3
10570140,105701,201591,4
10570150,105701,200641,5
10570200,105702,201591,0
10570201,105702,202522,0
10570202,105702,202972,0
10570220,105702,202932,2
10570230,105702,202521,3
10570240,105702,202892,4
10570250,105702,202971,5
10580100,105801,200472,0
10580101,105801,201112,0
10580102,105801,200582,0
10580120,105801,200142,2
10580130,105801,200581,3
10580140,105801,200861,4
10580150,105801,200471,5
10580200,105802,200352,0
10580201,105802,201902,0
10580202,105802,201102,0
10580220,105802,202372,2
10580230,105802,201901,3
10580240,105802,200012,4
10580250,105802,200351,5
10590100,105901,200062,0
10590101,105901,201442,0
10590102,105901,201142,0
10590120,105901,201382,2
10590130,105901,201441,3
10590140,105901,200722,4
10590150,105901,200064,5
10590200,105902,200062,0
10590201,105902,202122,0
10590202,105902,202082,0
10590220,105902,201102,2
10590230,105902,202121,3
10590240,105902,202152,4
10590250,105902,202081,5
10600100,106001,200122,0
10600101,106001,201162,0
10600102,106001,201442,0
10600120,106001,200911,2
10600130,106001,201161,3
10600140,106001,201422,4
10600150,106001,201441,5
10600200,106002,200492,0
10600201,106002,201152,0
10600202,106002,201542,0
10600220,106002,202082,2
10600230,106002,201151,3
10600240,106002,200302,4
10600250,106002,200491,5
10600300,106003,201651,0
10600301,106003,200602,0
10600302,106003,200152,0
10600320,106003,201382,2
10600330,106003,201652,3
10600340,106003,202161,4
10600350,106003,200601,5
10610100,106101,200262,0
10610101,106101,200672,0
10610102,106101,201432,0
10610120,106101,201142,2
10610130,106101,200671,3
10610140,106101,201072,4
10610150,106101,201431,5
10610200,106102,200172,0
10610201,106102,200672,0
10610202,106102,200612,0
10610220,106102,200692,2
10610230,106102,200611,3
10610240,106102,201382,4
10610250,106102,200174,5
10610300,106103,200702,0
10610301,106103,200972,0
10610302,106103,202752,0
10610320,106103,200462,2
10610330,106103,200701,3
10610340,106103,200342,4
10610350,106103,202751,5
10620100,106201,200482,0
10620101,106201,201212,0
10620102,106201,200602,0
10620120,106201,201621,2
10620130,106201,200481,3
10620140,106201,200512,4
10620150,106201,201211,5
10620200,106202,200602,0
10620201,106202,201692,0
10620202,106202,202082,0
10620220,106202,201112,2
10620230,106202,201691,3
10620240,106202,202622,4
10620250,106202,202081,5
10630100,106301,200572,0
10630101,106301,202161,0
10630102,106301,202152,0
10630120,106301,201702,2
10630130,106301,200571,3
10630140,106301,200182,4
10630150,106301,202151,5
10630200,106302,202652,0
10630201,106302,202982,0
10630202,106302,203222,0
10630220,106302,203112,2
10630230,106302,202651,3
10630240,106302,204012,4
10630250,106302,202981,5
10640100,106401,201661,0
10640101,106401,201242,0
10640102,106401,201192,0
10640120,106401,200532,2
10640130,106401,201662,3
10640140,106401,200302,4
10640150,106401,201191,5
10640200,106402,201172,0
10640201,106402,200532,0
10640202,106402,202682,0
10640220,106402,200362,2
10640230,106402,201173,3
10640240,106402,201601,4
10640250,106402,202681,5
10650100,106501,202502,0
10650101,106501,200302,0
10650102,106501,201052,0
10650120,106501,201032,2
10650130,106501,201051,3
10650140,106501,201651,4
10650150,106501,202501,5
10650200,106502,200532,0
10650201,106502,200682,0
10650202,106502,200282,0
10650220,106502,201242,2
10650230,106502,200531,3
10650240,106502,201601,4
10650250,106502,200681,5
10660100,106601,202392,0
10660101,106601,201282,0
10660102,106601,200532,0
10660120,106601,201252,2
10660130,106601,202391,3
10660140,106601,200432,4
10660150,106601,200531,5
10670100,106701,200012,0
10670101,106701,201692,0
10670102,106701,201102,0
10670120,106701,202012,2
10670130,106701,201691,3
10670140,106701,200152,4
10670150,106701,200014,5
10670200,106702,202422,0
10670201,106702,201222,0
10670202,106702,202122,0
10670220,106702,201382,2
10670230,106702,202421,3
10670240,106702,202452,4
10670250,106702,201221,5
10670300,106703,202452,0
10670301,106703,202082,0
10670302,106703,201112,0
10670320,106703,200012,2
10670330,106703,202081,3
10670340,106703,200612,4
10670350,106703,201113,5
10680100,106801,200432,0
10680101,106801,201172,0
10680102,106801,200532,0
10680120,106801,201102,2
10680130,106801,200531,3
10680140,106801,201272,4
10680150,106801,201173,5
10680200,106802,201262,0
10680201,106802,200532,0
10680202,106802,200542,0
10680220,106802,200712,2
10680230,106802,200541,3
10680240,106802,201601,4
10680250,106802,200531,5
10680300,106803,200532,0
10680301,106803,202812,0
10680302,106803,202822,0
10680320,106803,201611,2
10680330,106803,202811,3
10680340,106803,200012,4
10680350,106803,202821,5
10690100,106901,200172,0
10690101,106901,200582,0
10690102,106901,201112,0
10690120,106901,200342,2
10690130,106901,200581,3
10690140,106901,201532,4
10690150,106901,200174,5
10690200,106902,200362,0
10690201,106902,200682,0
10690202,106902,202092,0
10690220,106902,200732,2
10690230,106902,200361,3
10690240,106902,201322,4
10690250,106902,202091,5
10700100,107001,202652,0
10700101,107001,201702,0
10700102,107001,200722,0
10700120,107001,200492,2
10700130,107001,201701,3
10700140,107001,201112,4
10700150,107001,200721,5
10700200,107002,200162,0
10700201,107002,202662,0
10700202,107002,202472,0
10700220,107002,201102,2
10700230,107002,200164,3
10700240,107002,202602,4
10700250,107002,202661,5
10710100,107101,200022,0
10710101,107101,200572,0
10710102,107101,201702,0
10710120,107101,201322,2
10710130,107101,200571,3
10710140,107101,201142,4
10710150,107101,201701,5
10710200,107102,201902,0
10710201,107102,200032,0
10710202,107102,201102,0
10710220,107102,200472,2
