id,rotation_id,item_category,item_id,item_num,odds
20120103,201201,91,59,5000,1000000
20120104,201201,103,98,500,1000000
20120201,201202,11,162,1,1000000
20120202,201202,11,163,1,1000000
20120203,201202,93,44,2,1000000
20120204,201202,91,59,3000,1000000
20120205,201202,103,98,300,1000000
20120301,201203,11,160,1,1000000
20120302,201203,11,161,1,1000000
20120303,201203,91,59,1500,1000000
20120304,201203,103,98,100,1000000
20130101,201301,102,0,5,1000000
20130102,201301,93,44,3,1000000
20130103,201301,91,59,5000,1000000
20130104,201301,103,98,500,1000000
20130201,201302,11,162,1,1000000
20130202,201302,11,163,1,1000000
20130203,201302,93,44,2,1000000
20130204,201302,91,59,3000,1000000
20130205,201302,103,98,300,1000000
20130301,201303,11,160,1,1000000
20130302,201303,11,161,1,1000000
20130303,201303,91,59,1500,1000000
20130304,201303,103,98,100,1000000
20140101,201401,102,0,5,1000000
20140102,201401,93,44,3,1000000
20140103,201401,91,59,5000,1000000
20140104,201401,103,98,500,1000000
20140201,201402,11,162,1,1000000
20140202,201402,11,163,1,1000000
20140203,201402,93,44,2,1000000
20140204,201402,91,59,3000,1000000
20140205,201402,103,98,300,1000000
20140301,201403,11,160,1,1000000
20140302,201403,11,161,1,1000000
20140303,201403,91,59,1500,1000000
20140304,201403,103,98,100,1000000
20150101,201501,102,0,5,1000000
20150102,201501,93,44,3,1000000
20150103,201501,91,59,5000,1000000
20150104,201501,103,98,500,1000000
20150201,201502,11,162,1,1000000
20150202,201502,11,163,1,1000000
20150203,201502,93,44,2,1000000
20150204,201502,91,59,3000,1000000
20150205,201502,103,98,300,1000000
20150301,201503,11,160,1,1000000
20150302,201503,11,161,1,1000000
20150303,201503,91,59,1500,1000000
20150304,201503,103,98,100,1000000
20160101,201601,102,0,5,1000000
20160102,201601,93,44,3,1000000
20160103,201601,91,59,5000,1000000
20160104,201601,103,98,500,1000000
20160201,201602,11,162,1,1000000
20160202,201602,11,163,1,1000000
20160203,201602,93,44,2,1000000
20160204,201602,91,59,3000,1000000
20160205,201602,103,98,300,1000000
20160301,201603,11,160,1,1000000
20160302,201603,11,161,1,1000000
20160303,201603,91,59,1500,1000000
20160304,201603,103,98,100,1000000
20170101,201701,102,0,5,1000000
20170102,201701,93,44,3,1000000
20170103,201701,91,59,5000,1000000
20170104,201701,103,98,500,1000000
20170201,201702,11,162,1,1000000
20170202,201702,11,163,1,1000000
20170203,201702,93,44,2,1000000
20170204,201702,91,59,3000,1000000
20170205,201702,103,98,300,1000000
20170301,201703,11,160,1,1000000
20170302,201703,11,161,1,1000000
20170303,201703,91,59,1500,1000000
20170304,201703,103,98,100,1000000
20180101,201801,102,0,5,1000000
20180102,201801,93,44,3,1000000
20180103,201801,91,59,5000,1000000
20180104,201801,103,98,500,1000000
20180201,201802,11,162,1,1000000
20180202,201802,11,163,1,1000000
20180203,201802,93,44,2,1000000
20180204,201802,91,59,3000,1000000
20180205,201802,103,98,300,1000000
20180301,201803,11,160,1,1000000
20180302,201803,11,161,1,1000000
20180303,201803,91,59,1500,1000000
20180304,201803,103,98,100,1000000
20190101,201901,102,0,5,1000000
20190102,201901,93,44,3,1000000
20190103,201901,91,59,5000,1000000
20190104,201901,103,98,500,1000000
20190201,201902,11,162,1,1000000
20190202,201902,11,163,1,1000000
20190203,201902,93,44,2,1000000
20190204,201902,91,59,3000,1000000
20190205,201902,103,98,300,1000000
20190301,201903,11,160,1,1000000
20190302,201903,11,161,1,1000000
20190303,201903,91,59,1500,1000000
20190304,201903,103,98,100,1000000
20200101,202001,102,0,5,1000000
20200102,202001,93,44,3,1000000
20200103,202001,91,59,5000,1000000
20200104,202001,103,98,500,1000000
20200201,202002,11,162,1,1000000
20200202,202002,11,163,1,1000000
20200203,202002,93,44,2,1000000
20200204,202002,91,59,3000,1000000
20200205,202002,103,98,300,1000000
20200301,202003,11,160,1,1000000
20200302,202003,11,161,1,1000000
20200303,202003,91,59,1500,1000000
20200304,202003,103,98,100,1000000
