id,challenge_match_id,disp_order,challenge_match_bg_id,challenge_match_bg_sub_id,difficulty,race_type,race_appearance_rate,race_instance_id,season,weather,ground,challenge_match_race_boss_npc_id,cost_rp,drop_reward_odds_id,victory_reward_odds_id,first_clear_item_category_1,first_clear_item_id_1,first_clear_item_num_1,first_clear_item_category_2,first_clear_item_id_2,first_clear_item_num_2,first_clear_item_category_3,first_clear_item_id_3,first_clear_item_num_3,pick_up_item_category_1,pick_up_item_id_1,pick_up_item_num_1,pick_up_item_category_2,pick_up_item_id_2,pick_up_item_num_2,pick_up_item_category_3,pick_up_item_id_3,pick_up_item_num_3,pick_up_item_category_4,pick_up_item_id_4,pick_up_item_num_4,pick_up_item_category_5,pick_up_item_id_5,pick_up_item_num_5
22,4,4,88,111,3,0,0,630022,1,1,1,22,1,10122,0,90,43,150,91,59,10000,30,110,5000,102,106201,1,11,7,1,103,98,1,91,59,1,30,110,1
23,4,5,88,111,4,1,70,630023,1,1,1,23,1,10123,0,90,43,150,91,59,10000,30,110,5000,102,106001,1,20,32,1,93,44,1,91,59,1,30,110,1
24,4,6,88,111,5,1,30,630024,1,1,1,24,1,10124,0,90,43,150,91,59,10000,30,110,5000,102,106002,1,20,32,1,93,44,1,91,59,1,30,110,1
25,5,1,78,111,3,0,0,630025,3,1,1,25,1,10125,0,90,43,150,91,59,10000,30,110,5000,102,102301,1,11,160,1,11,161,1,91,59,1,30,110,1
26,5,2,78,111,3,0,0,630026,3,1,1,26,1,10126,0,90,43,150,91,59,10000,30,110,5000,102,108301,1,11,160,1,11,161,1,91,59,1,30,110,1
27,5,3,78,111,3,0,0,630027,3,1,1,27,1,10127,0,90,43,150,91,59,10000,30,110,5000,102,104701,1,11,160,1,11,161,1,91,59,1,30,110,1
28,5,4,78,111,3,0,0,630028,3,1,1,28,1,10128,0,90,43,150,91,59,10000,30,110,5000,102,100701,1,11,160,1,11,161,1,91,59,1,30,110,1
29,5,5,78,111,4,1,70,630029,3,1,1,29,1,10129,0,90,43,150,91,59,10000,30,110,5000,102,105601,1,11,162,1,93,44,1,91,59,1,30,110,1
30,5,6,78,111,5,1,30,630030,3,1,1,30,1,10130,0,90,43,150,91,59,10000,30,110,5000,102,105602,1,11,163,1,93,44,1,91,59,1,30,110,1
31,6,1,78,111,3,0,0,630031,4,1,1,31,1,10131,0,90,43,150,91,59,10000,30,110,5000,102,107801,1,11,160,1,11,161,1,91,59,1,30,110,1
32,6,2,78,111,3,0,0,630032,4,1,1,32,1,10132,0,90,43,150,91,59,10000,30,110,5000,102,102201,1,11,160,1,11,161,1,91,59,1,30,110,1
33,6,3,78,111,3,0,0,630033,4,1,1,33,1,10133,0,90,43,150,91,59,10000,30,110,5000,102,110401,1,11,160,1,11,161,1,91,59,1,30,110,1
34,6,4,78,111,3,0,0,630034,4,1,1,34,1,10134,0,90,43,150,91,59,10000,30,110,5000,102,103301,1,11,160,1,11,161,1,91,59,1,30,110,1
35,6,5,78,111,4,1,70,630035,4,1,1,35,1,10135,0,90,43,150,91,59,10000,30,110,5000,102,100901,1,11,162,1,93,44,1,91,59,1,30,110,1
36,6,6,78,111,5,1,30,630036,4,1,1,36,1,10136,0,90,43,150,91,59,10000,30,110,5000,102,100902,1,11,163,1,93,44,1,91,59,1,30,110,1
37,7,1,77,111,3,0,0,630037,3,1,1,37,1,10137,0,90,43,150,91,59,20000,30,110,5000,102,100401,1,11,160,1,11,161,1,91,59,1,30,110,1
38,7,2,77,111,3,0,0,630038,3,1,1,38,1,10138,0,90,43,150,91,59,20000,30,110,5000,102,103101,1,11,160,1,11,161,1,91,59,1,30,110,1
39,7,3,78,111,3,0,0,630039,3,1,1,39,1,10139,0,90,43,150,91,59,20000,30,110,5000,102,105901,1,11,160,1,11,161,1,91,59,1,30,110,1
40,7,4,79,111,3,0,0,630040,3,1,1,40,1,10140,0,90,43,150,91,59,20000,30,110,5000,102,101901,1,11,160,1,11,161,1,91,59,1,30,110,1
41,7,5,78,111,4,1,70,630041,3,1,1,41,1,10141,0,90,43,200,91,59,20000,30,110,5000,102,104001,1,11,162,1,93,44,1,91,59,1,30,110,1
42,7,6,78,111,5,1,30,630042,3,1,1,42,1,10142,0,90,43,300,91,59,20000,30,110,5000,102,104002,1,11,163,1,93,44,1,91,59,1,30,110,1
