id,label,body_motion,body_motion_type,body_motion_play_type,body_motion_scene_type,scene_sub_folder,chara_type_target,add_layer_index,is_mirror,facial_motion,chara_face_type,transition_time,ear_motion,is_enable_randome_ear,tail_motion,tail_motion_type,is_enable_randome_tail,use_tail_in_body_motion,prop_id,prop_motion,prop_motion_scene_type,prop_attach_node_name_type,prop_id_2,prop_motion_2,prop_motion_scene_type_2,prop_attach_node_name_type_2,is_prop_require_motion_end
20,Fight09,fight09,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
21,Fight12,fight12,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
22,Gatts04,gatts04,3,2,0,,0,0,0,,KiriA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
23,Gatts06,gatts06,3,2,0,,0,0,0,,WaraiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
24,Happy03,happy03,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
25,Happy05,happy05,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
26,Hello04,hello04,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
27,Hope01,hope01,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
28,Hope03,hope03,3,2,0,,0,0,0,,KomariB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
29,Hungry01,hungry01,3,2,0,,0,0,0,,SleepA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
30,Idea01,idea01,3,2,0,,0,0,0,,OdorokiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
31,Idea02,idea02,3,2,0,,0,0,0,,OdorokiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
32,Jump01,jump01,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,0,,0,0,0,,0,0,0
33,Koshiate01,koshiate01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
34,Muneate02,muneate02,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
35,Muneate03,muneate03,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
36,NoA,noA_plus,3,3,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
37,Oh01,Oh01,3,1,0,,0,0,0,,WaraiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
38,Oh02,oh02,3,1,0,,0,0,0,,KiriA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
39,Oh03,oh03,3,1,0,,0,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
40,Present01,present01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,100400,,4,2,0,,0,0,0
41,Request01,request01,3,2,0,,0,0,0,,KusyoA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
42,Request02,request02,3,2,0,,0,0,0,,KusyoB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
43,Shy02,shy02,3,2,0,,0,0,0,,KusyoA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
44,Shy03,shy03,3,2,0,,0,0,0,,KomariA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
45,Shy06,shy06,3,2,0,,0,0,0,,KusyoA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
46,Skip01,skip01_loop,3,1,0,,0,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
47,Soppo06,soppo06,3,2,0,,0,0,0,,BoobooA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
48,Sudachi02,sudachi02,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
49,Tekumi01,tekumi01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
50,Udekumi02,udekumi02,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
51,Walk01,walk01_loop,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
52,Yell01,yell01,3,2,0,,0,0,0,,WaraiE,0,,1,,0,1,0,0,,0,0,0,,0,0,0
53,Yell02,yell02,3,2,0,,0,0,0,,WaraiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
54,Yell03,yell03,3,2,0,,0,0,0,,WaraiE,0,,1,,0,1,0,0,,0,0,0,,0,0,0
55,Pdk01,pdk01,2,1,0,,0,0,0,pdk01,,0,,1,,0,1,0,0,,0,0,0,,0,0,0
56,Run00,run00_loop,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
57,Kanban01,kanban01,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,400100,,0,2,0,,0,0,0
58,Gatts06_2,gatts06,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
59,Walk02,walk02_loop,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
119,Sign01,sign01,3,1,0,,0,0,0,sign01,,0,,1,,0,1,0,0,,0,0,0,,0,0,0
139,TargetClear01,Oh01,3,1,0,,1,0,0,,WaraiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
140,TargetClear02,fight01,3,2,0,,1,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
141,TargetClear03,gatts04,3,2,0,,1,0,0,,WaraiD,0,,1,,0,1,0,0,,0,0,0,,0,0,0
142,TargetAllClear01,jump01,3,1,0,,2,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
143,TargetAllClear02,jump02,3,1,0,,2,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
144,TargetAllClear03,jump03,3,1,0,,2,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
145,TrainingClass01,idle01,2,2,0,,3,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
146,SingleGetItem,single01,3,1,0,,0,0,0,single01,,0,,0,,0,0,0,100400,,0,2,0,,0,0,0
147,SingleGetTips,single02,3,1,0,,0,0,0,single02,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
148,Check01,check01,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
149,Check02,check02,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
150,Check03,check03,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
151,Check04,check04,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
152,Check05,check05,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
153,Check12,check12,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
154,Jump02,jump02,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,0,,0,0,0,,0,0,0
155,Jump03,jump03,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,0,,0,0,0,,0,0,0
156,liveok01,liveok01,3,1,0,,0,0,0,liveok01,,0,,1,,0,1,0,102400,,0,2,0,,0,0,0
157,Res01,res01,7,2,0,,0,0,0,res01,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
158,Res02,res02,4,2,0,,4,0,0,res02,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
159,Res03,res03,4,2,0,,4,0,0,res03,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
160,IdleSudachi02,sudachi02,3,2,0,,0,0,0,,WaraiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
161,IdleStart01,Oh01,3,1,0,,1,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
162,IdleStart02,fight01,3,2,0,,1,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
163,IdleStart03,gatts04,3,2,0,,1,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
100001,Circle01_101,01_101,3,1,1,,0,0,0,01_101,,0,,0,loopS01_tail,0,0,0,400300,01_101,5,2,0,,0,0,0
100002,Circle01_102,01_102,3,2,1,,0,0,0,01_102,,0,,0,,0,1,0,400400,,5,2,0,,0,0,0
100003,Circle01_103,01_103,3,1,1,,0,0,0,01_103,,0,,0,,1,0,0,100300,01_103,5,2,0,,0,0,0
100004,Circle01_104_01,01_104_01,3,1,1,,0,0,0,01_104_01,,0,,0,loopS01_tail,0,0,0,0,,5,0,0,,0,0,0
100005,Circle01_104_02,01_104_02,3,1,1,,0,0,0,01_104_02,,0,,0,loopS01_tail,0,0,0,0,,5,0,0,,0,0,0
100006,Circle01_104_03,01_104_03,3,1,1,,0,0,0,01_104_03,,0,,0,loopS01_tail,0,0,0,0,,5,0,0,,0,0,0
100007,Circle01_105,01_105,3,1,1,,0,0,0,01_105,,0,,0,loopS01_tail,0,0,0,100300,01_105,5,2,0,,0,0,0
100022,Circle01_201_01,01_201_01,4,1,1,,1,0,0,01_201_01,,0,,0,,0,1,0,0,,5,2,0,,0,0,0
100023,Circle01_201_02,01_201_02,4,1,1,,1,0,0,01_201_02,,0,,0,,0,1,0,0,,5,2,0,,0,0,0
100024,Circle01_301,01_301,3,1,1,,0,0,0,01_301,,0,,0,,1,0,0,0,,5,2,0,,0,0,0
100025,Circle01_302,01_302,3,1,1,,0,0,0,01_302,,0,,0,,1,0,0,0,,5,2,0,,0,0,0
100026,Circle01_303,01_303,3,1,1,,0,0,0,01_303,,0,,0,,1,0,0,0,,5,2,0,,0,0,0
100027,Circle02_101,02_101,3,1,1,,0,0,0,02_101,,0,,0,loopS01_tail,0,0,0,0,,0,0,0,,0,0,0
100028,Circle02_102,02_102,3,1,1,,0,0,0,02_102,,0,,0,loopS01_tail,0,0,0,0,,0,0,0,,0,0,0
100029,Circle02_201,02_201,3,1,1,,0,0,0,02_201,,0,,0,,0,1,0,400600,02_201,5,0,0,,0,0,0
100030,Circle02_202,02_202,3,1,1,,0,0,0,02_202,,0,,0,,0,1,0,103900,,5,1,0,,0,0,0
100031,Circle02_301,02_301,3,1,1,,0,0,0,02_301,,0,,0,loopS01_tail,0,0,0,400200,02_301,5,0,0,,0,0,0
100032,Circle02_302,02_302,3,1,1,,0,0,0,02_302,,0,,0,,0,1,0,0,,5,0,0,,0,0,0
100033,Circle02_303,02_303,3,1,1,,0,0,0,02_303,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100034,Circle02_304,02_304,3,1,1,,0,0,0,02_304,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100035,Circle02_305,02_305,3,1,1,,0,0,0,02_305,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100036,Circle02_306,02_306,3,1,1,,0,0,0,02_306,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100037,Circle02_401,02_401,3,1,1,,0,0,0,02_401,,0,,0,,0,1,0,400200,02_401,5,0,0,,0,0,0
100038,Circle02_402,02_402,3,1,1,,0,0,0,02_402,,0,,0,,0,1,0,0,02_402,5,0,0,,0,0,0
100039,Circle02_403,02_403,3,1,1,,0,0,0,02_403,,0,,0,,0,1,0,0,02_403,5,0,0,,0,0,0
100040,Circle02_404,02_404,3,1,1,,0,0,0,02_404,,0,,0,,0,1,0,0,02_404,5,0,0,,0,0,0
100041,Circle03_101,03_101,3,1,1,,0,0,0,03_101,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100042,Circle03_201,03_201,3,1,1,,0,0,0,03_201,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100043,Circle03_202,03_202,3,1,1,,0,0,0,03_202,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100044,Circle03_301,03_301,3,1,1,,0,0,0,03_301,,0,,0,loopS01_tail,0,0,0,0,,0,0,0,,0,0,0
100045,Circle03_302_01,03_302_01,3,1,1,,0,0,0,03_302_01,,0,,0,loopS01_tail,0,0,0,0,,0,0,0,,0,0,0
100046,Circle03_302_02,03_302_02,3,1,1,,0,0,0,03_302_02,,0,,0,loopS01_tail,0,0,0,0,,0,0,0,,0,0,0
100047,Circle03_302_03,03_302_03,3,1,1,,0,0,0,03_302_03,,0,,0,loopS01_tail,0,0,0,0,,0,0,0,,0,0,0
100048,Circle03_303_01,03_303_01,3,1,1,,0,0,0,03_303_01,,0,,0,loopS01_tail,0,0,0,0,,0,0,0,,0,0,0
100049,Circle03_303_02,03_303_02,3,1,1,,0,0,0,03_303_02,,0,,0,loopS01_tail,0,0,0,0,,0,0,0,,0,0,0
100050,Circle03_303_03,03_303_03,3,1,1,,0,0,0,03_303_03,,0,,0,loopS01_tail,0,0,0,0,,0,0,0,,0,0,0
100051,Circle03_401,03_401,3,1,1,,0,0,0,03_401,,0,,0,loopS01_tail,0,0,0,400500,,5,2,0,,0,0,0
100052,Circle03_402,03_402,3,1,1,,0,0,0,03_402,,0,,0,loopS01_tail,0,0,0,400500,,5,2,0,,0,0,0
100053,Circle03_403,03_403,3,1,1,,0,0,0,03_403,,0,,0,loopS01_tail,0,0,0,400500,,5,2,0,,0,0,0
100054,Circle03_404,03_404,3,1,1,,0,0,0,03_404,,0,,0,loopS01_tail,0,0,0,400500,,5,2,0,,0,0,0
100055,Circle03_405,03_405,3,1,1,,0,0,0,03_405,,0,,0,loopS01_tail,0,0,0,400500,,5,2,0,,0,0,0
100056,Circle03_406,03_406,3,1,1,,0,0,0,03_406,,0,,0,loopS01_tail,0,0,0,400500,,5,2,0,,0,0,0
100057,Circle03_501,03_501,3,1,1,,0,0,0,03_501,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100058,Circle03_502,03_502,3,1,1,,0,0,0,03_502,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100059,Circle03_503,03_503,3,1,1,,0,0,0,03_503,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100060,Circle03_504,03_504,3,1,1,,0,0,0,03_504,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
100061,Circle03_505,03_505,3,1,1,,0,0,0,03_505,,0,,0,,0,1,0,0,,0,0,0,,0,0,0
200001,Job01_001,01_001_loop,3,1,2,,0,0,0,01_001_loop,,0,01_001_loop,0,,0,1,0,0,,0,0,0,,0,0,0
200002,Job01_002,01_002_loop,3,1,2,,0,0,0,01_002_loop,,0,01_002_loop,0,,0,1,0,0,,0,0,0,,0,0,0
200003,Job01_003,01_003_loop,3,1,2,,0,0,0,01_003_loop,,0,01_003_loop,0,,0,1,0,0,,0,0,0,,0,0,0
200004,Job01_004,01_004_loop,3,1,2,,0,0,0,01_004_loop,,0,01_004_loop,0,,0,1,0,0,,0,0,0,,0,0,0
200005,Job01_005,01_005_loop,4,1,2,,8,0,0,01_005_loop,,0,01_005_loop,0,,0,0,1,0,,0,0,0,,0,0,0
200006,Job03_001,03_001_loop,3,1,2,,0,0,0,03_001_loop,,0,03_001_loop,0,,0,1,0,0,,0,0,0,,0,0,0
200007,Job03_002,03_002_loop,3,1,2,,0,0,0,03_002_loop,,0,03_002_loop,0,,0,1,0,0,,0,0,0,,0,0,0
200008,Job03_003,03_003_loop,3,1,2,,0,0,0,03_003_loop,,0,03_003_loop,0,,0,1,0,0,,0,0,0,,0,0,0
200011,Job05_001,05_001,3,1,2,,0,0,0,05_001,,0,05_001,0,,0,1,0,0,,0,0,0,,0,0,0
200012,JobMob05_001,05_001,5,1,2,,0,0,0,05_001,,0,05_001,0,,0,1,0,0,,0,0,0,,0,0,0
200013,JobMob05_002,05_002,5,1,2,,0,0,0,05_002,,0,05_002,0,,0,1,0,0,,0,0,0,,0,0,0
200014,JobMob05_003,05_003_loop,5,1,2,,0,0,0,05_003_loop,,0,05_003_loop,0,,0,1,0,0,,0,0,0,,0,0,0
200015,Job06_001,06_001,4,1,2,,6,0,0,06_001,,0,06_001,0,,0,1,0,0,,0,0,0,,0,0,0
200016,JobMob06_001,06_001,6,1,2,,6,0,0,,,0,,1,,0,1,0,0,,0,0,0,,0,0,0
200017,Job07_001,07_001_loop,4,1,2,,7,0,0,07_001_loop,,0,07_001_loop,0,,0,1,0,0,,0,0,0,,0,0,0
200018,JobMob06_002,06_001,6,1,2,,6,0,0,06_002,,0,06_002,0,,0,1,0,0,,0,0,0,,0,0,0
200019,JobMob06_003,06_001,6,1,2,,6,0,0,06_003,,0,06_003,0,,0,1,0,0,,0,0,0,,0,0,0
200020,Sudachi06,sudachi06,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
200021,JobMob01_001_loop,01_001_loop,5,1,2,,0,0,0,,,0,,0,,1,0,0,0,,0,0,0,,0,0,0
200022,JobMob01_002_loop,01_002_loop,5,1,2,,0,0,0,,,0,,0,,1,0,0,0,,0,0,0,,0,0,0
200023,JobMob01_003_loop,01_003_loop,5,1,2,,0,0,0,,,0,,0,,1,0,0,0,,0,0,0,,0,0,0
200024,JobMob03_001_loop,03_001_loop,5,1,2,,0,0,0,,,0,,0,loopS01_tail,0,0,0,400500,,5,2,0,,0,0,0
200025,Schedulebook01,oh11,3,2,0,,0,0,0,,WaraiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
301001,Catch01,catch01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301002,Push01,push01,3,3,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301003,PushL,push_L,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301004,PushR,push_R,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301005,Hang01_01,hang01_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301006,Hang01_02,hang01_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301007,Hang01_03,hang01_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301008,GatherL,gather_L,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301009,GatherR,gather_R,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301010,Lift01,lift01,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301011,Catch02,catch02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301012,Catch03,catch03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301013,Catch04,catch04,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301014,Catch05,catch05,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301015,Catch06,catch06,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301016,Catch07,catch07,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301017,Catch08,catch08,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301018,Catch09,catch01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301019,Catch10,catch10,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301020,Catch11,catch11,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,401000,,0,2,0,,0,0,0
301021,Catch12,catch12,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301022,Hang02_01,hang02_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301023,Hang02_02,hang02_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301024,Hang02_03,hang02_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301025,Hang03_01,hang03_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301026,Hang03_02,hang03_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301027,Hang03_03,hang03_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301028,Hang04_01,hang04_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301029,Hang04_02,hang04_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301030,Hang04_03,hang04_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301031,Hang05_01,hang05_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301032,Hang05_02,hang05_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301033,Hang05_03,hang05_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301034,Hang05_04,hang05_04,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301035,Hang06_01,hang06_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301036,Hang06_02,hang06_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301037,Hang06_03,hang06_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301038,Hang06_04,hang06_04,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301039,Hang07_01,hang07_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301040,Hang08_01,hang08_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301041,Hang10_01,hang10_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301042,Hang11_01,hang01_01,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301043,Hang11_02,hang01_02,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301044,Hang11_03,hang01_03,3,1,3,mng_0001,0,0,0,,PrizeA,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301045,Lift09,lift09,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301046,Lift10,lift10,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301047,Lift02,lift02,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301048,Lift03,lift03,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301049,Lift04,lift04,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301050,Lift06,lift06,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301051,Lift08,lift08,3,3,3,mng_0001,0,1,0,,,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301052,Sitting00,catch00_01,3,1,3,mng_0001,0,0,0,,WaraiB,0,,0,,0,0,0,0,,0,0,0,,0,0,0
301053,Sitting01,catch00_02,3,1,3,mng_0001,0,0,0,,WaraiB,0,,0,,0,0,0,401000,,0,2,0,,0,0,0
400001,Roulette01,start01,3,2,0,,0,0,0,,KiriC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
400002,Roulette02,run00_loop,3,1,0,,0,0,0,,IkariA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
400003,Roulette03,run02_loop,3,1,0,,0,0,0,,IkariB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
400004,Roulette04,run03_loop,3,1,0,,0,0,0,,OdorokiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
400005,Roulette05,jump01,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,0,,0,0,0,,0,0,0
