id,champions_id,league_type,round_id,round,tier,round_number,breakthrough_number_1,breakthrough_number_2,entry_number,free_entry_number
379,28,1,0,0,0,0,0,0,0,0
380,28,1,1,1,2,5,3,0,3,1
381,28,1,2,2,1,5,1,0,3,1
382,28,1,3,2,2,5,3,1,3,1
383,28,1,4,3,1,1,0,0,0,1
384,28,1,5,3,2,1,0,0,0,1
385,28,1,6,3,0,0,0,0,0,0
386,28,2,0,0,0,0,0,0,0,0
387,28,2,1,1,2,5,3,0,3,1
388,28,2,2,2,1,5,1,0,3,1
389,28,2,3,2,2,5,3,1,3,1
390,28,2,4,3,1,1,0,0,0,1
391,28,2,5,3,2,1,0,0,0,1
392,28,2,6,3,0,0,0,0,0,0
393,29,1,0,0,0,0,0,0,0,0
394,29,1,1,1,2,5,3,0,3,1
395,29,1,2,2,1,5,1,0,3,1
396,29,1,3,2,2,5,3,1,3,1
397,29,1,4,3,1,1,0,0,0,1
398,29,1,5,3,2,1,0,0,0,1
399,29,1,6,3,0,0,0,0,0,0
400,29,2,0,0,0,0,0,0,0,0
401,29,2,1,1,2,5,3,0,3,1
402,29,2,2,2,1,5,1,0,3,1
403,29,2,3,2,2,5,3,1,3,1
404,29,2,4,3,1,1,0,0,0,1
405,29,2,5,3,2,1,0,0,0,1
406,29,2,6,3,0,0,0,0,0,0
407,30,1,0,0,0,0,0,0,0,0
408,30,1,1,1,2,5,3,0,3,1
409,30,1,2,2,1,5,1,0,3,1
410,30,1,3,2,2,5,3,1,3,1
411,30,1,4,3,1,1,0,0,0,1
412,30,1,5,3,2,1,0,0,0,1
413,30,1,6,3,0,0,0,0,0,0
414,30,2,0,0,0,0,0,0,0,0
415,30,2,1,1,2,5,3,0,3,1
416,30,2,2,2,1,5,1,0,3,1
417,30,2,3,2,2,5,3,1,3,1
418,30,2,4,3,1,1,0,0,0,1
419,30,2,5,3,2,1,0,0,0,1
420,30,2,6,3,0,0,0,0,0,0
421,31,1,0,0,0,0,0,0,0,0
422,31,1,1,1,2,5,3,0,3,1
423,31,1,2,2,1,5,1,0,3,1
424,31,1,3,2,2,5,3,1,3,1
425,31,1,4,3,1,1,0,0,0,1
426,31,1,5,3,2,1,0,0,0,1
427,31,1,6,3,0,0,0,0,0,0
428,31,2,0,0,0,0,0,0,0,0
429,31,2,1,1,2,5,3,0,3,1
430,31,2,2,2,1,5,1,0,3,1
431,31,2,3,2,2,5,3,1,3,1
432,31,2,4,3,1,1,0,0,0,1
433,31,2,5,3,2,1,0,0,0,1
434,31,2,6,3,0,0,0,0,0,0
435,32,1,0,0,0,0,0,0,0,0
436,32,1,1,1,2,5,3,0,3,1
437,32,1,2,2,1,5,1,0,3,1
438,32,1,3,2,2,5,3,1,3,1
439,32,1,4,3,1,1,0,0,0,1
440,32,1,5,3,2,1,0,0,0,1
441,32,1,6,3,0,0,0,0,0,0
442,32,2,0,0,0,0,0,0,0,0
443,32,2,1,1,2,5,3,0,3,1
444,32,2,2,2,1,5,1,0,3,1
445,32,2,3,2,2,5,3,1,3,1
446,32,2,4,3,1,1,0,0,0,1
447,32,2,5,3,2,1,0,0,0,1
448,32,2,6,3,0,0,0,0,0,0
449,33,1,0,0,0,0,0,0,0,0
450,33,1,1,1,2,5,3,0,3,1
451,33,1,2,2,1,5,1,0,3,1
452,33,1,3,2,2,5,3,1,3,1
453,33,1,4,3,1,1,0,0,0,1
454,33,1,5,3,2,1,0,0,0,1
455,33,1,6,3,0,0,0,0,0,0
456,33,2,0,0,0,0,0,0,0,0
457,33,2,1,1,2,5,3,0,3,1
458,33,2,2,2,1,5,1,0,3,1
459,33,2,3,2,2,5,3,1,3,1
460,33,2,4,3,1,1,0,0,0,1
461,33,2,5,3,2,1,0,0,0,1
462,33,2,6,3,0,0,0,0,0,0
463,34,1,0,0,0,0,0,0,0,0
464,34,1,1,1,2,5,3,0,4,0
465,34,1,2,2,1,5,1,0,4,0
466,34,1,3,2,2,5,3,1,4,0
467,34,1,4,3,1,1,0,0,0,1
468,34,1,5,3,2,1,0,0,0,1
469,34,1,6,3,0,0,0,0,0,0
470,34,2,0,0,0,0,0,0,0,0
471,34,2,1,1,2,5,3,0,4,0
472,34,2,2,2,1,5,1,0,4,0
473,34,2,3,2,2,5,3,1,4,0
474,34,2,4,3,1,1,0,0,0,1
475,34,2,5,3,2,1,0,0,0,1
476,34,2,6,3,0,0,0,0,0,0
477,35,1,0,0,0,0,0,0,0,0
478,35,1,1,1,2,5,3,0,4,0
479,35,1,2,2,1,5,1,0,4,0
480,35,1,3,2,2,5,3,1,4,0
481,35,1,4,3,1,1,0,0,0,1
482,35,1,5,3,2,1,0,0,0,1
483,35,1,6,3,0,0,0,0,0,0
484,35,2,0,0,0,0,0,0,0,0
485,35,2,1,1,2,5,3,0,4,0
486,35,2,2,2,1,5,1,0,4,0
487,35,2,3,2,2,5,3,1,4,0
488,35,2,4,3,1,1,0,0,0,1
489,35,2,5,3,2,1,0,0,0,1
490,35,2,6,3,0,0,0,0,0,0
491,36,1,0,0,0,0,0,0,0,0
492,36,1,1,1,2,5,3,0,4,0
493,36,1,2,2,1,5,1,0,4,0
494,36,1,3,2,2,5,3,1,4,0
495,36,1,4,3,1,1,0,0,0,1
496,36,1,5,3,2,1,0,0,0,1
497,36,1,6,3,0,0,0,0,0,0
498,36,2,0,0,0,0,0,0,0,0
499,36,2,1,1,2,5,3,0,4,0
500,36,2,2,2,1,5,1,0,4,0
501,36,2,3,2,2,5,3,1,4,0
502,36,2,4,3,1,1,0,0,0,1
503,36,2,5,3,2,1,0,0,0,1
504,36,2,6,3,0,0,0,0,0,0
505,37,1,0,0,0,0,0,0,0,0
506,37,1,1,1,2,5,3,0,4,0
507,37,1,2,2,1,5,1,0,4,0
508,37,1,3,2,2,5,3,1,4,0
509,37,1,4,3,1,1,0,0,0,1
510,37,1,5,3,2,1,0,0,0,1
511,37,1,6,3,0,0,0,0,0,0
512,37,2,0,0,0,0,0,0,0,0
513,37,2,1,1,2,5,3,0,4,0
514,37,2,2,2,1,5,1,0,4,0
515,37,2,3,2,2,5,3,1,4,0
516,37,2,4,3,1,1,0,0,0,1
517,37,2,5,3,2,1,0,0,0,1
518,37,2,6,3,0,0,0,0,0,0
519,38,1,0,0,0,0,0,0,0,0
520,38,1,1,1,2,5,3,0,4,0
521,38,1,2,2,1,5,1,0,4,0
522,38,1,3,2,2,5,3,1,4,0
523,38,1,4,3,1,1,0,0,0,1
524,38,1,5,3,2,1,0,0,0,1
525,38,1,6,3,0,0,0,0,0,0
526,38,2,0,0,0,0,0,0,0,0
527,38,2,1,1,2,5,3,0,4,0
528,38,2,2,2,1,5,1,0,4,0
529,38,2,3,2,2,5,3,1,4,0
530,38,2,4,3,1,1,0,0,0,1
531,38,2,5,3,2,1,0,0,0,1
532,38,2,6,3,0,0,0,0,0,0
533,39,1,0,0,0,0,0,0,0,0
534,39,1,1,1,2,5,3,0,4,0
535,39,1,2,2,1,5,1,0,4,0
536,39,1,3,2,2,5,3,1,4,0
537,39,1,4,3,1,1,0,0,0,1
538,39,1,5,3,2,1,0,0,0,1
539,39,1,6,3,0,0,0,0,0,0
540,39,2,0,0,0,0,0,0,0,0
541,39,2,1,1,2,5,3,0,4,0
542,39,2,2,2,1,5,1,0,4,0
543,39,2,3,2,2,5,3,1,4,0
544,39,2,4,3,1,1,0,0,0,1
545,39,2,5,3,2,1,0,0,0,1
546,39,2,6,3,0,0,0,0,0,0
547,40,1,0,0,0,0,0,0,0,0
548,40,1,1,1,2,5,3,0,4,0
549,40,1,2,2,1,5,1,0,4,0
550,40,1,3,2,2,5,3,1,4,0
551,40,1,4,3,1,1,0,0,0,1
552,40,1,5,3,2,1,0,0,0,1
553,40,1,6,3,0,0,0,0,0,0
554,40,2,0,0,0,0,0,0,0,0
555,40,2,1,1,2,5,3,0,4,0
556,40,2,2,2,1,5,1,0,4,0
557,40,2,3,2,2,5,3,1,4,0
558,40,2,4,3,1,1,0,0,0,1
559,40,2,5,3,2,1,0,0,0,1
560,40,2,6,3,0,0,0,0,0,0
561,41,1,0,0,0,0,0,0,0,0
562,41,1,1,1,2,5,3,0,4,0
563,41,1,2,2,1,5,1,0,4,0
564,41,1,3,2,2,5,3,1,4,0
565,41,1,4,3,1,1,0,0,0,1
566,41,1,5,3,2,1,0,0,0,1
567,41,1,6,3,0,0,0,0,0,0
568,41,2,0,0,0,0,0,0,0,0
569,41,2,1,1,2,5,3,0,4,0
570,41,2,2,2,1,5,1,0,4,0
571,41,2,3,2,2,5,3,1,4,0
572,41,2,4,3,1,1,0,0,0,1
573,41,2,5,3,2,1,0,0,0,1
574,41,2,6,3,0,0,0,0,0,0
575,42,1,0,0,0,0,0,0,0,0
576,42,1,1,1,2,5,3,0,4,0
577,42,1,2,2,1,5,1,0,4,0
578,42,1,3,2,2,5,3,1,4,0
579,42,1,4,3,1,1,0,0,0,1
580,42,1,5,3,2,1,0,0,0,1
581,42,1,6,3,0,0,0,0,0,0
582,42,2,0,0,0,0,0,0,0,0
583,42,2,1,1,2,5,3,0,4,0
584,42,2,2,2,1,5,1,0,4,0
585,42,2,3,2,2,5,3,1,4,0
586,42,2,4,3,1,1,0,0,0,1
587,42,2,5,3,2,1,0,0,0,1
588,42,2,6,3,0,0,0,0,0,0
589,43,1,0,0,0,0,0,0,0,0
590,43,1,1,1,2,5,3,0,4,0
591,43,1,2,2,1,5,1,0,4,0
592,43,1,3,2,2,5,3,1,4,0
593,43,1,4,3,1,1,0,0,0,1
594,43,1,5,3,2,1,0,0,0,1
595,43,1,6,3,0,0,0,0,0,0
596,43,2,0,0,0,0,0,0,0,0
597,43,2,1,1,2,5,3,0,4,0
598,43,2,2,2,1,5,1,0,4,0
599,43,2,3,2,2,5,3,1,4,0
600,43,2,4,3,1,1,0,0,0,1
601,43,2,5,3,2,1,0,0,0,1
602,43,2,6,3,0,0,0,0,0,0
603,44,1,0,0,0,0,0,0,0,0
604,44,1,1,1,2,5,3,0,4,0
605,44,1,2,2,1,5,1,0,4,0
606,44,1,3,2,2,5,3,1,4,0
607,44,1,4,3,1,1,0,0,0,1
608,44,1,5,3,2,1,0,0,0,1
609,44,1,6,3,0,0,0,0,0,0
610,44,2,0,0,0,0,0,0,0,0
611,44,2,1,1,2,5,3,0,4,0
612,44,2,2,2,1,5,1,0,4,0
613,44,2,3,2,2,5,3,1,4,0
614,44,2,4,3,1,1,0,0,0,1
615,44,2,5,3,2,1,0,0,0,1
616,44,2,6,3,0,0,0,0,0,0
617,45,1,0,0,0,0,0,0,0,0
618,45,1,1,1,2,5,3,0,4,0
619,45,1,2,2,1,5,1,0,4,0
620,45,1,3,2,2,5,3,1,4,0
621,45,1,4,3,1,1,0,0,0,1
622,45,1,5,3,2,1,0,0,0,1
623,45,1,6,3,0,0,0,0,0,0
624,45,2,0,0,0,0,0,0,0,0
625,45,2,1,1,2,5,3,0,4,0
626,45,2,2,2,1,5,1,0,4,0
627,45,2,3,2,2,5,3,1,4,0
628,45,2,4,3,1,1,0,0,0,1
629,45,2,5,3,2,1,0,0,0,1
630,45,2,6,3,0,0,0,0,0,0
631,46,1,0,0,0,0,0,0,0,0
