id,chara_id,race_dress_id,nickname_id,card_rarity_data_id,post,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id
217,1046,104601,88,10460103,0,832,520,682,803,708,6,7,7,3,7,4,1,1,3,7,32104620
219,1098,109801,231,10980103,0,556,751,609,667,651,5,7,7,1,6,7,5,1,2,7,32109820
221,1053,105301,230,10530103,2,739,535,760,616,554,7,7,5,1,5,6,7,5,7,4,32105321
223,1010,101023,83,10100203,0,638,598,731,667,517,7,7,3,1,5,7,3,1,7,6,32101021
225,1068,106801,178,10680103,0,702,699,601,741,695,3,5,7,7,7,6,5,1,7,1,32106822
227,1067,106701,179,10670103,2,639,601,669,636,679,1,5,7,7,1,6,7,4,7,1,32106722
229,1021,102143,173,10210203,0,697,678,710,629,537,1,3,7,7,1,7,6,6,7,2,32102123
231,1048,104801,170,10480103,2,760,711,701,562,641,1,2,7,6,5,6,7,1,7,1,32104823
233,1006,100646,84,10060203,0,657,557,698,639,637,3,7,7,7,2,7,6,4,7,6,32100624
235,1025,102501,169,10250103,2,699,756,708,490,599,1,2,6,7,1,6,7,5,7,1,32102524
237,1069,106901,174,10690103,0,644,623,591,668,655,3,7,7,3,6,7,2,1,7,1,32106926
239,1026,102613,87,10260203,0,760,711,701,562,641,5,7,7,6,7,3,1,1,7,1,32102626
241,1042,104201,258,10420103,0,699,631,662,629,528,7,7,4,1,5,7,6,5,7,2,32104225
243,1061,106150,126,10610203,2,801,510,798,546,677,7,6,6,5,1,6,7,4,7,1,32106125
245,1057,105701,268,10570103,2,745,745,773,549,591,1,6,7,6,1,2,6,7,7,1,32105727
247,1020,102020,164,10200203,0,798,799,776,634,607,1,5,7,7,7,6,4,3,7,1,32102027
249,1034,103401,227,10340103,2,711,579,684,684,627,2,6,7,7,1,6,5,7,7,7,32103428
251,1015,101510,86,10150203,2,707,584,648,659,683,1,3,7,7,5,6,7,1,7,3,32101528
253,1031,103101,225,10310103,0,692,622,714,653,633,1,7,7,5,7,5,1,1,7,1,32103129
255,1033,103301,176,10330103,2,732,667,751,585,596,2,5,7,5,1,1,6,7,7,1,32103329
257,1085,108501,278,10850103,2,676,544,702,581,596,7,7,3,1,1,6,6,7,7,1,32108530
259,1065,106501,265,10650103,0,838,698,454,675,442,7,7,6,3,6,7,1,1,7,1,32106530
261,1049,104901,261,10490103,2,838,621,691,568,521,1,5,7,6,1,6,7,4,7,1,32104931
263,1007,100730,77,10070203,0,813,664,759,510,521,1,5,7,7,1,7,6,6,7,1,32100731
265,1046,104602,88,10460203,0,738,568,635,705,611,6,7,7,3,7,4,1,1,3,7,32104632
267,1100,110001,262,11000103,0,661,569,630,739,720,4,7,7,3,5,7,5,3,1,7,32110032
269,1087,108701,259,10870103,0,634,582,669,665,680,7,6,1,1,7,6,1,1,7,1,32108733
271,1038,103826,89,10380203,0,644,552,709,608,638,7,4,1,1,6,7,3,1,7,2,32103833
273,1030,103040,45,10300203,0,510,385,713,728,784,3,5,7,7,6,7,5,1,7,1,32103034
275,1036,103601,229,10360103,2,584,511,704,629,763,2,5,7,7,2,5,7,6,7,1,32103634
277,1017,101743,78,10170203,2,703,533,656,589,646,3,6,7,7,6,6,7,5,7,1,32101735
279,1047,104701,263,10470103,2,639,729,669,597,617,1,3,7,7,1,6,7,2,7,1,32104735
281,1083,108301,279,10830103,2,718,648,718,572,643,1,3,7,7,1,6,7,4,7,1,32101736
283,1009,100946,75,10090203,0,710,630,721,674,575,2,7,7,7,7,6,3,1,7,1,32104736
285,1062,106201,177,10620103,2,753,586,718,554,624,1,2,7,7,2,6,7,3,7,1,32106237
287,1048,104823,170,10480203,2,537,526,709,720,647,1,1,7,6,1,6,7,1,7,1,32104837
289,1055,105501,285,10550103,0,699,626,680,578,680,1,1,7,6,1,7,6,5,7,2,32105538
291,1018,101826,43,10180203,0,609,581,663,632,723,5,6,7,3,4,7,6,1,7,1,32991838
293,1051,105126,223,10510203,0,705,475,697,678,589,7,7,4,1,5,7,5,1,7,7,32105139
295,1029,102901,232,10290103,0,663,600,578,663,636,4,7,7,3,5,7,2,1,7,6,32992939
297,1032,103230,48,10320203,0,654,676,645,450,748,1,4,7,6,3,7,6,2,7,1,32103240
299,1105,110501,282,11050103,2,637,617,661,600,715,2,6,7,6,2,6,7,5,7,1,32110540
301,1076,107601,281,10760103,2,812,480,620,492,632,1,5,7,7,1,6,7,6,7,3,32107641
303,1106,110601,283,11060103,2,584,613,544,648,682,1,1,7,7,1,6,7,5,7,1,32110641
305,1069,106901,174,10690103,0,620,658,624,706,692,3,7,7,3,6,7,2,1,7,1,32106942
307,1071,107101,175,10710103,0,612,692,664,619,666,3,6,7,4,5,7,5,1,7,2,32997142
309,1002,100230,67,10020203,0,704,585,753,678,605,4,7,7,3,7,5,3,1,7,1,32100243
311,1107,110701,298,11070103,0,645,672,630,728,585,1,2,7,6,6,7,2,1,7,1,32110743
313,1041,104150,71,10410203,0,650,598,683,705,571,7,6,1,1,6,7,2,1,7,7,32104144
315,1054,105401,302,10540103,2,620,486,779,545,731,7,6,1,1,1,6,7,6,7,7,32995444
317,1022,102226,172,10220203,0,680,650,641,635,612,2,7,7,5,4,7,3,5,7,1,32102245
319,1091,109101,301,10910103,2,710,599,724,581,626,3,7,7,1,1,4,7,5,7,1,32109145
321,1045,104540,72,10450203,0,702,608,743,535,712,1,1,7,7,4,7,6,1,7,1,32104546
323,1077,107701,288,10770103,0,680,548,724,581,626,2,5,7,7,4,7,6,3,7,1,32107746
325,1104,110401,286,11040103,0,634,759,616,670,602,3,6,7,5,7,6,3,1,7,1,32110447
327,1008,100846,74,10080203,0,639,567,753,591,645,2,7,7,2,5,7,6,2,7,1,32100847
329,1016,101602,161,10160203,0,701,632,641,541,556,6,6,7,7,4,7,6,2,7,1,32101648
331,1119,111901,326,11190103,2,641,703,764,538,714,2,5,7,7,1,1,6,7,7,1,32111948
333,1004,100430,69,10040203,0,702,605,601,656,702,7,7,6,5,7,5,1,1,7,7,32100449
335,1124,112401,337,11240103,0,668,613,543,674,672,1,7,7,1,3,7,6,1,7,1,32112449
337,1043,104301,266,10430103,0,689,529,743,564,605,5,7,6,1,1,7,6,2,2,7,32104350
339,1080,108001,311,10800103,0,702,543,613,674,713,1,7,7,1,7,6,2,1,2,7,32108050
341,1034,103443,227,10340203,2,645,699,743,581,602,2,6,7,7,1,6,7,6,7,7,32103451
343,1023,102346,151,10230203,0,668,613,543,674,702,6,6,7,7,1,7,5,1,7,1,32102351
345,1050,105016,160,10500203,2,729,637,716,643,500,5,6,7,5,1,1,6,7,7,1,32105052
347,1108,110801,310,11080103,2,668,613,543,674,594,1,7,7,5,1,5,6,7,7,1,32110852
349,1035,103516,47,10350203,2,686,635,686,613,532,1,2,7,6,1,6,7,1,7,1,32103553
351,1084,108401,284,10840103,2,694,624,745,551,626,2,7,7,2,1,4,7,6,7,2,32108453
353,1027,102713,82,10270203,0,662,672,640,618,640,3,5,7,6,2,7,6,2,7,1,32102754
355,1088,108801,299,10880103,2,678,608,761,594,599,1,6,7,3,1,6,7,4,7,1,32108854
357,1099,109901,264,10990103,0,707,618,629,637,648,4,7,7,3,6,7,3,1,1,7,32109955
359,1098,109850,231,10980203,0,699,570,713,624,686,5,7,7,1,6,7,5,1,2,7,32109855
