character_id,win_1,win_2,win_2_position_y,win_3,win_3_position_y,win_4,win_4_position_y,win_5,lose_1,lose_2,lose_3,lose_4,lose_5,draw_1,draw_2,draw_3,draw_4,draw_5,position_y
1038,1038001,1038001,0,1038001,0,1038001,0,1038001,5,5,5,5,5,9,9,9,9,9,0
1039,1039000,1039000,0,1039000,0,1039000,0,1039000,5,5,5,5,5,9,9,9,9,9,0
1040,1040000,1040000,0,1040000,0,1040000,0,1040000,5,5,5,5,5,9,9,9,9,9,0
1041,1041000,1041000,0,1041001,0,1041000,0,1041000,5,5,5,5,5,9,9,9,9,9,0
1042,1042001,1042001,0,1042001,0,1042001,0,1042001,5,5,5,5,5,9,9,9,9,9,0
1043,1043001,1043001,0,1043001,0,1043001,0,1043001,5,5,5,5,5,9,9,9,9,9,0
1044,1044000,1044000,0,1044000,0,1044000,0,1044000,5,5,5,5,5,9,9,9,9,9,0
1045,1045000,1045000,0,1045001,0,1045000,0,1045000,5,5,5,5,5,9,9,9,9,9,0
1046,1046001,1046001,0,1046001,0,1046001,0,1046001,5,5,5,5,5,9,9,9,9,9,0
1047,1047001,1047001,0,1047001,0,1047001,0,1047001,5,5,5,5,5,9,9,9,9,9,0
1048,1048001,1048001,0,1048001,0,1048001,0,1048001,5,5,5,5,5,9,9,9,9,9,0
1049,1049001,1049001,0,1049001,0,1049001,0,1049001,5,5,5,5,5,9,9,9,9,9,0
1050,1050001,1050001,0,1050001,0,1050001,0,1050001,5,5,5,5,5,9,9,9,9,9,0
1051,1051001,1051001,0,1051001,0,1051001,0,1051001,5,5,5,5,5,9,9,9,9,9,0
1052,1052000,1052000,0,1052000,0,1052000,0,1052000,5,5,5,5,5,9,9,9,9,9,0
1053,1053000,1053000,0,1053000,0,1053000,0,1053000,5,5,5,5,5,9,9,9,9,9,0
1054,1054001,1054001,0,1054001,0,1054001,0,1054001,5,5,5,5,5,9,9,9,9,9,0
1055,1055000,1055000,0,1055000,0,1055000,0,1055000,5,5,5,5,5,9,9,9,9,9,0
1056,1056000,1056000,0,1056000,0,1056000,0,1056000,5,5,5,5,5,9,9,9,9,9,0
1057,1057001,1057001,0,1057001,0,1057001,0,1057001,5,5,5,5,5,9,9,9,9,9,0
1058,1058001,1058001,0,1058001,0,1058001,0,1058001,5,5,5,5,5,9,9,9,9,9,0
1059,1059001,1059001,0,1059001,0,1059001,0,1059001,5,5,5,5,5,9,9,9,9,9,0
1060,1060000,1060000,0,1060000,0,1060000,0,1060000,5,5,5,5,5,9,9,9,9,9,0
1061,1061000,1061000,0,1061000,0,1061000,0,1061000,5,5,5,5,5,9,9,9,9,9,0
1062,1062000,1062000,0,1062000,0,1062000,0,1062000,5,5,5,5,5,9,9,9,9,9,0
1063,1063001,1063001,0,1063001,0,1063001,0,1063001,5,5,5,5,5,9,9,9,9,9,0
1064,1064001,1064001,0,1064001,0,1064001,0,1064001,5,5,5,5,5,9,9,9,9,9,0
1065,1065000,1065000,0,1065000,0,1065000,0,1065000,5,5,5,5,5,9,9,9,9,9,0
1066,1066000,1066000,0,1066000,0,1066000,0,1066000,5,5,5,5,5,9,9,9,9,9,0
1067,1067001,1067001,0,1067001,0,1067001,0,1067001,5,5,5,5,5,9,9,9,9,9,0
1068,1068000,1068000,0,1068000,0,1068000,0,1068000,5,5,5,5,5,9,9,9,9,9,0
1069,1069000,1069000,0,1069000,0,1069000,0,1069000,5,5,5,5,5,9,9,9,9,9,0
1070,1070001,1070001,0,1070001,0,1070001,0,1070001,5,5,5,5,5,9,9,9,9,9,0
1071,1071001,1071001,0,1071001,0,1071001,0,1071001,5,5,5,5,5,9,9,9,9,9,0
1072,1072001,1072001,0,1072001,0,1072001,0,1072001,5,5,5,5,5,9,9,9,9,9,0
1073,1073000,1073000,0,1073000,0,1073000,0,1073000,5,5,5,5,5,9,9,9,9,9,0
1074,1074000,1074000,0,1074000,0,1074000,0,1074000,5,5,5,5,5,9,9,9,9,9,0
1075,1075000,1075000,0,1075000,0,1075000,0,1075000,5,5,5,5,5,9,9,9,9,9,0
1076,1076000,1076000,0,1076000,0,1076000,0,1076000,5,5,5,5,5,9,9,9,9,9,0
1077,1077000,1077000,0,1077000,0,1077000,0,1077000,5,5,5,5,5,9,9,9,9,9,0
1078,1078001,1078001,0,1078001,0,1078001,0,1078001,5,5,5,5,5,9,9,9,9,9,0
1079,1079001,1079001,0,1079001,0,1079001,0,1079001,5,5,5,5,5,9,9,9,9,9,0
1080,1080001,1080001,0,1080001,0,1080001,0,1080001,5,5,5,5,5,9,9,9,9,9,0
1081,1081001,1081001,0,1081001,0,1081001,0,1081001,5,5,5,5,5,9,9,9,9,9,0
1082,1082001,1082001,0,1082001,0,1082001,0,1082001,5,5,5,5,5,9,9,9,9,9,0
1083,1083000,1083000,0,1083000,0,1083000,0,1083000,5,5,5,5,5,9,9,9,9,9,0
1084,1084001,1084001,0,1084001,0,1084001,0,1084001,5,5,5,5,5,9,9,9,9,9,0
1085,1013,1013,0,1013,0,1013,0,1013,5,5,5,5,5,9,9,9,9,9,0
1086,1086000,1086000,0,1086000,0,1086000,0,1086000,5,5,5,5,5,9,9,9,9,9,0
1087,1087001,1087001,0,1087001,0,1087001,0,1087001,5,5,5,5,5,9,9,9,9,9,0
1088,1088001,1088001,0,1088001,0,1088001,0,1088001,5,5,5,5,5,9,9,9,9,9,0
1089,1089000,1089000,0,1089000,0,1089000,0,1089000,5,5,5,5,5,9,9,9,9,9,0
1090,1090000,1090000,0,1090000,0,1090000,0,1090000,5,5,5,5,5,9,9,9,9,9,0
1091,1091000,1091000,0,1091000,0,1091000,0,1091000,5,5,5,5,5,9,9,9,9,9,0
1092,1092001,1092001,0,1092001,0,1092001,0,1092001,5,5,5,5,5,9,9,9,9,9,0
1093,0,0,0,0,0,0,0,0,5,5,5,5,5,9,9,9,9,9,0
1094,1094000,1094000,0,1094000,0,1094000,0,1094000,5,5,5,5,5,9,9,9,9,9,0
1095,1095001,1095001,0,1095001,0,1095001,0,1095001,5,5,5,5,5,9,9,9,9,9,0
1096,1096001,1096001,0,1096001,0,1096001,0,1096001,5,5,5,5,5,9,9,9,9,9,0
1097,1097001,1097001,0,1097001,0,1097001,0,1097001,5,5,5,5,5,9,9,9,9,9,0
1098,1098001,1098001,0,1098001,0,1098001,0,1098001,5,5,5,5,5,9,9,9,9,9,0
1099,1099001,1099001,0,1099001,0,1099001,0,1099001,5,5,5,5,5,9,9,9,9,9,0
1100,1100000,1100000,0,1100000,0,1100000,0,1100000,5,5,5,5,5,9,9,9,9,9,0
1102,1102000,1102000,0,1102000,0,1102000,0,1102000,5,5,5,5,5,9,9,9,9,9,0
1103,1103000,1103000,0,1103000,0,1103000,0,1103000,5,5,5,5,5,9,9,9,9,9,0
1104,1104000,1104000,0,1104000,0,1104000,0,1104000,5,5,5,5,5,9,9,9,9,9,0
1105,1105000,1105000,0,1105000,0,1105000,0,1105000,5,5,5,5,5,9,9,9,9,9,0
1106,1106000,1106000,0,1106000,0,1106000,0,1106000,5,5,5,5,5,9,9,9,9,9,0
1107,1107001,1107001,0,1107001,0,1107001,0,1107001,5,5,5,5,5,9,9,9,9,9,0
1108,1108000,1108000,0,1108000,0,1108000,0,1108000,5,5,5,5,5,9,9,9,9,9,0
1109,1109001,1109001,0,1109001,0,1109001,0,1109001,5,5,5,5,5,9,9,9,9,9,0
1110,1,1,0,1,0,1,0,1,5,5,5,5,5,9,9,9,9,9,0
1111,1111000,1111000,0,1111000,0,1111000,0,1111000,5,5,5,5,5,9,9,9,9,9,0
1112,1112001,1112001,0,1112001,0,1112001,0,1112001,5,5,5,5,5,9,9,9,9,9,0
1113,1113001,1113001,0,1113001,0,1113001,0,1113001,5,5,5,5,5,9,9,9,9,9,0
1114,1114000,1114000,0,1114000,0,1114000,0,1114000,5,5,5,5,5,9,9,9,9,9,0
1115,1115000,1115000,0,1115000,0,1115000,0,1115000,5,5,5,5,5,9,9,9,9,9,0
1116,1116000,1116000,0,1116000,0,1116000,0,1116000,5,5,5,5,5,9,9,9,9,9,0
1117,1117000,1117000,0,1117000,0,1117000,0,1117000,5,5,5,5,5,9,9,9,9,9,0
1118,1118001,1118001,0,1118001,0,1118001,0,1118001,5,5,5,5,5,9,9,9,9,9,0
1119,1119001,1119001,0,1119001,0,1119001,0,1119001,5,5,5,5,5,9,9,9,9,9,0
1120,1120001,1120001,0,1120001,0,1120001,0,1120001,5,5,5,5,5,9,9,9,9,9,0
1121,1121000,1121000,0,1121000,0,1121000,0,1121000,5,5,5,5,5,9,9,9,9,9,0
1124,1124001,1124001,0,1124001,0,1124001,0,1124001,5,5,5,5,5,9,9,9,9,9,0
1126,1126000,1126000,0,1126000,0,1126000,0,1126000,5,5,5,5,5,9,9,9,9,9,0
1127,1127001,1127001,0,1127001,0,1127001,0,1127001,5,5,5,5,5,9,9,9,9,9,0
1128,1128001,1128001,0,1128001,0,1128001,0,1128001,5,5,5,5,5,9,9,9,9,9,0
1129,1129001,1129001,0,1129001,0,1129001,0,1129001,5,5,5,5,5,9,9,9,9,9,0
1130,1130001,1130001,0,1130001,0,1130001,0,1130001,5,5,5,5,5,9,9,9,9,9,0
1131,1131000,1131000,0,1131000,0,1131000,0,1131000,5,5,5,5,5,9,9,9,9,9,0
1132,1132001,1132001,0,1132001,0,1132001,0,1132001,5,5,5,5,5,9,9,9,9,9,0
1133,1133001,1133001,0,1133001,0,1133001,0,1133001,5,5,5,5,5,9,9,9,9,9,0
1134,1134000,1134000,0,1134000,0,1134000,0,1134000,5,5,5,5,5,9,9,9,9,9,0
1135,1135000,1135000,0,1135000,0,1135000,0,1135000,5,5,5,5,5,9,9,9,9,9,0
1136,1136001,1136001,0,1136001,0,1136001,0,1136001,5,5,5,5,5,9,9,9,9,9,0
1137,1137000,1137000,0,1137000,0,1137000,0,1137000,5,5,5,5,5,9,9,9,9,9,0
1138,1138000,1138000,0,1138000,0,1138000,0,1138000,5,5,5,5,5,9,9,9,9,9,0
1140,1140000,1140000,0,1140000,0,1140000,0,1140000,5,5,5,5,5,9,9,9,9,9,0
1143,1143000,1143000,0,1143000,0,1143000,0,1143000,5,5,5,5,5,9,9,9,9,9,0
