id,chara_id_1,dress_id_1,enable_eat_1,chara_id_2,dress_id_2,enable_eat_2,chara_id_3,dress_id_3,enable_eat_3
138,9044,904401,0,0,-1,0,0,-1,0
139,9045,904501,0,0,-1,0,0,-1,0
140,2008,200803,0,0,-1,0,0,-1,0
141,9046,904601,0,0,-1,0,0,-1,0
142,9047,904701,0,0,-1,0,0,-1,0
143,9048,904801,0,0,-1,0,0,-1,0
144,9049,904901,0,0,-1,0,0,-1,0
145,9050,905001,0,0,-1,0,0,-1,0
146,9051,905101,0,0,-1,0,0,-1,0
147,1139,113901,0,0,-1,0,0,-1,0
148,1103,-1,0,0,-1,0,0,-1,0
149,1129,-1,0,0,-1,0,0,-1,0
150,1143,-1,0,0,-1,0,0,-1,0
151,1130,-1,0,0,-1,0,0,-1,0
152,1118,-1,0,0,-1,0,0,-1,0
153,1112,-1,0,0,-1,0,0,-1,0
154,1136,-1,0,0,-1,0,0,-1,0
155,1134,-1,0,0,-1,0,0,-1,0
