chara_id,event_type,body_shape,prop_id_right,prop_eat_animation_right,override_motion_right,prop_id_left,prop_eat_animation_left,override_motion_left,walk_motion,walk_chara_face_type,eat_motion,eat_facial_motion,odds
1035,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1041,0,0,0,,,0,,,,,,,80
1041,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1041,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1041,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1045,0,0,0,,,0,,,,,,,80
1045,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1045,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1045,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1056,0,0,0,,,0,,,,,,,80
1056,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1056,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1056,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1028,0,0,0,,,0,,,,,,,80
1028,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1028,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1028,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1039,0,0,0,,,0,,,,,,,80
1039,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1039,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1039,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1048,0,0,0,,,0,,,,,,,80
1048,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1048,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1048,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1062,0,0,0,,,0,,,,,,,80
1062,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1062,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1062,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1065,0,0,0,,,0,,,,,,,80
1065,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1065,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1065,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1043,0,0,0,,,0,,,,,,,80
1043,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1043,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1043,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1106,0,0,0,,,0,,,,,,,80
1106,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1106,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1106,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1107,0,0,0,,,0,,,,,,,80
1107,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1107,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1107,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1089,0,0,0,,,0,,,,,,,80
1089,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1089,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1089,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1094,0,0,0,,,0,,,,,,,80
1094,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1094,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1094,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1120,0,0,0,,,0,,,,,,,80
1120,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1120,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1120,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1121,0,0,0,,,0,,,,,,,80
1121,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1121,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1121,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1131,0,0,0,,,0,,,,,,,80
1131,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1131,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1131,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1096,0,0,0,,,0,,,,,,,80
1096,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1096,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1096,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1113,0,0,0,,,0,,,,,,,80
1113,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1113,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1113,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1001,3,0,0,,,0,,,,,,,40
1002,3,0,0,,,0,,,,,,,40
1003,3,0,0,,,0,,,,,,,40
1004,3,0,0,,,0,,,,,,,40
1005,3,0,0,,,0,,,,,,,40
1006,3,0,0,,,0,,,,,,,40
1007,3,0,0,,,0,,,,,,,40
1008,3,0,0,,,0,,,,,,,40
1009,3,0,0,,,0,,,,,,,40
1010,3,0,0,,,0,,,,,,,40
1011,3,0,0,,,0,,,,,,,40
1012,3,0,0,,,0,,,,,,,40
1013,3,0,0,,,0,,,,,,,40
1014,3,0,0,,,0,,,,,,,40
1015,3,0,0,,,0,,,,,,,40
1016,3,0,0,,,0,,,,,,,40
1017,3,0,0,,,0,,,,,,,40
1018,3,0,0,,,0,,,,,,,40
1019,3,0,0,,,0,,,,,,,40
1020,3,0,0,,,0,,,,,,,40
1021,3,0,0,,,0,,,,,,,40
1022,3,0,0,,,0,,,,,,,40
1023,3,0,0,,,0,,,,,,,40
1024,3,0,0,,,0,,,,,,,40
1025,3,0,0,,,0,,,,,,,40
1026,3,0,0,,,0,,,,,,,40
1027,3,0,0,,,0,,,,,,,40
1028,3,0,0,,,0,,,,,,,40
1029,3,0,0,,,0,,,,,,,40
1030,3,0,0,,,0,,,,,,,40
1031,3,0,0,,,0,,,,,,,40
1032,3,0,0,,,0,,,,,,,40
1033,3,0,0,,,0,,,,,,,40
1034,3,0,0,,,0,,,,,,,40
1035,3,0,0,,,0,,,,,,,40
1036,3,0,0,,,0,,,,,,,40
1037,3,0,0,,,0,,,,,,,40
1038,3,0,0,,,0,,,,,,,40
1039,3,0,0,,,0,,,,,,,40
1040,3,0,0,,,0,,,,,,,40
1041,3,0,0,,,0,,,,,,,40
1042,3,0,0,,,0,,,,,,,40
1043,3,0,0,,,0,,,,,,,40
1044,3,0,0,,,0,,,,,,,40
1045,3,0,0,,,0,,,,,,,40
1046,3,0,0,,,0,,,,,,,40
1047,3,0,0,,,0,,,,,,,40
1048,3,0,0,,,0,,,,,,,40
1049,3,0,0,,,0,,,,,,,40
1050,3,0,0,,,0,,,,,,,40
1051,3,0,0,,,0,,,,,,,40
1052,3,0,0,,,0,,,,,,,40
1053,3,0,0,,,0,,,,,,,40
1054,3,0,0,,,0,,,,,,,40
1055,3,0,0,,,0,,,,,,,40
1056,3,0,0,,,0,,,,,,,40
1057,3,0,0,,,0,,,,,,,40
1058,3,0,0,,,0,,,,,,,40
1059,3,0,0,,,0,,,,,,,40
1060,3,0,0,,,0,,,,,,,40
1061,3,0,0,,,0,,,,,,,40
1062,3,0,0,,,0,,,,,,,40
1063,3,0,0,,,0,,,,,,,40
1064,3,0,0,,,0,,,,,,,40
1065,3,0,0,,,0,,,,,,,40
1066,3,0,0,,,0,,,,,,,40
1067,3,0,0,,,0,,,,,,,40
1068,3,0,0,,,0,,,,,,,40
1069,3,0,0,,,0,,,,,,,40
1070,3,0,0,,,0,,,,,,,40
1071,3,0,0,,,0,,,,,,,40
1072,3,0,0,,,0,,,,,,,40
1074,3,0,0,,,0,,,,,,,40
1076,3,0,0,,,0,,,,,,,40
1077,3,0,0,,,0,,,,,,,40
1078,3,0,0,,,0,,,,,,,40
1080,3,0,0,,,0,,,,,,,40
1082,3,0,0,,,0,,,,,,,40
1083,3,0,0,,,0,,,,,,,40
1084,3,0,0,,,0,,,,,,,40
1085,3,0,0,,,0,,,,,,,40
1086,3,0,0,,,0,,,,,,,40
1087,3,0,0,,,0,,,,,,,40
1088,3,0,0,,,0,,,,,,,40
1089,3,0,0,,,0,,,,,,,40
1091,3,0,0,,,0,,,,,,,40
1093,3,0,0,,,0,,,,,,,40
1094,3,0,0,,,0,,,,,,,40
1098,3,0,0,,,0,,,,,,,40
1099,3,0,0,,,0,,,,,,,40
1100,3,0,0,,,0,,,,,,,40
1102,3,0,0,,,0,,,,,,,40
1104,3,0,0,,,0,,,,,,,40
1105,3,0,0,,,0,,,,,,,40
1106,3,0,0,,,0,,,,,,,40
1107,3,0,0,,,0,,,,,,,40
1108,3,0,0,,,0,,,,,,,40
1109,3,0,0,,,0,,,,,,,40
1110,3,0,0,,,0,,,,,,,40
1116,3,0,0,,,0,,,,,,,40
1119,3,0,0,,,0,,,,,,,40
1120,3,0,0,,,0,,,,,,,40
1001,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,WaraiC,eat20_03,eat20_03_loop_face,60
1006,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,DoyaA,eat20_03,eat20_03_loop_face,60
1007,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,WaraiC,eat20_03,eat20_03_loop_face,60
1010,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,WaraiC,eat20_03,eat20_03_loop_face,60
1014,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,DoyaA,eat20_03,eat20_03_loop_face,60
1039,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,DoyaA,eat20_03,eat20_03_loop_face,60
1041,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,WaraiC,eat20_03,eat20_03_loop_face,60
1043,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,DoyaA,eat20_03,eat20_03_loop_face,60
1048,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,WaraiC,eat20_03,eat20_03_loop_face,60
1065,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,WaraiC,eat20_03,eat20_03_loop_face,60
1094,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,DoyaA,eat20_03,eat20_03_loop_face,60
1107,3,1,153400,eat20_03,,153500,eat20_03,,eat20_02,DoyaA,eat20_03,eat20_03_loop_face,60
1003,3,0,0,,,153500,,,take09_01,DoyaA,take09_01,,60
1004,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1008,3,0,0,,,153500,,,take09_01,DoyaA,take09_01,,60
1009,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1012,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1013,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1022,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1024,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1027,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1028,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1030,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1031,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1034,3,0,0,,,153500,,,take09_01,DoyaA,take09_01,,60
1035,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1042,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1044,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1045,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1046,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1052,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1053,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1055,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1056,3,0,0,,,153500,,,take09_01,DoyaA,take09_01,,60
1058,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1060,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1061,3,0,0,,,153500,,,take09_01,DoyaA,take09_01,,60
1062,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1063,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1064,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1066,3,0,0,,,153500,,,take09_01,DoyaA,take09_01,,60
1067,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1068,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1069,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1072,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1077,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1080,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1087,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1088,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1091,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1098,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1099,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1102,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1104,3,0,0,,,153500,,,take09_01,DoyaA,take09_01,,60
1106,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1109,3,0,0,,,153500,,,take09_01,WaraiC,take09_01,,60
1120,3,0,0,,,153500,,,take09_01,FutuA,take09_01,,60
1002,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1005,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1011,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1015,3,0,153900,,,0,,,take10_01,DoyaA,take10_01,,60
1016,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1017,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1018,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1019,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1020,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1021,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1023,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1025,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1026,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1029,3,0,153900,,,0,,,take10_01,WaraiC,take10_01,,60
1032,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1033,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1036,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1037,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1038,3,0,153900,,,0,,,take10_01,WaraiC,take10_01,,60
1040,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1047,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1049,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1050,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1051,3,0,153900,,,0,,,take10_01,WaraiC,take10_01,,60
1054,3,0,153900,,,0,,,take10_01,WaraiC,take10_01,,60
1057,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1059,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1070,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1071,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1074,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1076,3,0,153900,,,0,,,take10_01,WaraiC,take10_01,,60
1078,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1082,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1083,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1084,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1085,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1086,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1089,3,0,153900,,,0,,,take10_01,WaraiC,take10_01,,60
1093,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1100,3,0,153900,,,0,,,take10_01,WaraiC,take10_01,,60
1105,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1108,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1110,3,0,153900,,,0,,,take10_01,WaraiC,take10_01,,60
1116,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1119,3,0,153900,,,0,,,take10_01,FutuA,take10_01,,60
1081,0,0,0,,,0,,,,,,,80
1081,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1081,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1081,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
