id,priority,group_id,relation_group_id,condition,win_saddle_type,race_instance_id_1,race_instance_id_2,race_instance_id_3,race_instance_id_4,race_instance_id_5,race_instance_id_6,race_instance_id_7,race_instance_id_8
110,337,117,117,0,1,303701,0,0,0,0,0,0,0
111,338,118,118,0,1,303801,0,0,0,0,0,0,0
112,339,119,119,0,1,303901,0,0,0,0,0,0,0
113,340,120,120,0,1,304001,0,0,0,0,0,0,0
114,341,121,121,0,1,304101,0,0,0,0,0,0,0
115,342,122,122,0,1,304201,0,0,0,0,0,0,0
116,343,123,123,0,1,304301,0,0,0,0,0,0,0
117,344,124,124,0,1,304401,0,0,0,0,0,0,0
118,345,125,125,0,1,304501,0,0,0,0,0,0,0
119,346,126,126,0,1,304601,0,0,0,0,0,0,0
120,347,127,127,0,1,304701,0,0,0,0,0,0,0
121,348,128,128,0,1,304801,0,0,0,0,0,0,0
122,349,129,129,0,1,304901,0,0,0,0,0,0,0
123,350,130,130,0,1,305001,0,0,0,0,0,0,0
124,351,131,131,0,1,305101,0,0,0,0,0,0,0
125,352,132,132,0,1,305201,0,0,0,0,0,0,0
126,353,133,133,0,1,305301,0,0,0,0,0,0,0
127,354,134,134,0,1,305401,0,0,0,0,0,0,0
128,355,135,135,0,1,305501,0,0,0,0,0,0,0
129,356,136,136,0,1,305601,0,0,0,0,0,0,0
130,357,137,137,0,1,305701,0,0,0,0,0,0,0
131,231,138,138,0,2,305801,0,0,0,0,0,0,0
132,358,139,139,0,1,305901,0,0,0,0,0,0,0
133,359,140,140,0,1,306001,0,0,0,0,0,0,0
134,360,141,141,0,1,306101,0,0,0,0,0,0,0
135,361,142,142,0,1,306201,0,0,0,0,0,0,0
136,362,143,143,0,1,306301,0,0,0,0,0,0,0
137,363,144,144,0,1,306401,0,0,0,0,0,0,0
138,364,145,145,0,1,306501,0,0,0,0,0,0,0
139,365,146,146,0,1,306601,0,0,0,0,0,0,0
140,366,147,147,0,1,306701,0,0,0,0,0,0,0
141,367,148,148,0,1,306801,0,0,0,0,0,0,0
142,368,149,149,0,1,306901,0,0,0,0,0,0,0
143,369,150,150,0,1,307001,0,0,0,0,0,0,0
144,72,1,1,0,0,100501,101001,102601,0,0,0,0,0
145,76,5,5,0,0,100301,100601,102501,0,0,0,0,0
146,79,8,8,0,0,102501,102301,0,0,0,0,0,0
147,105,24,24,0,3,102501,0,0,0,0,0,0,0
148,107,28,28,0,3,102601,0,0,0,0,0,0,0
149,211,54,54,0,2,203501,0,0,0,0,0,0,0
150,329,109,109,0,1,405001,0,0,0,0,0,0,0
151,76,5,5,0,0,100301,102701,101201,0,0,0,0,0
152,77,7,7,1,0,102701,101601,0,0,0,0,0,0
153,104,18,18,0,3,102701,0,0,0,0,0,0,0
154,72,1,1,0,0,102801,101001,101501,0,0,0,0,0
155,109,17,17,0,3,102801,0,0,0,0,0,0,0
156,130,41,41,0,3,111101,0,0,0,0,0,0,0
157,128,42,42,0,3,111201,0,0,0,0,0,0,0
158,122,43,43,0,3,111301,0,0,0,0,0,0,0
159,130,41,41,0,3,111401,0,0,0,0,0,0,0
160,128,42,42,0,3,111501,0,0,0,0,0,0,0
161,122,43,43,0,3,111601,0,0,0,0,0,0,0
162,130,41,41,0,3,111701,0,0,0,0,0,0,0
163,128,42,42,0,3,111801,0,0,0,0,0,0,0
164,122,43,43,0,3,111901,0,0,0,0,0,0,0
165,131,151,151,0,3,110701,0,0,0,0,0,0,0
166,132,152,152,0,3,110801,0,0,0,0,0,0,0
167,133,153,153,0,3,110901,0,0,0,0,0,0,0
168,134,154,154,0,3,111001,0,0,0,0,0,0,0
169,237,155,155,0,2,203601,0,0,0,0,0,0,0
170,238,156,156,0,2,203701,0,0,0,0,0,0,0
171,239,157,157,0,2,203801,0,0,0,0,0,0,0
172,240,158,158,0,2,203901,0,0,0,0,0,0,0
173,241,159,159,0,2,204001,0,0,0,0,0,0,0
174,242,160,160,0,2,204101,0,0,0,0,0,0,0
175,370,161,161,0,1,307101,0,0,0,0,0,0,0
176,371,162,162,0,1,307201,0,0,0,0,0,0,0
177,372,163,163,0,1,307301,0,0,0,0,0,0,0
178,373,164,164,0,1,307401,0,0,0,0,0,0,0
179,374,165,165,0,1,307501,0,0,0,0,0,0,0
180,375,166,166,0,1,307601,0,0,0,0,0,0,0
181,376,167,167,0,1,307701,0,0,0,0,0,0,0
182,77,7,7,1,0,100601,102901,0,0,0,0,0,0
183,73,3,3,0,0,102901,101901,102301,0,0,0,0,0
184,106,30,30,0,3,102901,0,0,0,0,0,0,0
185,1,168,168,0,3,931203,0,0,0,0,0,0,0
186,1,168,168,0,3,931204,0,0,0,0,0,0,0
187,190,169,169,0,2,931201,0,0,0,0,0,0,0
188,191,170,170,0,2,931202,0,0,0,0,0,0,0
189,134,154,154,0,3,103001,0,0,0,0,0,0,0
190,102,33,33,0,3,103101,0,0,0,0,0,0,0
191,113,26,26,0,3,103201,0,0,0,0,0,0,0
192,114,32,32,0,3,103301,0,0,0,0,0,0,0
193,80,10,10,0,0,101101,103301,0,0,0,0,0,0
194,117,31,31,0,3,103401,0,0,0,0,0,0,0
195,73,3,3,0,0,101601,103101,102301,0,0,0,0,0
196,73,3,3,0,0,102901,103101,102301,0,0,0,0,0
197,17,172,171,0,3,931417,0,0,0,0,0,0,0
198,13,172,171,0,3,931418,0,0,0,0,0,0,0
199,14,172,171,0,3,931419,0,0,0,0,0,0,0
200,12,172,171,0,3,931420,0,0,0,0,0,0,0
201,15,172,171,0,3,931421,0,0,0,0,0,0,0
202,18,172,171,0,3,931422,0,0,0,0,0,0,0
203,19,172,171,0,3,931423,0,0,0,0,0,0,0
204,16,172,171,0,3,931424,0,0,0,0,0,0,0
205,11,172,171,0,3,931425,0,0,0,0,0,0,0
206,17,171,171,0,3,931426,0,0,0,0,0,0,0
207,13,171,171,0,3,931427,0,0,0,0,0,0,0
208,14,171,171,0,3,931428,0,0,0,0,0,0,0
209,12,171,171,0,3,931429,0,0,0,0,0,0,0
210,15,171,171,0,3,931430,0,0,0,0,0,0,0
211,18,171,171,0,3,931431,0,0,0,0,0,0,0
212,19,171,171,0,3,931432,0,0,0,0,0,0,0
213,16,171,171,0,3,931433,0,0,0,0,0,0,0
214,11,171,171,0,3,931434,0,0,0,0,0,0,0
