id,comment_id,chara_id,comment_type,variation_type,variation_value
155,1064201,1064,2,0,0
156,1034201,1034,2,0,0
157,1044201,1044,2,0,0
158,1036201,1036,2,0,0
159,1053201,1053,2,0,0
160,1074101,1074,1,0,0
161,1051101,1051,1,0,0
162,1072101,1072,1,0,0
163,1031101,1031,1,0,0
164,1064101,1064,1,0,0
165,1034101,1034,1,0,0
166,1044101,1044,1,0,0
167,1036101,1036,1,0,0
168,1053101,1053,1,0,0
169,1098101,1098,1,0,0
170,1045102,1045,1,0,0
171,1098102,1098,1,0,0
172,1001103,1001,1,0,0
173,1046103,1046,1,0,0
174,1098201,1098,2,0,0
175,1029201,1029,2,0,0
176,1042201,1042,2,0,0
177,1087201,1087,2,0,0
178,1078201,1078,2,0,0
179,1049201,1049,2,0,0
180,1100201,1100,2,0,0
181,1047201,1047,2,0,0
182,1099201,1099,2,0,0
183,1065201,1065,2,0,0
184,1065101,1065,1,0,0
185,1085101,1085,1,0,0
186,1093101,1093,1,0,0
187,1078101,1078,1,0,0
188,1043201,1043,2,0,0
189,1057201,1057,2,0,0
190,1066201,1066,2,0,0
191,1029101,1029,1,0,0
192,1042101,1042,1,0,0
193,1087101,1087,1,0,0
194,1078102,1078,1,0,0
195,1049101,1049,1,0,0
196,1100101,1100,1,0,0
197,1047101,1047,1,0,0
198,1099101,1099,1,0,0
199,1065102,1065,1,0,0
200,1043101,1043,1,0,0
201,1057101,1057,1,0,0
202,1066101,1066,1,0,0
203,1098103,1098,1,0,0
204,1100102,1100,1,0,0
205,1099102,1099,1,0,0
206,1067103,1067,1,0,0
207,1088101,1088,1,0,0
208,1057102,1057,1,0,0
209,1066102,1066,1,0,0
210,1077101,1077,1,0,0
211,1085201,1085,2,0,0
212,1083201,1083,2,0,0
213,1076201,1076,2,0,0
214,1105201,1105,2,0,0
215,1015103,1015,1,0,0
216,1033102,1033,1,0,0
217,1077102,1077,1,0,0
218,1106201,1106,2,0,0
219,1084201,1084,2,0,0
220,1055201,1055,2,0,0
221,1104201,1104,2,0,0
222,1070201,1070,2,0,0
223,1077201,1077,2,0,0
224,1085102,1085,1,0,0
225,1083101,1083,1,0,0
226,1076101,1076,1,0,0
227,1105101,1105,1,0,0
228,1106101,1106,1,0,0
229,1084101,1084,1,0,0
230,1055101,1055,1,0,0
231,1104101,1104,1,0,0
232,1070101,1070,1,0,0
233,1077103,1077,1,0,0
234,1008103,1008,1,0,0
235,1009103,1009,1,0,0
236,1003103,1003,1,0,0
237,1013103,1013,1,0,0
238,1056103,1056,1,0,0
239,1018102,1018,1,0,0
240,1002103,1002,1,0,0
241,1031102,1031,1,0,0
242,1099103,1099,1,0,0
243,1062103,1062,1,0,0
244,1048103,1048,1,0,0
245,1040102,1040,1,0,0
246,1049102,1049,1,0,0
247,1025103,1025,1,0,0
248,1093201,1093,2,0,0
249,1086201,1086,2,0,0
250,1107201,1107,2,0,0
251,1088201,1088,2,0,0
252,1089201,1089,2,0,0
253,1068103,1068,1,0,0
254,1067104,1067,1,0,0
255,1088102,1088,1,0,0
256,1089101,1089,1,0,0
257,1108101,1108,1,0,0
258,1102101,1102,1,0,0
259,1068104,1068,1,0,0
260,1001104,1001,1,0,0
261,1002104,1002,1,0,0
262,1003104,1003,1,0,0
263,1008104,1008,1,0,0
264,1009104,1009,1,0,0
265,1007104,1007,1,0,0
266,1013104,1013,1,0,0
267,1091201,1091,2,0,0
268,1054201,1054,2,0,0
269,1063201,1063,2,0,0
270,1108201,1108,2,0,0
271,1007105,1007,1,0,0
272,1093102,1093,1,0,0
273,1086101,1086,1,0,0
274,1107101,1107,1,0,0
275,1088103,1088,1,0,0
276,1089102,1089,1,0,0
277,1091101,1091,1,0,0
278,1054101,1054,1,0,0
279,1108102,1108,1,0,0
281,1107102,1107,1,0,0
282,1086102,1086,1,0,0
283,1035103,1035,1,0,0
284,1027103,1027,1,0,0
285,1072102,1072,1,0,0
286,1084102,1084,1,0,0
287,1083102,1083,1,0,0
288,1004103,1004,1,0,0
289,1036102,1036,1,0,0
290,1017103,1017,1,0,0
291,1018103,1018,1,0,0
292,1006103,1006,1,0,0
293,1022103,1022,1,0,0
294,1052103,1052,1,0,0
295,1058103,1058,1,0,0
296,1080201,1080,2,0,0
297,1109201,1109,2,0,0
298,1105102,1105,1,0,0
299,1032103,1032,1,0,0
300,1091102,1091,1,0,0
301,1033103,1033,1,0,0
302,1026103,1026,1,0,0
303,1102201,1102,2,0,0
304,1104102,1104,1,0,0
305,1069102,1069,1,0,0
306,1012103,1012,1,0,0
307,1110101,1110,1,0,0
308,1082201,1082,2,0,0
309,1094201,1094,2,0,0
310,1119201,1119,2,0,0
311,1120201,1120,2,0,0
312,1080101,1080,1,0,0
313,1109101,1109,1,0,0
314,1102102,1102,1,0,0
315,1082101,1082,1,0,0
316,1094101,1094,1,0,0
317,1119101,1119,1,0,0
318,1120101,1120,1,0,0
319,1116101,1116,1,0,0
320,1108103,1108,1,0,0
321,1094102,1094,1,0,0
322,1063102,1063,1,0,0
323,1109102,1109,1,0,0
324,1109103,1109,1,0,0
325,1014103,1014,1,0,0
326,1016103,1016,1,0,0
327,1054102,1054,1,0,0
328,1024102,1024,1,0,0
329,1060103,1060,1,0,0
330,1011103,1011,1,0,0
331,1030103,1030,1,0,0
332,1104103,1104,1,0,0
333,1051102,1051,1,0,0
334,1028102,1028,1,0,0
335,1094103,1094,1,0,0
336,1032104,1032,1,0,0
337,1025104,1025,1,0,0
338,1116201,1116,2,0,0
339,1110201,1110,2,0,0
340,1121201,1121,2,0,0
341,1124201,1124,2,0,0
342,1050103,1050,1,0,0
343,1023103,1023,1,0,0
344,1036103,1036,1,0,0
345,1084103,1084,1,0,0
346,1083103,1083,1,0,0
347,1111201,1111,2,0,0
348,1117201,1117,2,0,0
349,1079201,1079,2,0,0
350,1073201,1073,2,0,0
351,1115201,1115,2,0,0
352,1065103,1065,1,0,0
353,1064102,1064,1,0,0
354,1116102,1116,1,0,0
355,1080102,1080,1,0,0
356,1087102,1087,1,0,0
357,1044102,1044,1,0,0
358,1042102,1042,1,0,0
359,1024103,1024,1,0,0
360,1056104,1056,1,0,0
361,1077104,1077,1,0,0
362,1106102,1106,1,0,0
363,1049103,1049,1,0,0
364,1105103,1105,1,0,0
365,1010103,1010,1,0,0
366,1035104,1035,1,0,0
367,1016104,1016,1,0,0
368,1049104,1049,1,0,0
369,1119102,1119,1,0,0
370,1109104,1109,1,0,0
371,1115101,1115,1,0,0
372,1046104,1046,1,0,0
373,1070102,1070,1,0,0
374,1086103,1086,1,0,0
375,1115102,1115,1,0,0
376,1116103,1116,1,0,0
377,1110102,1110,1,0,0
378,1121101,1121,1,0,0
379,1124101,1124,1,0,0
380,1111101,1111,1,0,0
381,1117101,1117,1,0,0
382,1079101,1079,1,0,0
383,1073101,1073,1,0,0
384,1115103,1115,1,0,0
385,1131201,1131,2,0,0
386,1096201,1096,2,0,0
387,1127201,1127,2,0,0
388,1049105,1049,1,0,0
389,1030104,1030,1,0,0
390,1082102,1082,1,0,0
391,1089103,1089,1,0,0
392,1091103,1091,1,0,0
393,1006104,1006,1,0,0
394,1020103,1020,1,0,0
395,1007106,1007,1,0,0
396,1038103,1038,1,0,0
397,1133101,1133,1,0,0
398,1023104,1023,1,0,0
399,1106103,1106,1,0,0
400,1021103,1021,1,0,0
401,1013105,1013,1,0,0
402,1090101,1090,1,0,0
403,1090201,1090,2,0,0
404,1132201,1132,2,0,0
405,1132101,1132,1,0,0
406,1133201,1133,2,0,0
407,1113201,1113,2,0,0
408,1097201,1097,2,0,0
409,1096101,1096,1,0,0
410,1127101,1127,1,0,0
411,1131101,1131,1,0,0
412,1090102,1090,1,0,0
413,1132102,1132,1,0,0
414,1133102,1133,1,0,0
415,1113101,1113,1,0,0
416,1097101,1097,1,0,0
417,1031103,1031,1,0,0
418,1040103,1040,1,0,0
419,1021104,1021,1,0,0
420,1069103,1069,1,0,0
421,1027104,1027,1,0,0
422,1109105,1109,1,0,0
423,1113102,1113,1,0,0
424,1038104,1038,1,0,0
425,1097102,1097,1,0,0
426,1113103,1113,1,0,0
427,1132103,1132,1,0,0
428,1117102,1117,1,0,0
429,1079102,1079,1,0,0
430,1073102,1073,1,0,0
431,1006105,1006,1,0,0
432,1119103,1119,1,0,0
433,1127102,1127,1,0,0
434,1115104,1115,1,0,0
435,1081201,1081,2,0,0
436,1095201,1095,2,0,0
437,1092201,1092,2,0,0
438,1114201,1114,2,0,0
439,1135201,1135,2,0,0
440,1137201,1137,2,0,0
441,1103201,1103,2,0,0
442,1129201,1129,2,0,0
443,1081101,1081,1,0,0
444,1095101,1095,1,0,0
445,1092101,1092,1,0,0
446,1114101,1114,1,0,0
447,1135101,1135,1,0,0
448,1137101,1137,1,0,0
449,1103101,1103,1,0,0
450,1129101,1129,1,0,0
451,1080103,1080,1,0,0
452,1100103,1100,1,0,0
453,1099104,1099,1,0,0
454,1003105,1003,1,0,0
455,1026104,1026,1,0,0
456,1106104,1106,1,0,0
457,1093103,1093,1,0,0
458,1121102,1121,1,0,0
459,1092102,1092,1,0,0
460,1120102,1120,1,0,0
461,1006106,1006,1,0,0
462,1021105,1021,1,0,0
463,1129102,1129,1,0,0
464,1137102,1137,1,0,0
465,1114102,1114,1,0,0
466,1081102,1081,1,0,0
467,1132104,1132,1,0,0
468,1071102,1071,1,0,0
469,1076102,1076,1,0,0
470,1111102,1111,1,0,0
471,1045103,1045,1,0,0
472,1039103,1039,1,0,0
473,1044103,1044,1,0,0
474,1087103,1087,1,0,0
475,1078103,1078,1,0,0
476,1143201,1143,2,0,0
477,1130201,1130,2,0,0
478,1118201,1118,2,0,0
479,1135102,1135,1,0,0
480,1119104,1119,1,0,0
481,1049106,1049,1,0,0
482,1115105,1115,1,0,0
483,1007107,1007,1,0,0
484,1127103,1127,1,0,0
485,1112201,1112,2,0,0
486,1136201,1136,2,0,0
487,1134201,1134,2,0,0
