id,announce_type,announce_id,priority,start_date,end_date
30063,2,522,1,1640919600,1641869999
30065,2,523,1,1641870000,1642647599
30066,1,131,1,1642647600,1643338799
30068,1,132,1,1643338800,1644289199
30069,2,524,1,1643338800,1644289199
30070,1,133,1,1644289200,1644980399
30071,2,525,1,1644289200,1644980399
30072,1,134,1,1644980400,1645671599
30074,1,135,1,1645671600,1646621999
30075,2,526,1,1645671600,1646621999
30076,1,136,1,1646622000,1647572399
30077,2,527,1,1646622000,1647572399
30078,1,137,1,1647572400,1648522799
30080,1,138,1,1648522800,1649645999
30081,2,528,1,1648522800,1649645999
30082,1,139,1,1649646000,1650337199
30083,2,529,1,1649646000,1650337199
30084,1,140,1,1650337200,1651114799
30086,1,141,1,1651114800,1652151599
30087,2,530,1,1651114800,1652151599
30088,1,142,1,1652151600,1653015599
30089,2,531,1,1652151600,1653015599
30090,1,143,1,1653015600,1653879599
30092,1,144,1,1653879600,1654829999
30093,2,532,1,1653879600,1654829999
30094,1,145,1,1654830000,1655693999
30096,1,146,1,1655694000,1656557999
30097,2,533,1,1655694000,1656557999
30098,1,147,1,1656558000,1657508399
30099,2,534,1,1656558000,1657508399
30100,1,148,1,1657508400,1658285999
30101,2,535,1,1657508400,1658285999
30103,2,536,1,1658286000,1659063599
30104,1,149,1,1659063600,1660100399
30105,2,537,1,1659063600,1660100399
30106,1,150,1,1660100400,1660877999
30108,1,151,1,1660878000,1661741999
30109,2,538,1,1660878000,1661741999
30110,1,152,1,1661310000,1662951599
30111,2,539,1,1661310000,1662951599
30112,1,153,1,1661742000,1662951599
30113,2,540,1,1661742000,1662951599
30114,1,154,1,1662951600,1663642799
30116,1,155,1,1663642800,1664420399
30117,2,541,1,1663642800,1664420399
30118,1,156,1,1664420400,1665457199
30119,2,542,1,1664420400,1665457199
30120,1,157,1,1665457200,1666148399
30122,1,158,1,1666148400,1666925999
30123,2,543,1,1666148400,1666925999
30124,1,159,1,1666926000,1667962799
30125,2,544,1,1666926000,1667962799
30126,1,160,1,1667962800,1668653999
30128,1,161,1,1668654000,1669604399
30129,2,545,1,1668654000,1669604399
30132,1,162,1,1669604400,1670813999
30133,2,546,1,1669604400,1670813999
30134,1,163,1,1670814000,1671505199
30136,1,164,1,1671505200,1672282799
30137,2,547,1,1671505200,1672282799
30138,1,165,1,1672282800,1673319599
30139,2,548,1,1672282800,1673319599
30140,1,166,1,1673319600,1674183599
30142,1,167,1,1674183600,1675047599
30143,2,549,1,1674183600,1675047599
30146,1,168,1,1675047600,1676257199
30147,2,550,1,1675047600,1676257199
30148,1,169,1,1676257200,1677207599
30150,1,170,1,1677207600,1679281199
30151,2,551,1,1677207600,1679281199
30152,1,171,1,1678417200,1679281199
30154,1,172,1,1679281200,1680058799
30155,2,552,1,1679281200,1680058799
30156,1,173,1,1680058800,1681095599
30157,2,553,1,1680058800,1681095599
30158,1,174,1,1681095600,1681873199
30160,1,175,1,1681873200,1682650799
30161,2,554,1,1681873200,1682650799
30162,1,176,1,1682650800,1683687599
30163,2,555,1,1682650800,1683687599
30166,1,177,1,1683687600,1684465199
30168,1,178,1,1684465200,1685329199
30169,2,556,1,1684465200,1685329199
30170,1,179,1,1685329200,1686279599
30171,2,557,1,1685329200,1686279599
30173,2,558,1,1686279600,1687143599
30174,1,180,1,1687143600,1688007599
30175,2,559,1,1687143600,1688007599
30176,1,181,1,1688007600,1688957999
30177,2,560,1,1688007600,1688957999
30178,1,182,1,1688958000,1689908399
30180,1,183,1,1689908400,1690772399
30181,2,561,1,1689908400,1690772399
30182,1,184,1,1690772400,1691981999
30183,2,562,1,1690772400,1691981999
30186,1,185,1,1692846000,1694401199
30187,2,563,1,1692846000,1694401199
30188,1,186,1,1693450800,1694401199
30189,2,564,1,1693450800,1694401199
30190,1,187,1,1694401200,1695178799
30192,1,188,1,1695178800,1695956399
30193,2,565,1,1695178800,1695956399
30194,1,189,1,1695956400,1696906799
30195,2,566,1,1695956400,1696906799
30198,1,190,1,1697684400,1698634799
30199,2,567,1,1697684400,1698634799
30200,1,191,1,1698634800,1699498799
30201,2,568,1,1698634800,1699498799
30203,2,569,1,1699498800,1700449199
30204,1,192,1,1700449200,1701313199
30205,2,570,1,1700449200,1701313199
30206,1,193,1,1701313200,1702263599
30207,2,571,1,1701313200,1702263599
30208,1,194,1,1702263600,1703041199
30210,1,195,1,1703041200,1703732399
30211,2,572,1,1703041200,1703732399
30212,1,196,1,1703732400,1704769199
30213,2,573,1,1703732400,1704769199
30214,1,197,1,1704769200,1705633199
30216,1,198,1,1705633200,1706669999
30217,2,574,1,1705633200,1706669999
30218,1,199,1,1706670000,1707879599
30219,2,575,1,1706670000,1707879599
30220,1,200,1,1707879600,1708743599
30222,1,201,1,1708743600,1710989999
30223,2,576,1,1708743600,1710989999
30224,1,203,1,1710212400,1710989999
30226,1,202,1,1710990000,1711681199
30227,2,577,1,1710990000,1711681199
30228,1,204,1,1711681200,1712631599
30229,2,578,1,1711681200,1712631599
30232,1,205,1,1712631600,1713495599
30233,2,579,1,1712631600,1713495599
30234,1,206,1,1713495600,1714445999
30236,1,207,1,1714446000,1715309999
30237,2,580,1,1714446000,1715309999
30242,1,208,1,1715310000,1716173999
30243,2,581,1,1715310000,1716173999
30244,1,209,1,1716174000,1717037999
30246,1,210,1,1717038000,1718247599
30247,2,582,1,1717038000,1718247599
30250,1,211,1,1718247600,1719370799
30252,1,212,1,1719370800,1721357999
30253,2,583,1,1719370800,1721357999
30256,1,213,1,1720494000,1721357999
30257,2,584,1,1720494000,1721357999
30258,1,214,1,1721358000,1722221999
30260,1,215,1,1722222000,1723604399
30261,2,585,1,1722222000,1723604399
30265,2,586,1,1723604400,1724468399
30268,1,216,1,1724468400,1725937199
30269,2,587,1,1724468400,1725937199
30270,1,217,1,1724986800,1725937199
30271,2,588,1,1724986800,1725937199
30274,1,218,1,1725937200,1727665199
30275,2,589,1,1725937200,1727665199
30276,1,219,1,1726801200,1727665199
30278,1,220,1,1727665200,1728615599
30279,2,590,1,1727665200,1728615599
30282,1,221,1,1728615600,1730170799
30284,1,222,1,1730170800,1731898799
30285,2,591,1,1730170800,1731898799
30288,1,223,1,1731034800,1731898799
30289,2,592,1,1731034800,1731898799
30290,1,224,1,1731898800,1732762799
30292,1,225,1,1732762800,1733799599
30293,2,593,1,1732762800,1733799599
30296,1,226,1,1733799600,1734577199
30297,2,594,1,1733799600,1734577199
30298,1,227,1,1734577200,1735268399
30300,1,228,1,1735268400,1736477999
30301,2,595,1,1735268400,1736477999
30304,1,229,1,1736478000,1737341999
30305,2,596,1,1736478000,1737341999
30306,1,230,1,1737342000,1738292399
30308,1,231,1,1738292400,1739501999
30309,2,597,1,1738292400,1739501999
30312,1,232,1,1739502000,1740365999
30314,1,233,1,1740366000,1742525999
30315,2,598,1,1740366000,1742525999
30318,1,234,1,1741662000,1742525999
30319,2,599,1,1741662000,1742525999
30320,1,235,1,1742526000,1743389999
30322,1,236,1,1743390000,1744253999
30323,2,600,1,1743390000,1744253999
30326,1,237,1,1744254000,1745204399
30327,2,601,1,1744254000,1745204399
30328,1,238,1,1745204400,1745981999
30330,1,239,1,1745982000,1747018799
30331,2,602,1,1745982000,1747018799
30336,1,240,1,1747018800,1747796399
30337,2,603,1,1747018800,1747796399
30340,1,241,1,1747796400,1748573999
30342,1,242,1,1748574000,1749783599
30343,2,604,1,1748574000,1749783599
30346,1,243,1,1749783600,1752202799
30348,1,244,1,1750993200,1753153199
30349,2,605,1,1750993200,1753153199
30352,1,245,1,1752202800,1753153199
30353,2,606,1,1752202800,1753153199
30354,1,246,1,1753153200,1753930799
30356,1,247,1,1753930800,1755140399
30357,2,607,1,1753930800,1755140399
30360,1,248,1,1755140400,1756004399
30362,1,249,1,1756004400,1758250799
30363,2,608,1,1756004400,1758250799
30364,1,250,1,1756436400,1757386799
30365,2,609,1,1756436400,1757386799
30368,1,251,1,1757386800,1758250799
30369,2,610,1,1757386800,1758250799
30370,1,252,1,1758250800,1759114799
30372,1,253,1,1759114800,1760065199
30373,2,611,1,1759114800,1760065199
30376,1,255,1,1760788800,1761706799
30380,1,254,1,1760065200,1760929199
30381,2,612,1,1760065200,1760929199
30382,1,256,1,1761706800,1763521199
30383,2,613,1,1761706800,1763521199
30386,1,257,1,1762743600,1763521199
30387,2,614,1,1762743600,1763521199
30388,1,258,1,1763521200,1764298799
30390,1,259,1,1764298800,1765421999
30391,2,615,1,1764298800,1765421999
30394,1,260,1,1765422000,1767841199
30395,2,616,1,1765422000,1767841199
30396,1,261,1,1766322600,1768791599
30398,1,262,1,1766718000,1767841199
30399,2,617,1,1766718000,1767841199
30406,1,263,1,1767841200,1768791599
30407,2,618,1,1767841200,1768791599
30408,1,264,1,1768791600,1769741999
30410,1,265,1,1769742000,1771037999
30411,2,619,1,1769742000,1771037999
30414,1,266,1,1771038000,1771901999
30416,1,267,1,1771902000,1774839599
30417,2,620,1,1771902000,1774839599
30420,1,268,1,1773198000,1773889199
30421,2,621,1,1773198000,1773889199
30422,1,269,1,1773889200,1774839599
30424,1,270,1,1774839600,1775789999
30425,2,622,1,1774839600,1775789999
30428,1,271,1,1775790000,1776653999
30429,2,623,1,1775790000,1776653999
30430,1,272,1,1776654000,1777517999
30432,1,273,1,1777518000,1778468399
30433,2,624,1,1777518000,1778468399
30438,1,274,1,1778468400,1779245999
30439,2,625,1,1778468400,1779245999
30440,1,275,1,1779246000,1780023599
30442,1,276,1,1780023600,1781492399
30443,2,626,1,1780023600,1781492399
30446,1,277,1,1781492400,1782701999
30448,1,278,1,1782702000,1784602799
30449,2,627,1,1782702000,1784602799
