id,color_r1,color_r2,color_g1,color_g2,color_b1,color_b2,toon_color_r1,toon_color_r2,toon_color_g1,toon_color_g2,toon_color_b1,toon_color_b2
1102,#758287,#000000,#F0F2F3,#3A3A3A,#C0C0C0,#003F57,#47586B,#090909,#BCD6C6,#25171B,#A89599,#091224
1103,#B7B7B7,#000000,#000000,#767676,#020100,#737373,#989898,#090909,#090909,#58494F,#FFFFFF,#606060
1104,#3C3C40,#EEECFF,#7F7E88,#161354,#403A1E,#382B54,#19172B,#D5D0FB,#514A6B,#070719,#252A07,#1B172E
1105,#2E2E2E,#2A2751,#8CAB1F,#838287,#595952,#9DAB65,#000000,#1E182C,#278428,#817C94,#131313,#73944F
1106,#3A3A3A,#FFFFFF,#144C75,#27393A,#4D302A,#0C1D03,#261B20,#FFFFFF,#2A3151,#232255,#4F1F12,#000000
1107,#1E3B60,#5B5C5E,#111E5E,#FFFFFF,#9AADC6,#4C5766,#1D1D24,#384D50,#110F21,#828282,#6486A8,#1C2D51
1108,#2E2828,#BEC2AD,#5C5D53,#41413A,#903E05,#221F1F,#131313,#899477,#3D4729,#262E1B,#180800,#090909
1109,#060046,#FFFFFF,#630A0A,#000000,#303030,#432507,#020030,#FFFFFF,#4C1327,#000000,#000000,#260000
1110,#768988,#000000,#1C4648,#64A19F,#062626,#5D7D87,#485159,#4D6895,#264528,#546796,#E9E9E9,#394B6F
1111,#132154,#71583E,#7283C2,#ABA6A2,#4F3B0F,#241108,#070626,#5A262B,#48558D,#938C84,#262A06,#000000
1112,#918A85,#91521F,#D2A22D,#482E19,#878787,#44403F,#7B7270,#632A16,#BB8046,#311008,#000000,#322227
1113,#46190A,#59545C,#B2A6B5,#D9D2EE,#262626,#3A294B,#260802,#2B3749,#96829B,#BCC4EF,#0C0512,#0A0B3C
1114,#333307,#C2C330,#D2B334,#B2722C,#483812,#C5BBA1,#11210C,#B19A47,#BB8E4C,#844223,#313200,#A3807C
1115,#130359,#2A2C95,#858695,#282845,#9A9A9A,#3F3D45,#060E29,#261D4F,#54567B,#171420,#05040A,#211F37
1116,#3C3A42,#000000,#554689,#330A05,#97969A,#737D95,#1E1D34,#3A25B1,#213065,#110202,#D4CDEA,#345575
1117,#595959,#FAF1DC,#000000,#67661F,#1D1D17,#6C6963,#3C3C3C,#FBD9CD,#927C33,#505B22,#6E6E66,#545251
1201,#134029,#BAC8C1,#61BC8E,#401A27,#400C29,#3C403F,#0A250E,#799196,#3969A2,#250616,#000000,#18252B
1202,#D0C5BC,#D0A041,#56514E,#4C2A11,#56483C,#1C3E5A,#B79A9D,#A26834,#483141,#340C03,#452126,#242738
1203,#0D144F,#938706,#0500E2,#3D4472,#000000,#544904,#050A36,#806119,#1015AB,#2B2F48,#000000,#152507
1204,#D2AD6E,#7C5C41,#C5A867,#98734F,#605C1D,#AAA9A7,#A8774A,#5F2C32,#9C7346,#834049,#1F241A,#93918A
1205,#625F65,#000000,#D3C8D5,#7A5D96,#2B1540,#382B40,#3B3958,#000000,#968DAA,#353674,#080607,#100E31
60001,#534110,#000000,#000000,#B1B1B1,#763F2E,#152653,#161C09,#090909,#090909,#9A9493,#522B1B,#1A1A29
60008,#303030,#586396,#EFB370,#D0D7DF,#403D60,#3F4244,#161616,#2C5673,#C37642,#B0B2D2,#000000,#18222F
60101,#534110,#000000,#000000,#B1B1B1,#763F2E,#152653,#161C09,#090909,#090909,#9A9493,#522B1B,#1A1A29
60108,#303030,#586396,#EFB370,#D0D7DF,#403D60,#3F4244,#161616,#2C5673,#C37642,#B0B2D2,#000000,#18222F
61014,#333307,#C2C330,#D2B334,#B2722C,#483812,#152653,#0C0806,#B19A46,#BB8E4C,#844223,#323200,#1A1929
61114,#333307,#C2C330,#D2B334,#B2722C,#483812,#152653,#0C0806,#B19A46,#BB8E4C,#844223,#323200,#1A1929
62001,#A5AFB3,#505357,#135A77,#4D91E6,#356277,#A4B1B8,#858F9D,#2F4849,#2B3754,#465AA3,#28415A,#818EA1
62002,#AE9B21,#AE9745,#48361D,#AEAEAA,#494947,#C7724F,#997635,#86622C,#332E04,#9C9C93,#3B2D31,#9B4D34
62101,#7C797B,#565455,#8E7260,#D6D0D4,#561C49,#8D6880,#5D4C5E,#3A3649,#5A443D,#C8ADCC,#040303,#623A6A
62102,#7F7776,#FFEFEC,#605B59,#CB6150,#9BA3A7,#E5D5D6,#61555A,#E5B1DD,#51374A,#A34E3F,#7D8493,#E6B1D7
62103,#595A57,#4B5A0E,#595A28,#515A2C,#DAF475,#FEDD71,#4B3836,#0B280C,#394316,#133C20,#78C367,#D7A053
63202,#96AF76,#4D5338,#C4E35A,#507127,#738559,#6C762E,#499171,#273D16,#5DB869,#154039,#34664E,#1A452D
130101,#E1E1E1,#000000,#453F3F,#767676,#763F2E,#A3A3A3,#CFBBC7,#090909,#090909,#58494F,#512B1B,#8C8686
130102,#7C797B,#565455,#FFEBD9,#D6D0D4,#561C49,#8D6880,#5D4C5E,#3A3649,#FFBEBD,#C8ADCC,#040303,#623A6A
130103,#83543F,#E7B76F,#FFEBD9,#422F14,#A93D1D,#867129,#5E2A27,#BE7D4B,#FFBEBD,#2C2801,#751813,#583F1A
130104,#4C5245,#CDD7B6,#867070,#504A57,#69624b,#757C69,#223C20,#8FA87E,#594242,#212247,#453f2d,#56664B
130105,#7B83A0,#3035A0,#323842,#4E67A1,#8A8A8C,#5E659C,#3A5980,#2C245B,#1E232B,#354C80,#53535B,#40456F
130106,#4B4032,#99938A,#8C8A7E,#4B200F,#6F270A,#7D702A,#3A191A,#837C75,#766B67,#320702,#3A1512,#5E4B25
130107,#503222,#FCEBE2,#7F7672,#8C817E,#93451C,#805922,#37140D,#FDD4D8,#615256,#6F5E64,#83402E,#4D2609
130108,#052E1D,#6F7976,#6B7971,#BFDDD2,#043A24,#687976,#092226,#4E5A60,#4A5D60,#99B5A9,#022718,#485460
130109,#3B5F53,#DF5667,#867070,#DCE3E1,#5a4539,#5f4b64,#173C30,#B94551,#503939,#BBC6CA,#392922,#250715
130110,#6A3C13,#207DB3,#4E4A46,#D6D6D6,#18384B,#969696,#3D1E0E,#384983,#3E2A2D,#A6B0B9,#0E2330,#7E7B78
130111,#284010,#A431C3,#735F78,#49583A,#60496F,#DAD4DD,#051407,#58378C,#4B3A55,#1E4217,#28264D,#AAA0BF
130112,#5F4379,#BEFD8D,#57525B,#9BA295,#513C5E,#5F7251,#222457,#7BCD89,#28294C,#6E8275,#33253E,#35554B
130113,#3C3B7F,#929723,#494A11,#A04360,#38250B,#A6A5C4,#28274D,#2D6524,#2E2E1B,#822542,#2E2207,#6B81A2
130114,#AFA050,#474644,#ADACA5,#42420D,#AFA050,#CECBAF,#9A7A43,#362B28,#9B998D,#050B03,#977B43,#A09D7C
130115,#4F201E,#4F4949,#796065,#BB8D92,#83152E,#915037,#30130F,#3A2733,#5B4046,#985D82,#2F0E20,#6B2723
130116,#785986,#AE41E1,#5C5972,#481460,#C1BEC3,#CDC7D0,#393264,#6548AB,#3F3B52,#1D0B29,#7B7281,#9D8FA9
130117,#97A277,#52593D,#687A98,#698024,#443F58,#9FA497,#567862,#2A4319,#394E74,#1E4A2A,#201746,#82857E
131101,#7A736A,#000000,#1C4648,#64A19F,#303C40,#5D7D87,#5E564C,#4D6895,#264528,#546796,#010C0C,#41616B
131102,#B7B7B7,#000000,#000000,#767676,#4E4949,#737373,#989898,#090909,#090909,#58494F,#000000,#606060
131103,#1E3B60,#5B5C5E,#111E5E,#FFFFFF,#878D92,#4C5766,#152233,#384D50,#110F21,#828282,#6D7A88,#1C2D51
131104,#2E2E2E,#2A2751,#8CAB1F,#838287,#595952,#94AF77,#000000,#1E182C,#278428,#817C94,#131313,#748B5C
131105,#918A85,#91521F,#D2A22D,#482E19,#878787,#44403F,#7B7270,#632A16,#BB8046,#311008,#4E4545,#322227
131106,#333307,#C2C330,#D2B334,#B2722C,#483812,#C5BBA1,#11210C,#B19A47,#BB8E4C,#844223,#313200,#A3807C
131107,#3C3A42,#000000,#554689,#330A05,#97969A,#737D95,#1E1D34,#3A25B1,#213065,#110202,#5C576B,#345575
131108,#604848,#AE2825,#356A65,#AEA8A8,#B0B6BF,#491B1A,#412E2E,#6C1732,#1F3051,#988E8C,#5C6779,#2A0F0C
131109,#572E13,#174F57,#A26424,#575150,#C5BDB2,#AC693F,#3F0D04,#1B3A3C,#74371B,#493347,#8A7A64,#7E3E2D
131110,#565467,#8C4C91,#8ECB6A,#3F4140,#737C79,#989D9A,#3B394B,#44286E,#4D9D9D,#212F2A,#414E4A,#7A8580
131111,#37485D,#47538B,#8B856D,#282A8B,#856D3E,#A99367,#212E3E,#204B68,#775E59,#211A46,#694D16,#8F794C
131112,#5D3D39,#3C5D58,#46140E,#98372B,#85919F,#AA8D9C,#431E1F,#1A234E,#190304,#651C1F,#586A7E,#816574
131113,#31252B,#36CA4C,#D83FEA,#195C23,#858A82,#C2C7BE,#0D090B,#399A89,#794AB0,#0E311A,#434C3E,#A0A79D
131114,#404040,#DBDCDD,#113940,#9F5A30,#402316,#4499D1,#2B1D1B,#B9BECF,#102425,#723A28,#270A06,#126DA1
131115,#939470,#B6B891,#405443,#1A5413,#7B5F46,#3A7B78,#767755,#B6B891,#1B3641,#09271B,#5F4D3C,#2C6663
131116,#666A8E,#CEA865,#303984,#B2C0CE,#CAC8C2,#C77566,#484D75,#A57143,#312D47,#7A93B1,#8B8677,#9E4E40
131117,#2A2E4B,#4355D8,#7B95DE,#19236C,#C3A66D,#BEBFC1,#191827,#4A4093,#5564A6,#1B182F,#9A7630,#9998AA
