id,stratum_id,dug_value,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
276,10,150,101,10,-3,0,0
277,11,30,101,4,2,0,0
278,11,30,101,1,2,0,0
279,11,30,101,3,1,0,0
280,11,30,101,10,-3,0,0
281,11,60,101,4,2,0,0
282,11,60,101,1,2,0,0
283,11,60,101,3,1,0,0
284,11,60,101,10,-3,0,0
285,11,90,101,4,2,0,0
286,11,90,101,1,2,0,0
287,11,90,101,3,1,0,0
288,11,90,101,10,-3,0,0
289,11,120,101,4,2,0,0
290,11,120,101,1,2,0,0
291,11,120,101,3,1,0,0
292,11,120,101,10,-3,0,0
293,11,150,101,4,2,0,0
294,11,150,101,1,2,0,0
295,11,150,101,3,1,0,0
296,11,150,101,10,-3,0,0
297,11,180,101,4,2,0,0
298,11,180,101,1,2,0,0
299,11,180,101,3,1,0,0
300,11,180,101,10,-3,0,0
301,12,30,101,3,2,0,0
302,12,30,101,5,2,0,0
303,12,30,101,2,1,0,0
304,12,30,101,10,-3,0,0
305,12,60,101,3,2,0,0
306,12,60,101,5,2,0,0
307,12,60,101,2,1,0,0
308,12,60,101,10,-3,0,0
309,12,90,101,3,2,0,0
310,12,90,101,5,2,0,0
311,12,90,101,2,1,0,0
312,12,90,101,10,-3,0,0
313,12,120,101,3,2,0,0
314,12,120,101,5,2,0,0
315,12,120,101,2,1,0,0
316,12,120,101,10,-3,0,0
317,12,150,101,3,2,0,0
318,12,150,101,5,2,0,0
319,12,150,101,2,1,0,0
320,12,150,101,10,-3,0,0
321,12,180,101,3,2,0,0
322,12,180,101,5,2,0,0
323,12,180,101,2,1,0,0
324,12,180,101,10,-3,0,0
325,12,210,101,3,2,0,0
326,12,210,101,5,2,0,0
327,12,210,101,2,1,0,0
328,12,210,101,10,-3,0,0
329,12,240,101,3,2,0,0
330,12,240,101,5,2,0,0
331,12,240,101,2,1,0,0
332,12,240,101,10,-3,0,0
333,12,270,101,3,2,0,0
334,12,270,101,5,2,0,0
335,12,270,101,2,1,0,0
336,12,270,101,10,-3,0,0
337,13,30,101,4,2,0,0
338,13,30,101,1,2,0,0
339,13,30,101,3,1,0,0
340,13,30,101,10,-3,0,0
341,13,60,101,4,2,0,0
342,13,60,101,1,2,0,0
343,13,60,101,3,1,0,0
344,13,60,101,10,-3,0,0
345,13,90,101,4,2,0,0
346,13,90,101,1,2,0,0
347,13,90,101,3,1,0,0
348,13,90,101,10,-3,0,0
349,13,120,101,4,2,0,0
350,13,120,101,1,2,0,0
351,13,120,101,3,1,0,0
352,13,120,101,10,-3,0,0
353,13,150,101,4,2,0,0
354,13,150,101,1,2,0,0
355,13,150,101,3,1,0,0
356,13,150,101,10,-3,0,0
357,13,180,101,4,2,0,0
358,13,180,101,1,2,0,0
359,13,180,101,3,1,0,0
360,13,180,101,10,-3,0,0
361,13,210,101,4,2,0,0
362,13,210,101,1,2,0,0
363,13,210,101,3,1,0,0
364,13,210,101,10,-3,0,0
365,13,240,101,4,2,0,0
366,13,240,101,1,2,0,0
367,13,240,101,3,1,0,0
368,13,240,101,10,-3,0,0
369,13,270,101,4,2,0,0
370,13,270,101,1,2,0,0
371,13,270,101,3,1,0,0
372,13,270,101,10,-3,0,0
373,14,30,101,3,2,0,0
374,14,30,101,5,2,0,0
375,14,30,101,2,1,0,0
376,14,30,101,10,-3,0,0
377,14,60,101,3,2,0,0
378,14,60,101,5,2,0,0
379,14,60,101,2,1,0,0
380,14,60,101,10,-3,0,0
381,14,90,101,3,2,0,0
382,14,90,101,5,2,0,0
383,14,90,101,2,1,0,0
384,14,90,101,10,-3,0,0
385,14,120,101,3,2,0,0
386,14,120,101,5,2,0,0
387,14,120,101,2,1,0,0
388,14,120,101,10,-3,0,0
389,14,150,101,3,2,0,0
390,14,150,101,5,2,0,0
391,14,150,101,2,1,0,0
392,14,150,101,10,-3,0,0
393,14,180,101,3,2,0,0
394,14,180,101,5,2,0,0
395,14,180,101,2,1,0,0
396,14,180,101,10,-3,0,0
397,15,30,101,1,2,0,0
398,15,30,101,2,1,0,0
399,15,30,101,5,2,0,0
400,15,30,101,10,-3,0,0
401,15,60,101,1,2,0,0
402,15,60,101,2,1,0,0
403,15,60,101,5,2,0,0
404,15,60,101,10,-3,0,0
405,15,90,101,1,2,0,0
406,15,90,101,2,1,0,0
407,15,90,101,5,2,0,0
408,15,90,101,10,-3,0,0
409,15,120,101,1,2,0,0
410,15,120,101,2,1,0,0
411,15,120,101,5,2,0,0
412,15,120,101,10,-3,0,0
413,15,150,101,1,2,0,0
414,15,150,101,2,1,0,0
415,15,150,101,5,2,0,0
416,15,150,101,10,-3,0,0
417,15,180,101,1,2,0,0
418,15,180,101,2,1,0,0
419,15,180,101,5,2,0,0
420,15,180,101,10,-3,0,0
421,16,30,101,4,2,0,0
422,16,30,101,1,2,0,0
423,16,30,101,3,1,0,0
424,16,30,101,10,-3,0,0
425,16,60,101,4,2,0,0
426,16,60,101,1,2,0,0
427,16,60,101,3,1,0,0
428,16,60,101,10,-3,0,0
429,16,90,101,4,2,0,0
430,16,90,101,1,2,0,0
431,16,90,101,3,1,0,0
432,16,90,101,10,-3,0,0
433,16,120,101,4,2,0,0
434,16,120,101,1,2,0,0
435,16,120,101,3,1,0,0
436,16,120,101,10,-3,0,0
437,16,150,101,4,2,0,0
438,16,150,101,1,2,0,0
439,16,150,101,3,1,0,0
440,16,150,101,10,-3,0,0
441,16,180,101,4,2,0,0
442,16,180,101,1,2,0,0
443,16,180,101,3,1,0,0
444,16,180,101,10,-3,0,0
445,17,30,101,3,2,0,0
446,17,30,101,5,2,0,0
447,17,30,101,2,1,0,0
448,17,30,101,10,-3,0,0
449,17,60,101,3,2,0,0
450,17,60,101,5,2,0,0
451,17,60,101,2,1,0,0
452,17,60,101,10,-3,0,0
453,17,90,101,3,2,0,0
454,17,90,101,5,2,0,0
455,17,90,101,2,1,0,0
456,17,90,101,10,-3,0,0
457,17,120,101,3,2,0,0
458,17,120,101,5,2,0,0
459,17,120,101,2,1,0,0
460,17,120,101,10,-3,0,0
461,17,150,101,3,2,0,0
462,17,150,101,5,2,0,0
463,17,150,101,2,1,0,0
464,17,150,101,10,-3,0,0
465,17,180,101,3,2,0,0
466,17,180,101,5,2,0,0
467,17,180,101,2,1,0,0
468,17,180,101,10,-3,0,0
469,18,30,101,1,2,0,0
470,18,30,101,2,1,0,0
471,18,30,101,5,2,0,0
472,18,30,101,10,-3,0,0
473,18,60,101,1,2,0,0
474,18,60,101,2,1,0,0
475,18,60,101,5,2,0,0
476,18,60,101,10,-3,0,0
477,18,90,101,1,2,0,0
478,18,90,101,2,1,0,0
479,18,90,101,5,2,0,0
480,18,90,101,10,-3,0,0
481,19,30,101,4,2,0,0
482,19,30,101,1,2,0,0
483,19,30,101,3,1,0,0
484,19,30,101,10,-3,0,0
485,19,60,101,4,2,0,0
486,19,60,101,1,2,0,0
487,19,60,101,3,1,0,0
488,19,60,101,10,-3,0,0
489,19,90,101,4,2,0,0
490,19,90,101,1,2,0,0
491,19,90,101,3,1,0,0
492,19,90,101,10,-3,0,0
493,20,30,101,3,2,0,0
494,20,30,101,5,2,0,0
495,20,30,101,2,1,0,0
496,20,30,101,10,-3,0,0
497,20,60,101,3,2,0,0
498,20,60,101,5,2,0,0
499,20,60,101,2,1,0,0
500,20,60,101,10,-3,0,0
501,20,90,101,3,2,0,0
502,20,90,101,5,2,0,0
503,20,90,101,2,1,0,0
504,20,90,101,10,-3,0,0
