id,month,half_type,bg_id,bg_sub_id,scenario_id,bg_progress,bg_effect,bgm_cue_name,bgm_cuesheet,max_placement
58,9,0,1,2111,4,0,,,,0
59,10,0,1,7131,4,0,,,,0
60,11,0,1,12111,4,0,,,,0
61,12,0,1,6131,4,0,,,,0
62,0,0,42,2110,4,0,,,,0
63,1,0,10,4110,3,0,,,,0
64,2,0,10,4110,3,0,,,,0
65,3,1,10,110,3,0,,,,0
66,4,0,10,5110,3,0,pfb_eff_single_scenario_01,,,0
67,5,0,10,110,3,0,,,,0
68,6,0,10,110,3,0,,,,0
69,7,0,10,110,3,0,,,,0
70,8,0,10,110,3,0,,,,0
71,9,0,10,110,3,0,,,,0
72,10,0,10,3110,3,0,,,,0
73,11,0,10,3110,3,0,,,,0
74,12,0,10,4110,3,0,,,,0
75,0,0,42,2110,3,0,,,,0
76,1,0,2,4110,5,0,,,,0
77,2,0,2,4110,5,0,,,,0
78,3,1,2,110,5,0,,,,0
79,4,0,2,5110,5,0,pfb_eff_single_scenario_01,,,0
80,5,0,2,110,5,0,,,,0
81,6,0,2,110,5,0,,,,0
82,7,0,2,110,5,0,,,,0
83,8,0,2,110,5,0,,,,0
84,9,0,2,110,5,0,,,,0
85,10,0,2,3110,5,0,,,,0
86,11,0,2,3110,5,0,,,,0
87,12,0,2,4110,5,0,,,,0
88,0,0,42,2110,5,0,,,,0
89,0,0,184,0,5,0,,,,0
90,1,0,124,4113,6,0,,,,0
91,2,0,124,4113,6,0,,,,0
92,3,1,124,2113,6,0,,,,0
93,4,0,124,1113,6,0,pfb_eff_single_scenario_01,,,0
94,5,0,124,2113,6,0,,,,0
95,6,0,124,2113,6,0,,,,0
96,7,0,124,2113,6,0,,,,0
97,8,0,124,2113,6,0,,,,0
98,9,0,124,2113,6,0,,,,0
99,10,0,124,3113,6,0,,,,0
100,11,0,124,3113,6,0,,,,0
101,12,0,124,4113,6,0,,,,0
102,0,0,243,2110,6,0,,,,0
103,3,2,5,5110,1,0,pfb_eff_single_scenario_01,,,0
104,3,2,124,1110,2,1,pfb_eff_single_scenario_01,,,3
105,3,2,124,1111,2,2,pfb_eff_single_scenario_01,,,3
106,3,2,124,1112,2,3,pfb_eff_single_scenario_01,,,3
107,3,2,1,5111,4,0,,,,0
108,3,2,10,5110,3,0,pfb_eff_single_scenario_01,,,0
109,3,2,2,5110,5,0,pfb_eff_single_scenario_01,,,0
110,3,2,124,1113,6,0,pfb_eff_single_scenario_01,,,0
111,1,0,230,4110,7,0,,,,0
112,2,0,230,4110,7,0,,,,0
113,3,1,230,110,7,0,,,,0
114,3,2,230,5110,7,0,pfb_eff_single_scenario_01,,,0
115,4,0,230,5110,7,0,pfb_eff_single_scenario_01,,,0
116,5,0,230,110,7,0,,,,0
117,6,0,230,110,7,0,,,,0
118,7,0,230,110,7,0,,,,0
119,8,0,230,110,7,0,,,,0
120,9,0,230,110,7,0,,,,0
121,10,0,230,3110,7,0,,,,0
122,11,0,230,3110,7,0,,,,0
123,12,0,230,4110,7,0,,,,0
124,0,0,40,2111,7,0,,,,0
125,1,0,57,4110,8,0,,,,0
126,2,0,57,4110,8,0,,,,0
127,3,1,57,110,8,0,,,,0
128,3,2,57,5110,8,0,pfb_eff_single_scenario_01,,,0
129,4,0,57,5110,8,0,pfb_eff_single_scenario_01,,,0
130,5,0,57,110,8,0,,,,0
131,6,0,57,110,8,0,,,,0
132,7,0,57,110,8,0,,,,0
133,8,0,57,110,8,0,,,,0
134,9,0,57,110,8,0,,,,0
135,10,0,57,3110,8,0,,,,0
136,11,0,57,3110,8,0,,,,0
137,12,0,57,4110,8,0,,,,0
138,0,0,42,2110,8,0,,,,0
139,1,0,315,4110,9,0,,,,0
140,2,0,315,4110,9,0,,,,0
141,3,1,315,2110,9,0,,,,0
142,3,2,315,1110,9,0,pfb_eff_single_scenario_01,,,0
143,4,0,315,1110,9,0,pfb_eff_single_scenario_01,,,0
144,5,0,315,2110,9,0,,,,0
145,6,0,315,2110,9,0,,,,0
146,7,0,315,2110,9,0,,,,0
147,8,0,315,2110,9,0,,,,0
148,9,0,315,2110,9,0,,,,0
149,10,0,315,3110,9,0,,,,0
150,11,0,315,3110,9,0,,,,0
151,12,0,315,4110,9,0,,,,0
152,0,0,42,2110,9,0,,,,0
153,1,0,53,4110,10,0,,,,0
154,2,0,53,4110,10,0,,,,0
155,3,1,53,110,10,0,,,,0
156,3,2,53,5110,10,0,pfb_eff_single_scenario_01,,,0
157,4,0,53,5110,10,0,pfb_eff_single_scenario_01,,,0
158,5,0,53,110,10,0,,,,0
159,6,0,53,110,10,0,,,,0
160,7,0,53,110,10,0,,,,0
161,8,0,53,110,10,0,,,,0
162,9,0,53,110,10,0,,,,0
163,10,0,53,3110,10,0,,,,0
164,11,0,53,3110,10,0,,,,0
165,12,0,53,4110,10,0,,,,0
166,0,0,42,2110,10,0,,,,0
167,1,0,3,4110,11,0,,,,0
168,2,0,3,4110,11,0,,,,0
169,3,1,3,110,11,0,,,,0
170,3,2,3,5110,11,0,pfb_eff_single_scenario_01,,,0
171,4,0,3,5110,11,0,pfb_eff_single_scenario_01,,,0
172,5,0,3,110,11,0,,,,0
173,6,0,3,110,11,0,,,,0
174,7,0,3,110,11,0,,,,0
175,8,0,3,110,11,0,,,,0
176,9,0,3,110,11,0,,,,0
177,10,0,3,3110,11,0,,,,0
178,11,0,3,3110,11,0,,,,0
179,12,0,3,4110,11,0,,,,0
180,0,0,40,2111,11,0,,,,0
181,1,0,1,4113,12,0,,,,0
182,2,0,1,4113,12,0,,,,0
183,3,1,1,1113,12,0,,,,0
184,3,2,1,1113,12,0,,,,0
185,4,0,1,1113,12,0,,,,0
186,5,0,1,2113,12,0,,,,0
187,6,0,1,2113,12,0,,,,0
188,7,0,1,2113,12,0,,,,0
189,8,0,1,2113,12,0,,,,0
190,9,0,1,2113,12,0,,,,0
191,10,0,1,3113,12,0,,,,0
192,11,0,1,3113,12,0,,,,0
193,12,0,1,4113,12,0,,,,0
194,0,0,42,2110,12,0,,,,0
195,1,0,337,4110,13,0,,,,3
196,2,0,337,4110,13,0,,,,3
197,3,1,337,110,13,0,,,,3
198,3,2,337,1110,13,0,pfb_eff_single_scenario_01,,,3
199,4,0,337,1110,13,0,pfb_eff_single_scenario_01,,,3
200,5,0,337,110,13,0,,,,3
201,6,0,337,110,13,0,,,,3
202,7,0,337,110,13,0,,,,3
203,8,0,337,110,13,0,,,,3
204,9,0,337,110,13,0,,,,3
205,10,0,337,3110,13,0,,,,3
206,11,0,337,3110,13,0,,,,3
207,12,0,337,4110,13,0,,,,3
208,0,0,42,2110,13,0,,,,3
209,1,0,4,4110,14,0,,,,0
210,2,0,4,4110,14,0,,,,0
211,3,1,4,2110,14,0,,,,0
212,3,2,4,5110,14,0,pfb_eff_single_scenario_01,,,0
213,4,0,4,5110,14,0,pfb_eff_single_scenario_01,,,0
214,5,0,4,2110,14,0,,,,0
215,6,0,4,2110,14,0,,,,0
216,7,0,4,2110,14,0,,,,0
217,8,0,4,2110,14,0,,,,0
218,9,0,4,2110,14,0,,,,0
219,10,0,4,3110,14,0,,,,0
220,11,0,4,3110,14,0,,,,0
221,12,0,4,4110,14,0,,,,0
222,0,0,42,2110,14,0,,,,0
