id,dress_id,area_map_id,color_r1,color_r2,color_g1,color_g2,color_b1,color_b2,toon_color_r1,toon_color_r2,toon_color_g1,toon_color_g2,toon_color_b1,toon_color_b2
370000,37,0,#76FF5F,#E6BFEE,#E2CDA1,#6F2538,#F2E9E9,#6F2538,#409342,#836AD6,#9E6869,#43171E,#DBC1C2,#43171E
370001,37,0,#76FF5F,#E6BFEE,#E2CDA1,#222B7B,#F2E9E9,#222B7B,#409342,#836AD6,#9E6869,#181A4B,#DBC1C2,#181A4B
370002,37,0,#76FF5F,#E6BFEE,#E2CDA1,#1B4F4F,#F2E9E9,#1B4F4F,#409342,#836AD6,#9E6869,#1B2F37,#DBC1C2,#1B2F37
370003,37,0,#76FF5F,#E6BFEE,#E2CDA1,#AF8FCE,#F2E9E9,#AF8FCE,#409342,#836AD6,#9E6869,#745AA1,#DBC1C2,#745AA1
370004,37,0,#76FF5F,#E6BFEE,#E2CDA1,#EFA100,#F2E9E9,#EFA100,#409342,#836AD6,#9E6869,#BE6B2F,#DBC1C2,#BE6B2F
370005,37,0,#76FF5F,#E6BFEE,#E2CDA1,#2291B1,#F2E9E9,#2291B1,#409342,#836AD6,#9E6869,#26638B,#DBC1C2,#26638B
370006,37,0,#76FF5F,#E6BFEE,#E2CDA1,#2F3033,#F2E9E9,#2F3033,#409342,#836AD6,#9E6869,#1C1E22,#DBC1C2,#1C1E22
370007,37,0,#76FF5F,#E6BFEE,#E2CDA1,#F3FFF9,#F2E9E9,#F3FFF9,#409342,#836AD6,#9E6869,#C7E9D5,#DBC1C2,#C7E9D5
380001,38,0,#000000,#000000,#FFF1E1,#FCFCFA,#2F2F2F,#FFFFFF,#000000,#000000,#E9C5A2,#F1D1B9,#171717,#DACEC2
380002,38,0,#000000,#000000,#FDFDFC,#FDFDFC,#2C225D,#2C225D,#000000,#000000,#C1D2E1,#C1C9D1,#181145,#181145
380003,38,0,#000000,#000000,#F8EADD,#FAF2ED,#2F2F2F,#2F2F2F,#000000,#000000,#E9CEAF,#FAD9C7,#171717,#171717
380004,38,0,#000000,#000000,#F8EADD,#FEFCFD,#2C2628,#7A1A39,#000000,#000000,#E9CEAF,#F3CDEC,#140E10,#530B1A
380005,38,0,#000000,#000000,#F8EADD,#F9F8F5,#252A23,#044C34,#000000,#000000,#E9CEAF,#F5EBDF,#12150E,#012D2C
380006,38,0,#000000,#000000,#ECECEC,#FAFDFC,#565F68,#E1FAFA,#000000,#000000,#BEBEBE,#DFDFDF,#333742,#A6C5E7
380007,38,0,#000000,#000000,#F3DABD,#FCFDFE,#AC7044,#AC7044,#000000,#000000,#F1CFAB,#F5E0CD,#824D37,#824D37
380008,38,0,#000000,#000000,#F8F0E6,#FCFCFB,#FEFDFE,#FEFDFE,#000000,#000000,#F1CFAE,#F8E2E6,#E6D5F2,#E6D5F2
390000,39,0,#FAFBFF,#FAFBFF,#C8B99E,#2E2F35,#32395B,#32395B,#D1D7E5,#D1D7E5,#A89475,#14141F,#191F35,#191F35
390001,39,0,#FAFBFF,#FFF9FB,#DDC0B9,#352F2F,#32395B,#673749,#D1D7E5,#ECD9E2,#A3726E,#241B1B,#191F35,#411F27
390002,39,0,#FAFBFF,#F9FFFD,#C6C0A5,#2D3333,#32395B,#2D615B,#D1D7E5,#D5EAE1,#7D5C47,#0A1614,#191F35,#253C36
390003,39,0,#FAFBFF,#FFF9F9,#D1C1A9,#35302D,#32395B,#69413A,#D1D7E5,#E4D0D1,#AB9079,#1D1512,#191F35,#442B26
390004,39,0,#B2AFB7,#FBFCFE,#A6A6A6,#313133,#32395B,#49464E,#94919A,#D8D9DD,#908E97,#171719,#191F35,#252429
390005,39,0,#CECABF,#FBFCFE,#AB9D8A,#4B4954,#32395B,#ADADAD,#9A9086,#E0E2DF,#9B9389,#323137,#191F35,#7D7D89
390006,39,0,#CECABF,#FCFCFC,#D6CCBF,#554B4A,#32395B,#D4BF6D,#9A9086,#D7C5BE,#B38969,#363231,#191F35,#8C6D49
390007,39,0,#CECABF,#FCFCFC,#E4DBC8,#9D9894,#32395B,#FBFCFE,#9A9086,#CFC3BB,#A4794A,#6A605B,#191F35,#CFC9C2
400000,40,0,#BE9E65,#373A49,#FFFFFF,#2E4560,#242730,#2E4560,#8B6242,#1F213C,#D0D6E6,#1B2630,#10121E,#1B2630
400001,40,0,#C7A57A,#332927,#FFFFFF,#603031,#332927,#603031,#A27765,#160F0E,#E4D3D1,#371F21,#160F0E,#371F21
400002,40,0,#B78660,#3D4C37,#FFFFFF,#34592D,#253022,#34592D,#824B3C,#273128,#E5DBD0,#2C3F20,#0F1B0D,#2C3F20
400003,40,0,#CBBA68,#504A3C,#FFFFFF,#654B33,#353026,#654B33,#A48250,#302E26,#E0D5CC,#3A281C,#1D1D1C,#3A281C
400004,40,0,#C2B895,#3A3A38,#FFFFFF,#373737,#1E1E1E,#373737,#887760,#0F0F0D,#D8D7D5,#1F2126,#0E0E0E,#1F2126
400005,40,0,#D3C582,#51504E,#FFFFFF,#717171,#2D2D2D,#717171,#B48D56,#23241C,#D9D8D6,#4B4B4B,#1A1A18,#4B4B4B
400006,40,0,#C2BA95,#5F513C,#FFFFFF,#C6A658,#4B402F,#BC9D52,#80715A,#372B19,#D4CBC2,#7D542D,#1D1408,#7D542D
400007,40,0,#C1B994,#7A8076,#FFFFFF,#646461,#646461,#FEFFFE,#887660,#53554D,#D4DFD4,#42423A,#3F3F30,#BFD4CA
420000,42,0,#FFE786,#9EB264,#B9682E,#F4F4F4,#FFE786,#FFE786,#F3C783,#707071,#673D1F,#BCBCBC,#F3C783,#F3C783
420001,42,0,#D2DAC2,#9EB264,#FC913A,#F4F4F4,#BCD8D2,#BCD8D2,#99AC89,#707070,#F68655,#BCBCBC,#85B9AD,#85B9AD
420002,42,0,#D2DAC2,#9EB264,#E28AB6,#F4F4F4,#D9E7F4,#D9E7F4,#99AC89,#707070,#D992A9,#BCBCBC,#7B8DBC,#7B8DBC
420003,42,0,#D2DAC2,#9EB264,#757575,#F4F4F4,#EEC9D0,#EEC9D0,#99AC89,#707071,#28385E,#BCBCBC,#E29FBB,#E29FBB
420100,42,1,#FFE786,#9EB264,#B9682E,#F4F4F4,#F3C47B,#FFE786,#DDB16E,#707071,#673D1F,#BCBCBC,#E1C388,#F3C783
420101,42,1,#85B9AD,#9EB264,#FC913A,#F4F4F4,#BBD7D1,#BCD8D2,#7EABA1,#707070,#F68655,#BCBCBC,#96C8BC,#85B9AD
420102,42,1,#D9E7F4,#9EB264,#E28AB6,#F4F4F4,#6A7EB6,#D9E7F4,#6F87B1,#707070,#D992A9,#BCBCBC,#4E5E82,#7B8DBC
420103,42,1,#E29FBB,#9EB264,#757575,#F4F4F4,#EEC9D0,#EEC9D0,#D087A3,#707071,#28385E,#BCBCBC,#E29FBB,#E29FBB
