id,command_id,condition_set_id,add_value
110103101,110103,101,10
110103102,110103,102,20
110103105,110103,105,0
110103106,110103,106,10
110103107,110103,107,20
110103109,110103,109,10
110103110,110103,110,20
110103111,110103,111,30
110103112,110103,112,30
110103113,110103,113,35
110103114,110103,114,37
110103502,110103,502,10
110103503,110103,503,10
110104101,110104,101,10
110104102,110104,102,20
110104105,110104,105,0
110104106,110104,106,10
110104107,110104,107,20
110104109,110104,109,10
110104110,110104,110,20
110104111,110104,111,30
110104112,110104,112,30
110104113,110104,113,35
110104114,110104,114,37
110104502,110104,502,10
110104503,110104,503,10
110105101,110105,101,10
110105102,110105,102,20
110105105,110105,105,0
110105106,110105,106,10
110105107,110105,107,20
110105109,110105,109,10
110105110,110105,110,20
110105111,110105,111,30
110105112,110105,112,30
110105113,110105,113,35
110105114,110105,114,37
110105502,110105,502,10
110105503,110105,503,10
110106201,110106,201,60
110106202,110106,202,90
110108201,110108,201,60
110108202,110108,202,90
110109203,110109,203,100
110109204,110109,204,100
110109205,110109,205,100
110109206,110109,206,100
110109207,110109,207,100
110109208,110109,208,100
110110301,110110,301,20
110110303,110110,303,1200
110110308,110110,308,10
110110309,110110,309,10
110110310,110110,310,-999
110111101,110111,101,10
110111102,110111,102,20
110111105,110111,105,0
110111106,110111,106,10
110111107,110111,107,20
110111109,110111,109,10
110111110,110111,110,20
110111111,110111,111,30
110111112,110111,112,30
110111113,110111,113,35
110111114,110111,114,37
110111502,110111,502,10
110111503,110111,503,10
110112101,110112,101,10
110112102,110112,102,20
110112105,110112,105,0
110112106,110112,106,10
110112107,110112,107,20
110112109,110112,109,10
110112110,110112,110,20
110112111,110112,111,30
110112112,110112,112,30
110112113,110112,113,35
110112114,110112,114,37
110112502,110112,502,10
110112503,110112,503,10
110113101,110113,101,10
110113102,110113,102,20
110113105,110113,105,0
110113106,110113,106,10
110113107,110113,107,20
110113109,110113,109,10
110113110,110113,110,20
110113111,110113,111,30
110113112,110113,112,30
110113113,110113,113,35
110113114,110113,114,37
110113502,110113,502,10
110113503,110113,503,10
110114101,110114,101,10
110114102,110114,102,20
110114105,110114,105,0
110114106,110114,106,10
110114107,110114,107,20
110114109,110114,109,10
110114110,110114,110,20
110114111,110114,111,30
110114112,110114,112,30
110114113,110114,113,35
110114114,110114,114,37
110114502,110114,502,10
110114503,110114,503,10
110115101,110115,101,10
110115102,110115,102,20
110115105,110115,105,0
110115106,110115,106,10
110115107,110115,107,20
110115109,110115,109,10
110115110,110115,110,20
110115111,110115,111,30
110115112,110115,112,30
110115113,110115,113,35
110115114,110115,114,37
110115502,110115,502,10
110115503,110115,503,10
120101101,120101,101,10
120101102,120101,102,20
120101105,120101,105,0
120101106,120101,106,10
120101107,120101,107,20
120101109,120101,109,10
120101110,120101,110,20
120101111,120101,111,30
120101112,120101,112,30
120101113,120101,113,35
120101114,120101,114,37
120101502,120101,502,10
120101503,120101,503,10
120102101,120102,101,10
120102102,120102,102,20
120102105,120102,105,0
120102106,120102,106,10
120102107,120102,107,20
120102109,120102,109,10
120102110,120102,110,20
120102111,120102,111,30
120102112,120102,112,30
120102113,120102,113,35
120102114,120102,114,37
120102502,120102,502,10
120102503,120102,503,10
120103101,120103,101,10
120103102,120103,102,20
120103105,120103,105,0
120103106,120103,106,10
120103107,120103,107,20
120103109,120103,109,10
120103110,120103,110,20
120103111,120103,111,30
120103112,120103,112,30
120103113,120103,113,35
120103114,120103,114,37
120103502,120103,502,10
120103503,120103,503,10
120104101,120104,101,10
120104102,120104,102,20
120104105,120104,105,0
120104106,120104,106,10
120104107,120104,107,20
120104109,120104,109,10
120104110,120104,110,20
120104111,120104,111,30
120104112,120104,112,30
120104113,120104,113,35
120104114,120104,114,37
120104502,120104,502,10
120104503,120104,503,10
120105101,120105,101,10
120105102,120105,102,20
120105105,120105,105,0
120105106,120105,106,10
120105107,120105,107,20
120105109,120105,109,10
120105110,120105,110,20
120105111,120105,111,30
120105112,120105,112,30
120105113,120105,113,35
120105114,120105,114,37
120105502,120105,502,10
120105503,120105,503,10
120106201,120106,201,60
120106202,120106,202,90
120108201,120108,201,60
120108202,120108,202,90
120109203,120109,203,100
120109204,120109,204,100
120109205,120109,205,100
120109206,120109,206,100
120109207,120109,207,100
120109208,120109,208,100
120110301,120110,301,20
120110303,120110,303,1200
120110308,120110,308,10
120110309,120110,309,10
120110310,120110,310,-999
130101001,130101,101,10
130101002,130101,102,20
130101003,130101,112,30
130101004,130101,113,35
130101005,130101,114,37
130101006,130101,105,0
130101007,130101,106,10
130101008,130101,107,20
130101009,130101,109,10
130101010,130101,110,20
130101011,130101,111,30
130101012,130101,502,10
130101013,130101,503,10
130101014,130101,130101,10
130101015,130101,130102,20
130101016,130101,130103,30
130101017,130101,130201,10
130101018,130101,130202,20
130101019,130101,130203,30
130101020,130101,130301,20
130101021,130101,130302,25
130101022,130101,130303,30
130102001,130102,101,10
130102002,130102,102,20
130102003,130102,112,30
130102004,130102,113,35
130102005,130102,114,37
130102006,130102,105,0
130102007,130102,106,10
130102008,130102,107,20
130102009,130102,109,10
130102010,130102,110,20
130102011,130102,111,30
130102012,130102,502,10
130102013,130102,503,10
130102014,130102,130101,10
130102015,130102,130102,20
130102016,130102,130103,30
130102017,130102,130201,10
130102018,130102,130202,20
130102019,130102,130203,30
130102020,130102,130301,20
130102021,130102,130302,25
130102022,130102,130303,30
130103001,130103,101,10
130103002,130103,102,20
130103003,130103,112,30
130103004,130103,113,35
130103005,130103,114,37
130103006,130103,105,0
130103007,130103,106,10
130103008,130103,107,20
130103009,130103,109,10
130103010,130103,110,20
130103011,130103,111,30
130103012,130103,502,10
130103013,130103,503,10
130103014,130103,130101,10
130103015,130103,130102,20
130103016,130103,130103,30
130103017,130103,130201,10
130103018,130103,130202,20
130103019,130103,130203,30
130103020,130103,130301,20
130103021,130103,130302,25
130103022,130103,130303,30
130104001,130104,101,10
130104002,130104,102,20
130104003,130104,112,30
130104004,130104,113,35
130104005,130104,114,37
130104006,130104,105,0
130104007,130104,106,10
130104008,130104,107,20
130104009,130104,109,10
130104010,130104,110,20
130104011,130104,111,30
130104012,130104,502,10
130104013,130104,503,10
130104014,130104,130101,10
130104015,130104,130102,20
130104016,130104,130103,30
130104017,130104,130201,10
130104018,130104,130202,20
130104019,130104,130203,30
130104020,130104,130301,20
130104021,130104,130302,25
130104022,130104,130303,30
130105001,130105,101,10
130105002,130105,102,20
130105003,130105,112,30
130105004,130105,113,35
130105005,130105,114,37
130105006,130105,105,0
130105007,130105,106,10
130105008,130105,107,20
130105009,130105,109,10
130105010,130105,110,20
130105011,130105,111,30
130105012,130105,502,10
130105013,130105,503,10
130105014,130105,130101,10
130105015,130105,130102,20
130105016,130105,130103,30
130105017,130105,130201,10
130105018,130105,130202,20
130105019,130105,130203,30
130105020,130105,130301,20
130105021,130105,130302,25
130105022,130105,130303,30
130106001,130106,201,60
130106002,130106,202,90
130108001,130108,201,60
130108002,130108,202,90
130109001,130109,203,126
130109002,130109,204,126
130109003,130109,205,126
130109004,130109,206,126
130109005,130109,207,126
130109006,130109,208,126
130110001,130110,301,20
130110002,130110,308,10
130110003,130110,309,10
130110004,130110,303,1200
130110310,130110,310,-999
130118001,130118,130401,95
130118002,130118,130601,30
130118003,130118,130501,-999
130118004,130118,201,-999
130118005,130118,202,-999
130118006,130118,130402,-999
140101101,140101,101,10
140101102,140101,102,20
140101105,140101,105,0
140101106,140101,106,10
140101107,140101,107,20
140101109,140101,109,10
140101110,140101,110,20
140101111,140101,111,30
140101112,140101,112,30
140101113,140101,113,35
140101114,140101,114,37
140101502,140101,502,10
140101503,140101,503,10
140102101,140102,101,10
140102102,140102,102,20
140102105,140102,105,0
140102106,140102,106,10
140102107,140102,107,20
140102109,140102,109,10
140102110,140102,110,20
140102111,140102,111,30
140102112,140102,112,30
140102113,140102,113,35
140102114,140102,114,37
140102502,140102,502,10
140102503,140102,503,10
140103101,140103,101,10
140103102,140103,102,20
140103105,140103,105,0
140103106,140103,106,10
140103107,140103,107,20
140103109,140103,109,10
140103110,140103,110,20
140103111,140103,111,30
140103112,140103,112,30
140103113,140103,113,35
140103114,140103,114,37
140103502,140103,502,10
140103503,140103,503,10
140104101,140104,101,10
140104102,140104,102,20
140104105,140104,105,0
140104106,140104,106,10
140104107,140104,107,20
140104109,140104,109,10
140104110,140104,110,20
140104111,140104,111,30
140104112,140104,112,30
140104113,140104,113,35
140104114,140104,114,37
140104502,140104,502,10
140104503,140104,503,10
140105101,140105,101,10
140105102,140105,102,20
140105105,140105,105,0
140105106,140105,106,10
140105107,140105,107,20
140105109,140105,109,10
140105110,140105,110,20
140105111,140105,111,30
140105112,140105,112,30
140105113,140105,113,35
140105114,140105,114,37
140105502,140105,502,10
140105503,140105,503,10
140106201,140106,201,60
140106202,140106,202,90
140108201,140108,201,60
140108202,140108,202,90
140109203,140109,203,100
140109204,140109,204,100
140109205,140109,205,100
140109206,140109,206,100
140109207,140109,207,100
140109208,140109,208,100
140110301,140110,301,20
140110303,140110,303,1200
140110308,140110,308,10
140110309,140110,309,10
140110310,140110,310,-999
140119001,140119,140101,100
140119003,140119,201,-999
140119004,140119,202,-999
140119005,140119,140301,-999
