id,need_skill_point,status_type,status_value,solvable_type
200302,90,0,0,0
200311,50,0,0,0
200321,50,0,0,0
200331,180,0,0,0
200332,180,0,0,0
200333,100,0,0,0
200341,180,0,0,0
200342,180,0,0,0
200343,100,0,0,0
200351,170,0,0,0
200352,170,0,0,0
200353,100,0,0,0
200361,170,0,0,0
200362,170,0,0,0
200371,170,0,0,0
200372,170,0,0,0
200381,170,0,0,0
200382,170,0,0,0
200391,100,0,0,0
200401,100,0,0,0
200411,100,0,0,0
200421,100,0,0,0
200431,140,0,0,0
200432,140,0,0,0
200433,70,0,0,0
200441,160,0,0,0
200442,160,0,0,0
200451,120,0,0,0
200452,120,0,0,0
200461,170,0,0,0
200462,170,0,0,0
200471,170,0,0,0
200472,170,0,0,0
200481,170,0,0,0
200482,170,0,0,0
200491,150,0,0,0
200492,150,0,0,0
200501,120,0,0,0
200502,120,0,0,0
200511,170,0,0,0
200512,170,0,0,0
200521,100,0,0,0
200531,120,0,0,0
200532,120,0,0,0
200541,180,0,0,0
200542,180,0,0,0
200551,180,0,0,0
200552,180,0,0,0
200561,180,0,0,0
200562,180,0,0,0
200571,180,0,0,0
200572,180,0,0,0
200581,180,0,0,0
200582,180,0,0,0
200591,180,0,0,0
200592,180,0,0,0
200601,180,0,0,0
200602,180,0,0,0
200611,180,0,0,0
200612,180,0,0,0
200621,180,0,0,0
200622,180,0,0,0
200631,180,0,0,0
200632,180,0,0,0
200641,180,0,0,0
200642,180,0,0,0
200651,160,0,0,0
200652,160,0,0,0
200662,160,0,0,0
200671,160,0,0,0
200672,160,0,0,0
200681,160,0,0,0
200682,160,0,0,0
200691,160,0,0,0
200692,160,0,0,0
200701,160,0,0,0
200702,160,0,0,0
200711,160,0,0,0
200712,160,0,0,0
200721,160,0,0,0
200722,160,0,0,0
200731,160,0,0,0
200732,160,0,0,0
200741,160,0,0,0
200742,160,0,0,0
200751,160,0,0,0
200752,160,0,0,0
200761,160,0,0,0
200762,160,0,0,0
200771,140,0,0,0
200772,140,0,0,0
200781,140,0,0,0
200791,130,0,0,0
200801,130,0,0,0
200811,130,0,0,0
200821,130,0,0,0
200831,130,0,0,0
200841,130,0,0,0
200851,130,0,0,0
200861,130,0,0,0
200871,130,0,0,0
200881,130,0,0,0
200891,130,0,0,0
200901,130,0,0,0
200911,130,0,0,0
200921,130,0,0,0
200931,130,0,0,0
200941,130,0,0,0
200951,110,0,0,0
200952,90,0,0,0
200953,50,0,0,0
200961,110,0,0,0
200962,100,0,0,0
200963,150,0,0,0
200971,110,0,0,0
200972,100,0,0,0
200973,150,0,0,0
200981,170,0,0,0
200982,170,0,0,0
200991,160,0,0,0
200992,160,0,0,0
201001,140,0,0,0
201002,140,0,0,0
201011,170,0,0,0
201012,170,0,0,0
201021,170,0,0,0
201022,170,0,0,0
201031,110,0,0,0
201032,100,0,0,0
201033,150,0,0,0
201041,110,0,0,0
201042,100,0,0,0
201043,150,0,0,0
201051,160,0,0,0
201052,160,0,0,0
201061,160,0,0,0
201062,160,0,0,0
201071,120,0,0,0
201072,120,0,0,0
201081,160,0,0,0
201082,160,0,0,0
201091,160,0,0,0
201092,160,0,0,0
201101,110,0,0,0
201102,100,0,0,0
201103,150,0,0,0
201111,110,0,0,0
201112,100,0,0,0
201113,150,0,0,0
201121,110,0,0,0
201122,110,0,0,0
201131,140,0,0,0
201132,140,0,0,0
201141,160,0,0,0
201142,160,0,0,0
201151,160,0,0,0
201152,160,0,0,0
201161,160,0,0,0
201162,160,0,0,0
201171,110,0,0,0
201172,100,0,0,0
201173,150,0,0,0
201181,110,0,0,0
201182,100,0,0,0
201183,150,0,0,0
201191,160,0,0,0
201192,160,0,0,0
201201,160,0,0,0
201202,160,0,0,0
201211,160,0,0,0
201212,160,0,0,0
201221,160,0,0,0
201222,160,0,0,0
201231,110,0,0,0
201232,110,0,0,0
201241,140,0,0,0
201242,130,0,0,0
201243,150,0,0,0
201251,140,0,0,0
201252,130,0,0,0
201253,150,0,0,0
201261,110,0,0,0
201262,110,0,0,0
201271,180,0,0,0
201272,180,0,0,0
201281,180,0,0,0
201282,180,0,0,0
201291,180,0,0,0
201292,180,0,0,0
201302,130,0,0,0
201311,140,0,0,0
201312,130,0,0,0
201313,150,0,0,0
201321,140,0,0,0
201322,130,0,0,0
201323,150,0,0,0
201331,120,0,0,0
201332,120,0,0,0
201341,120,0,0,0
201342,120,0,0,0
201351,180,0,0,0
201352,180,0,0,0
201361,120,0,0,0
201362,120,0,0,0
201371,110,0,0,0
201372,110,0,0,0
201381,140,0,0,0
201382,130,0,0,0
201383,150,0,0,0
201391,140,0,0,0
201392,130,0,0,0
201393,150,0,0,0
201401,120,0,0,0
201402,120,0,0,0
201411,120,0,0,0
201412,120,0,0,0
201421,180,0,0,0
201422,180,0,0,0
201431,120,0,0,0
201432,120,0,0,0
201441,180,0,0,0
201442,180,0,0,0
201451,140,0,0,0
201452,130,0,0,0
201453,150,0,0,0
201461,140,0,0,0
201462,130,0,0,0
201463,150,0,0,0
201471,110,0,0,0
201472,110,0,0,0
201481,170,0,0,0
201482,170,0,0,0
201491,180,0,0,0
201492,180,0,0,0
201501,110,0,0,0
201502,110,0,0,0
201511,180,0,0,0
201512,180,0,0,0
201521,130,0,0,0
201522,110,0,0,0
201531,130,0,0,0
201532,110,0,0,0
201541,130,0,0,0
201542,110,0,0,0
201551,130,0,0,0
201552,110,0,0,0
201561,110,0,0,0
201562,110,0,0,0
201571,160,0,0,0
201581,160,0,0,0
201582,160,0,0,0
201591,160,0,0,0
201592,160,0,0,0
201601,100,0,0,0
201602,180,0,0,0
201611,100,0,0,0
201612,180,0,0,0
201621,100,0,0,0
201631,70,0,0,0
201632,150,0,0,0
201641,70,0,0,0
201651,160,0,0,0
201652,160,0,0,0
201661,160,0,0,0
201662,160,0,0,0
201671,180,0,0,0
201672,180,0,0,0
201681,140,0,0,0
201682,140,0,0,0
201691,180,0,0,0
201692,180,0,0,0
201701,160,0,0,0
201702,160,0,0,0
201801,50,0,0,0
201901,180,0,0,0
201902,180,0,0,0
202001,200,0,0,0
202002,180,0,0,0
202011,160,0,0,0
202012,160,0,0,0
202021,180,0,0,0
202022,180,0,0,0
202031,120,0,0,0
202032,120,0,0,0
202041,160,0,0,0
202042,160,0,0,0
202051,200,0,0,0
202061,360,0,0,0
202071,170,0,0,0
202072,170,0,0,0
202081,160,0,0,0
202082,160,0,0,0
202091,160,0,0,0
202092,160,0,0,0
202101,160,0,0,0
202102,160,0,0,0
202111,160,0,0,0
202112,160,0,0,0
202121,180,0,0,0
202122,180,0,0,0
202131,160,0,0,0
202132,160,0,0,0
202141,0,0,0,1
202151,160,0,0,0
202152,160,0,0,0
202161,160,0,0,0
202171,170,0,0,0
202172,170,0,0,0
202181,0,0,0,1
202191,170,0,0,0
202192,170,0,0,0
202201,90,0,0,0
202202,70,0,0,0
202203,40,0,0,0
202211,90,0,0,0
202212,70,0,0,0
202213,40,0,0,0
202221,90,0,0,0
202222,70,0,0,0
202223,40,0,0,0
202231,90,0,0,0
202232,70,0,0,0
202233,40,0,0,0
202241,90,0,0,0
202242,70,0,0,0
202243,40,0,0,0
202251,90,0,0,0
202252,70,0,0,0
202253,40,0,0,0
202254,130,0,0,0
202261,180,0,0,0
202262,180,0,0,0
202271,180,0,0,0
202272,180,0,0,0
202281,180,0,0,0
202282,180,0,0,0
202291,150,0,0,0
202292,150,0,0,0
202301,160,0,0,0
202302,160,0,0,0
202303,100,0,0,0
202311,180,0,0,0
202312,180,0,0,0
202321,180,0,0,0
202322,180,0,0,0
202331,120,0,0,0
202332,120,0,0,0
202341,130,0,0,0
202342,110,0,0,0
202343,90,0,0,0
202344,50,0,0,0
202351,120,0,0,0
202352,120,0,0,0
202361,180,0,0,0
202362,180,0,0,0
202371,180,0,0,0
202372,180,0,0,0
202381,180,0,0,0
202382,180,0,0,0
202391,180,0,0,0
202392,180,0,0,0
202401,180,0,0,0
202402,180,0,0,0
202411,180,0,0,0
202412,180,0,0,0
202421,180,0,0,0
202422,180,0,0,0
202431,170,0,0,0
202432,170,0,0,0
202441,180,0,0,0
202442,180,0,0,0
202451,180,0,0,0
202452,180,0,0,0
202461,180,0,0,0
202462,180,0,0,0
202471,180,0,0,0
202472,180,0,0,0
202481,180,0,0,0
202482,180,0,0,0
202491,180,0,0,0
202492,180,0,0,0
202501,180,0,0,0
202502,180,0,0,0
202511,0,0,0,1
202521,180,0,0,0
202522,180,0,0,0
202531,180,0,0,0
202532,180,0,0,0
202541,190,0,0,0
202542,190,0,0,0
202551,200,0,0,0
202552,200,0,0,0
202561,160,0,0,0
202562,160,0,0,0
202581,200,0,0,0
202582,200,0,0,0
202591,160,0,0,0
202592,160,0,0,0
202601,160,0,0,0
202602,160,0,0,0
202611,180,0,0,0
202612,180,0,0,0
202621,180,0,0,0
202622,180,0,0,0
202641,180,0,0,0
202642,180,0,0,0
202651,180,0,0,0
202652,180,0,0,0
202661,180,0,0,0
202662,180,0,0,0
202671,160,0,0,0
202672,160,0,0,0
202681,200,0,0,0
202682,200,0,0,0
202691,120,0,0,0
202692,120,0,0,0
202701,120,0,0,0
202702,120,0,0,0
202711,180,0,0,0
202712,180,0,0,0
202721,180,0,0,0
202722,180,0,0,0
202731,90,0,0,0
202732,70,0,0,0
202733,40,0,0,0
202734,130,0,0,0
202741,180,0,0,0
202742,180,0,0,0
202751,160,0,0,0
202752,160,0,0,0
202761,180,0,0,0
202762,180,0,0,0
202771,160,0,0,0
202772,160,0,0,0
202791,160,0,0,0
202792,160,0,0,0
202801,160,0,0,0
202802,160,0,0,0
202811,160,0,0,0
202812,160,0,0,0
202821,170,0,0,0
202822,170,0,0,0
202831,200,0,0,0
202832,200,0,0,0
202841,200,0,0,0
202842,180,0,0,0
202851,160,0,0,0
202852,160,0,0,0
202861,120,0,0,0
202862,120,0,0,0
202871,180,0,0,0
202872,180,0,0,0
202881,180,0,0,0
202882,180,0,0,0
202891,180,0,0,0
202892,180,0,0,0
202901,180,0,0,0
202902,180,0,0,0
202912,190,0,0,0
202921,160,0,0,0
202922,160,0,0,0
202931,180,0,0,0
202932,180,0,0,0
202942,160,0,0,0
202951,160,0,0,0
202952,160,0,0,0
202961,180,0,0,0
202962,180,0,0,0
202971,160,0,0,0
202972,160,0,0,0
202981,180,0,0,0
202982,180,0,0,0
202991,90,0,0,0
202992,70,0,0,0
202993,40,0,0,0
203001,180,0,0,0
203002,180,0,0,0
203011,140,0,0,0
203012,140,0,0,0
203021,140,0,0,0
203022,140,0,0,0
203031,180,0,0,0
203032,180,0,0,0
203041,180,0,0,0
203042,180,0,0,0
203051,160,0,0,0
203052,160,0,0,0
203061,120,0,0,0
203071,120,0,0,0
203081,170,0,0,0
203082,170,0,0,0
203091,150,0,0,0
203092,110,0,0,0
203093,100,0,0,0
203101,150,0,0,0
203102,110,0,0,0
203103,100,0,0,0
203111,160,0,0,0
203112,160,0,0,0
203121,170,0,0,0
203122,170,0,0,0
203131,180,0,0,0
203132,180,0,0,0
203141,200,0,0,0
203142,200,0,0,0
203151,180,0,0,0
203152,180,0,0,0
203161,160,0,0,0
203162,160,0,0,0
203171,160,0,0,0
203172,160,0,0,0
203181,190,0,0,0
203182,190,0,0,0
203201,180,0,0,0
203202,180,0,0,0
203212,180,0,0,0
203221,160,0,0,0
203222,160,0,0,0
203231,180,0,0,0
203232,180,0,0,0
203241,200,0,0,0
203242,200,0,0,0
203251,180,0,0,0
203252,180,0,0,0
203262,160,0,0,0
203272,180,0,0,0
203281,0,0,0,1
203301,140,0,0,0
203302,140,0,0,0
203311,140,0,0,0
203312,140,0,0,0
203321,120,0,0,0
203322,120,0,0,0
203331,160,0,0,0
203332,160,0,0,0
203341,170,0,0,0
203342,170,0,0,0
203351,160,0,0,0
203352,160,0,0,0
203361,180,0,0,0
203362,180,0,0,0
203371,180,0,0,0
203372,180,0,0,0
203381,180,0,0,0
203382,180,0,0,0
203391,170,0,0,0
203392,170,0,0,0
203401,170,0,0,0
203402,170,0,0,0
203411,170,0,0,0
203412,170,0,0,0
203421,180,0,0,0
203422,180,0,0,0
203431,170,0,0,0
203432,170,0,0,0
203441,170,0,0,0
203442,170,0,0,0
203452,170,0,0,0
203461,180,0,0,0
203462,180,0,0,0
203471,180,0,0,0
203472,180,0,0,0
203481,170,0,0,0
203482,170,0,0,0
203491,170,0,0,0
203492,170,0,0,0
203501,200,0,0,0
203502,200,0,0,0
203511,200,0,0,0
203512,200,0,0,0
203522,170,0,0,0
203532,120,0,0,0
203541,160,0,0,0
203542,160,0,0,0
203552,160,0,0,0
203561,170,0,0,0
203562,170,0,0,0
203571,160,0,0,0
203572,160,0,0,0
203582,190,0,0,0
203591,180,0,0,0
203592,180,0,0,0
203601,160,0,0,0
203602,160,0,0,0
203611,170,0,0,0
203612,170,0,0,0
203621,160,0,0,0
203622,160,0,0,0
203631,180,0,0,0
203632,180,0,0,0
203641,180,0,0,0
203642,180,0,0,0
203651,180,0,0,0
203652,180,0,0,0
203661,180,0,0,0
203662,180,0,0,0
203671,180,0,0,0
203672,180,0,0,0
203681,170,0,0,0
203682,170,0,0,0
203691,0,0,0,1
203701,160,0,0,0
203702,160,0,0,0
203711,180,0,0,0
203712,180,0,0,0
203721,360,0,0,0
203731,200,0,0,0
203732,200,0,0,0
203741,160,0,0,0
203742,160,0,0,0
203751,140,0,0,0
203752,140,0,0,0
203761,180,0,0,0
203762,180,0,0,0
203772,160,0,0,0
203781,320,0,0,0
203791,180,0,0,0
203792,180,0,0,0
203801,200,0,0,0
203802,200,0,0,0
203812,120,0,0,0
203822,180,0,0,0
203831,170,0,0,0
203832,170,0,0,0
203841,160,0,0,0
203842,160,0,0,0
203851,180,0,0,0
203852,180,0,0,0
203861,180,0,0,0
203862,180,0,0,0
203871,120,0,0,0
203872,120,0,0,0
203881,160,0,0,0
203882,160,0,0,0
203892,170,0,0,0
203902,120,0,0,0
203911,170,0,0,0
203912,170,0,0,0
203922,160,0,0,0
203931,160,0,0,0
203932,160,0,0,0
203941,180,0,0,0
203942,180,0,0,0
203951,180,0,0,0
203952,180,0,0,0
203961,170,0,0,0
203962,170,0,0,0
203972,160,0,0,0
203981,180,0,0,0
203982,180,0,0,0
203991,180,0,0,0
203992,180,0,0,0
204001,180,0,0,0
204002,180,0,0,0
204012,190,0,0,0
204021,160,0,0,0
204022,160,0,0,0
204031,180,0,0,0
204032,180,0,0,0
204041,120,0,0,0
204042,120,0,0,0
204051,180,0,0,0
204052,180,0,0,0
204061,170,0,0,0
204062,170,0,0,0
204071,180,0,0,0
204072,180,0,0,0
204081,120,0,0,0
204082,120,0,0,0
204092,180,0,0,0
204101,170,0,0,0
204102,170,0,0,0
204111,180,0,0,0
204112,180,0,0,0
204121,200,0,0,0
204122,200,0,0,0
204131,180,0,0,0
204132,180,0,0,0
204141,180,0,0,0
204142,180,0,0,0
204151,180,0,0,0
204152,180,0,0,0
204161,180,0,0,0
204162,180,0,0,0
204171,170,0,0,0
204172,170,0,0,0
204181,180,0,0,0
204182,180,0,0,0
204191,180,0,0,0
204192,180,0,0,0
204202,180,0,0,0
204211,190,0,0,0
204212,190,0,0,0
204222,180,0,0,0
204232,90,0,0,0
204233,70,0,0,0
204234,40,0,0,0
204242,90,0,0,0
204243,70,0,0,0
204244,40,0,0,0
204262,200,0,0,0
204271,170,0,0,0
204272,170,0,0,0
204282,160,0,0,0
204292,80,0,0,0
204293,160,0,0,0
204301,160,0,0,0
204302,160,0,0,0
204311,160,0,0,0
204312,160,0,0,0
204322,180,0,0,0
204331,140,0,0,0
204332,140,0,0,0
204342,180,0,0,0
204351,180,0,0,0
204352,180,0,0,0
204362,180,0,0,0
204372,180,0,0,0
204381,180,0,0,0
204382,180,0,0,0
204391,190,0,0,0
204392,190,0,0,0
204412,160,0,0,0
204431,180,0,0,0
204432,180,0,0,0
204442,190,0,0,0
204452,60,0,0,0
204453,140,0,0,0
204462,160,0,0,0
204472,180,0,0,0
210011,200,0,0,0
210012,200,0,0,0
210021,200,0,0,0
210022,200,0,0,0
210031,200,0,0,0
210032,200,0,0,0
210041,200,0,0,0
210042,200,0,0,0
210051,200,0,0,0
210052,200,0,0,0
210061,200,0,0,0
210062,200,0,0,0
210071,200,0,0,0
210072,200,0,0,0
210081,200,0,0,0
210082,200,0,0,0
210091,150,0,0,0
210101,150,0,0,0
210111,150,0,0,0
210121,150,0,0,0
210131,150,0,0,0
210141,150,0,0,0
210261,200,0,0,0
210262,200,0,0,0
210271,200,0,0,0
210272,200,0,0,0
210281,200,0,0,0
210282,200,0,0,0
210291,200,0,0,0
210292,200,0,0,0
210301,200,0,0,0
210302,200,0,0,0
210311,170,0,0,0
210321,200,0,0,0
210322,200,0,0,0
210331,170,0,0,0
210341,200,0,0,0
210342,200,0,0,0
210351,200,0,0,0
210352,200,0,0,0
210361,200,0,0,0
210362,200,0,0,0
210371,200,0,0,0
210372,200,0,0,0
210381,200,0,0,0
210382,200,0,0,0
210391,200,0,0,0
210392,200,0,0,0
900011,200,0,0,0
900021,200,0,0,0
900031,200,0,0,0
900041,200,0,0,0
900051,200,0,0,0
900061,200,0,0,0
900071,200,0,0,0
900081,200,0,0,0
900091,200,0,0,0
900101,200,0,0,0
900111,200,0,0,0
900121,200,0,0,0
900131,200,0,0,0
900141,200,0,0,0
900151,200,0,0,0
900161,200,0,0,0
900171,200,0,0,0
900181,200,0,0,0
900191,200,0,0,0
900201,200,0,0,0
900211,200,0,0,0
900221,200,0,0,0
900231,200,0,0,0
900241,200,0,0,0
900251,200,0,0,0
900261,200,0,0,0
900271,200,0,0,0
900281,200,0,0,0
900291,200,0,0,0
900301,200,0,0,0
900311,200,0,0,0
900321,200,0,0,0
900331,200,0,0,0
900341,200,0,0,0
900351,200,0,0,0
900361,200,0,0,0
900371,200,0,0,0
900381,200,0,0,0
900391,200,0,0,0
900401,200,0,0,0
900411,200,0,0,0
900421,200,0,0,0
900431,200,0,0,0
900441,200,0,0,0
900451,200,0,0,0
900461,200,0,0,0
900471,200,0,0,0
900481,200,0,0,0
900491,200,0,0,0
900501,200,0,0,0
900511,200,0,0,0
900521,200,0,0,0
900531,200,0,0,0
900541,200,0,0,0
900551,200,0,0,0
900561,200,0,0,0
900571,200,0,0,0
900581,200,0,0,0
900591,200,0,0,0
900601,200,0,0,0
900611,200,0,0,0
900621,200,0,0,0
900631,200,0,0,0
900641,200,0,0,0
900651,200,0,0,0
900661,200,0,0,0
900671,200,0,0,0
900681,200,0,0,0
900691,200,0,0,0
900701,200,0,0,0
900711,200,0,0,0
900721,200,0,0,0
900731,200,0,0,0
900741,200,0,0,0
900761,200,0,0,0
900771,200,0,0,0
900781,200,0,0,0
900791,200,0,0,0
900801,200,0,0,0
900811,200,0,0,0
900821,200,0,0,0
900831,200,0,0,0
900841,200,0,0,0
900851,200,0,0,0
900861,200,0,0,0
900871,200,0,0,0
900881,200,0,0,0
900891,200,0,0,0
900901,200,0,0,0
900911,200,0,0,0
900921,200,0,0,0
900931,200,0,0,0
900941,200,0,0,0
900951,200,0,0,0
900961,200,0,0,0
900971,200,0,0,0
900981,200,0,0,0
900991,200,0,0,0
901001,200,0,0,0
901021,200,0,0,0
901031,200,0,0,0
901041,200,0,0,0
901051,200,0,0,0
901061,200,0,0,0
901071,200,0,0,0
901081,200,0,0,0
901091,200,0,0,0
901101,200,0,0,0
901111,200,0,0,0
901121,200,0,0,0
901131,200,0,0,0
901141,200,0,0,0
901151,200,0,0,0
901161,200,0,0,0
901171,200,0,0,0
901181,200,0,0,0
901191,200,0,0,0
901201,200,0,0,0
901211,200,0,0,0
901241,200,0,0,0
901271,200,0,0,0
901291,200,0,0,0
901301,200,0,0,0
901311,200,0,0,0
901321,200,0,0,0
901331,200,0,0,0
901341,200,0,0,0
901351,200,0,0,0
901361,200,0,0,0
901371,200,0,0,0
901431,200,0,0,0
910011,200,0,0,0
910021,200,0,0,0
910031,200,0,0,0
910041,200,0,0,0
910051,200,0,0,0
910061,200,0,0,0
910071,200,0,0,0
910081,200,0,0,0
910091,200,0,0,0
910101,200,0,0,0
910111,200,0,0,0
910121,200,0,0,0
910131,200,0,0,0
910141,200,0,0,0
910151,200,0,0,0
910161,200,0,0,0
910171,200,0,0,0
910181,200,0,0,0
910191,200,0,0,0
910201,200,0,0,0
910211,200,0,0,0
910221,200,0,0,0
910231,200,0,0,0
910241,200,0,0,0
910251,200,0,0,0
910261,200,0,0,0
910271,200,0,0,0
910281,200,0,0,0
910291,200,0,0,0
910301,200,0,0,0
910311,200,0,0,0
910321,200,0,0,0
910331,200,0,0,0
910341,200,0,0,0
910351,200,0,0,0
910361,200,0,0,0
910371,200,0,0,0
910381,200,0,0,0
910391,200,0,0,0
910401,200,0,0,0
910411,200,0,0,0
910421,200,0,0,0
910441,200,0,0,0
910451,200,0,0,0
910461,200,0,0,0
910471,200,0,0,0
910481,200,0,0,0
910491,200,0,0,0
910501,200,0,0,0
910511,200,0,0,0
910521,200,0,0,0
910531,200,0,0,0
910551,200,0,0,0
910561,200,0,0,0
910571,200,0,0,0
910581,200,0,0,0
910591,200,0,0,0
910601,200,0,0,0
910611,200,0,0,0
910621,200,0,0,0
910631,200,0,0,0
910641,200,0,0,0
910651,200,0,0,0
910671,200,0,0,0
910681,200,0,0,0
910691,200,0,0,0
910701,200,0,0,0
910711,200,0,0,0
910721,200,0,0,0
910741,200,0,0,0
910761,200,0,0,0
910771,200,0,0,0
910781,200,0,0,0
910801,200,0,0,0
910821,200,0,0,0
910831,200,0,0,0
910841,200,0,0,0
910851,200,0,0,0
910861,200,0,0,0
910871,200,0,0,0
910881,200,0,0,0
910891,200,0,0,0
910911,200,0,0,0
910931,200,0,0,0
910941,200,0,0,0
910981,200,0,0,0
910991,200,0,0,0
911001,200,0,0,0
911021,200,0,0,0
911041,200,0,0,0
911051,200,0,0,0
911061,200,0,0,0
911071,200,0,0,0
911091,200,0,0,0
911101,200,0,0,0
911161,200,0,0,0
911191,200,0,0,0
911241,200,0,0,0
911321,200,0,0,0
920011,200,0,0,0
920031,200,0,0,0
920041,200,0,0,0
920051,200,0,0,0
920061,200,0,0,0
920071,200,0,0,0
920101,200,0,0,0
920111,200,0,0,0
920131,200,0,0,0
920231,200,0,0,0
920241,200,0,0,0
920251,200,0,0,0
920301,200,0,0,0
920311,200,0,0,0
920321,200,0,0,0
920351,200,0,0,0
920371,200,0,0,0
920401,200,0,0,0
920411,200,0,0,0
920451,200,0,0,0
920461,200,0,0,0
920481,200,0,0,0
920501,200,0,0,0
920601,200,0,0,0
920611,200,0,0,0
920671,200,0,0,0
920681,200,0,0,0
920771,200,0,0,0
