id,lv,type_0,value_0,value_0_1,value_0_2,value_0_3,value_0_4,type_1,value_1,value_1_1,value_1_2,value_1_3,value_1_4,idle_mode_sub_rate
20075,1,8,5,0,0,0,0,11,20,0,0,0,0,0
20076,1,4,1,0,0,0,0,11,20,0,0,0,0,0
20077,1,30,1,0,0,0,0,14,15,0,0,0,0,0
20078,1,2,15,0,0,0,0,11,20,0,0,0,0,0
20079,1,8,5,0,0,0,0,9,20,0,0,0,0,0
20080,1,30,1,0,0,0,0,13,20,0,0,0,0,0
20081,1,8,5,0,0,0,0,11,20,0,0,0,0,0
20082,1,3,1,0,0,0,0,9,20,0,0,0,0,0
20083,1,30,1,0,0,0,0,10,20,0,0,0,0,0
20084,1,8,5,0,0,0,0,13,20,0,0,0,0,0
20085,1,3,1,0,0,0,0,12,20,0,0,0,0,0
20086,1,8,5,0,0,0,0,11,20,0,0,0,0,0
20087,1,5,1,0,0,0,0,11,20,0,0,0,0,0
20088,1,4,1,0,0,0,0,10,20,0,0,0,0,0
20089,1,5,1,0,0,0,0,11,20,0,0,0,0,0
20090,1,30,1,0,0,0,0,14,15,0,0,0,0,0
20091,1,30,1,0,0,0,0,9,20,0,0,0,0,0
20092,1,30,1,0,0,0,0,8,5,0,0,0,0,0
20093,1,8,5,0,0,0,0,11,20,0,0,0,0,0
20094,1,4,1,0,0,0,0,19,20,0,0,0,0,0
20095,1,6,1,0,0,0,0,8,5,0,0,0,0,0
20096,1,5,1,0,0,0,0,2,15,0,0,0,0,0
20097,1,4,1,0,0,0,0,10,20,0,0,0,0,0
20098,1,2,15,0,0,0,0,14,15,0,0,0,0,0
20099,1,8,5,0,0,0,0,12,20,0,0,0,0,0
30001,1,6,1,0,0,0,0,12,20,0,0,0,0,0
30002,1,2,15,0,0,0,0,18,20,0,0,0,0,0
30003,1,1,10,0,0,0,0,9,20,0,0,0,0,0
30004,1,8,5,0,0,0,0,14,15,0,0,0,0,0
30005,1,1,10,0,0,0,0,19,20,0,0,0,0,0
30006,1,2,15,0,0,0,0,14,15,0,0,0,0,0
30007,1,1,10,0,0,0,0,19,20,0,0,0,0,0
30008,1,2,15,0,0,0,0,19,20,0,0,0,0,0
30009,1,8,5,0,0,0,0,10,20,0,0,0,0,0
30010,1,1,10,0,0,0,0,14,15,0,0,0,0,0
30011,1,8,5,0,0,0,0,12,20,0,0,0,0,0
30012,1,1,10,0,0,0,0,18,20,0,0,0,0,0
30013,1,2,15,0,0,0,0,14,15,0,0,0,0,0
30014,1,3,1,0,0,0,0,9,20,0,0,0,0,0
30015,1,1,10,0,0,0,0,14,15,0,0,0,0,0
30016,1,1,10,0,0,0,0,19,20,0,0,0,0,0
30017,1,5,1,0,0,0,0,11,20,0,0,0,0,0
30018,1,2,15,0,0,0,0,14,15,0,0,0,0,0
30019,1,1,10,0,0,0,0,15,5,0,0,0,0,0
30020,1,8,5,0,0,0,0,19,20,0,0,0,0,0
30021,1,27,10,0,0,0,0,28,5,0,0,0,0,0
30022,1,4,1,0,0,0,0,10,20,0,0,0,0,0
30023,1,1,10,0,0,0,0,18,20,0,0,0,0,0
30024,1,5,1,0,0,0,0,11,20,0,0,0,0,0
30025,1,8,5,0,0,0,0,15,5,0,0,0,0,0
30026,1,2,15,0,0,0,0,15,5,0,0,0,0,0
30027,1,8,5,0,0,0,0,12,20,0,0,0,0,0
30028,1,8,5,0,0,0,0,19,20,0,0,0,0,0
30029,1,2,15,0,0,0,0,14,15,0,0,0,0,0
30030,1,1,10,0,0,0,0,12,20,0,0,0,0,0
30031,1,8,5,0,0,0,0,15,5,0,0,0,0,0
30032,1,8,5,0,0,0,0,19,20,0,0,0,0,0
30033,1,1,10,0,0,0,0,14,15,0,0,0,0,0
30034,1,4,1,0,0,0,0,8,5,0,0,0,0,0
30036,1,27,10,0,0,0,0,28,5,0,0,0,0,0
30037,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30038,1,8,5,0,0,0,0,15,5,0,0,0,0,0
30039,1,3,1,0,0,0,0,9,20,0,0,0,0,0
30040,1,2,15,0,0,0,0,19,20,0,0,0,0,0
30041,1,8,5,0,0,0,0,15,5,0,0,0,0,0
30042,1,5,1,0,0,0,0,11,20,0,0,0,0,0
30043,1,1,10,0,0,0,0,6,1,0,0,0,0,0
30044,1,3,1,0,0,0,0,9,20,0,0,0,0,0
30045,1,1,10,0,0,0,0,3,1,0,0,0,0,0
30046,1,2,15,0,0,0,0,4,1,0,0,0,0,0
30047,1,8,5,0,0,0,0,11,20,0,0,0,0,0
30048,1,5,1,0,0,0,0,30,1,0,0,0,0,0
30052,1,113,28,30,0,0,0,0,0,0,0,0,0,20
30053,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30054,1,7,1,0,0,0,0,15,5,0,0,0,0,0
30055,1,3,1,0,0,0,0,13,20,0,0,0,0,0
30056,1,1,10,0,0,0,0,19,20,0,0,0,0,0
30057,1,5,1,0,0,0,0,18,20,0,0,0,0,0
30058,1,5,1,0,0,0,0,11,20,0,0,0,0,0
30059,1,4,1,0,0,0,0,18,20,0,0,0,0,0
30060,1,6,1,0,0,0,0,15,5,0,0,0,0,0
30061,1,7,1,0,0,0,0,14,15,0,0,0,0,0
30062,1,8,5,0,0,0,0,10,20,0,0,0,0,0
30063,1,8,5,0,0,0,0,15,5,0,0,0,0,0
30064,1,1,10,0,0,0,0,14,15,0,0,0,0,0
30065,1,1,10,0,0,0,0,8,5,0,0,0,0,0
30066,1,8,5,0,0,0,0,9,20,0,0,0,0,0
30067,1,101,80,30,2,0,0,0,0,0,0,0,0,20
30068,1,2,15,0,0,0,0,15,5,0,0,0,0,0
30069,1,8,5,0,0,0,0,19,20,0,0,0,0,0
30070,1,1,10,0,0,0,0,14,15,0,0,0,0,0
30071,1,5,1,0,0,0,0,14,15,0,0,0,0,0
30072,1,5,1,0,0,0,0,14,15,0,0,0,0,0
30073,1,3,1,0,0,0,0,19,20,0,0,0,0,0
30074,1,1,10,0,0,0,0,15,5,0,0,0,0,0
30075,1,1,10,0,0,0,0,4,1,0,0,0,0,0
30076,1,8,5,0,0,0,0,15,5,0,0,0,0,0
30077,1,8,5,0,0,0,0,18,20,0,0,0,0,0
30078,1,2,15,0,0,0,0,27,10,0,0,0,0,0
30079,1,8,5,0,0,0,0,18,20,0,0,0,0,0
30080,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30081,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30082,1,101,100,7,3,0,0,0,0,0,0,0,0,30
30083,1,102,80,20,0,0,0,0,0,0,0,0,0,30
30084,1,8,5,0,0,0,0,18,20,0,0,0,0,0
30085,1,103,5,15,0,0,0,0,0,0,0,0,0,10
30086,1,104,10000,20,0,0,0,0,0,0,0,0,0,30
30087,1,101,80,4,2,0,0,0,0,0,0,0,0,20
30088,1,103,4,10,0,0,0,0,0,0,0,0,0,10
30089,1,101,100,2,60,0,0,0,0,0,0,0,0,30
30090,1,105,10,2,0,0,0,0,0,0,0,0,0,0
30091,1,106,5,1,3,0,0,0,0,0,0,0,0,30
30092,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30093,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30094,1,107,1,10,30,15,5,0,0,0,0,0,0,30
30095,1,108,8,100,75,5,20,0,0,0,0,0,0,30
30096,1,5,1,0,0,0,0,15,5,0,0,0,0,0
30097,1,101,80,7,1,30,1,0,0,0,0,0,0,20
30098,1,30,1,0,0,0,0,0,0,0,0,0,0,0
30099,1,109,8,30,0,0,0,0,0,0,0,0,0,30
30100,1,101,80,8,10,0,1,0,0,0,0,0,0,20
30101,1,101,100,1,20,0,0,0,0,0,0,0,0,30
30102,1,110,8,5,0,0,0,0,0,0,0,0,0,30
30103,1,101,100,31,5,0,0,0,0,0,0,0,0,30
30104,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30105,1,5,1,0,0,0,0,14,15,0,0,0,0,0
30106,1,101,80,5,1,30,1,0,0,0,0,0,0,20
30107,1,111,8,5,0,0,0,0,0,0,0,0,0,30
30108,1,112,20,0,0,0,0,0,0,0,0,0,0,0
30109,1,101,80,8,10,0,1,0,0,0,0,0,0,20
30110,1,101,80,4,2,0,0,0,0,0,0,0,0,20
30111,1,109,8,30,0,0,0,0,0,0,0,0,0,30
30112,1,106,5,1,3,0,0,0,0,0,0,0,0,30
30113,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30114,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30115,1,114,8,5,20,0,0,0,0,0,0,0,0,30
30116,1,105,10,2,0,0,0,0,0,0,0,0,0,0
30117,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30118,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30119,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30120,1,101,100,6,3,0,0,0,0,0,0,0,0,30
30121,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30122,1,101,80,5,1,30,1,0,0,0,0,0,0,20
30123,1,111,8,5,0,0,0,0,0,0,0,0,0,30
30124,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30125,1,101,80,4,2,0,0,0,0,0,0,0,0,20
30126,1,101,80,30,2,0,0,0,0,0,0,0,0,20
30127,1,113,2,60,0,0,0,0,0,0,0,0,0,20
30128,1,101,80,19,40,0,0,0,0,0,0,0,0,20
30129,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30130,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30131,1,101,100,8,15,0,0,0,0,0,0,0,0,30
30132,1,108,8,100,75,5,20,0,0,0,0,0,0,30
30133,1,101,80,7,2,0,0,0,0,0,0,0,0,20
30134,1,116,1,8,4,5,0,0,0,0,0,0,0,30
30135,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30136,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30137,1,101,100,1,10,2,15,101,100,30,1,0,0,30
30138,1,101,100,5,3,0,0,0,0,0,0,0,0,30
30139,1,101,100,4,3,0,0,0,0,0,0,0,0,30
30140,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30141,1,105,10,2,0,0,0,0,0,0,0,0,0,0
30142,1,116,3,4,1,3,0,0,0,0,0,0,0,20
30143,1,101,80,4,2,0,0,0,0,0,0,0,0,20
30145,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30146,1,115,14,5,0,0,0,0,0,0,0,0,0,0
30147,1,101,100,3,3,0,0,0,0,0,0,0,0,30
30148,1,117,8,25,20,0,0,0,0,0,0,0,0,30
30149,1,113,2,60,0,0,0,0,0,0,0,0,0,20
30150,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30151,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30152,1,101,80,7,2,0,0,0,0,0,0,0,0,20
30153,1,101,100,6,3,0,0,0,0,0,0,0,0,30
30154,1,116,3,3,1,3,0,0,0,0,0,0,0,20
30155,1,101,80,19,40,0,0,0,0,0,0,0,0,20
30156,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30157,1,101,100,7,2,30,1,0,0,0,0,0,0,30
30158,1,101,100,1,20,0,0,0,0,0,0,0,0,30
30159,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30160,1,118,1,60,0,0,0,0,0,0,0,0,0,10
30161,1,101,100,30,1,41,1,0,0,0,0,0,0,30
30162,1,101,80,4,2,0,0,0,0,0,0,0,0,20
30163,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30164,1,101,80,30,2,0,0,0,0,0,0,0,0,20
30165,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30166,1,116,1,8,5,3,0,0,0,0,0,0,0,20
30167,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30168,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30169,1,114,8,5,20,0,0,0,0,0,0,0,0,30
30170,1,116,1,3,1,3,0,0,0,0,0,0,0,20
30171,1,101,80,19,40,0,0,0,0,0,0,0,0,20
30172,1,101,80,7,2,0,0,0,0,0,0,0,0,20
30173,1,103,4,10,0,0,0,0,0,0,0,0,0,10
30174,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30175,1,116,2,5,1,3,0,0,0,0,0,0,0,20
30176,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30177,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30178,1,101,80,1,10,2,15,0,0,0,0,0,0,20
30179,1,101,80,1,10,30,1,0,0,0,0,0,0,20
30180,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30181,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30182,1,113,8,15,0,0,0,0,0,0,0,0,0,20
30183,1,101,100,1,20,0,0,0,0,0,0,0,0,30
30184,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30185,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30186,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30187,1,120,1,80,1,2,0,0,0,0,0,0,0,20
30188,1,119,50,1,60,0,0,0,0,0,0,0,0,10
30189,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30190,1,101,80,4,2,0,0,0,0,0,0,0,0,20
30191,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30192,1,101,80,3,1,5,1,0,0,0,0,0,0,20
30193,1,101,80,4,2,0,0,0,0,0,0,0,0,20
30194,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30195,1,101,80,5,1,30,1,0,0,0,0,0,0,20
30196,1,101,80,30,2,0,0,0,0,0,0,0,0,20
30197,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30198,1,101,80,7,2,0,0,0,0,0,0,0,0,20
30199,1,101,100,1,20,0,0,0,0,0,0,0,0,30
30200,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30201,1,101,80,7,2,0,0,0,0,0,0,0,0,20
30202,1,101,80,3,1,5,1,0,0,0,0,0,0,20
30203,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30204,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30205,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30206,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30207,1,121,1,2,0,0,0,0,0,0,0,0,0,10
30208,1,109,8,30,0,0,0,0,0,0,0,0,0,30
30209,1,101,100,4,1,6,2,0,0,0,0,0,0,30
30210,1,116,1,3,1,3,0,0,0,0,0,0,0,20
30211,1,101,80,7,1,30,1,0,0,0,0,0,0,20
30212,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30213,1,11,20,0,0,0,0,30,1,0,0,0,0,0
30214,1,101,80,30,2,0,0,0,0,0,0,0,0,20
30215,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30216,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30217,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30218,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30219,1,101,80,3,1,6,1,0,0,0,0,0,0,20
30220,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30221,1,101,80,4,1,6,1,0,0,0,0,0,0,20
30222,1,101,80,4,1,30,1,0,0,0,0,0,0,20
30223,1,116,1,8,4,5,0,0,0,0,0,0,0,30
30224,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30225,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30226,1,101,80,4,2,0,0,0,0,0,0,0,0,20
30227,1,116,1,7,1,3,0,0,0,0,0,0,0,20
30228,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30229,1,116,1,7,1,3,0,0,0,0,0,0,0,20
30230,1,101,100,3,3,0,0,0,0,0,0,0,0,30
30231,1,101,80,4,1,5,1,0,0,0,0,0,0,20
30232,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30233,1,101,80,3,1,7,1,0,0,0,0,0,0,20
30234,1,101,80,4,1,5,1,0,0,0,0,0,0,20
30235,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30236,1,101,100,3,2,30,1,0,0,0,0,0,0,30
30237,1,101,80,3,1,6,1,0,0,0,0,0,0,20
30238,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30239,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30240,1,101,80,4,1,6,1,0,0,0,0,0,0,20
30241,1,101,100,30,1,41,1,0,0,0,0,0,0,30
30242,1,101,80,5,1,30,1,0,0,0,0,0,0,20
30243,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30244,1,101,100,4,2,6,1,0,0,0,0,0,0,30
30245,1,101,80,4,1,5,1,0,0,0,0,0,0,20
30246,1,101,80,3,1,5,1,0,0,0,0,0,0,20
30247,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30248,1,101,80,7,2,0,0,0,0,0,0,0,0,20
30249,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30250,1,103,4,10,0,0,0,0,0,0,0,0,0,10
30251,1,101,80,3,1,6,1,0,0,0,0,0,0,20
30252,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30253,1,101,80,5,1,30,1,0,0,0,0,0,0,20
30254,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30255,1,101,80,3,1,7,1,0,0,0,0,0,0,20
30256,1,113,2,60,0,0,0,0,0,0,0,0,0,20
30257,1,122,19,60,0,0,0,0,0,0,0,0,0,30
30258,1,101,80,6,2,0,0,0,0,0,0,0,0,20
30259,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30260,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30261,1,101,80,7,2,0,0,0,0,0,0,0,0,20
30262,1,101,80,4,1,6,1,0,0,0,0,0,0,20
30263,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30264,1,120,1,80,1,2,0,0,0,0,0,0,0,20
30265,1,101,80,3,1,5,1,0,0,0,0,0,0,20
30266,1,101,80,3,1,7,1,0,0,0,0,0,0,20
30267,1,101,80,3,2,0,0,0,0,0,0,0,0,20
30268,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30269,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30270,1,103,4,10,0,0,0,0,0,0,0,0,0,10
30271,1,101,80,3,1,5,1,0,0,0,0,0,0,20
30272,1,101,80,3,1,5,1,0,0,0,0,0,0,20
30273,1,101,80,2,15,5,1,0,0,0,0,0,0,20
30274,1,101,100,1,20,0,0,0,0,0,0,0,0,30
30275,1,101,80,30,2,0,0,0,0,0,0,0,0,20
30276,1,101,60,8,5,28,5,0,0,0,0,0,0,10
30277,1,101,80,30,2,0,0,0,0,0,0,0,0,20
30278,1,101,80,4,2,0,0,0,0,0,0,0,0,20
30279,1,101,80,4,1,30,1,0,0,0,0,0,0,20
30280,1,101,80,4,1,30,1,0,0,0,0,0,0,20
30281,1,101,80,6,1,30,1,0,0,0,0,0,0,20
30282,1,101,80,5,1,8,5,0,0,0,0,0,0,20
30283,1,101,80,5,1,33,1,0,0,0,0,0,0,20
30284,1,101,80,6,1,30,1,0,0,0,0,0,0,20
30285,1,101,80,5,1,30,1,0,0,0,0,0,0,20
30286,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30287,1,101,80,4,1,30,1,0,0,0,0,0,0,20
30288,1,101,80,2,15,3,1,0,0,0,0,0,0,20
30289,1,101,80,8,5,33,1,0,0,0,0,0,0,20
30290,1,101,60,5,1,30,1,0,0,0,0,0,0,10
30291,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30292,1,101,80,1,10,5,1,0,0,0,0,0,0,20
30293,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30294,1,103,4,10,0,0,0,0,0,0,0,0,0,10
30295,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30296,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30297,1,105,10,2,0,0,0,0,0,0,0,0,0,0
30298,1,101,80,5,1,33,1,0,0,0,0,0,0,20
30299,1,101,80,3,1,30,1,0,0,0,0,0,0,20
30300,1,101,80,6,1,8,5,0,0,0,0,0,0,20
30301,1,101,80,5,1,8,5,0,0,0,0,0,0,20
30302,1,101,80,5,2,0,0,0,0,0,0,0,0,20
30303,1,101,80,8,10,0,0,0,0,0,0,0,0,20
30304,1,101,80,4,1,6,1,0,0,0,0,0,0,20
30305,1,101,60,4,1,30,1,0,0,0,0,0,0,10
