id,text_group,text_number,check_point_type,result_state,text_type,text_type_value
118,2,2,1,1,0,0
119,2,2,1,1,0,0
120,2,3,1,2,0,0
121,2,3,1,2,0,0
122,2,3,1,2,0,0
123,2,3,1,2,0,0
124,2,3,1,2,0,0
125,2,3,1,2,0,0
126,2,3,1,1,0,0
127,2,3,1,1,0,0
128,2,3,1,1,0,0
129,2,3,1,1,0,0
130,2,1,2,0,0,0
131,2,1,2,0,0,0
132,2,1,2,0,0,0
133,2,1,2,0,0,0
134,2,1,2,0,0,0
135,2,1,2,0,0,0
136,2,2,2,2,0,0
137,2,2,2,2,0,0
138,2,2,2,2,0,0
139,2,2,2,2,0,0
140,2,2,2,2,0,0
141,2,2,2,2,0,0
142,2,2,2,2,0,0
143,2,2,2,2,0,0
144,2,2,2,2,0,0
145,2,2,2,2,0,0
146,2,2,2,2,0,0
147,2,2,2,2,0,0
148,2,2,2,2,0,0
149,2,2,2,1,0,0
150,2,2,2,1,0,0
151,2,2,2,1,0,0
152,2,2,2,1,0,0
153,2,2,2,1,0,0
154,2,3,2,2,0,0
155,2,3,2,2,0,0
156,2,3,2,2,0,0
157,2,3,2,2,0,0
158,2,3,2,2,0,0
159,2,3,2,2,0,0
160,2,3,2,1,0,0
161,2,3,2,1,0,0
162,2,3,2,1,0,0
163,2,3,2,1,0,0
164,2,1,3,0,0,0
165,2,1,3,0,0,0
166,2,1,3,0,0,0
167,2,1,3,0,0,0
168,2,1,3,0,0,0
169,2,1,3,0,0,0
170,2,2,3,2,0,0
171,2,2,3,2,0,0
172,2,2,3,2,0,0
173,2,2,3,2,0,0
174,2,2,3,2,0,0
175,2,2,3,2,0,0
176,2,2,3,2,0,0
177,2,2,3,2,0,0
178,2,2,3,2,0,0
179,2,2,3,2,0,0
180,2,2,3,2,0,0
181,2,2,3,2,0,0
182,2,2,3,2,0,0
183,2,2,3,1,0,0
184,2,2,3,1,0,0
185,2,2,3,1,0,0
186,2,2,3,1,0,0
187,2,2,3,1,0,0
188,2,3,3,2,0,0
189,2,3,3,2,0,0
190,2,3,3,2,0,0
191,2,3,3,2,0,0
192,2,3,3,2,0,0
193,2,3,3,2,0,0
194,2,3,3,1,0,0
195,2,3,3,1,0,0
196,2,3,3,1,0,0
197,2,3,3,1,0,0
198,3,0,0,0,1,1
199,3,0,0,0,1,1
200,3,0,0,0,1,1
201,3,0,0,0,1,1
202,3,0,0,0,1,1
203,3,0,0,0,1,1
204,3,0,0,0,1,1
205,3,0,0,0,1,2
206,3,0,0,0,1,2
207,3,0,0,0,1,2
208,3,0,0,0,1,2
209,3,0,0,0,1,2
210,3,0,0,0,1,2
211,3,0,0,0,1,3
212,3,0,0,0,1,3
213,3,0,0,0,1,3
214,3,0,0,0,1,3
215,3,0,0,0,1,3
216,3,0,0,0,1,4
217,3,0,0,0,1,4
218,3,0,0,0,1,4
219,3,0,0,0,1,4
220,3,0,0,0,1,4
221,3,0,0,0,1,4
222,3,0,0,0,1,5
223,3,0,0,0,1,5
224,3,0,0,0,1,5
225,3,0,0,0,1,5
226,3,0,0,0,1,5
227,3,0,0,0,1,5
228,3,0,0,0,1,5
229,3,0,0,0,1,6
230,3,0,0,0,1,6
231,3,0,0,0,1,6
232,3,0,0,0,1,6
233,3,0,0,0,1,6
234,3,0,0,0,1,7
235,3,0,0,0,1,7
236,3,0,0,0,1,7
237,3,0,0,0,1,7
238,3,0,0,0,1,7
239,3,0,0,0,1,7
240,3,0,0,0,1,8
241,3,0,0,0,1,8
242,3,0,0,0,1,8
243,3,0,0,0,1,8
244,3,0,0,0,1,8
245,3,0,0,0,1,8
246,3,0,0,0,1,9
247,3,0,0,0,1,9
248,3,0,0,0,1,9
249,3,0,0,0,1,9
250,3,0,0,0,1,9
251,3,0,0,0,1,9
252,3,0,0,0,1,9
253,3,0,0,0,1,10
254,3,0,0,0,1,10
255,3,0,0,0,1,10
256,3,0,0,0,1,10
257,3,0,0,0,1,10
258,3,0,0,0,1,10
259,3,0,0,0,1,10
260,3,0,0,0,1,11
261,3,0,0,0,1,11
262,3,0,0,0,1,11
263,3,0,0,0,1,11
264,3,0,0,0,1,11
265,3,0,0,0,1,12
266,3,0,0,0,1,12
267,3,0,0,0,1,12
268,3,0,0,0,1,12
269,3,0,0,0,1,12
270,3,0,0,0,1,13
271,3,0,0,0,1,13
272,3,0,0,0,1,13
273,3,0,0,0,1,13
274,3,0,0,0,1,13
275,3,0,0,0,0,0
276,3,0,1,0,0,0
277,3,0,0,0,0,0
278,3,0,0,0,0,0
279,3,0,0,0,0,0
280,3,0,0,0,0,0
281,3,0,0,0,0,0
282,3,0,0,0,0,0
283,3,0,0,0,0,0
284,3,0,0,0,0,0
285,3,0,0,0,0,0
286,3,0,0,0,0,0
287,3,0,0,0,0,0
288,3,0,0,0,0,0
289,3,0,0,0,0,0
290,3,0,0,0,0,0
291,3,0,2,0,0,0
292,3,0,0,0,0,0
293,3,0,0,0,0,0
294,3,0,0,0,0,0
295,3,0,0,0,0,0
296,3,0,0,0,0,0
297,3,0,0,0,0,0
298,3,0,0,0,0,0
299,3,0,0,0,0,0
300,3,0,0,0,0,0
301,3,0,0,0,0,0
302,3,0,0,0,0,0
303,3,0,0,0,0,0
304,3,0,0,0,0,0
305,3,0,0,0,0,0
306,3,0,0,0,4,1022
307,3,0,0,0,4,1022
308,3,0,0,0,4,1022
309,3,0,0,0,4,1022
310,3,0,0,0,4,1022
311,3,0,0,0,4,1022
312,3,0,0,0,4,1022
313,3,0,0,0,4,1077
314,3,0,0,0,4,1077
315,3,0,0,0,4,1077
316,3,0,0,0,4,1077
317,3,0,0,0,4,1077
318,3,0,0,0,4,1058
319,3,0,0,0,4,1058
320,3,0,0,0,4,1058
321,3,0,0,0,4,1058
322,3,0,0,0,4,1058
323,3,0,0,0,4,1120
324,3,0,0,0,4,1120
325,3,0,0,0,4,1120
326,3,0,0,0,4,1120
327,3,0,0,0,4,1120
328,3,0,0,0,4,1120
329,3,0,0,0,4,1060
330,3,0,0,0,4,1060
331,3,0,0,0,4,1060
332,3,0,0,0,4,1060
333,3,0,0,0,4,1060
334,3,0,0,0,4,1060
335,4,0,0,0,1,1
336,4,0,0,0,1,2
337,4,0,0,0,1,3
338,4,0,0,0,1,4
339,4,0,0,0,1,5
340,4,0,0,0,1,6
341,4,0,0,0,1,7
342,4,0,0,0,1,8
343,4,0,0,0,1,9
344,4,0,0,0,1,10
345,4,0,0,0,1,11
346,4,0,0,0,1,12
347,4,0,0,0,1,13
