id,target_type,card_id,count,item_category_1,item_id_1,item_num_1,prop_id,location_id,motion_type,replace_index
52,8,102701,1,20,1002701,1,129200,138,1,-1
53,8,102702,1,20,1002702,1,129200,169,1,-1
54,8,102801,1,20,1002801,1,130500,139,5,0
55,8,102901,1,20,1002901,1,129100,140,9,-1
56,8,103001,1,20,1003001,1,129100,114,9,-1
57,8,103002,1,20,1003002,1,129100,141,9,-1
58,8,103101,1,20,1003101,1,129300,142,2,-1
59,8,103102,1,20,1003102,1,129300,170,2,-1
60,8,103201,1,20,1003201,1,130500,143,3,0
61,8,103301,1,20,1003301,1,129400,144,6,-1
62,8,103401,1,20,1003401,1,129300,145,2,-1
63,8,103402,1,20,1003402,1,129300,120,2,-1
64,8,103501,1,20,1003501,1,130500,101,2,0
65,8,103502,1,20,1003502,1,130500,146,2,0
66,8,103601,1,20,1003601,1,129400,147,6,2
67,8,103701,1,20,1003701,1,129100,148,3,1
68,8,103702,1,20,1003702,1,129100,139,3,1
69,8,103801,1,20,1003801,1,128700,116,11,-1
70,8,103802,1,20,1003802,1,128700,149,11,-1
71,8,103901,1,20,1003901,1,130500,150,5,0
72,8,104001,1,20,1004001,1,129400,151,10,-1
73,8,104002,1,20,1004002,1,129400,136,10,-1
74,8,104101,1,20,1004101,1,130500,152,2,2
75,8,104201,1,20,1004201,1,129200,153,4,-1
76,8,104301,1,20,1004301,1,130500,116,2,0
77,8,104401,1,20,1004401,1,128700,154,11,-1
78,8,104501,1,20,1004501,1,129100,106,3,-1
79,8,104502,1,20,1004502,1,129100,155,3,-1
80,8,104601,1,20,1004601,1,128700,156,11,1
81,8,104602,1,20,1004602,1,128700,157,11,1
82,8,104701,1,20,1004701,1,129200,103,1,-1
83,8,104801,1,20,1004801,1,130500,102,6,0
84,8,104901,1,20,1004901,1,129700,159,8,2
85,8,105001,1,20,1005001,1,130500,144,10,2
86,8,105002,1,20,1005002,1,130500,128,10,2
87,8,105101,1,20,1005101,1,129200,150,1,-1
88,8,105201,1,20,1005201,1,130500,101,5,0
89,8,105202,1,20,1005202,1,130500,150,5,0
90,8,105301,1,20,1005301,1,129300,101,2,3
91,8,105601,1,20,1005601,1,129100,160,9,-1
92,8,105602,1,20,1005602,1,129100,161,9,-1
93,8,105801,1,20,1005801,1,129100,162,9,-1
94,8,105802,1,20,1005802,1,129100,141,9,-1
95,8,105901,1,20,1005901,1,129400,103,10,-1
96,8,105902,1,20,1005902,1,129400,154,10,-1
97,8,106001,1,20,1006001,1,129700,163,7,-1
98,8,106002,1,20,1006002,1,129700,149,7,-1
99,8,106101,1,20,1006101,1,129400,102,10,-1
100,8,106102,1,20,1006102,1,129400,155,10,-1
101,8,106201,1,20,1006201,1,129100,106,3,1
102,8,106401,1,20,1006401,1,130500,164,11,0
103,8,106501,1,20,1006501,1,129300,165,2,4
104,8,106701,1,20,1006701,1,129100,148,3,1
105,8,106702,1,20,1006702,1,129100,166,3,1
106,8,106801,1,20,1006801,1,129700,114,7,-1
107,8,106802,1,20,1006802,1,129700,167,7,-1
108,8,106901,1,20,1006901,1,129200,103,1,-1
109,8,107101,1,20,1007101,1,129100,123,3,2
110,8,107201,1,20,1007201,1,129400,162,6,-1
111,8,107401,1,20,1007401,1,129100,123,3,-1
112,8,107801,1,20,1007801,1,129100,168,3,1
113,8,108701,1,20,1008701,1,128700,138,11,-1
114,8,109801,1,20,1009801,1,129300,104,5,-1
115,8,109901,1,20,1009901,1,129700,159,7,-1
116,8,110001,1,20,1010001,1,129100,106,3,-1
117,8,100202,1,20,1000202,1,129700,157,7,-1
118,8,100303,1,20,1000303,1,129300,155,5,-1
119,8,100703,1,20,1000703,1,128700,206,11,-1
120,8,101202,1,20,1001202,1,130500,207,2,0
121,8,102502,1,20,1002502,1,129700,208,7,2
122,8,102902,1,20,1002902,1,129100,209,9,-1
123,8,103202,1,20,1003202,1,130500,106,3,0
124,8,103602,1,20,1003602,1,129400,210,6,2
125,8,103902,1,20,1003902,1,130500,211,5,0
126,8,104102,1,20,1004102,1,130500,101,2,2
127,8,104802,1,20,1004802,1,130500,103,6,0
128,8,105102,1,20,1005102,1,129200,154,1,-1
129,8,105302,1,20,1005302,1,129300,103,2,3
130,8,105401,1,20,1005401,1,129300,150,2,-1
131,8,105501,1,20,1005501,1,128700,154,5,1
132,8,105701,1,20,1005701,1,129100,212,11,-1
133,8,106003,1,20,1006003,1,129700,128,7,-1
134,8,106202,1,20,1006202,1,129100,213,3,1
135,8,106402,1,20,1006402,1,130500,102,11,0
136,8,106601,1,20,1006601,1,130500,214,2,3
137,8,106703,1,20,1006703,1,129100,166,3,1
138,8,106803,1,20,1006803,1,129700,167,7,-1
139,8,106902,1,20,1006902,1,129200,145,1,-1
140,8,107001,1,20,1007001,1,129400,215,8,3
141,8,107102,1,20,1007102,1,129100,220,3,2
142,8,107402,1,20,1007402,1,129100,216,3,-1
143,8,107601,1,20,1007601,1,129200,151,11,-1
144,8,107701,1,20,1007701,1,129300,217,7,4
145,8,108301,1,20,1008301,1,129400,103,7,-1
146,8,108302,1,20,1008302,1,129400,218,7,-1
147,8,108401,1,20,1008401,1,129700,219,8,-1
148,8,108501,1,20,1008501,1,129400,106,7,3
149,8,108601,1,20,1008601,1,129400,220,11,2
150,8,108801,1,20,1008801,1,129700,106,4,-1
151,8,108901,1,20,1008901,1,129100,116,9,-1
152,8,109101,1,20,1009101,1,128700,106,5,1
153,8,109301,1,20,1009301,1,129700,221,11,-1
154,8,110401,1,20,1010401,1,130500,222,2,5
155,8,110501,1,20,1010501,1,129700,223,7,-1
156,8,110601,1,20,1010601,1,129200,103,7,-1
157,8,110701,1,20,1010701,1,129300,162,2,2
158,8,110801,1,20,1010801,1,129400,227,6,-1
159,8,106301,1,20,1006301,1,129700,106,7,-1
160,8,108001,1,20,1008001,1,129300,210,2,-1
161,8,110901,1,20,1010901,1,129200,214,1,-1
162,8,108502,1,20,1008502,1,129400,228,7,3
163,8,106502,1,20,1006502,1,129300,239,2,4
164,8,103503,1,20,1003503,1,130500,107,2,0
165,8,104503,1,20,1004503,1,129100,150,3,-1
166,8,107202,1,20,1007202,1,129400,229,6,-1
167,8,110201,1,20,1010201,1,129200,154,4,-1
168,8,103203,1,20,1003203,1,130500,155,3,0
169,8,108201,1,20,1008201,1,129100,116,3,-1
170,8,106103,1,20,1006103,1,129400,111,10,-1
171,8,104402,1,20,1004402,1,128700,228,11,-1
172,8,109401,1,20,1009401,1,129300,230,2,-1
173,8,111901,1,20,1011901,1,130500,231,11,-1
174,8,103003,1,20,1003003,1,129100,222,9,-1
175,8,112001,1,20,1012001,1,129700,101,8,-1
176,8,103703,1,20,1003703,1,129100,107,3,1
177,8,109902,1,20,1009902,1,129700,232,7,-1
178,8,111601,1,20,1011601,1,128700,227,11,-1
179,8,110502,1,20,1010502,1,129700,149,7,-1
180,8,104702,1,20,1004702,1,129200,233,1,-1
181,8,111001,1,20,1011001,1,129100,103,3,-1
182,8,112101,1,20,1012101,1,129700,114,7,-1
183,8,104202,1,20,1004202,1,129200,234,4,-1
184,8,102403,1,20,1002403,1,128700,235,11,-1
185,8,112401,1,20,1012401,1,128700,236,11,-1
186,8,102303,1,20,1002303,1,129700,147,7,-1
187,8,105003,1,20,1005003,1,130500,237,10,2
188,8,111101,1,20,1011101,1,129700,106,7,-1
189,8,107702,1,20,1007702,1,129300,211,7,4
190,8,103302,1,20,1003302,1,129400,237,6,-1
191,8,111701,1,20,1011701,1,130500,106,1,-1
192,8,107901,1,20,1007901,1,129400,106,6,-1
193,8,107301,1,20,1007301,1,129200,106,1,-1
194,8,101103,1,20,1001103,1,129100,238,3,-1
195,8,110402,1,20,1010402,1,130500,103,2,5
196,8,105702,1,20,1005702,1,129100,162,11,-1
197,8,100403,1,20,1000403,1,129200,128,4,-1
198,8,108702,1,20,1008702,1,128700,230,11,-1
199,8,107802,1,20,1007802,1,129100,131,3,1
200,8,111501,1,20,1011501,1,129700,231,8,4
201,8,113101,1,20,1013101,1,129300,309,5,-1
202,8,109601,1,20,1009601,1,130500,310,2,8
203,8,110702,1,20,1010702,1,129300,311,2,2
204,8,108402,1,20,1008402,1,129700,312,8,-1
205,8,107002,1,20,1007002,1,129400,313,8,3
206,8,112701,1,20,1012701,1,130500,103,1,1
207,8,109802,1,20,1009802,1,129300,314,5,-1
208,8,104603,1,20,1004603,1,128700,315,11,1
209,8,109001,1,20,1009001,1,129100,103,3,-1
210,8,113201,1,20,1013201,1,129200,103,4,-1
211,8,108602,1,20,1008602,1,129400,317,11,2
212,8,111002,1,20,1011002,1,129100,139,3,-1
213,8,113301,1,20,1013301,1,129100,318,9,1
214,8,104003,1,20,1004003,1,129400,319,10,-1
215,8,103103,1,20,1003103,1,129300,206,2,6
216,8,111301,1,20,1011301,1,128700,320,11,-1
217,8,110902,1,20,1010902,1,129200,154,1,-1
218,8,108802,1,20,1008802,1,129700,321,4,-1
219,8,108902,1,20,1008902,1,129100,159,9,-1
220,8,109102,1,20,1009102,1,128700,322,5,1
221,8,109701,1,20,1009701,1,129700,323,7,-1
222,8,109302,1,20,1009302,1,129700,324,11,-1
223,8,110602,1,20,1010602,1,129200,102,7,5
224,8,108101,1,20,1008101,1,130500,316,6,-1
225,8,109501,1,20,1009501,1,129700,106,7,-1
226,8,102802,1,20,1002802,1,130500,206,5,0
227,8,105502,1,20,1005502,1,128700,325,5,1
228,8,104803,1,20,1004803,1,130500,118,6,0
229,8,109201,1,20,1009201,1,129200,326,1,-1
230,8,108002,1,20,1008002,1,129300,327,2,7
231,8,110002,1,20,1010002,1,129100,120,3,-1
232,8,111401,1,20,1011401,1,129700,114,7,-1
233,8,104902,1,20,1004902,1,129700,328,8,2
234,8,111902,1,20,1011902,1,130500,228,11,-1
235,8,100603,1,20,1000603,1,130500,329,7,0
236,8,113501,1,20,1013501,1,129700,330,8,-1
237,8,106302,1,20,1006302,1,129700,331,7,-1
238,8,107602,1,20,1007602,1,129200,144,11,-1
239,8,112402,1,20,1012402,1,128700,316,11,-1
240,8,113701,1,20,1013701,1,129100,332,9,-1
241,8,101003,1,20,1001003,1,129300,333,5,-1
242,8,110202,1,20,1010202,1,129200,228,4,-1
243,8,110301,1,20,1010301,1,128700,230,11,-1
