id,support_card_id,chara_id,race_dress_id,live_dress_id,tag_support_card_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,speed_limit,stamina_limit,pow_limit,guts_limit,wiz_limit
113,30013,1036,101,101,10037,152,132,152,121,143,2,5,7,7,2,5,7,6,7,1,720,700,700,700,750
114,30014,1040,101,101,10017,139,142,144,142,133,2,7,6,6,2,7,7,2,7,4,750,700,720,700,700
115,30015,1041,104101,104101,10018,148,110,155,145,142,7,6,1,1,7,7,2,1,7,1,750,700,720,700,700
116,30016,1045,104501,104501,10019,119,156,125,156,144,1,1,7,7,4,7,6,1,7,1,700,750,700,720,700
117,30017,1046,101,101,10039,144,135,135,150,136,6,7,7,3,7,4,1,1,3,7,700,720,750,700,700
118,30018,1051,101,101,10041,141,131,141,144,143,7,7,4,1,2,7,7,1,7,2,750,700,720,700,700
119,30019,1052,105201,105201,10020,144,115,150,147,144,7,6,1,1,1,1,7,5,1,7,710,700,710,750,700
120,30020,1054,101,101,10042,146,117,154,136,147,7,6,1,1,1,6,7,3,7,3,750,700,720,700,700
122,30022,1013,101301,101301,10010,121,161,121,153,144,1,2,7,7,6,7,4,2,7,3,700,750,700,720,700
123,30023,1030,103001,103001,10015,121,167,120,152,140,3,5,7,7,6,7,5,1,7,1,700,750,700,720,700
124,30024,1006,100601,100601,10005,151,116,156,134,143,3,7,7,6,2,7,7,4,7,6,700,720,750,700,700
125,30025,1001,100101,100101,10001,133,138,148,140,141,2,5,7,7,1,7,7,5,7,1,750,700,720,700,700
126,30026,1066,101,101,10051,143,138,135,146,138,3,6,7,5,7,1,1,1,7,3,750,700,720,700,700
127,30027,1064,101,101,10054,146,146,125,149,134,1,2,7,7,7,3,2,1,7,1,710,700,710,750,700
128,30028,1068,101,101,10055,141,149,121,149,140,3,3,7,7,7,6,5,1,7,1,750,700,720,700,700
129,30029,1067,101,101,10056,141,137,145,130,147,2,4,7,7,1,4,7,6,7,1,700,750,700,720,700
130,30030,1062,101,101,10057,141,138,143,138,140,1,2,7,7,2,7,7,3,7,1,710,700,710,750,700
131,30031,1029,101,101,10034,139,142,130,148,141,5,7,7,5,5,7,2,1,7,4,720,700,700,700,750
132,30032,1072,101,101,10058,141,148,128,147,136,3,6,7,4,2,7,6,2,7,4,700,720,750,700,700
133,30033,1035,101,101,10016,148,126,152,133,141,1,2,7,6,1,6,7,1,7,1,710,700,710,750,700
134,30034,1030,101,101,10015,121,167,120,152,140,3,5,7,7,6,7,5,1,7,1,700,720,750,700,700
135,30038,1069,101,101,10062,142,137,130,147,144,1,7,7,2,6,7,2,1,7,1,700,750,700,720,700
136,30039,1039,101,101,10063,150,121,157,132,140,5,4,7,4,1,5,7,4,7,1,750,700,720,700,700
137,30040,1028,101,101,10064,149,110,158,141,142,7,6,2,1,6,7,5,1,7,2,710,700,710,750,700
138,30041,1059,101,101,10046,151,133,149,126,141,3,7,7,2,5,6,7,1,7,1,720,700,700,700,750
139,30042,1053,101,101,10065,146,128,155,137,134,7,7,6,1,1,3,7,5,7,4,700,720,750,700,700
140,30044,1016,101,101,10072,143,139,150,139,129,2,6,7,7,1,7,7,4,7,1,710,700,710,750,700
141,30045,1044,101,101,10050,151,127,155,122,145,3,7,7,5,1,3,7,7,7,1,750,700,720,700,700
142,30046,1035,101,101,10016,148,126,152,133,141,1,2,7,6,1,6,7,1,7,1,700,750,700,720,700
143,30047,1009,101,101,10023,139,131,134,150,146,2,7,7,6,7,7,3,1,7,1,700,720,750,700,700
144,30048,1027,101,101,10033,148,124,156,130,142,3,5,7,6,2,7,7,2,7,1,710,700,710,750,700
145,30054,1060,101,101,10047,147,131,150,128,144,1,5,7,7,2,6,7,4,7,1,720,700,700,700,750
146,30055,1020,101,101,10014,148,148,138,133,133,1,5,7,7,7,6,4,3,7,1,710,700,710,750,700
147,30056,1061,101,101,10048,148,117,154,132,149,7,6,6,5,1,6,7,4,7,1,720,700,700,700,750
148,30057,1007,101,101,10006,137,151,155,131,126,1,5,7,7,1,6,6,7,7,1,700,720,750,700,700
149,30058,1003,100301,100301,10003,140,139,133,142,146,2,3,7,6,4,7,5,3,7,1,750,700,720,700,700
150,30059,1026,102601,102601,10032,146,122,142,152,138,5,6,7,6,7,3,1,1,7,1,700,750,700,720,700
151,30060,1066,106601,106601,10051,143,138,135,146,138,3,6,7,5,7,1,1,1,7,3,710,700,710,750,700
152,30061,1023,101,101,10029,135,143,132,143,147,2,5,7,7,3,7,6,3,7,2,720,700,700,700,750
153,30062,1002,100201,100201,10002,151,134,127,150,138,4,7,7,3,7,5,3,1,7,1,750,700,720,700,700
154,20037,1022,101,101,10028,141,135,138,138,148,2,7,7,5,4,7,5,3,7,1,700,720,750,700,700
155,30063,1063,101,101,10053,146,129,143,135,147,2,6,7,5,2,6,7,2,7,1,710,700,710,750,700
156,30064,1021,101,101,10027,146,132,149,129,144,1,2,7,7,1,7,6,7,7,3,700,720,750,700,700
157,30065,1047,101,101,10059,138,138,143,138,143,2,3,7,7,1,7,7,3,7,1,750,700,720,700,700
158,30066,1026,101,101,10032,146,122,142,152,138,5,6,7,6,7,3,1,1,7,1,720,700,700,700,750
159,10067,1049,101,101,10067,150,142,157,121,130,2,4,7,5,1,5,7,4,7,1,700,750,700,720,700
160,10071,1070,101,101,10071,143,143,137,146,131,1,5,7,5,3,7,5,3,7,1,710,700,710,750,700
161,20038,1070,101,101,10071,143,143,137,146,131,1,5,7,5,3,7,5,3,7,1,710,700,710,750,700
162,30043,1049,101,101,10067,150,142,157,121,130,2,4,7,5,1,5,7,4,7,1,710,700,710,750,700
163,10073,1038,101,101,10073,147,108,157,141,147,7,4,1,1,6,7,3,1,7,2,720,700,700,700,750
164,30068,1038,101,101,10073,147,108,157,141,147,7,4,1,1,6,7,3,1,7,2,720,700,700,700,750
165,30069,1016,101,101,10072,143,139,150,139,129,2,6,7,7,1,7,7,4,7,1,700,750,700,720,700
166,30070,1029,101,101,10034,139,142,130,148,141,5,7,7,5,5,7,2,1,7,4,710,700,710,750,700
167,20039,1008,101,101,10007,152,114,161,129,144,2,7,7,2,5,6,7,2,7,1,750,700,720,700,700
168,30071,1065,101,101,10052,148,122,151,151,128,5,7,6,3,7,6,1,1,7,1,700,720,750,700,700
169,30072,1024,101,101,10030,127,156,121,151,145,4,4,7,7,7,7,6,5,7,3,750,700,720,700,700
170,30073,1050,101,101,10040,146,132,149,129,144,2,4,7,7,1,2,6,7,7,1,720,700,700,700,750
171,30074,1055,101,101,10043,150,134,146,124,146,1,1,7,6,1,6,7,5,7,2,700,720,750,700,700
172,10068,1034,101,101,10068,138,150,159,124,129,2,6,7,7,1,6,5,7,7,7,700,720,750,700,700
173,20032,1034,101,101,10068,138,150,159,124,129,2,6,7,7,1,6,5,7,7,7,700,720,750,700,700
174,30075,1025,101,101,10031,133,148,144,136,139,1,1,5,7,1,5,7,5,7,1,700,750,700,720,700
175,30076,1002,101,101,10002,151,134,127,150,138,4,7,7,3,7,5,3,1,7,1,750,700,720,700,700
176,10075,1033,101,101,10075,146,129,158,119,148,2,5,7,5,1,1,7,7,7,1,700,720,750,700,700
177,30077,1033,101,101,10075,146,129,158,119,148,2,5,7,5,1,1,7,7,7,1,700,720,750,700,700
178,30078,1056,101,101,10044,137,141,149,141,132,2,5,7,7,1,6,7,2,7,2,750,700,720,700,700
179,30079,1058,101,101,10045,143,145,135,146,131,1,2,7,7,2,7,6,3,7,3,700,750,700,720,700
180,30082,1051,101,101,10041,141,131,141,144,143,7,7,4,1,2,7,7,1,7,2,720,700,700,700,750
181,30083,1041,101,101,10018,148,110,155,145,142,7,6,1,1,7,7,2,1,7,1,710,700,710,750,700
182,30084,1048,101,101,10070,139,148,125,151,137,1,1,7,6,4,7,7,1,7,1,750,700,720,700,700
183,30085,1019,101,101,10026,135,141,133,150,141,2,7,7,1,1,7,7,6,7,7,700,720,750,700,700
184,20030,1031,101,101,10035,147,142,132,144,135,2,7,7,3,7,7,1,1,7,1,720,700,700,700,750
185,10076,1074,101,101,10076,139,157,137,117,150,2,5,7,7,1,5,7,7,7,1,700,750,700,720,700
186,10077,1077,101,101,10077,136,161,129,132,142,1,4,7,7,2,7,6,4,7,1,750,700,720,700,700
187,20040,1027,101,101,10033,148,124,156,130,142,3,5,7,6,2,7,7,2,7,1,700,750,700,720,700
188,20041,1033,101,101,10075,146,129,158,119,148,2,5,7,5,1,1,7,7,7,1,710,700,710,750,700
189,20042,1041,101,101,10018,148,110,155,145,142,7,6,1,1,7,7,2,1,7,1,700,720,750,700,700
190,20043,1001,101,101,10001,133,138,148,140,141,2,5,7,7,1,7,7,5,7,1,700,720,750,700,700
191,30086,1077,101,101,10077,136,161,129,132,142,1,4,7,7,2,7,6,4,7,1,750,700,720,700,700
192,30087,1074,101,101,10076,139,157,137,117,150,2,5,7,7,1,5,7,7,7,1,700,750,700,720,700
193,30088,1067,101,101,10056,141,137,145,130,147,2,4,7,7,1,4,7,6,7,1,720,700,700,700,750
199,30089,1055,101,101,10043,150,134,146,124,146,1,1,7,6,1,6,7,5,7,2,710,700,710,750,700
200,20044,1038,101,101,10073,147,108,157,141,147,7,4,1,1,6,7,3,1,7,2,750,700,720,700,700
202,30090,1017,101,101,10013,136,141,133,146,144,3,5,7,7,6,7,7,5,7,1,700,750,700,720,700
203,30091,1070,101,101,10071,143,143,137,146,131,1,5,7,5,3,7,5,3,7,1,720,700,700,700,750
204,30092,1036,101,101,10037,152,132,152,121,143,2,5,7,7,2,5,7,6,7,1,750,700,720,700,700
205,20045,1046,101,101,10039,144,135,135,150,136,6,7,7,3,7,4,1,1,3,7,710,700,710,750,700
206,20046,1044,101,101,10050,151,127,155,122,145,3,7,7,5,1,3,7,7,7,1,720,700,700,700,750
207,30093,1009,101,101,10023,139,131,134,150,146,2,7,7,6,7,7,3,1,7,1,700,720,750,700,700
208,30094,1053,101,101,10065,146,128,155,137,134,7,7,6,1,1,3,7,5,7,4,710,700,710,750,700
209,30095,1042,101,101,10061,147,118,149,135,151,7,7,2,1,1,5,7,6,7,2,750,700,720,700,700
210,30096,1039,101,101,10063,150,121,157,132,140,5,4,7,4,1,5,7,4,7,1,700,720,750,700,700
211,10078,1057,101,101,10078,157,131,165,126,121,1,7,7,7,1,3,6,7,7,1,720,700,700,700,750
212,20047,1003,101,101,10003,140,139,133,142,146,2,3,7,6,4,7,5,3,7,1,700,750,700,720,700
213,30097,1057,101,101,10078,157,131,165,126,121,1,7,7,7,1,3,6,7,7,1,720,700,700,700,750
214,30098,1052,101,101,10020,144,115,150,147,144,7,6,1,1,1,1,7,5,1,7,700,720,750,700,700
215,30099,1063,101,101,10053,146,129,143,135,147,2,6,7,5,2,6,7,2,7,1,700,750,700,720,700
216,30100,1030,101,101,10015,121,167,120,152,140,3,5,7,7,6,7,5,1,7,1,720,700,700,700,750
217,20048,1006,101,101,10005,151,116,156,134,143,3,7,7,6,2,7,7,4,7,6,710,700,710,750,700
218,30053,1010,101,101,10008,146,121,148,143,142,7,7,3,1,5,7,3,1,7,5,750,700,720,700,700
219,30102,1014,101,101,10011,140,130,135,149,146,2,7,7,6,3,7,7,5,7,6,710,700,710,750,700
220,30103,1062,101,101,10057,141,138,143,138,140,1,2,7,7,2,7,7,3,7,1,720,700,700,700,750
221,30104,1047,101,101,10059,138,138,143,138,143,2,3,7,7,1,7,7,3,7,1,700,750,700,720,700
222,20049,1040,101,101,10017,139,142,144,142,133,2,7,6,6,2,7,7,2,7,4,720,700,700,700,750
223,30106,1018,101,101,10025,141,136,136,142,145,5,6,7,3,4,7,7,1,7,1,700,720,750,700,700
224,10081,1073,101,101,10081,146,140,131,137,146,2,4,7,6,1,7,7,3,7,2,710,700,710,750,700
225,20033,1014,101,101,10011,140,130,135,149,146,2,7,7,6,3,7,7,5,7,6,750,700,720,700,700
226,30105,1001,101,101,10001,133,138,148,140,141,2,5,7,7,1,7,7,5,7,1,710,700,710,750,700
227,30107,1004,101,101,10004,146,118,136,150,150,6,7,6,5,7,3,1,1,7,4,750,700,720,700,700
228,30108,1049,101,101,10067,150,142,157,121,130,2,4,7,5,1,5,7,4,7,1,720,700,700,700,750
229,30109,1069,101,101,10062,142,137,130,147,144,1,7,7,2,6,7,2,1,7,1,710,700,710,750,700
230,20050,1020,101,101,10014,148,148,138,133,133,1,5,7,7,7,6,4,3,7,1,720,700,700,700,750
231,30110,1025,101,101,10031,133,148,144,136,139,1,1,5,7,1,5,7,5,7,1,700,750,700,720,700
232,30101,1032,101,101,10036,142,135,135,138,150,1,4,7,6,3,7,6,2,7,1,750,700,720,700,700
233,30121,1026,101,101,10032,146,122,142,152,138,5,6,7,6,7,3,1,1,7,1,750,700,720,700,700
234,30111,1003,101,101,10003,140,139,133,142,146,2,3,7,6,4,7,5,3,7,1,720,700,700,700,750
235,30112,1066,101,101,10051,143,138,135,146,138,3,6,7,5,7,1,1,1,7,3,710,700,710,750,700
236,30113,1023,101,101,10029,135,143,132,143,147,2,5,7,7,3,7,6,3,7,2,700,750,700,720,700
237,10079,1085,101,101,10079,153,123,158,131,135,7,7,3,1,1,6,7,7,7,1,700,720,750,700,700
238,10080,1093,101,101,10080,161,114,144,141,140,7,6,1,1,3,7,6,5,7,1,710,700,710,750,700
239,20051,1093,101,101,10080,161,114,144,141,140,7,6,1,1,3,7,6,5,7,1,710,700,710,750,700
240,30114,1085,101,101,10079,153,123,158,131,135,7,7,3,1,1,6,7,7,7,1,700,750,700,720,700
241,30115,1064,101,101,10054,146,146,125,149,134,1,2,7,7,7,3,2,1,7,1,700,750,700,720,700
242,30116,1065,101,101,10052,148,122,151,151,128,5,7,6,3,7,6,1,1,7,1,750,700,720,700,700
243,30117,1043,101,101,10066,139,130,151,148,132,5,7,6,1,1,7,6,2,3,7,710,700,710,750,700
244,10084,1084,101,101,10084,150,135,161,119,135,2,7,7,2,1,4,6,7,7,2,700,720,750,700,700
245,30145,1084,101,101,10084,150,135,161,119,135,2,7,7,2,1,4,6,7,7,2,700,720,750,700,700
246,10082,1083,101,101,10082,152,137,152,122,137,1,3,7,7,1,7,7,4,7,1,700,750,700,720,700
247,30118,1083,101,101,10082,152,137,152,122,137,1,3,7,7,1,7,7,4,7,1,700,750,700,720,700
248,20052,1073,101,101,10081,146,140,131,137,146,2,4,7,6,1,7,7,3,7,2,710,700,710,750,700
249,30119,1071,101,101,10069,142,145,139,130,144,3,4,7,5,5,7,5,1,7,2,750,700,720,700,700
250,30120,1072,101,101,10058,141,148,128,147,136,3,6,7,4,2,7,6,2,7,4,710,700,710,750,700
251,30146,1006,101,101,10005,151,116,156,134,143,3,7,7,6,2,7,7,4,7,6,720,700,700,700,750
252,20053,1077,101,101,10077,136,161,129,132,142,1,4,7,7,2,7,6,4,7,1,700,720,750,700,700
253,30122,1037,101,101,10038,150,133,143,132,142,1,2,7,7,1,6,7,5,7,1,750,700,720,700,700
254,10085,1076,101,101,10085,135,145,135,148,137,1,5,7,7,1,5,7,6,7,3,700,750,700,720,700
255,30123,1016,101,101,10072,143,139,150,139,129,2,6,7,7,1,7,7,4,7,1,700,720,750,700,700
256,30124,1018,101,101,10025,141,136,136,142,145,5,6,7,3,4,7,7,1,7,1,720,700,700,700,750
