id,required_point,rank_level,item_category_1,item_id_1,item_num_1
173,13072000,173,90,43,75
174,13226000,174,90,43,75
175,13380000,175,90,43,75
176,13534000,176,90,43,75
177,13688000,177,90,43,75
178,13842000,178,90,43,75
179,13996000,179,90,43,75
180,14150000,180,90,43,75
181,14304000,181,90,43,75
182,14468000,182,90,43,75
183,14632000,183,90,43,75
184,14796000,184,90,43,75
185,14960000,185,90,43,75
186,15124000,186,90,43,75
187,15288000,187,90,43,75
188,15452000,188,90,43,75
189,15616000,189,90,43,75
190,15780000,190,90,43,75
191,15944000,191,90,43,75
192,16118000,192,90,43,75
193,16292000,193,90,43,75
194,16466000,194,90,43,75
195,16640000,195,90,43,75
196,16814000,196,90,43,75
197,16988000,197,90,43,75
198,17162000,198,90,43,75
199,17336000,199,90,43,75
200,17510000,200,90,43,500
201,17684000,201,90,43,100
202,17858000,202,90,43,100
203,18032000,203,90,43,100
204,18206000,204,90,43,100
205,18380000,205,90,43,100
206,18554000,206,90,43,100
207,18728000,207,90,43,100
208,18902000,208,90,43,100
209,19076000,209,90,43,100
210,19250000,210,90,43,100
211,19424000,211,90,43,100
212,19598000,212,90,43,100
213,19772000,213,90,43,100
214,19946000,214,90,43,100
215,20120000,215,90,43,100
216,20294000,216,90,43,100
217,20468000,217,90,43,100
218,20642000,218,90,43,100
219,20816000,219,90,43,100
220,20990000,220,90,43,100
221,21164000,221,90,43,100
222,21338000,222,90,43,100
223,21512000,223,90,43,100
224,21686000,224,90,43,100
225,21860000,225,90,43,100
226,22034000,226,90,43,100
227,22208000,227,90,43,100
228,22382000,228,90,43,100
229,22556000,229,90,43,100
230,22730000,230,90,43,100
231,22904000,231,90,43,100
232,23078000,232,90,43,100
233,23252000,233,90,43,100
234,23426000,234,90,43,100
235,23600000,235,90,43,100
236,23774000,236,90,43,100
237,23948000,237,90,43,100
238,24122000,238,90,43,100
239,24296000,239,90,43,100
240,24470000,240,90,43,100
241,24644000,241,90,43,100
242,24818000,242,90,43,100
243,24992000,243,90,43,100
244,25166000,244,90,43,100
245,25340000,245,90,43,100
246,25514000,246,90,43,100
247,25688000,247,90,43,100
248,25862000,248,90,43,100
249,26036000,249,90,43,100
250,26210000,250,90,43,100
251,26384000,251,90,43,100
252,26558000,252,90,43,100
253,26732000,253,90,43,100
254,26906000,254,90,43,100
255,27080000,255,90,43,100
256,27254000,256,90,43,100
257,27428000,257,90,43,100
258,27602000,258,90,43,100
259,27776000,259,90,43,100
260,27950000,260,90,43,100
261,28124000,261,90,43,100
262,28298000,262,90,43,100
263,28472000,263,90,43,100
264,28646000,264,90,43,100
265,28820000,265,90,43,100
266,28994000,266,90,43,100
267,29168000,267,90,43,100
268,29342000,268,90,43,100
269,29516000,269,90,43,100
270,29690000,270,90,43,100
271,29864000,271,90,43,100
272,30038000,272,90,43,100
273,30212000,273,90,43,100
274,30386000,274,90,43,100
275,30560000,275,90,43,100
276,30734000,276,90,43,100
277,30908000,277,90,43,100
278,31082000,278,90,43,100
279,31256000,279,90,43,100
280,31430000,280,90,43,100
281,31604000,281,90,43,100
282,31778000,282,90,43,100
283,31952000,283,90,43,100
284,32126000,284,90,43,100
285,32300000,285,90,43,100
286,32474000,286,90,43,100
287,32648000,287,90,43,100
288,32822000,288,90,43,100
289,32996000,289,90,43,100
290,33170000,290,90,43,100
291,33344000,291,90,43,100
292,33518000,292,90,43,100
293,33692000,293,90,43,100
294,33866000,294,90,43,100
295,34040000,295,90,43,100
296,34214000,296,90,43,100
297,34388000,297,90,43,100
298,34562000,298,90,43,100
299,34736000,299,90,43,100
300,34910000,300,90,43,500
301,35432000,301,90,43,100
302,35954000,302,90,43,100
303,36476000,303,90,43,100
304,36998000,304,90,43,100
305,37520000,305,90,43,100
306,38042000,306,90,43,100
307,38564000,307,90,43,100
308,39086000,308,90,43,100
309,39608000,309,90,43,100
310,40130000,310,90,43,100
311,40652000,311,90,43,100
312,41174000,312,90,43,100
313,41696000,313,90,43,100
314,42218000,314,90,43,100
315,42740000,315,90,43,100
316,43262000,316,90,43,100
317,43784000,317,90,43,100
318,44306000,318,90,43,100
319,44828000,319,90,43,100
320,45350000,320,90,43,100
321,45872000,321,90,43,100
322,46394000,322,90,43,100
323,46916000,323,90,43,100
324,47438000,324,90,43,100
325,47960000,325,90,43,100
326,48482000,326,90,43,100
327,49004000,327,90,43,100
328,49526000,328,90,43,100
329,50048000,329,90,43,100
330,50570000,330,90,43,100
331,51092000,331,90,43,100
332,51614000,332,90,43,100
333,52136000,333,90,43,100
334,52658000,334,90,43,100
335,53180000,335,90,43,100
336,53702000,336,90,43,100
337,54224000,337,90,43,100
338,54746000,338,90,43,100
339,55268000,339,90,43,100
340,55790000,340,90,43,100
341,56312000,341,90,43,100
342,56834000,342,90,43,100
343,57356000,343,90,43,100
344,57878000,344,90,43,100
345,58400000,345,90,43,100
346,58922000,346,90,43,100
347,59444000,347,90,43,100
348,59966000,348,90,43,100
349,60488000,349,90,43,100
350,61010000,350,90,43,100
