id,box_id,box_num,item_category,item_id,item_num,rate,prize_type
238,17,4,90,43,300,4,1
239,17,1,164,149,1,1,1
240,17,1,164,150,1,1,1
241,17,5,93,44,20,5,1
242,17,2,11,163,3,2,1
243,17,2,11,162,6,2,1
244,17,5,11,161,2,5,2
245,17,5,11,160,4,5,2
246,17,1,97,115,5,1,2
247,17,5,34,95,1,5,2
248,17,5,150,116,1,5,2
249,17,20,91,59,30000,20,2
250,17,3,103,98,1000,3,2
251,18,3,174,306,1,3,1
252,18,4,90,43,300,4,1
253,18,1,164,149,1,1,1
254,18,1,164,150,1,1,1
255,18,5,93,44,20,5,1
256,18,2,11,163,3,2,1
257,18,2,11,162,6,2,1
258,18,5,11,161,2,5,2
259,18,5,11,160,4,5,2
260,18,1,97,115,5,1,2
261,18,5,34,95,1,5,2
262,18,5,150,116,1,5,2
263,18,20,91,59,30000,20,2
264,18,3,103,98,1000,3,2
265,19,3,174,329,1,3,1
266,19,4,90,43,300,4,1
267,19,1,164,149,1,1,1
268,19,1,164,150,1,1,1
269,19,5,93,44,20,5,1
270,19,2,11,163,3,2,1
271,19,2,11,162,6,2,1
272,19,5,11,161,2,5,2
273,19,5,11,160,4,5,2
274,19,1,97,115,5,1,2
275,19,5,34,95,1,5,2
276,19,5,150,116,1,5,2
277,19,20,91,59,30000,20,2
278,19,3,103,98,1000,3,2
279,20,3,174,331,1,3,1
280,20,4,90,43,300,4,1
281,20,1,164,149,1,1,1
282,20,1,164,150,1,1,1
283,20,4,93,44,25,4,1
284,20,2,11,163,3,2,1
285,20,2,11,162,6,2,1
286,20,5,11,161,2,5,2
287,20,5,11,160,4,5,2
288,20,6,11,319,10,6,2
289,20,1,97,115,5,1,2
290,20,5,34,95,1,5,2
291,20,5,150,116,1,5,2
292,20,15,91,59,40000,15,2
293,20,3,103,98,1000,3,2
294,21,3,174,334,1,3,1
295,21,4,90,43,300,4,1
296,21,1,164,149,1,1,1
297,21,1,164,150,1,1,1
298,21,4,93,44,25,4,1
299,21,2,11,163,3,2,1
300,21,2,11,162,6,2,1
301,21,5,11,161,2,5,2
302,21,5,11,160,4,5,2
303,21,6,11,319,10,6,2
304,21,1,97,115,5,1,2
305,21,5,34,95,1,5,2
306,21,5,150,116,1,5,2
307,21,15,91,59,40000,15,2
308,21,3,103,98,1000,3,2
309,22,3,174,335,1,3,1
310,22,4,90,43,300,4,1
311,22,1,164,149,1,1,1
312,22,1,164,150,1,1,1
313,22,4,93,44,25,4,1
314,22,2,11,163,3,2,1
315,22,2,11,162,6,2,1
316,22,5,11,161,2,5,2
317,22,5,11,160,4,5,2
318,22,6,11,319,10,6,2
319,22,1,97,115,5,1,2
320,22,5,34,95,1,5,2
321,22,5,150,116,1,5,2
322,22,15,91,59,40000,15,2
323,22,3,103,98,1000,3,2
