id,hair_color_r1,hair_color_r2,hair_color_g1,hair_color_g2,hair_color_b1,hair_color_b2,hair_toon_color_r1,hair_toon_color_r2,hair_toon_color_g1,hair_toon_color_g2,hair_toon_color_b1,hair_toon_color_b2,mayu_color_r1,mayu_color_r2,mayu_color_g1,mayu_color_g2,mayu_color_b1,mayu_color_b2,mayu_toon_color_r1,mayu_toon_color_r2,mayu_toon_color_g1,mayu_toon_color_g2,mayu_toon_color_b1,mayu_toon_color_b2,eye_color_r1,eye_color_r2,eye_color_g1,eye_color_g2,eye_color_b1,eye_color_b2,tail_color_r1,tail_color_r2,tail_color_g1,tail_color_g2,tail_color_b1,tail_color_b2,tail_toon_color_r1,tail_toon_color_r2,tail_toon_color_g1,tail_toon_color_g2,tail_toon_color_b1,tail_toon_color_b2
10,#C39FAC,#ECDC89,#FFC14C,#808080,#494DD4,#FFC14C,#CAA3B0,#E59F66,#F1914C,#808080,#251980,#F1914C,#FFFFFF,#FFFFFF,#FFFFFF,#331F10,#F1914C,#B26B38,#FFFFFF,#FFFFFF,#FFFFFF,#331F10,#F1914C,#B26B38,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#B69AF1,#FFFFFF,#FFC14C,#E6DECF,#FFFFFF,#FFFFFF,#B69AF1,#FFFFFF,#F1914C
11,#C39FAC,#ECDC89,#FAE2B5,#808080,#494DD4,#FAE2B5,#CAA3B0,#E59F66,#DDB89E,#808080,#251980,#DDB89E,#FFFFFF,#FFFFFF,#FFFFFF,#332A24,#DDB89E,#B29580,#FFFFFF,#FFFFFF,#FFFFFF,#332A24,#DDB89E,#B29580,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A78DDD,#FFFFFF,#FAE2B5,#E6DECF,#FFFFFF,#FFFFFF,#A78DDD,#FFFFFF,#DDB89E
12,#C39FAC,#ECDC89,#D6910F,#808080,#494DD4,#D6910F,#CAA3B0,#E59F66,#DD6E1E,#808080,#251980,#DD6E1E,#FFFFFF,#FFFFFF,#FFFFFF,#331907,#DD6E1E,#B25918,#FFFFFF,#FFFFFF,#FFFFFF,#331907,#DD6E1E,#B25918,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A78DDD,#FFFFFF,#D6910F,#E6DECF,#FFFFFF,#FFFFFF,#A78DDD,#FFFFFF,#DD6E1E
13,#C39FAC,#ECDC89,#FDB52E,#808080,#494DD4,#FDB52E,#CAA3B0,#E59F66,#F87920,#808080,#251980,#F87920,#FFFFFF,#FFFFFF,#FFFFFF,#331907,#F87920,#B25717,#FFFFFF,#FFFFFF,#FFFFFF,#331907,#F87920,#B25717,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#BB9FF8,#FFFFFF,#FDB52E,#E6DECF,#FFFFFF,#FFFFFF,#BB9FF8,#FFFFFF,#F87920
14,#C39FAC,#ECDC89,#E0B86D,#808080,#494DD4,#E0B86D,#CAA3B0,#E59F66,#CC9065,#808080,#251980,#CC9065,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#CC9065,#B27E58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#CC9065,#B27E58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#9A83CC,#FFFFFF,#E0B86D,#E6DECF,#FFFFFF,#FFFFFF,#9A83CC,#FFFFFF,#CC9065
15,#D2ABD9,#BC1623,#EC8682,#808080,#353537,#EC8682,#D2ABD9,#78151D,#BE635E,#808080,#130C0D,#BE635E,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#BE635E,#B25D58,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#BE635E,#B25D58,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#8F7ABE,#FFFFFF,#EC8682,#E6CFCF,#FFFFFF,#FFFFFF,#8F7ABE,#FFFFFF,#BE635E
16,#D2ABD9,#BC1623,#7B413F,#808080,#353537,#7B413F,#D2ABD9,#78151D,#522C2A,#808080,#130C0D,#522C2A,#FFFFFF,#FFFFFF,#FFFFFF,#331B1A,#522C2A,#804441,#FFFFFF,#FFFFFF,#FFFFFF,#331B1A,#522C2A,#804441,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#7B413F,#E6CFCF,#FFFFFF,#FFFFFF,#3E3452,#FFFFFF,#522C2A
17,#D2ABD9,#BC1623,#D95E59,#808080,#353537,#D95E59,#D2ABD9,#78151D,#B0443E,#808080,#130C0D,#B0443E,#FFFFFF,#FFFFFF,#FFFFFF,#331412,#B0443E,#B0443E,#FFFFFF,#FFFFFF,#FFFFFF,#331412,#B0443E,#B0443E,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#8571B0,#FFFFFF,#D95E59,#E6CFCF,#FFFFFF,#FFFFFF,#8571B0,#FFFFFF,#B0443E
18,#D2ABD9,#BC1623,#AB1F19,#808080,#353537,#AB1F19,#D2ABD9,#78151D,#800E08,#808080,#130C0D,#800E08,#FFFFFF,#FFFFFF,#FFFFFF,#330603,#800E08,#800E08,#FFFFFF,#FFFFFF,#FFFFFF,#330603,#800E08,#800E08,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#615280,#FFFFFF,#AB1F19,#E6CFCF,#FFFFFF,#FFFFFF,#615280,#FFFFFF,#800E08
19,#D2ABD9,#BC1623,#ECADAA,#808080,#353537,#EC908C,#D96D70,#78151D,#C89E9B,#808080,#130C0D,#C86A63,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#C86A63,#B25F59,#FFFFFF,#FFFFFF,#FFFFFF,#331B19,#C86A63,#B25F59,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6D0CF,#FFFFFF,#FFFFFF,#9780C8,#FFFFFF,#EC908C,#E6D0CF,#FFFFFF,#FFFFFF,#9780C8,#FFFFFF,#C86A63
20,#E296C9,#D6BE2F,#F1899B,#808080,#3EA4B0,#F1899B,#B96FAF,#784420,#B75765,#808080,#1C5378,#B75765,#FFFFFF,#FFFFFF,#FFFFFF,#33181C,#B75765,#B25563,#FFFFFF,#FFFFFF,#FFFFFF,#33181C,#B75765,#B25563,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD3,#FFFFFF,#FFFFFF,#8A75B7,#FFFFFF,#F1899B,#E6CFD3,#FFFFFF,#FFFFFF,#8A75B7,#FFFFFF,#B75765
21,#E296C9,#D6BE2F,#6A2630,#808080,#3EA4B0,#6A2630,#B96FAF,#784420,#4B292F,#808080,#1C5378,#4B292F,#FFFFFF,#FFFFFF,#FFFFFF,#331C20,#4B292F,#804650,#FFFFFF,#FFFFFF,#FFFFFF,#331C20,#4B292F,#804650,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD2,#FFFFFF,#FFFFFF,#39304B,#FFFFFF,#6A2630,#E6CFD2,#FFFFFF,#FFFFFF,#39304B,#FFFFFF,#4B292F
22,#E296C9,#D6BE2F,#901124,#808080,#3EA4B0,#732B38,#B96FAF,#784420,#A61831,#808080,#1C5378,#731A27,#FFFFFF,#FFFFFF,#FFFFFF,#330B11,#731A27,#801C2B,#FFFFFF,#FFFFFF,#FFFFFF,#330B11,#731A27,#801C2B,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD3,#FFFFFF,#FFFFFF,#574A73,#FFFFFF,#732B38,#E6CFD3,#FFFFFF,#FFFFFF,#574A73,#FFFFFF,#731A27
23,#E296C9,#D6BE2F,#E7A4B0,#808080,#3EA4B0,#9C505D,#B96FAF,#784420,#D4B7BB,#808080,#1C5378,#7B3D46,#FFFFFF,#FFFFFF,#FFFFFF,#33191D,#7B3D46,#803F49,#FFFFFF,#FFFFFF,#FFFFFF,#33191D,#7B3D46,#803F49,#4B2732,#D8868E,#FFCFCE,#502138,#703444,#D89096,#E6CFD2,#FFFFFF,#FFFFFF,#5D4F7B,#FFFFFF,#9C505D,#E6CFD2,#FFFFFF,#FFFFFF,#5D4F7B,#FFFFFF,#7B3D46
24,#060407,#D16852,#897576,#808080,#8C183A,#524142,#110C16,#98364E,#806767,#808080,#461554,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
25,#C39FAC,#ECDC89,#F1E9DB,#808080,#494DD4,#FACF7E,#CAA3B0,#E59F66,#F1E1D6,#808080,#251980,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FACF7E,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
26,#9C68CF,#C7FCFB,#524142,#808080,#42176B,#524142,#64429E,#8FBFD2,#352524,#656161,#1E0E33,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
27,#8E878A,#423F3F,#FDF1F4,#696464,#AC2332,#421A29,#787175,#2D2029,#C5B9E2,#514054,#63173A,#230B12,#FFFFFF,#FFFFFF,#FFFFFF,#33101A,#230B12,#802842,#FFFFFF,#FFFFFF,#FFFFFF,#33101A,#230B12,#802842,#352831,#A9253E,#C78AA7,#40102B,#520C4D,#AD4876,#E6CFD7,#FFFFFF,#FFFFFF,#1A1623,#FFFFFF,#421A29,#E6CFD7,#FFFFFF,#FFFFFF,#1A1623,#FFFFFF,#230B12
28,#4FBCA9,#234B44,#EBF4F3,#EBF4F3,#EBF4F3,#C0615D,#5D7DA2,#234B3D,#B5D8BE,#B4D7BF,#B4D7BF,#954B47,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#954B47,#954B47,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#954B47,#954B47,#4B3021,#BC8762,#FEC99D,#592219,#713B2B,#D69673,#E6CFCF,#FFFFFF,#FFFFFF,#715F95,#FFFFFF,#C0615D,#E6CFCF,#FFFFFF,#FFFFFF,#715F95,#FFFFFF,#954B47
29,#9C68CF,#2F7980,#524142,#808080,#ECECEC,#524142,#64429E,#1A2667,#352524,#656161,#D3BDCF,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
30,#451E12,#4A7AA0,#A0624E,#203041,#C4DCEF,#A0624E,#2C0603,#13687F,#7A3634,#313E3F,#9BD0EA,#7A3534,#FFFFFF,#FFFFFF,#FFFFFF,#331616,#7A3534,#803736,#FFFFFF,#FFFFFF,#FFFFFF,#331616,#7A3534,#803736,#313235,#8B91A9,#3945C7,#0E0F40,#252852,#4A67AD,#E6D4CF,#FFFFFF,#FFFFFF,#5C4E7A,#FFFFFF,#A0624E,#E6D4CF,#FFFFFF,#FFFFFF,#5C4E7A,#FFFFFF,#7A3534
31,#383B47,#829026,#B7B8BC,#243D90,#829026,#1A1E90,#1B2739,#235B2B,#9594A7,#2B2A52,#235B2B,#121453,#FFFFFF,#FFFFFF,#FFFFFF,#0B0C33,#121453,#1C1F80,#FFFFFF,#FFFFFF,#FFFFFF,#0B0C33,#121453,#1C1F80,#353326,#A9A7A2,#C3C72F,#3E4017,#4A5235,#A9AD51,#CFCFE6,#FFFFFF,#FFFFFF,#3F3553,#FFFFFF,#1A1E90,#CFCFE6,#FFFFFF,#FFFFFF,#3F3553,#FFFFFF,#121453
32,#939493,#17491F,#39513D,#3C984C,#0D490B,#4C3547,#79817E,#122E0D,#152E3A,#2A6764,#062910,#2F133C,#FFFFFF,#FFFFFF,#FFFFFF,#281133,#2F133C,#642980,#FFFFFF,#FFFFFF,#FFFFFF,#281133,#2F133C,#642980,#351525,#A93858,#C7A2B3,#403C3D,#520D0F,#AD4939,#E6CFE1,#FFFFFF,#FFFFFF,#2D273C,#FFFFFF,#4C3547,#E6CFE1,#FFFFFF,#FFFFFF,#2D273C,#FFFFFF,#2F133C
33,#586758,#E27BD4,#42E23F,#C63AE2,#9FFE9D,#432B46,#2B4E53,#9049C0,#44B7B0,#6D44A9,#69CDDA,#1B0D37,#FFFFFF,#FFFFFF,#FFFFFF,#1A0C33,#1B0D37,#401F80,#FFFFFF,#FFFFFF,#FFFFFF,#1A0C33,#1B0D37,#401F80,#1E3526,#8DA999,#56C762,#114019,#515251,#26AD2F,#E3CFE6,#FFFFFF,#FFFFFF,#292337,#FFFFFF,#432B46,#E3CFE6,#FFFFFF,#FFFFFF,#292337,#FFFFFF,#1B0D37
34,#ECECEC,#853D1D,#3A2E33,#7CE6F2,#A82F06,#F1F1F1,#24C0D9,#391A0F,#241D1F,#49A1BA,#712D0B,#FFE6E6,#FFFFFF,#FFFFFF,#FFFFFF,#332E2E,#FFE6E6,#B2A1A1,#FFFFFF,#FFFFFF,#FFFFFF,#332E2E,#FFE6E6,#B2A1A1,#4F1212,#EC5932,#FF8D90,#3C0200,#EC5932,#FF0600,#E6CFCF,#FFFFFF,#FFFFFF,#C1A3FF,#FFFFFF,#F1F1F1,#E6CFCF,#FFFFFF,#FFFFFF,#C1A3FF,#FFFFFF,#FFE6E6
35,#FFE900,#FFFFFF,#203148,#4B5457,#FFFEF7,#203148,#99D5FF,#E9E3C1,#02000C,#294749,#DBD9C9,#02000C,#FFFFFF,#FFFFFF,#FFFFFF,#080033,#02000C,#150080,#FFFFFF,#FFFFFF,#FFFFFF,#080033,#02000C,#150080,#121F1D,#E8FFF5,#86FFE6,#0C3C2B,#53E2F3,#2CE0FF,#CFD8E6,#FFFFFF,#FFFFFF,#09080C,#FFFFFF,#203148,#CFD8E6,#FFFFFF,#FFFFFF,#09080C,#FFFFFF,#02000C
36,#ECECEC,#715B4C,#9C6C0D,#7CE6F2,#73434F,#D19D36,#24C0D9,#1F1F1F,#7D580E,#49A1BA,#3A2A2E,#D68E00,#FFFFFF,#FFFFFF,#FFFFFF,#332200,#D68E00,#B27700,#FFFFFF,#FFFFFF,#FFFFFF,#332200,#D68E00,#B27700,#363733,#B0B045,#FFF3B2,#4B4613,#4A4F30,#FFF736,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D19D36,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D68E00
37,#BB5D7D,#CA9ED9,#593E47,#47151C,#DADFFF,#A47680,#964861,#6C4571,#412834,#28090B,#C3AFD9,#764166,#FFFFFF,#FFFFFF,#FFFFFF,#331C2C,#764166,#80466F,#FFFFFF,#FFFFFF,#FFFFFF,#331C2C,#764166,#80466F,#372428,#B06962,#FFEBF4,#4B1531,#4F3C47,#FF3BCD,#E6CFD4,#FFFFFF,#FFFFFF,#594B76,#FFFFFF,#A47680,#E6CFD4,#FFFFFF,#FFFFFF,#594B76,#FFFFFF,#764166
38,#DDC1A6,#3A2767,#D0E2DC,#E9E9E9,#D0D3E4,#9DC7D1,#FFE8BA,#D0D3E4,#FFFFFF,#13234A,#3A2767,#B5CFD6,#FFFFFF,#FFFFFF,#FFFFFF,#2B3133,#B5CFD6,#97ADB2,#FFFFFF,#FFFFFF,#FFFFFF,#2B3133,#B5CFD6,#97ADB2,#9F798A,#D8DEE0,#C6FFFE,#FFFFFF,#FFFFFF,#D4BFAD,#CFE1E6,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#9DC7D1,#CFE1E6,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#B5CFD6
39,#72DDD0,#FFFFFF,#688182,#404E3B,#FFFFFF,#C9FFEE,#77FFBC,#EE9393,#FFFFFF,#163834,#EEDBD2,#8FBEAF,#FFFFFF,#FFFFFF,#FFFFFF,#26332F,#8FBEAF,#86B2A4,#FFFFFF,#FFFFFF,#FFFFFF,#26332F,#8FBEAF,#86B2A4,#74818E,#C5DEFD,#A5E0FF,#586E84,#254243,#FFFA47,#CFE6DE,#FFFFFF,#FFFFFF,#907ABE,#FFFFFF,#C9FFEE,#CFE6DE,#FFFFFF,#FFFFFF,#907ABE,#FFFFFF,#8FBEAF
40,#49FFD3,#D2FFFF,#67DEE7,#FFFFFF,#BDFFFF,#FFACDE,#83FFED,#60B4B4,#49949A,#13234A,#71C0C0,#F083FF,#FFFFFF,#FFFFFF,#FFFFFF,#301A33,#F083FF,#A85CB2,#FFFFFF,#FFFFFF,#FFFFFF,#301A33,#F083FF,#A85CB2,#673519,#A1C8B9,#FFC865,#574C44,#000000,#F19AB0,#E6CFDC,#FFFFFF,#FFFFFF,#C1A3FF,#FFFFFF,#FFACDE,#E6CFDC,#FFFFFF,#FFFFFF,#C1A3FF,#FFFFFF,#F083FF
41,#A3D9E5,#475E51,#FFFFFF,#235433,#762A3C,#DBD2CD,#F6FFE8,#40575D,#FFD0EA,#2A6529,#3E1826,#B7A8AA,#FFFFFF,#FFFFFF,#FFFFFF,#332F30,#B7A8AA,#B2A4A6,#FFFFFF,#FFFFFF,#FFFFFF,#332F30,#B7A8AA,#B2A4A6,#97A69D,#97A69D,#64766B,#64766B,#64766B,#64766B,#E6D5CF,#FFFFFF,#FFFFFF,#8A75B7,#FFFFFF,#DBD2CD,#E6D5CF,#FFFFFF,#FFFFFF,#8A75B7,#FFFFFF,#B7A8AA
42,#E5DBEE,#B3827B,#C1E9E3,#FFFFFF,#463F3E,#FFFFFF,#C9B7DB,#955D76,#98C3CA,#FFFFFF,#332523,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#FFFFFF,#B2B2B2,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#FFFFFF,#B2B2B2,#60402D,#A15F5E,#E76A3A,#0B4D63,#DDCBC9,#A6281D,#E6CFCF,#FFFFFF,#FFFFFF,#C1A3FF,#FFFFFF,#FFFFFF,#E6CFCF,#FFFFFF,#FFFFFF,#C1A3FF,#FFFFFF,#FFFFFF
43,#5AFFDC,#BCE8EC,#A60054,#B8A7B7,#80C1C6,#FF006F,#82DDC4,#878FBC,#3E0052,#7D6C8C,#515C9B,#9F0030,#FFFFFF,#FFFFFF,#FFFFFF,#33000F,#9F0030,#9F0030,#FFFFFF,#FFFFFF,#FFFFFF,#33000F,#9F0030,#9F0030,#5EA3C0,#FBFFD0,#F4FF00,#006B98,#FFFFFF,#3895A1,#E6CFD9,#FFFFFF,#FFFFFF,#78669F,#FFFFFF,#FF006F,#E6CFD9,#FFFFFF,#FFFFFF,#78669F,#FFFFFF,#9F0030
44,#FFDCDA,#FFBBB8,#FFE6E3,#9ADBCE,#FFBBB8,#CEFCFF,#FFA9A5,#DB918D,#FAD2CF,#B8D4AB,#DB918D,#ABEDF1,#FFFFFF,#FFFFFF,#FFFFFF,#243233,#ABEDF1,#7FB0B2,#FFFFFF,#FFFFFF,#FFFFFF,#243233,#ABEDF1,#7FB0B2,#DB9794,#E7ABA9,#FFF8B3,#DB9794,#DB9794,#DB9794,#CFE4E6,#FFFFFF,#FFFFFF,#B69AF1,#FFFFFF,#CEFCFF,#CFE4E6,#FFFFFF,#FFFFFF,#B69AF1,#FFFFFF,#ABEDF1
9100,#C39FAC,#ECDC89,#FFFFFF,#808080,#45A83D,#FFBD94,#CAA3B0,#E59F66,#FFFFFF,#808080,#19803F,#E7AE84,#FFFFFF,#FFFFFF,#FFFFFF,#33261D,#E7AE84,#B28766,#FFFFFF,#FFFFFF,#FFFFFF,#33261D,#E7AE84,#B28766,#4A3521,#D9B167,#FDE3B2,#623C21,#7A572E,#DCB47B,#E6D7CF,#FFFFFF,#FFFFFF,#AE94E7,#FFFFFF,#FFBD94,#E6D7CF,#FFFFFF,#FFFFFF,#AE94E7,#FFFFFF,#E7AE84
