id,npc_group_id,chara_id,mob_id,race_dress_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id
24,1003,1,8160,11,372,378,467,247,416,2,5,6,5,5,6,5,4,6,1,51816030
25,1003,1,8214,12,362,426,390,308,376,2,5,6,5,4,5,6,5,6,1,51821430
26,1003,1,8217,8,434,382,436,218,401,2,5,6,5,4,5,6,5,6,1,51821730
27,1003,1,8220,12,442,438,424,280,296,2,5,6,5,4,5,6,5,6,1,51822030
28,1004,1003,0,100301,401,428,408,374,408,2,3,7,6,1,7,4,2,7,1,200301
29,1004,1,8163,11,407,456,317,447,238,2,5,6,5,5,6,5,4,6,1,51816330
30,1004,1,8166,12,318,355,432,420,376,2,5,6,5,5,6,5,4,6,1,51816630
31,1004,1,8223,11,405,403,368,341,330,2,5,6,5,4,5,6,5,6,1,51822330
32,1004,1,8463,8,328,508,365,310,315,2,5,6,5,6,5,4,3,6,1,51846330
33,1004,1,8469,11,552,301,444,240,238,2,5,6,5,5,6,5,4,6,1,51846930
34,1004,1,8484,12,340,252,437,398,454,2,5,6,5,4,5,6,5,6,1,51848430
35,1005,1001,0,100101,354,455,414,346,380,2,5,7,7,1,7,7,5,7,1,200101
36,1005,1,8061,12,618,613,478,464,281,5,6,5,1,5,6,5,4,6,1,52806120
37,1005,1,8064,11,387,642,385,478,671,5,6,5,2,5,6,5,4,6,1,52806420
38,1005,1,8082,12,520,605,520,273,660,5,6,5,2,4,5,6,5,6,1,52808220
39,1005,1,8115,8,475,508,464,664,494,5,6,5,2,3,4,5,6,6,1,52811520
40,1005,1,8415,11,470,418,621,519,510,5,6,5,1,6,5,4,3,6,1,52841520
41,1005,1,8421,11,408,443,343,643,662,5,6,5,1,5,6,5,4,6,1,52842120
42,1006,1007,0,100701,369,476,355,398,371,1,5,7,7,1,6,6,7,7,1,200701
43,1006,1,8061,12,458,454,354,344,208,5,6,5,1,5,6,5,4,6,1,51806120
44,1006,1,8064,11,283,469,281,350,490,5,6,5,2,5,6,5,4,6,1,51806420
45,1006,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
46,1006,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
47,1006,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
48,1006,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
49,1007,1006,0,100601,428,353,441,421,428,3,7,7,6,2,7,7,4,7,6,200601
50,1007,1,8061,12,458,454,354,344,208,5,6,5,1,5,6,5,4,6,1,51806120
51,1007,1,8052,8,416,239,370,531,246,5,6,5,1,6,5,4,3,6,1,51805220
52,1007,1,8157,8,378,260,353,438,480,2,5,6,5,5,6,5,4,6,1,51815730
53,1007,1,8223,11,405,403,368,341,330,2,5,6,5,4,5,6,5,6,1,51822330
54,1007,1,8115,8,475,508,464,664,494,5,6,5,2,3,4,5,6,6,1,52811520
55,1007,1,8421,11,498,541,419,785,809,5,6,5,1,5,6,5,4,6,1,53842120
56,1008,1041,0,104101,462,391,455,414,360,7,6,1,1,7,7,2,1,7,1,204101
57,1008,1,8061,12,458,454,354,344,208,5,6,5,1,5,6,5,4,6,1,51806120
58,1008,1,8064,11,283,469,281,350,490,5,6,5,2,5,6,5,4,6,1,51806420
59,1008,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
60,1008,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
61,1008,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
62,1008,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
63,1009,1008,0,100801,401,379,442,381,374,2,7,7,2,5,6,7,2,7,1,200801
64,1009,1,8070,11,434,437,351,184,412,5,6,5,2,5,6,5,4,6,1,51807020
65,1009,1,8073,12,345,293,420,365,480,5,6,5,2,5,6,5,4,6,1,51807320
66,1009,1,8091,8,418,455,322,430,259,5,6,5,2,4,5,6,5,6,1,51809120
67,1009,1,8121,11,353,481,422,281,334,5,6,5,2,3,4,5,6,6,1,51812120
68,1009,1,8415,11,356,317,471,394,387,5,6,5,1,6,5,4,3,6,1,51841520
69,1009,1,8421,11,302,328,254,476,490,5,6,5,1,5,6,5,4,6,1,51842120
70,1010,1009,0,100901,386,360,414,387,326,2,7,7,6,7,7,3,1,7,1,200901
71,1010,1,8154,8,366,294,511,511,235,2,5,6,5,5,6,5,4,6,1,51815430
72,1010,1,8157,8,378,260,353,438,480,2,5,6,5,5,6,5,4,6,1,51815730
73,1010,1,8160,11,372,378,467,247,416,2,5,6,5,5,6,5,4,6,1,51816030
74,1010,1,8214,12,362,426,390,308,376,2,5,6,5,4,5,6,5,6,1,51821430
75,1010,1,8217,8,434,382,436,218,401,2,5,6,5,4,5,6,5,6,1,51821730
76,1010,1,8220,12,442,438,424,280,296,2,5,6,5,4,5,6,5,6,1,51822030
77,1011,1017,0,101701,388,442,399,374,476,3,5,7,7,6,7,7,5,7,1,201701
78,1011,1,8163,11,407,456,317,447,238,2,5,6,5,5,6,5,4,6,1,51816330
79,1011,1,8166,12,318,355,432,420,376,2,5,6,5,5,6,5,4,6,1,51816630
80,1011,1,8223,11,405,403,368,341,330,2,5,6,5,4,5,6,5,6,1,51822330
81,1011,1,8463,8,328,508,365,310,315,2,5,6,5,6,5,4,3,6,1,51846330
82,1011,1,8469,11,552,301,444,240,238,2,5,6,5,5,6,5,4,6,1,51846930
83,1011,1,8484,12,340,252,437,398,454,2,5,6,5,4,5,6,5,6,1,51848430
84,1012,1013,0,101301,382,469,376,369,442,1,2,7,7,6,7,4,2,7,3,201301
85,1012,1,8061,12,618,613,478,464,281,5,6,5,1,5,6,5,4,6,1,52806120
86,1012,1,8064,11,387,642,385,478,671,5,6,5,2,5,6,5,4,6,1,52806420
87,1012,1,8082,12,520,605,520,273,660,5,6,5,2,4,5,6,5,6,1,52808220
88,1012,1,8115,8,475,508,464,664,494,5,6,5,2,3,4,5,6,6,1,52811520
89,1012,1,8415,11,470,418,621,519,510,5,6,5,1,6,5,4,3,6,1,52841520
90,1012,1,8421,11,408,443,343,643,662,5,6,5,1,5,6,5,4,6,1,52842120
91,1013,1024,0,102401,387,435,380,411,354,4,4,7,7,7,7,6,5,7,3,202401
92,1013,1,8061,12,458,454,354,344,208,5,6,5,1,5,6,5,4,6,1,51806120
93,1013,1,8064,11,283,469,281,350,490,5,6,5,2,5,6,5,4,6,1,51806420
94,1013,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
95,1013,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
96,1013,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
97,1013,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
98,1014,1014,0,101401,435,408,408,442,421,2,7,7,6,3,7,7,5,7,6,201401
99,1014,1,8061,12,458,454,354,344,208,5,6,5,1,5,6,5,4,6,1,51806120
100,1014,1,8052,8,416,239,370,531,246,5,6,5,1,6,5,4,3,6,1,51805220
101,1014,1,8157,8,378,260,353,438,480,2,5,6,5,5,6,5,4,6,1,51815730
102,1014,1,8223,11,405,403,368,341,330,2,5,6,5,4,5,6,5,6,1,51822330
103,1014,1,8115,8,475,508,464,664,494,5,6,5,2,3,4,5,6,6,1,52811520
104,1014,1,8421,11,498,541,419,785,809,5,6,5,1,5,6,5,4,6,1,53842120
105,1015,1061,0,106101,424,388,394,299,340,7,6,6,5,1,6,7,4,7,1,206101
106,1015,1,8061,12,458,454,354,344,208,5,6,5,1,5,6,5,4,6,1,51806120
107,1015,1,8064,11,283,469,281,350,490,5,6,5,2,5,6,5,4,6,1,51806420
108,1015,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
109,1015,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
110,1015,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
111,1015,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
112,1016,1011,0,101101,414,380,401,428,442,1,7,6,7,2,7,7,2,7,1,201101
113,1016,1,8070,11,434,437,351,184,412,5,6,5,2,5,6,5,4,6,1,51807020
114,1016,1,8073,12,345,293,420,365,480,5,6,5,2,5,6,5,4,6,1,51807320
115,1016,1,8091,8,418,455,322,430,259,5,6,5,2,4,5,6,5,6,1,51809120
116,1016,1,8121,11,353,481,422,281,334,5,6,5,2,3,4,5,6,6,1,51812120
117,1016,1,8415,11,356,317,471,394,387,5,6,5,1,6,5,4,3,6,1,51841520
118,1016,1,8421,11,302,328,254,476,490,5,6,5,1,5,6,5,4,6,1,51842120
119,1017,1018,0,101801,379,360,402,428,455,5,6,7,3,4,7,7,1,7,1,201801
120,1017,1,8154,8,366,294,511,511,235,2,5,6,5,5,6,5,4,6,1,51815430
121,1017,1,8157,8,378,260,353,438,480,2,5,6,5,5,6,5,4,6,1,51815730
122,1017,1,8160,11,372,378,467,247,416,2,5,6,5,5,6,5,4,6,1,51816030
123,1017,1,8214,12,362,426,390,308,376,2,5,6,5,4,5,6,5,6,1,51821430
124,1017,1,8217,8,434,382,436,218,401,2,5,6,5,4,5,6,5,6,1,51821730
125,1017,1,8220,12,442,438,424,280,296,2,5,6,5,4,5,6,5,6,1,51822030
126,1018,1027,0,102701,411,414,386,380,394,3,5,7,6,2,7,7,2,7,1,202701
127,1018,1,8163,11,407,456,317,447,238,2,5,6,5,5,6,5,4,6,1,51816330
128,1018,1,8166,12,318,355,432,420,376,2,5,6,5,5,6,5,4,6,1,51816630
129,1018,1,8223,11,405,403,368,341,330,2,5,6,5,4,5,6,5,6,1,51822330
130,1018,1,8463,8,328,508,365,310,315,2,5,6,5,6,5,4,3,6,1,51846330
131,1018,1,8469,11,552,301,444,240,238,2,5,6,5,5,6,5,4,6,1,51846930
132,1018,1,8484,12,340,252,437,398,454,2,5,6,5,4,5,6,5,6,1,51848430
133,1019,1030,0,103001,397,462,394,387,428,3,5,7,7,6,7,5,1,7,1,203001
134,1019,1,8061,12,618,613,478,464,281,5,6,5,1,5,6,5,4,6,1,52806120
135,1019,1,8064,11,387,642,385,478,671,5,6,5,2,5,6,5,4,6,1,52806420
136,1019,1,8082,12,520,605,520,273,660,5,6,5,2,4,5,6,5,6,1,52808220
137,1019,1,8115,8,475,508,464,664,494,5,6,5,2,3,4,5,6,6,1,52811520
138,1019,1,8415,11,470,418,621,519,510,5,6,5,1,6,5,4,3,6,1,52841520
139,1019,1,8421,11,408,443,343,643,662,5,6,5,1,5,6,5,4,6,1,52842120
140,1020,1045,0,104501,421,418,387,367,421,1,1,7,7,4,7,6,1,7,1,204501
141,1020,1,8061,12,458,454,354,344,208,5,6,5,1,5,6,5,4,6,1,51806120
142,1020,1,8064,11,283,469,281,350,490,5,6,5,2,5,6,5,4,6,1,51806420
143,1020,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
144,1020,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
145,1020,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
146,1020,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
147,1021,1052,0,105201,301,281,324,326,136,7,6,1,1,1,1,7,5,1,7,205201
148,1021,1,8061,12,458,454,354,344,208,5,6,5,1,5,6,5,4,6,1,51806120
149,1021,1,8052,8,416,239,370,531,246,5,6,5,1,6,5,4,3,6,1,51805220
150,1021,1,8157,8,378,260,353,438,480,2,5,6,5,5,6,5,4,6,1,51815730
151,1021,1,8223,11,405,403,368,341,330,2,5,6,5,4,5,6,5,6,1,51822330
152,1021,1,8115,8,475,508,464,664,494,5,6,5,2,3,4,5,6,6,1,52811520
153,1021,1,8421,11,498,541,419,785,809,5,6,5,1,5,6,5,4,6,1,53842120
154,1022,1032,0,103201,442,394,435,353,401,1,4,7,6,3,7,6,2,7,1,203201
155,1022,1,8154,8,366,294,511,511,235,2,5,6,5,5,6,5,4,6,1,51815430
156,1022,1,8157,8,378,260,353,438,480,2,5,6,5,5,6,5,4,6,1,51815730
157,1022,1,8160,11,372,378,467,247,416,2,5,6,5,5,6,5,4,6,1,51816030
158,1022,1,8214,12,362,426,390,308,376,2,5,6,5,4,5,6,5,6,1,51821430
159,1022,1,8217,8,434,382,436,218,401,2,5,6,5,4,5,6,5,6,1,51821730
160,1022,1,8220,12,442,438,424,280,296,2,5,6,5,4,5,6,5,6,1,51822030
161,1023,1035,0,103501,414,380,389,367,319,1,2,7,6,1,6,7,1,7,1,203501
162,1023,1,8163,11,407,456,317,447,238,2,5,6,5,5,6,5,4,6,1,51816330
163,1023,1,8166,12,318,355,432,420,376,2,5,6,5,5,6,5,4,6,1,51816630
164,1023,1,8223,11,405,403,368,341,330,2,5,6,5,4,5,6,5,6,1,51822330
165,1023,1,8463,8,328,508,365,310,315,2,5,6,5,6,5,4,3,6,1,51846330
166,1023,1,8469,11,552,301,444,240,238,2,5,6,5,5,6,5,4,6,1,51846930
167,1023,1,8484,12,340,252,437,398,454,2,5,6,5,4,5,6,5,6,1,51848430
168,1024,1056,0,105601,402,435,413,312,299,2,5,7,7,1,6,7,2,7,2,205601
169,1024,1,8154,8,366,294,511,511,235,2,5,6,5,5,6,5,4,6,1,51815430
170,1024,1,8157,8,378,260,353,438,480,2,5,6,5,5,6,5,4,6,1,51815730
171,1024,1,8160,11,372,378,467,247,416,2,5,6,5,5,6,5,4,6,1,51816030
172,1024,1,8214,12,362,426,390,308,376,2,5,6,5,4,5,6,5,6,1,51821430
173,1024,1,8217,8,434,382,436,218,401,2,5,6,5,4,5,6,5,6,1,51821730
174,1024,1,8220,12,442,438,424,280,296,2,5,6,5,4,5,6,5,6,1,51822030
175,1025,1060,0,106001,421,360,369,346,380,1,5,7,7,2,6,7,4,7,1,206001
176,1025,1,8163,11,407,456,317,447,238,2,5,6,5,5,6,5,4,6,1,51816330
177,1025,1,8166,12,318,355,432,420,376,2,5,6,5,5,6,5,4,6,1,51816630
178,1025,1,8223,11,405,403,368,341,330,2,5,6,5,4,5,6,5,6,1,51822330
179,1025,1,8463,8,328,508,365,310,315,2,5,6,5,6,5,4,3,6,1,51846330
180,1025,1,8469,11,552,301,444,240,238,2,5,6,5,5,6,5,4,6,1,51846930
181,1025,1,8484,12,340,252,437,398,454,2,5,6,5,4,5,6,5,6,1,51848430
182,1026,1010,0,101001,455,370,476,333,374,7,7,3,1,5,7,3,1,7,5,201001
183,1026,1004,0,100401,421,364,414,340,421,6,7,6,5,7,3,1,1,7,4,200401
184,1026,1,8064,11,283,469,281,350,490,5,6,5,2,5,6,5,4,6,1,51806420
185,1026,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
186,1026,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
187,1026,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
188,1026,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
189,1027,1010,0,101001,455,370,476,333,374,7,7,3,1,5,7,3,1,7,5,201001
190,1027,1004,0,100401,421,364,414,340,421,6,7,6,5,7,3,1,1,7,4,200401
191,1027,1002,0,100201,397,312,421,374,326,4,7,7,3,7,5,3,1,7,1,200201
192,1027,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
193,1027,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
194,1027,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
195,1027,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
196,1028,1010,0,101001,455,370,476,333,374,7,7,3,1,5,7,3,1,7,5,201001
197,1028,1004,0,100401,421,364,414,340,421,6,7,6,5,7,3,1,1,7,4,200401
198,1028,1002,0,100201,397,312,421,374,326,4,7,7,3,7,5,3,1,7,1,200201
199,1028,1001,0,100101,354,455,414,346,380,2,5,7,7,1,7,7,5,7,1,200101
200,1028,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
201,1028,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
202,1028,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
203,1029,1010,0,101001,455,370,476,333,374,7,7,3,1,5,7,3,1,7,5,201001
204,1029,1004,0,100401,421,364,414,340,421,6,7,6,5,7,3,1,1,7,4,200401
205,1029,1002,0,100201,397,312,421,374,326,4,7,7,3,7,5,3,1,7,1,200201
206,1029,1001,0,100101,354,455,414,346,380,2,5,7,7,1,7,7,5,7,1,200101
207,1029,1006,0,100601,428,353,441,421,428,3,7,7,6,2,7,7,4,7,6,200601
208,1029,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
209,1029,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
210,1030,1010,0,101001,455,370,476,333,374,7,7,3,1,5,7,3,1,7,5,201001
211,1030,1004,0,100401,421,364,414,340,421,6,7,6,5,7,3,1,1,7,4,200401
212,1030,1002,0,100201,397,312,421,374,326,4,7,7,3,7,5,3,1,7,1,200201
213,1030,1003,0,100301,401,428,408,374,408,2,3,7,6,1,7,4,2,7,1,200301
214,1030,1001,0,100101,354,455,414,346,380,2,5,7,7,1,7,7,5,7,1,200101
215,1030,1007,0,100701,369,476,355,398,371,1,5,7,7,1,6,6,7,7,1,200701
216,1030,1006,0,100601,428,353,441,421,428,3,7,7,6,2,7,7,4,7,6,200601
217,1031,1041,0,104101,462,391,455,414,360,7,6,1,1,7,7,2,1,7,1,204101
218,1031,1008,0,100801,401,379,442,381,374,2,7,7,2,5,6,7,2,7,1,200801
219,1031,1,8064,11,283,469,281,350,490,5,6,5,2,5,6,5,4,6,1,51806420
220,1031,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
221,1031,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
222,1031,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
223,1031,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
224,1032,1041,0,104101,462,391,455,414,360,7,6,1,1,7,7,2,1,7,1,204101
225,1032,1008,0,100801,401,379,442,381,374,2,7,7,2,5,6,7,2,7,1,200801
226,1032,1009,0,100901,386,360,414,387,326,2,7,7,6,7,7,3,1,7,1,200901
227,1032,1,8091,8,418,455,322,430,259,5,6,5,2,4,5,6,5,6,1,51809120
228,1032,1,8121,11,353,481,422,281,334,5,6,5,2,3,4,5,6,6,1,51812120
229,1032,1,8415,11,356,317,471,394,387,5,6,5,1,6,5,4,3,6,1,51841520
230,1032,1,8421,11,302,328,254,476,490,5,6,5,1,5,6,5,4,6,1,51842120
231,1033,1041,0,104101,462,391,455,414,360,7,6,1,1,7,7,2,1,7,1,204101
232,1033,1008,0,100801,401,379,442,381,374,2,7,7,2,5,6,7,2,7,1,200801
233,1033,1009,0,100901,386,360,414,387,326,2,7,7,6,7,7,3,1,7,1,200901
234,1033,1013,0,101301,382,469,376,369,442,1,2,7,7,6,7,4,2,7,3,201301
235,1033,1,8214,12,362,426,390,308,376,2,5,6,5,4,5,6,5,6,1,51821430
236,1033,1,8217,8,434,382,436,218,401,2,5,6,5,4,5,6,5,6,1,51821730
237,1033,1,8220,12,442,438,424,280,296,2,5,6,5,4,5,6,5,6,1,51822030
238,1034,1041,0,104101,462,391,455,414,360,7,6,1,1,7,7,2,1,7,1,204101
239,1034,1008,0,100801,401,379,442,381,374,2,7,7,2,5,6,7,2,7,1,200801
240,1034,1009,0,100901,386,360,414,387,326,2,7,7,6,7,7,3,1,7,1,200901
241,1034,1013,0,101301,382,469,376,369,442,1,2,7,7,6,7,4,2,7,3,201301
242,1034,1014,0,101401,435,408,408,442,421,2,7,7,6,3,7,7,5,7,6,201401
243,1034,1,8469,11,552,301,444,240,238,2,5,6,5,5,6,5,4,6,1,51846930
244,1034,1,8484,12,340,252,437,398,454,2,5,6,5,4,5,6,5,6,1,51848430
245,1035,1041,0,104101,462,391,455,414,360,7,6,1,1,7,7,2,1,7,1,204101
246,1035,1008,0,100801,401,379,442,381,374,2,7,7,2,5,6,7,2,7,1,200801
247,1035,1009,0,100901,386,360,414,387,326,2,7,7,6,7,7,3,1,7,1,200901
248,1035,1013,0,101301,382,469,376,369,442,1,2,7,7,6,7,4,2,7,3,201301
249,1035,1014,0,101401,435,408,408,442,421,2,7,7,6,3,7,7,5,7,6,201401
250,1035,1017,0,101701,388,442,399,374,476,3,5,7,7,6,7,7,5,7,1,201701
251,1035,1045,0,104501,421,418,387,367,421,1,1,7,7,4,7,6,1,7,1,204501
252,1036,1061,0,106101,424,388,394,299,340,7,6,6,5,1,6,7,4,7,1,206101
253,1036,1011,0,101101,414,380,401,428,442,1,7,6,7,2,7,7,2,7,1,201101
254,1036,1,8064,11,283,469,281,350,490,5,6,5,2,5,6,5,4,6,1,51806420
255,1036,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
256,1036,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
257,1036,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
258,1036,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
259,1037,1061,0,106101,424,388,394,299,340,7,6,6,5,1,6,7,4,7,1,206101
260,1037,1011,0,101101,414,380,401,428,442,1,7,6,7,2,7,7,2,7,1,201101
261,1037,1018,0,101801,379,360,402,428,455,5,6,7,3,4,7,7,1,7,1,201801
262,1037,1,8091,8,418,455,322,430,259,5,6,5,2,4,5,6,5,6,1,51809120
263,1037,1,8121,11,353,481,422,281,334,5,6,5,2,3,4,5,6,6,1,51812120
264,1037,1,8415,11,356,317,471,394,387,5,6,5,1,6,5,4,3,6,1,51841520
265,1037,1,8421,11,302,328,254,476,490,5,6,5,1,5,6,5,4,6,1,51842120
266,1038,1061,0,106101,424,388,394,299,340,7,6,6,5,1,6,7,4,7,1,206101
267,1038,1011,0,101101,414,380,401,428,442,1,7,6,7,2,7,7,2,7,1,201101
268,1038,1018,0,101801,379,360,402,428,455,5,6,7,3,4,7,7,1,7,1,201801
269,1038,1030,0,103001,397,462,394,387,428,3,5,7,7,6,7,5,1,7,1,203001
270,1038,1,8214,12,362,426,390,308,376,2,5,6,5,4,5,6,5,6,1,51821430
271,1038,1,8217,8,434,382,436,218,401,2,5,6,5,4,5,6,5,6,1,51821730
272,1038,1,8220,12,442,438,424,280,296,2,5,6,5,4,5,6,5,6,1,51822030
273,1039,1061,0,106101,424,388,394,299,340,7,6,6,5,1,6,7,4,7,1,206101
274,1039,1011,0,101101,414,380,401,428,442,1,7,6,7,2,7,7,2,7,1,201101
275,1039,1018,0,101801,379,360,402,428,455,5,6,7,3,4,7,7,1,7,1,201801
276,1039,1030,0,103001,397,462,394,387,428,3,5,7,7,6,7,5,1,7,1,203001
277,1039,1052,0,105201,301,281,324,326,136,7,6,1,1,1,1,7,5,1,7,205201
278,1039,1,8469,11,552,301,444,240,238,2,5,6,5,5,6,5,4,6,1,51846930
279,1039,1,8484,12,340,252,437,398,454,2,5,6,5,4,5,6,5,6,1,51848430
280,1040,1061,0,106101,424,388,394,299,340,7,6,6,5,1,6,7,4,7,1,206101
281,1040,1011,0,101101,414,380,401,428,442,1,7,6,7,2,7,7,2,7,1,201101
282,1040,1018,0,101801,379,360,402,428,455,5,6,7,3,4,7,7,1,7,1,201801
283,1040,1030,0,103001,397,462,394,387,428,3,5,7,7,6,7,5,1,7,1,203001
284,1040,1052,0,105201,301,281,324,326,136,7,6,1,1,1,1,7,5,1,7,205201
285,1040,1027,0,102701,411,414,386,380,394,3,5,7,6,2,7,7,2,7,1,202701
286,1040,1045,0,104501,421,418,387,367,421,1,1,7,7,4,7,6,1,7,1,204501
287,100101,1078,0,107801,1045,557,653,598,628,7,7,6,1,4,7,4,1,7,3,34107812
288,100101,1053,0,105301,992,453,792,460,594,7,7,5,1,5,6,7,5,7,4,34105312
289,100101,1,8386,8,669,317,707,621,563,7,7,4,1,7,6,5,4,7,1,34010101
290,100101,1,8212,12,756,512,484,415,663,2,7,7,3,5,6,7,6,7,1,34010203
291,100101,1,8374,11,702,581,599,440,521,1,1,7,7,4,5,6,7,7,1,34010304
292,100101,1,8518,11,702,294,558,501,720,7,7,4,1,6,7,6,5,1,7,34010102
293,100101,1,8570,12,739,403,492,472,670,2,7,7,3,7,6,5,4,1,7,34010201
294,100201,1069,0,106901,970,708,624,636,692,3,7,7,3,6,7,2,1,7,1,34106912
295,100201,1076,0,107601,809,842,647,585,678,1,5,7,7,1,5,7,6,7,3,34107612
296,100201,1,8002,8,717,297,573,483,702,7,7,4,1,7,6,5,4,7,1,34010101
297,100201,1,8503,12,651,567,567,477,645,2,7,7,3,4,5,6,7,7,1,34010204
298,100201,1,8329,12,691,570,551,475,527,1,1,7,7,6,7,6,5,7,1,34010302
