id,gacha_id,logo_size_x,logo_size_y
328,30236,0,0
329,30237,0,0
330,30242,0,0
331,30243,0,0
332,30238,0,0
333,30240,0,0
334,30244,0,0
335,30245,0,0
336,30246,0,0
337,30247,0,0
338,30248,0,0
339,50087,0,0
340,50088,0,0
341,30250,0,0
342,30251,0,0
343,50089,0,0
344,50090,0,0
345,50091,0,0
346,30252,0,0
347,30253,0,0
348,50092,0,0
349,50093,0,0
350,50094,0,0
351,50095,0,0
352,30254,0,0
353,50096,0,0
354,30256,0,0
355,30257,0,0
356,30258,0,0
357,30259,0,0
358,20018,0,0
359,30260,0,0
360,30261,0,0
361,50097,0,0
362,30262,0,0
363,50098,0,0
364,30264,0,0
365,30265,0,0
366,30267,0,0
367,50099,0,0
368,50100,0,0
369,50101,0,0
370,50102,0,0
371,50103,0,0
372,30268,0,0
373,30269,0,0
374,30270,0,0
375,30271,0,0
376,50104,0,0
377,30272,0,0
378,50105,0,0
379,30274,0,0
380,30275,0,0
381,20019,0,0
382,20020,0,0
383,30276,0,0
384,30277,0,0
385,50106,0,0
387,30278,0,0
388,30279,0,0
389,30280,0,0
390,50107,0,0
391,30282,0,0
392,30283,0,0
393,30284,0,0
394,30285,0,0
395,30286,0,0
396,50113,0,0
397,50108,0,0
398,50109,0,0
399,50110,0,0
400,50111,0,0
401,50112,0,0
402,50115,0,0
403,50114,0,0
404,30288,0,0
405,30289,0,0
406,30290,0,0
407,30291,0,0
408,30294,0,0
409,50117,0,0
410,30292,0,0
411,30293,0,0
412,50120,0,0
413,50116,0,0
414,30302,0,0
415,50125,0,0
416,30296,0,0
417,30297,0,0
418,50118,0,0
419,50119,0,0
420,30298,0,0
421,30299,0,0
422,30300,0,0
423,30301,0,0
424,50121,0,0
425,50122,0,0
426,50123,0,0
427,50124,0,0
428,50128,0,0
429,50129,0,0
430,30304,0,0
431,30305,0,0
432,20021,0,0
433,30306,0,0
434,30307,0,0
435,30308,0,0
436,30309,0,0
437,30310,0,0
438,50131,0,0
439,30312,0,0
440,30313,0,0
441,30314,0,0
442,30315,0,0
443,50145,0,0
444,50146,0,0
445,50147,0,0
446,50148,0,0
447,50149,0,0
448,50150,0,0
449,50151,0,0
450,50152,0,0
451,50153,0,0
452,50154,0,0
453,50132,0,0
454,50133,0,0
455,50134,0,0
456,50135,0,0
457,50136,0,0
458,50137,0,0
459,50138,0,0
460,50139,0,0
461,50140,0,0
462,50141,0,0
463,50142,0,0
464,50143,0,0
465,50144,0,0
466,20022,0,0
467,20023,0,0
468,20024,0,0
469,20025,0,0
470,30316,0,0
471,50155,0,0
472,20026,0,0
473,20027,0,0
474,50156,0,0
475,50157,0,0
476,30318,0,0
477,30319,0,0
478,30320,0,0
479,30321,0,0
480,30324,0,0
481,50159,0,0
482,30322,0,0
483,30323,0,0
484,30326,0,0
485,30327,0,0
486,30338,0,0
487,30339,0,0
488,30328,0,0
489,30329,0,0
490,30330,0,0
491,30331,0,0
492,50160,0,0
493,30334,0,0
494,50161,0,0
495,30332,0,0
496,30336,0,0
497,30337,0,0
498,30340,0,0
499,30341,0,0
500,30342,0,0
501,30343,0,0
502,30344,0,0
503,50166,0,0
504,50162,0,0
505,50163,0,0
506,50164,0,0
507,50165,0,0
508,30346,0,0
509,30347,0,0
510,30350,0,0
511,50171,0,0
512,30348,0,0
513,30349,0,0
514,50167,0,0
515,50168,0,0
516,50169,0,0
517,30352,0,0
518,30353,0,0
519,30354,0,0
520,30355,0,0
521,30356,0,0
522,30357,0,0
523,30358,0,0
524,50173,0,0
525,50172,0,0
526,30360,0,0
527,30361,0,0
528,30362,0,0
529,30363,0,0
530,50174,0,0
531,50175,0,0
532,50176,0,0
533,50177,0,0
534,50178,0,0
535,30364,0,0
536,30365,0,0
537,30366,0,0
538,50179,0,0
539,30368,0,0
540,30369,0,0
541,30370,0,0
542,30371,0,0
543,30372,0,0
544,30373,0,0
545,30374,0,0
546,50180,0,0
547,50181,0,0
548,50182,0,0
549,50183,0,0
550,50184,0,0
551,30380,0,0
552,30381,0,0
553,30376,0,0
554,30377,0,0
555,30378,0,0
556,50185,0,0
557,50186,0,0
558,50187,0,0
559,30384,0,0
560,50188,0,0
561,30382,0,0
562,30383,0,0
563,50189,0,0
564,30386,0,0
565,30387,0,0
566,30388,0,0
567,30389,0,0
568,30390,0,0
569,30391,0,0
570,30392,0,0
571,50191,0,0
572,50190,0,0
573,30394,0,0
574,30395,0,0
575,30396,0,0
576,30397,0,0
577,30398,0,0
578,30399,0,0
579,50194,0,0
580,50195,0,0
581,50196,0,0
582,50197,0,0
583,50192,0,0
584,50193,0,0
585,30400,0,0
586,50198,0,0
587,30402,0,0
588,30404,0,0
589,30406,0,0
590,30407,0,0
591,30408,0,0
592,30409,0,0
593,30410,0,0
594,30411,0,0
595,30412,0,0
596,50199,0,0
597,20032,0,0
598,50200,0,0
599,50201,0,0
600,50202,0,0
601,50203,0,0
602,50204,0,0
603,50205,0,0
604,50206,0,0
605,50207,0,0
606,50208,0,0
607,50209,0,0
608,50210,0,0
609,50211,0,0
610,50212,0,0
611,30414,0,0
612,30415,0,0
613,50213,0,0
614,50214,0,0
615,50215,0,0
616,50216,0,0
617,50217,0,0
618,50218,0,0
619,50219,0,0
620,50220,0,0
621,50221,0,0
622,50222,0,0
623,30416,0,0
624,30417,0,0
625,20028,0,0
626,20029,0,0
627,20030,0,0
628,20031,0,0
629,30418,0,0
630,50223,0,0
631,30420,0,0
632,30421,0,0
633,50224,0,0
634,50225,0,0
635,30422,0,0
636,30423,0,0
637,30424,0,0
638,30425,0,0
639,30426,0,0
640,50226,0,0
641,30428,0,0
642,30429,0,0
643,30430,0,0
644,30431,0,0
645,30432,0,0
646,30433,0,0
647,50227,0,0
648,30434,0,0
649,30436,0,0
650,50228,0,0
651,30438,0,0
652,30439,0,0
653,30440,0,0
654,30441,0,0
655,30442,0,0
656,30443,0,0
657,30444,0,0
658,50229,0,0
659,30446,0,0
660,30447,0,0
661,50230,0,0
662,50231,0,0
663,50232,0,0
664,50233,0,0
665,50236,0,0
666,50237,0,0
667,50238,0,0
668,30448,0,0
669,30449,0,0
671,30450,0,0
672,50234,0,0
