id,motion_root,wipe_id,sub_id,type,default_length,offset_length,vertical_extend_length,ignore_tap_length,se_name,sheet_name,use_mini,mini_motion_name,mini_motion_start,mini_motion_end,emotion_label,emotion_label_start,emotion_label_end,emotion_icon,emotion_icon_start,emotion_icon_end
50,,3,1,0,59,0,0,14,snd_sfx_story_wipe_10,snd_sfx_story_wipe_10,0,,0,0,,,,,,
51,,28,1,6,120,0,0,84,,,0,,0,0,,,,,,
52,,0,5,5,101,0,0,25,,,0,,0,0,,,,,,
53,,29,1,6,120,0,0,60,,,0,,0,0,,,,,,
54,,30,1,6,120,0,0,65,,,0,,0,0,,,,,,
55,,31,1,6,120,0,0,64,,,0,,0,0,,,,,,
56,,32,1,6,120,0,0,60,,,0,,0,0,,,,,,
57,,33,1,6,120,0,0,66,,,0,,0,0,,,,,,
58,,0,6,5,101,0,0,57,,,0,,0,0,,,,,,
59,,34,1,6,120,0,0,52,,,0,,0,0,,,,,,
60,,35,1,6,120,0,0,65,,,0,,0,0,,,,,,
61,,36,1,6,120,0,0,66,,,0,,0,0,,,,,,
62,,0,7,5,101,0,0,43,,,0,,0,0,,,,,,
63,,37,1,6,120,0,0,65,,,0,,0,0,,,,,,
64,,38,1,6,120,0,0,59,,,0,,0,0,,,,,,
65,,39,1,6,120,0,0,47,,,0,,0,0,,,,,,
66,,0,8,5,101,0,0,42,,,0,,0,0,,,,,,
67,,40,1,6,120,0,0,62,,,0,,0,0,,,,,,
68,,41,1,6,120,0,0,66,,,0,,0,0,,,,,,
69,,42,1,6,120,0,0,66,,,0,,0,0,,,,,,
70,,0,9,5,101,0,0,25,,,0,,0,0,,,,,,
71,,43,1,6,120,0,0,66,,,0,,0,0,,,,,,
72,,44,1,6,120,0,0,66,,,0,,0,0,,,,,,
73,,45,1,6,120,0,0,58,,,0,,0,0,,,,,,
74,,0,10,5,101,0,0,42,,,0,,0,0,,,,,,
75,,46,1,6,120,0,0,58,,,0,,0,0,,,,,,
76,,47,1,6,120,0,0,67,,,0,,0,0,,,,,,
77,,48,1,6,120,0,0,62,,,0,,0,0,,,,,,
78,,0,11,5,101,0,0,53,,,0,,0,0,,,,,,
79,,49,1,6,120,0,0,64,,,0,,0,0,,,,,,
80,,50,1,6,120,0,0,62,,,0,,0,0,,,,,,
81,,51,1,6,120,0,0,70,,,0,,0,0,,,,,,
82,,0,12,5,101,0,0,54,,,0,,0,0,,,,,,
83,,52,1,6,120,0,0,56,,,0,,0,0,,,,,,
84,,53,1,6,120,0,0,75,,,0,,0,0,,,,,,
85,,54,1,6,120,0,0,57,,,0,,0,0,,,,,,
86,,0,13,5,101,0,0,54,,,0,,0,0,,,,,,
