id,upgrade_type,description_id,num,sub_num,timing_type,count_type
10050107,1,100501221,1,1,1,1
10050108,1,100501221,1,2,1,1
10050109,1,100501221,2,1,1,1
10050201,1,100502111,1,1,1,1
10050202,1,100502111,2,1,1,1
10050203,1,100502111,3,1,1,1
10050204,1,100502211,1,1,2,1
10050205,1,100502211,1,2,2,1
10050206,1,100502211,2,1,1,1
10050207,1,100502121,1,1,1,1
10050208,1,100502121,1,2,2,1
10050209,1,100502121,2,1,1,1
10050301,1,100503111,1,1,2,1
10050302,1,100503111,1,2,1,1
10050303,1,100503111,2,1,1,1
10050304,1,100503211,1,1,1,1
10050305,1,100503211,2,1,1,1
10050306,1,100503211,2,2,1,1
10060101,1,100601111,1,1,2,2
10060102,1,100601111,1,2,2,1
10060103,1,100601211,1,1,2,1
10060104,1,100601211,1,2,2,1
10060105,1,100601211,2,1,2,1
10060106,1,100601121,1,1,2,1
10060107,1,100601121,1,2,1,1
10060201,1,100602111,1,1,2,2
10060202,1,100602111,1,2,2,1
10060203,1,100602111,2,1,1,1
10060204,1,100602211,1,1,2,1
10060205,1,100602211,1,2,1,1
10060206,1,100602211,2,1,2,1
10060301,1,100603111,1,1,1,1
10060302,1,100603111,1,2,1,1
10060303,1,100603111,2,1,1,1
10060304,1,100603111,2,2,1,1
10060305,1,100603211,1,1,2,1
10060306,1,100603211,1,2,2,1
10060307,1,100603211,2,1,1,1
10060308,1,100603221,1,1,2,2
10060309,1,100603221,1,2,1,1
10060310,1,100603221,2,1,1,1
10070101,1,100701111,1,1,2,2
10070102,1,100701111,1,2,1,1
10070103,1,100701111,2,1,1,1
10070105,1,100701211,1,1,1,1
10070106,1,100701211,2,1,2,1
10070201,1,100702111,1,1,1,1
10070202,1,100702111,1,2,1,1
10070203,1,100702111,2,1,1,1
10070204,1,100702111,2,2,1,1
10070205,1,100702211,1,1,1,1
10070206,1,100702211,1,2,1,1
10070207,1,100702211,2,1,1,1
10070208,1,100702221,1,1,2,1
10070209,1,100702221,1,2,1,1
10070301,1,100703111,1,1,1,1
10070302,1,100703111,1,2,1,1
10070303,1,100703111,2,1,1,1
10070304,1,100703111,2,2,1,1
10070305,1,100703211,1,1,2,1
10070306,1,100703211,1,2,1,1
10070307,1,100703211,2,1,2,1
10070308,1,100703211,2,2,1,1
10080101,1,100801111,1,1,2,1
10080102,1,100801111,1,2,1,1
10080103,1,100801111,2,1,1,1
10080104,1,100801211,1,1,2,1
10080105,1,100801211,1,2,1,1
10080106,1,100801211,2,1,1,1
10080201,1,100802111,1,1,2,1
10080202,1,100802211,1,1,1,1
10080203,1,100802211,2,1,1,1
10090101,1,100901111,1,1,2,1
10090102,1,100901111,1,2,2,1
10090103,1,100901111,2,1,1,1
10090104,1,100901211,1,1,2,1
10090105,1,100901211,2,1,1,1
10090201,1,100902111,1,1,1,1
10090202,1,100902111,1,2,1,1
10090203,1,100902111,2,1,1,1
10090204,1,100902111,2,2,1,1
10090205,1,100902211,1,1,2,1
10090206,1,100902211,2,1,1,1
10090207,1,100902121,1,1,1,1
10090208,1,100902121,2,1,2,1
10100101,1,101001111,1,1,1,1
10100102,1,101001111,2,1,1,1
10100103,1,101001211,1,1,2,1
10100104,1,101001211,1,2,2,1
10100105,1,101001211,2,1,1,1
10100201,1,101002111,1,1,2,1
10100202,1,101002211,1,1,2,1
10100203,1,101002211,1,2,2,1
10100204,1,101002211,2,1,1,1
10100301,1,101003111,1,1,1,1
10100302,1,101003111,2,1,1,1
10100303,1,101003111,2,2,1,1
10100304,1,101003211,1,1,1,1
10100305,1,101003211,1,2,1,1
10100306,1,101003211,2,1,2,1
10110101,1,101101111,1,1,1,1
10110102,1,101101111,2,1,1,1
10110103,1,101101211,1,1,2,1
10110104,1,101101211,2,1,2,1
10110105,1,101101211,3,1,2,1
10110201,1,101102111,1,1,1,1
10110202,1,101102111,1,2,1,1
10110203,1,101102111,2,1,1,1
10110204,1,101102211,1,1,1,1
10110205,1,101102211,1,2,1,1
10110206,1,101102211,2,1,1,1
10110301,1,101103111,1,1,1,1
10110302,1,101103111,1,2,1,1
10110303,1,101103111,2,1,1,1
10110304,1,101103211,1,1,2,1
10110305,1,101103211,1,2,2,1
10110306,1,101103211,2,1,1,1
10110307,1,101103211,2,2,1,1
10120101,1,101201111,1,1,2,1
10120102,1,101201111,1,2,1,1
10120103,1,101201111,2,1,1,1
10120104,1,101201211,1,1,2,1
10120105,1,101201121,1,1,2,1
10120106,1,101201121,1,2,1,1
10120107,1,101201121,2,1,1,1
10120201,1,101202111,1,1,2,1
10120202,1,101202111,1,2,1,1
10120203,1,101202111,2,1,1,1
10120204,1,101202111,2,2,1,1
10120205,1,101202211,1,1,2,2
10120206,1,101202211,1,2,1,1
10120207,1,101202211,2,1,1,1
10120208,1,101202221,1,1,2,1
10120209,1,101202221,1,2,2,1
10120210,1,101202221,2,1,1,1
10120211,1,101202221,2,2,1,1
10130101,1,101301111,1,1,2,1
10130102,1,101301111,1,2,2,1
10130103,1,101301111,2,1,1,1
10130104,1,101301211,1,1,2,2
10130105,1,101301211,1,2,1,1
10130106,1,101301211,2,1,1,1
10130201,1,101302111,1,1,2,1
10130202,1,101302111,2,1,1,1
10130203,1,101302211,1,1,1,1
10130204,1,101302211,2,1,1,1
10130301,1,101303111,1,1,2,1
10130302,1,101303111,1,2,2,1
10130303,1,101303111,2,1,1,1
10130304,1,101303211,1,1,1,1
10130305,1,101303211,1,2,2,1
10130306,1,101303211,2,1,1,1
10140101,1,101401111,1,1,2,1
10140102,1,101401111,2,1,1,1
10140103,1,101401211,1,1,2,1
10140104,1,101401211,2,1,1,1
10140201,1,101402111,1,1,2,1
10140202,1,101402111,1,2,2,1
10140203,1,101402111,2,1,1,1
10140204,1,101402211,1,1,2,1
10140205,1,101402211,2,1,1,1
10140206,1,101402121,1,1,2,1
10140207,1,101402121,1,2,1,1
10140208,1,101402121,2,1,1,1
10150101,1,101501111,1,1,2,2
10150102,1,101501111,1,2,2,1
10150103,1,101501111,2,1,1,1
10150104,1,101501211,1,1,2,1
10150105,1,101501211,2,1,1,1
10150201,1,101502111,1,1,2,2
10150202,1,101502111,1,2,1,1
10150203,1,101502111,2,1,1,1
10150204,1,101502211,1,1,2,1
10150205,1,101502211,1,2,1,1
10150206,1,101502211,2,1,1,1
10150207,1,101502121,1,1,2,1
10150208,1,101502121,1,2,2,1
10150209,1,101502121,2,1,1,1
10160101,1,101601111,1,1,2,1
10160102,1,101601111,1,2,1,1
10160103,1,101601111,2,1,1,1
10160104,1,101601211,1,1,2,2
10160105,1,101601211,1,2,2,1
10160106,1,101601211,2,1,1,1
10160201,1,101602111,1,1,2,2
10160202,1,101602111,1,2,1,1
10160203,1,101602111,2,1,1,1
10160204,1,101602111,2,2,1,1
10160205,1,101602211,1,1,2,1
10160206,1,101602211,2,1,1,1
10160207,1,101602211,2,2,1,1
10170101,1,101701111,1,1,2,2
10170102,1,101701111,1,2,2,1
10170103,1,101701111,2,1,1,1
10170104,1,101701111,3,1,1,1
10170105,1,101701211,1,1,2,1
10170106,1,101701211,1,2,1,1
10170107,1,101701211,2,1,1,1
10170108,1,101701211,2,2,1,1
10170109,1,101701121,1,1,1,1
10170110,1,101701121,1,2,2,1
10170111,1,101701121,2,1,1,1
10170201,1,101702111,1,1,2,1
10170202,1,101702111,1,2,2,1
10170203,1,101702111,2,1,1,1
10170204,1,101702211,1,1,1,1
10170205,1,101702211,1,2,1,1
10170206,1,101702211,2,1,1,1
10180101,1,101801111,1,1,2,1
10180102,1,101801111,1,2,1,1
10180103,1,101801111,2,1,1,1
10180104,1,101801211,1,1,1,1
10180105,1,101801211,1,2,1,1
10180106,1,101801211,2,1,1,1
10180201,1,101802111,1,1,2,1
10180202,1,101802111,1,2,2,1
10180203,1,101802111,2,1,1,1
10180204,1,101802211,1,1,1,1
10180205,1,101802211,1,2,1,1
10180206,1,101802211,2,1,1,1
10180207,1,101802221,1,1,1,1
10180208,1,101802221,2,1,1,1
10190101,1,101901111,1,1,2,1
10190102,1,101901111,1,2,2,1
10190103,1,101901111,2,1,1,1
10190104,1,101901211,1,1,1,1
10190105,1,101901211,1,2,1,1
10190106,1,101901211,2,1,1,1
10190107,1,101901211,2,2,1,1
10190108,1,101901211,3,1,1,1
10190109,1,101901221,1,1,2,1
10190110,1,101901221,1,2,1,1
10190111,1,101901221,2,1,1,1
10190201,1,101902111,1,1,2,2
10190202,1,101902111,1,2,1,1
10190203,1,101902111,2,1,1,1
10190204,1,101902211,1,1,2,1
10190205,1,101902211,2,1,1,1
10190206,1,101902211,2,2,1,1
10190207,1,101902121,1,1,1,1
10190208,1,101902121,1,2,1,1
10190209,1,101902121,2,1,1,1
10200101,1,102001111,1,1,2,1
10200102,1,102001111,1,2,2,1
10200103,1,102001111,2,1,1,1
10200104,1,102001111,2,2,2,1
10200105,1,102001211,1,1,1,1
10200106,1,102001211,1,2,1,1
10200107,1,102001211,2,1,1,1
10200108,1,102001211,3,1,1,1
10200109,1,102001121,1,1,2,1
10200110,1,102001121,1,2,1,1
10200111,1,102001121,2,1,1,1
10200201,1,102002111,1,1,2,1
10200202,1,102002111,1,2,2,1
10200203,1,102002111,2,1,1,1
10200204,1,102002211,1,1,1,1
10200205,1,102002211,1,2,1,1
10200206,1,102002211,2,1,1,1
10200207,1,102002211,2,2,1,1
10200208,1,102002121,1,1,1,1
10200209,1,102002121,1,2,1,1
10210101,1,102101111,1,1,1,1
10210102,1,102101111,1,2,1,1
10210103,1,102101111,2,1,1,1
10210104,1,102101211,1,1,1,1
10210105,1,102101211,1,2,1,1
10210106,1,102101211,2,1,2,1
10210107,1,102101121,1,1,2,1
10210108,1,102101121,2,1,1,1
10210201,1,102102111,1,1,1,1
10210202,1,102102111,2,1,1,1
10210203,1,102102211,1,1,2,1
10210204,1,102102211,2,1,1,1
10210205,1,102102221,1,1,2,1
10210206,1,102102221,2,1,1,1
10220102,1,102201111,1,1,1,1
10220103,1,102201111,2,1,1,1
10220104,1,102201211,1,1,2,1
10220105,1,102201211,1,2,1,1
10220106,1,102201211,2,1,1,1
10220107,1,102201121,1,1,1,1
10220108,1,102201121,1,2,1,1
10220109,1,102201121,2,1,1,1
10220201,1,102202111,1,1,2,1
10220202,1,102202111,1,2,1,1
10220203,1,102202111,2,1,1,1
10220205,1,102202211,1,1,2,1
10220206,1,102202211,2,1,1,1
10220207,1,102202221,1,1,1,1
10220208,1,102202221,1,2,1,1
10220209,1,102202221,2,1,1,1
10230101,1,102301111,1,1,2,1
10230102,1,102301111,1,2,1,1
10230103,1,102301111,2,1,1,1
10230104,1,102301211,1,1,2,1
10230105,1,102301211,1,2,2,1
10230106,1,102301211,2,1,1,1
10230201,1,102302111,1,1,2,1
10230202,1,102302111,2,1,1,1
10230203,1,102302211,1,1,1,1
10230204,1,102302211,2,1,1,1
10230301,1,102303111,1,1,1,1
10230302,1,102303111,1,2,1,1
10230303,1,102303111,2,1,1,1
10230304,1,102303211,1,1,2,2
10230305,1,102303211,1,2,2,1
10230306,1,102303211,2,1,1,1
10240101,1,102401111,1,1,1,1
10240102,1,102401111,1,2,1,1
10240103,1,102401211,1,1,2,1
10240104,1,102401211,1,2,2,1
10240105,1,102401211,2,1,1,1
10240201,1,102402111,1,1,1,1
10240202,1,102402111,2,1,1,1
10240203,1,102402211,1,1,1,1
10240204,1,102402211,1,2,1,1
10240205,1,102402211,2,1,1,1
10240206,1,102402211,2,2,1,1
10240301,1,102403111,1,1,1,1
10240302,1,102403111,1,2,1,1
10240303,1,102403111,2,1,1,1
10240304,1,102403211,1,1,1,1
10240305,1,102403211,1,2,1,1
10240306,1,102403211,2,1,1,1
10250101,1,102501111,1,1,2,1
10250102,1,102501111,2,1,1,1
10250103,1,102501211,1,1,1,1
10250104,1,102501211,1,2,1,1
10250201,1,102502111,1,1,1,1
10250202,1,102502111,1,2,1,1
10250203,1,102502111,2,1,1,1
10250204,1,102502211,1,1,2,1
10250205,1,102502211,1,2,1,1
10250206,1,102502211,2,1,1,1
10250301,1,102503111,1,1,1,1
10250302,1,102503111,2,1,1,1
10250303,1,102503111,2,2,1,1
10250304,1,102503211,1,1,2,1
10250305,1,102503211,2,1,1,1
10250306,1,102503211,2,2,1,1
10260101,1,102601111,1,1,2,1
10260102,1,102601111,1,2,2,1
10260103,1,102601111,2,1,1,1
10260104,1,102601211,1,1,2,1
10260105,1,102601211,1,2,1,1
10260106,1,102601211,2,1,1,1
10260201,1,102602111,1,1,1,1
10260202,1,102602111,1,2,1,1
10260203,1,102602111,2,1,1,1
10260204,1,102602211,1,1,2,2
10260205,1,102602211,1,2,1,1
10260206,1,102602211,2,1,1,1
10260207,1,102602121,1,1,2,2
10260208,1,102602121,1,2,1,1
10260209,1,102602121,2,1,2,1
10270101,1,102701111,1,1,2,1
10270102,1,102701111,2,1,1,1
10270103,1,102701211,1,1,2,2
10270104,1,102701211,1,2,1,1
10270105,1,102701211,2,1,1,1
10270201,1,102702111,1,1,2,2
10270202,1,102702111,1,2,1,1
10270203,1,102702111,2,1,1,1
10270204,1,102702211,1,1,2,1
10270205,1,102702211,1,2,1,1
10270206,1,102702221,1,1,2,2
10270207,1,102702221,1,2,1,1
10270208,1,102702221,2,1,1,1
10280101,1,102801111,1,1,2,1
10280102,1,102801111,2,1,1,1
10280103,1,102801211,1,1,2,2
10280104,1,102801211,1,2,1,1
10280105,1,102801211,2,1,1,1
10280106,1,102801221,1,1,1,1
10280107,1,102801221,1,2,1,1
10280108,1,102801221,2,1,1,1
10280201,1,102802111,1,1,1,1
10280202,1,102802111,2,1,1,1
10280203,1,102802111,2,2,1,1
10280204,1,102802211,1,1,2,2
10280205,1,102802211,1,2,1,1
10280206,1,102802211,2,1,2,1
10290101,1,102901111,1,1,2,1
10290102,1,102901111,1,2,1,1
10290103,1,102901111,2,1,2,1
10290104,1,102901111,2,2,1,1
10290105,1,102901111,3,1,2,1
10290106,1,102901111,3,2,1,1
10290107,1,102901211,1,1,1,1
10290108,1,102901211,2,1,1,1
10290109,1,102901221,1,1,2,1
10290110,1,102901221,2,1,1,1
10290201,1,102902111,1,1,2,1
10290202,1,102902111,2,1,1,1
10290203,1,102902211,1,1,2,2
10290204,1,102902211,1,2,1,1
10290205,1,102902211,2,1,1,1
10290206,1,102902221,1,1,1,1
10290207,1,102902221,1,2,1,1
10290208,1,102902221,2,1,1,1
10300101,1,103001111,1,1,1,1
10300102,1,103001111,2,1,1,1
10300103,1,103001211,1,1,2,1
10300104,1,103001211,1,2,1,1
10300105,1,103001211,2,1,1,1
10300201,1,103002111,1,1,1,1
10300202,1,103002111,1,2,1,1
10300203,1,103002111,2,1,1,1
10300204,1,103002211,1,1,1,1
10300205,1,103002211,2,1,1,1
10300301,1,103003111,1,1,1,1
10300302,1,103003111,1,2,1,1
10300303,1,103003111,2,1,1,1
10300304,1,103003211,1,1,2,1
10300305,1,103003211,2,1,1,1
10310101,1,103101111,1,1,2,1
10310102,1,103101111,1,2,2,1
10310103,1,103101111,2,1,1,1
10310104,1,103101211,1,1,1,1
10310105,1,103101211,2,1,1,1
10310201,1,103102111,1,1,2,1
10310202,1,103102111,1,2,1,1
10310203,1,103102211,1,1,2,2
10310204,1,103102211,1,2,1,1
10310205,1,103102211,2,1,1,1
10310301,1,103103111,1,1,2,1
10310302,1,103103111,1,2,1,1
10310303,1,103103211,1,1,2,1
10310304,1,103103211,1,2,1,1
10310305,1,103103211,2,1,1,1
10320101,1,103201111,1,1,1,1
10320102,1,103201111,1,2,1,1
10320103,1,103201211,1,1,2,1
10320104,1,103201211,1,2,1,1
10320105,1,103201211,2,1,1,1
10320201,1,103202111,1,1,1,1
10320202,1,103202111,2,1,1,1
10320203,1,103202111,2,2,1,1
10320204,1,103202211,1,1,2,1
10320205,1,103202211,1,2,1,1
10320206,1,103202211,2,1,1,1
10320301,1,103203111,1,1,2,1
10320302,1,103203111,1,2,1,1
10320303,1,103203211,1,1,1,1
10320304,1,103203211,2,1,1,1
10320305,1,103203211,2,2,1,1
10330101,1,103301111,1,1,2,1
10330102,1,103301111,1,2,2,1
10330103,1,103301111,2,1,1,1
10330104,1,103301211,1,1,1,1
10330105,1,103301211,2,1,1,1
10330201,1,103302111,1,1,2,1
10330202,1,103302111,2,1,1,1
10330203,1,103302211,1,1,1,1
10330204,1,103302211,1,2,1,1
10330205,1,103302211,2,1,1,1
10340101,1,103401111,1,1,2,2
10340102,1,103401111,1,2,1,1
10340103,1,103401111,2,1,2,1
10340104,1,103401111,2,2,2,1
10340105,1,103401211,1,1,1,1
10340106,1,103401211,2,1,1,1
10340107,1,103401221,1,1,2,1
10340108,1,103401221,1,2,1,1
10340109,1,103401221,2,1,1,1
10340110,1,103401221,2,2,1,1
10340201,1,103402111,1,1,2,2
10340202,1,103402111,1,2,1,1
10340203,1,103402111,2,1,1,1
10340204,1,103402211,1,1,2,1
10340205,1,103402211,1,2,1,1
10340206,1,103402211,2,1,1,1
10340207,1,103402221,1,1,2,1
10340208,1,103402221,1,2,1,1
10340209,1,103402221,2,1,1,1
10340210,1,103402221,2,2,1,1
10350101,1,103501111,1,1,2,1
10350102,1,103501111,1,2,1,1
10350103,1,103501111,2,1,1,1
10350104,1,103501211,1,1,1,1
10350105,1,103501211,1,2,1,1
10350106,1,103501211,2,1,1,1
10350201,1,103502111,1,1,1,1
10350202,1,103502111,1,2,1,1
10350203,1,103502211,1,1,2,1
10350204,1,103502211,2,1,1,1
10350301,1,103503111,1,1,2,1
10350302,1,103503111,1,2,1,1
10350303,1,103503111,2,1,1,1
10350304,1,103503211,1,1,2,1
10350305,1,103503211,1,2,1,1
10360101,1,103601111,1,1,2,1
10360102,1,103601111,1,2,1,1
10360103,1,103601111,2,1,1,1
10360104,1,103601211,1,1,2,1
10360105,1,103601211,1,2,1,1
10360106,1,103601211,2,1,2,1
10360107,1,103601211,2,2,1,1
10360201,1,103602111,1,1,1,1
10360202,1,103602111,1,2,1,1
10360203,1,103602111,2,1,1,1
10360204,1,103602211,1,1,2,1
10360205,1,103602211,1,2,1,1
10360206,1,103602211,2,1,1,1
10360207,1,103602121,1,1,1,1
10360208,1,103602121,1,2,2,1
10360209,1,103602121,2,1,1,1
10370101,1,103701111,1,1,2,1
10370102,1,103701111,1,2,1,1
10370103,1,103701111,2,1,1,1
10370104,1,103701211,1,1,2,1
10370105,1,103701211,1,2,1,1
10370106,1,103701211,2,1,1,1
10370201,1,103702111,1,1,1,1
10370202,1,103702111,1,2,1,1
10370203,1,103702211,1,1,2,2
10370204,1,103702211,1,2,1,1
10370205,1,103702211,2,1,1,1
10370206,1,103702121,1,1,2,2
10370207,1,103702121,1,2,1,1
10370208,1,103702121,2,1,2,1
10370209,1,103702121,2,2,1,1
10370301,1,103703111,1,1,2,1
10370302,1,103703111,2,1,1,1
10370303,1,103703211,1,1,1,1
10370304,1,103703211,1,2,1,1
10370305,1,103703211,2,1,1,1
10380101,1,103801111,1,1,2,1
10380102,1,103801111,1,2,1,1
10380103,1,103801111,2,1,2,1
10380104,1,103801111,2,2,1,1
10380105,1,103801111,3,1,2,1
10380106,1,103801111,3,2,1,1
10380107,1,103801211,1,1,1,1
10380108,1,103801211,1,2,1,1
10380109,1,103801211,2,1,2,1
10380201,1,103802111,1,1,1,1
10380202,1,103802111,1,2,1,1
10380203,1,103802111,2,1,1,1
10380204,1,103802211,1,1,1,1
10380205,1,103802211,1,2,1,1
10380206,1,103802211,2,1,1,1
10380207,1,103802211,2,2,1,1
10380208,1,103802121,1,1,2,1
10380209,1,103802121,2,1,1,1
10390101,1,103901111,1,1,2,1
10390102,1,103901111,1,2,1,1
10390103,1,103901111,2,1,2,1
10390104,1,103901111,2,2,1,1
10390105,1,103901211,1,1,2,2
10390106,1,103901211,1,2,1,1
10390201,1,103902111,1,1,2,1
10390202,1,103902111,1,2,1,1
10390203,1,103902111,2,1,1,1
10390204,1,103902211,1,1,2,2
10390205,1,103902211,1,2,1,1
10390206,1,103902211,2,1,1,1
10390207,1,103902211,2,2,1,1
10390208,1,103902121,1,1,1,1
10390209,1,103902121,2,1,2,1
10390210,1,103902121,2,2,1,1
10400102,1,104001111,1,1,1,1
10400103,1,104001111,2,1,1,1
10400104,1,104001211,1,1,2,2
10400105,1,104001211,1,2,2,1
10400106,1,104001211,2,1,1,1
10400107,1,104001221,1,1,1,1
10400108,1,104001221,1,2,1,1
10400109,1,104001221,2,1,1,1
10400201,1,104002111,1,1,1,1
10400202,1,104002111,1,2,1,1
10400203,1,104002111,2,1,1,1
10400205,1,104002211,1,1,2,1
10400206,1,104002211,2,1,1,1
10400301,1,104003111,1,1,2,1
10400302,1,104003111,1,2,1,1
10400303,1,104003111,2,1,1,1
10400304,1,104003211,1,1,2,2
10400305,1,104003211,1,2,1,1
10400306,1,104003211,2,1,1,1
10410101,1,104101111,1,1,2,1
10410102,1,104101111,1,2,1,1
10410103,1,104101211,1,1,2,2
10410104,1,104101211,1,2,1,1
10410105,1,104101211,2,1,2,2
10410106,1,104101211,2,2,1,1
10410201,1,104102111,1,1,2,1
10410202,1,104102111,1,2,1,1
10410203,1,104102111,2,1,1,1
10410204,1,104102211,1,1,1,1
10410205,1,104102211,1,2,1,1
10410206,1,104102211,2,1,1,1
10410301,1,104103111,1,1,2,1
10410302,1,104103111,1,2,1,1
10410303,1,104103111,2,1,1,1
10410304,1,104103211,1,1,1,1
10410305,1,104103211,1,2,1,1
10410306,1,104103211,2,1,1,1
10420101,1,104201111,1,1,2,1
10420102,1,104201111,1,2,2,1
10420103,1,104201111,2,1,1,1
10420105,1,104201211,1,1,1,1
10420106,1,104201211,2,1,1,1
10420107,1,104201211,2,2,1,1
10420201,1,104202111,1,1,2,1
10420202,1,104202111,1,2,2,1
10420203,1,104202111,2,1,1,1
10420204,1,104202211,1,1,1,1
10420205,1,104202211,1,2,1,1
10420206,1,104202211,2,1,1,1
10430101,1,104301111,1,1,2,2
10430102,1,104301111,1,2,2,1
10430103,1,104301111,2,1,1,1
10430104,1,104301211,1,1,1,1
10430105,1,104301211,1,2,1,1
10430106,1,104301211,2,1,1,1
10430107,1,104301221,1,1,2,1
10430108,1,104301221,1,2,2,1
10430109,1,104301221,2,1,1,1
10440102,1,104401111,1,1,1,1
10440103,1,104401211,1,1,2,1
10440104,1,104401211,1,2,1,1
10440105,1,104401211,2,1,2,1
10440106,1,104401211,2,2,1,1
10440107,1,104401221,1,1,2,1
10440108,1,104401221,1,2,1,1
10440109,1,104401221,2,1,2,1
10440110,1,104401221,2,2,1,1
10440201,1,104402111,1,1,2,1
10440202,1,104402111,1,2,1,1
10440203,1,104402111,2,1,1,1
10440204,1,104402211,1,1,1,1
10440205,1,104402211,1,2,1,1
10440206,1,104402211,2,1,1,1
10440207,1,104402121,1,1,1,1
10440208,1,104402121,2,1,1,1
10450101,1,104501111,1,1,2,2
10450102,1,104501111,1,2,1,1
10450103,1,104501111,2,1,1,1
10450104,1,104501211,1,1,2,1
10450105,1,104501211,1,2,1,1
10450201,1,104502111,1,1,2,1
10450202,1,104502111,1,2,1,1
10450203,1,104502111,2,1,1,1
10450204,1,104502111,2,2,1,1
10450205,1,104502211,1,1,2,2
10450206,1,104502211,1,2,1,1
10450207,1,104502211,2,1,1,1
10450301,1,104503111,1,1,1,1
10450302,1,104503111,2,1,1,1
10450303,1,104503211,1,1,2,1
10450304,1,104503211,1,2,1,1
10460101,1,104601111,1,1,2,2
10460102,1,104601111,1,2,2,1
10460103,1,104601211,1,1,1,1
10460104,1,104601211,1,2,1,1
10460105,1,104601211,2,1,1,1
10460106,1,104601121,1,1,1,1
10460107,1,104601121,1,2,1,1
10460108,1,104601121,2,1,1,1
10460109,1,104601121,2,2,1,1
10460201,1,104602111,1,1,2,2
10460202,1,104602111,1,2,1,1
10460203,1,104602111,2,1,1,1
10460204,1,104602211,1,1,2,2
10460205,1,104602211,1,2,1,1
10460206,1,104602211,2,1,2,1
10460207,1,104602211,2,2,1,1
10460208,1,104602121,1,1,1,1
10460209,1,104602121,1,2,1,1
10460301,1,104603111,1,1,2,1
10460302,1,104603111,1,2,2,1
10460303,1,104603111,2,1,1,1
10460304,1,104603211,1,1,1,1
10460305,1,104603211,1,2,1,1
10470101,1,104701111,1,1,1,1
10470102,1,104701111,1,2,1,1
10470103,1,104701111,2,1,1,1
10470104,1,104701111,3,1,1,1
10470105,1,104701211,1,1,2,1
10470106,1,104701211,1,2,1,1
10470107,1,104701121,1,1,1,1
10470108,1,104701121,1,2,1,1
10470201,1,104702111,1,1,2,1
10470202,1,104702111,1,2,1,1
10470203,1,104702111,2,1,1,1
10470204,1,104702211,1,1,1,1
10470205,1,104702211,1,2,1,1
10470206,1,104702211,2,1,1,1
10480101,1,104801111,1,1,1,1
10480102,1,104801111,2,1,1,1
10480103,1,104801111,2,2,1,1
10480104,1,104801211,1,1,2,1
10480105,1,104801211,1,2,2,1
10480106,1,104801211,2,1,1,1
