id,gacha_id,card_id,card_type,recommend_order,recommend_type
86,50073,105202,1,46,0
87,50073,101502,1,47,0
88,50073,106901,1,48,0
89,50073,102602,1,49,0
90,50073,103702,1,50,0
91,50073,107101,1,51,0
92,50073,103301,1,52,0
93,50073,106801,1,53,0
94,50073,106701,1,54,0
95,50073,107401,1,55,0
96,50073,102002,1,56,0
97,50073,100502,1,57,0
98,50073,105101,1,58,0
99,50073,107201,1,59,0
100,50073,106002,1,60,0
101,50073,106102,1,61,0
102,50073,103101,1,62,0
103,50073,106401,1,63,0
104,50073,103802,1,64,0
105,50073,102202,1,65,0
106,50073,103401,1,66,0
107,50073,104401,1,67,0
108,50073,101002,1,68,0
109,50073,105902,1,69,0
110,50073,103601,1,70,0
111,50073,101303,1,71,0
112,50073,100702,1,72,0
113,50073,105301,1,73,0
114,50073,109801,1,74,1
115,50073,104602,1,75,0
116,50073,103502,1,76,0
117,50073,105002,1,77,0
118,50073,102901,1,78,0
119,50073,104201,1,79,0
120,50073,101902,1,80,0
121,50073,105802,1,81,0
122,50073,108701,1,82,0
123,50073,107801,1,83,0
124,50073,102102,1,84,0
125,50073,103402,1,85,0
126,50073,104901,1,86,0
127,50073,110001,1,87,0
128,50073,100802,1,88,0
129,50073,100902,1,89,0
130,50073,104701,1,90,0
131,50073,101602,1,91,0
132,50073,106802,1,92,0
133,50073,106702,1,93,0
134,50073,109901,1,94,0
135,50073,106501,1,95,1
136,50073,103102,1,96,0
137,50073,102702,1,97,0
138,50073,104301,1,98,0
139,50073,105701,1,99,0
140,50073,108501,1,100,1
141,50073,108301,1,101,0
142,50073,107102,1,102,0
143,50073,106902,1,103,0
144,50073,107601,1,104,1
145,50073,110501,1,105,1
146,50073,106202,1,106,0
147,50073,104102,1,107,0
148,50073,110601,1,108,0
149,50073,108401,1,109,0
150,50073,105102,1,110,0
151,50073,101202,1,111,0
152,50073,105501,1,112,0
153,50073,105302,1,113,0
154,50073,104802,1,114,0
155,50073,110401,1,115,0
156,50073,107001,1,116,0
157,50073,103202,1,117,0
158,50073,100202,1,118,0
159,50073,107701,1,119,0
160,50073,100703,1,120,0
161,50073,106703,1,121,0
162,50073,109301,1,122,0
163,50073,103602,1,123,0
164,50073,108302,1,124,0
165,50073,108601,1,125,1
166,50073,103902,1,126,0
167,50073,100303,1,127,0
168,50073,110701,1,128,0
169,50073,106402,1,129,0
170,50073,107402,1,130,0
171,50073,108801,1,131,0
172,50073,108901,1,132,0
173,50073,106803,1,133,1
174,50073,106003,1,134,0
175,50073,109101,1,135,0
176,50073,102902,1,136,0
177,50073,102502,1,137,0
178,50078,30001,2,1,0
179,50078,30002,2,2,0
180,50078,30003,2,3,0
181,50078,30004,2,4,0
182,50078,30005,2,5,0
183,50078,30006,2,6,0
184,50078,30007,2,7,0
185,50078,30008,2,8,0
186,50078,30009,2,9,0
187,50078,30010,2,10,0
188,50078,30011,2,11,0
189,50078,30012,2,12,0
190,50078,30013,2,13,0
191,50078,30014,2,14,0
192,50078,30015,2,15,0
193,50078,30016,2,16,0
194,50078,30017,2,17,0
195,50078,30018,2,18,0
196,50078,30020,2,19,0
197,50078,30021,2,20,0
198,50078,30024,2,21,0
199,50078,30026,2,22,0
200,50078,30027,2,23,0
201,50078,30028,2,24,0
202,50078,30029,2,25,0
203,50078,30031,2,26,0
204,50078,30032,2,27,0
205,50078,30038,2,28,0
206,50078,30039,2,29,0
207,50078,30040,2,30,0
208,50078,30042,2,31,0
209,50078,30055,2,32,0
210,50078,30056,2,33,0
211,50078,30048,2,34,0
212,50078,30045,2,35,0
213,50078,30046,2,36,0
214,50078,30054,2,37,0
215,50078,30034,2,38,1
216,50078,30036,2,39,0
217,50078,30063,2,40,0
218,50078,30064,2,41,0
219,50078,30065,2,42,0
220,50078,30043,2,43,0
221,50078,30068,2,44,0
222,50078,30069,2,45,0
223,50078,30071,2,46,0
224,50078,30072,2,47,0
225,50078,30073,2,48,0
226,50078,30075,2,49,0
227,50078,30077,2,50,0
228,50078,30078,2,51,0
229,50078,30080,2,52,0
230,50078,30082,2,53,0
231,50078,30083,2,54,0
232,50078,30085,2,55,0
233,50078,30086,2,56,0
234,50078,30089,2,57,0
235,50078,30090,2,58,0
236,50078,30091,2,59,0
237,50078,30093,2,60,0
238,50078,30094,2,61,0
239,50078,30095,2,62,0
240,50078,30097,2,63,0
241,50078,30098,2,64,0
242,50078,30099,2,65,0
243,50078,30053,2,66,0
244,50078,30102,2,67,0
245,50078,30103,2,68,0
246,50078,30106,2,69,0
247,50078,30067,2,70,0
248,50078,30107,2,71,0
249,50078,30108,2,72,0
250,50078,30110,2,73,0
251,50078,30052,2,74,0
252,50078,30101,2,75,0
253,50078,30111,2,76,0
254,50078,30112,2,77,0
255,50078,30114,2,78,0
256,50078,30115,2,79,0
257,50078,30116,2,80,0
258,50078,30118,2,81,0
259,50078,30146,2,82,0
260,50078,30120,2,83,0
261,50078,30122,2,84,0
262,50078,30123,2,85,0
263,50078,30124,2,86,0
264,50078,30126,2,87,0
265,50078,30127,2,88,0
266,50078,30128,2,89,0
267,50078,30130,2,90,0
268,50078,30131,2,91,0
269,50078,30132,2,92,0
270,50078,30134,2,93,1
271,50078,30137,2,94,0
272,50078,30138,2,95,0
273,50078,30139,2,96,1
274,50078,30037,2,97,1
275,50078,30141,2,98,0
276,50078,30142,2,99,0
277,50078,30147,2,100,0
278,50078,30148,2,101,0
279,50078,30149,2,102,0
280,50078,30152,2,103,0
281,50078,30151,2,104,0
282,50078,30153,2,105,1
283,50078,30154,2,106,0
284,50078,30156,2,107,0
285,50078,30157,2,108,0
286,50078,30158,2,109,0
287,50078,30160,2,110,0
288,50078,30161,2,111,1
289,50078,30163,2,112,0
290,50078,30164,2,113,1
291,50078,30165,2,114,0
292,50078,30166,2,115,0
293,50078,30168,2,116,0
294,50078,30169,2,117,0
295,50078,30170,2,118,0
296,50078,30172,2,119,1
297,50078,30173,2,120,1
298,50078,30174,2,121,0
299,50078,30175,2,122,0
300,50078,30177,2,123,0
301,50078,30178,2,124,1
302,50078,30179,2,125,0
303,50078,30182,2,126,0
304,50078,30183,2,127,0
305,50078,30184,2,128,0
306,30225,30161,2,10,0
307,30225,30178,2,9,0
308,30225,30173,2,8,0
309,30225,30165,2,7,0
310,30225,30164,2,6,0
311,30225,30138,2,5,0
312,30225,30153,2,4,0
313,30225,30172,2,3,0
314,30225,30141,2,2,0
315,30225,30157,2,1,0
316,30235,30161,2,10,0
317,30235,30147,2,9,0
318,30235,30154,2,8,0
319,30235,30139,2,7,0
320,30235,30183,2,6,0
321,30235,30138,2,5,0
322,30235,30123,2,4,0
323,30235,30037,2,3,0
324,30235,30172,2,2,0
325,30235,30157,2,1,0
326,30245,30161,2,10,0
327,30245,30107,2,9,0
328,30245,30168,2,8,0
329,30245,30173,2,7,0
330,30245,30175,2,6,0
331,30245,30151,2,5,0
332,30245,30130,2,4,0
333,30245,30172,2,3,0
334,30245,30141,2,2,0
335,30245,30134,2,1,0
336,30251,30161,2,10,0
337,30251,30178,2,9,0
338,30251,30183,2,8,0
339,30251,30123,2,7,0
340,30251,30170,2,6,0
341,30251,30177,2,5,0
342,30251,30166,2,4,0
343,30251,30179,2,3,0
344,30251,30134,2,2,0
345,30251,30149,2,1,0
346,30259,30178,2,10,0
347,30259,30053,2,9,0
348,30259,30184,2,8,0
349,30259,30182,2,7,0
350,30259,30170,2,6,0
351,30259,30153,2,5,0
352,30259,30130,2,4,0
353,30259,30172,2,3,0
354,30259,30141,2,2,0
355,30259,30149,2,1,0
356,30267,30161,2,10,0
357,30267,30178,2,9,0
358,30267,30173,2,8,0
359,30267,30182,2,7,0
360,30267,30183,2,6,0
361,30267,30187,2,5,0
362,30267,30153,2,4,0
363,30267,30172,2,3,0
364,30267,30179,2,2,0
365,30267,30149,2,1,0
366,50099,30001,2,1,0
367,50099,30002,2,2,0
368,50099,30003,2,3,0
369,50099,30004,2,4,0
370,50099,30005,2,5,0
371,50099,30006,2,6,0
372,50099,30007,2,7,0
373,50099,30008,2,8,0
374,50099,30009,2,9,0
375,50099,30010,2,10,0
376,50099,30011,2,11,0
377,50099,30012,2,12,0
378,50099,30013,2,13,0
379,50099,30014,2,14,0
380,50099,30015,2,15,0
381,50099,30016,2,16,0
382,50099,30017,2,17,0
383,50099,30018,2,18,0
384,50099,30020,2,19,0
385,50099,30021,2,20,0
386,50099,30024,2,21,0
387,50099,30026,2,22,0
388,50099,30027,2,23,0
389,50099,30028,2,24,0
390,50099,30029,2,25,0
391,50099,30031,2,26,0
392,50099,30032,2,27,0
393,50099,30038,2,28,0
394,50099,30039,2,29,0
395,50099,30040,2,30,0
396,50099,30042,2,31,0
397,50099,30055,2,32,0
398,50099,30056,2,33,0
399,50099,30048,2,34,0
400,50099,30045,2,35,0
401,50099,30046,2,36,0
402,50099,30054,2,37,0
403,50099,30034,2,38,0
404,50099,30036,2,39,0
405,50099,30063,2,40,0
406,50099,30064,2,41,0
407,50099,30065,2,42,0
408,50099,30043,2,43,0
409,50099,30068,2,44,0
410,50099,30069,2,45,0
411,50099,30071,2,46,0
412,50099,30072,2,47,0
413,50099,30073,2,48,0
414,50099,30075,2,49,0
415,50099,30077,2,50,0
416,50099,30078,2,51,0
417,50099,30080,2,52,0
418,50099,30082,2,53,0
419,50099,30083,2,54,0
420,50099,30085,2,55,0
421,50099,30086,2,56,0
422,50099,30089,2,57,0
423,50099,30090,2,58,0
424,50099,30091,2,59,0
425,50099,30093,2,60,0
426,50099,30094,2,61,0
427,50099,30095,2,62,0
428,50099,30097,2,63,0
429,50099,30098,2,64,0
430,50099,30099,2,65,0
431,50099,30053,2,66,0
432,50099,30102,2,67,0
433,50099,30103,2,68,0
434,50099,30106,2,69,0
435,50099,30067,2,70,0
436,50099,30107,2,71,0
437,50099,30108,2,72,0
438,50099,30110,2,73,0
439,50099,30052,2,74,0
440,50099,30101,2,75,0
441,50099,30111,2,76,0
442,50099,30112,2,77,0
443,50099,30114,2,78,0
444,50099,30115,2,79,0
445,50099,30116,2,80,0
446,50099,30118,2,81,0
447,50099,30146,2,82,0
448,50099,30120,2,83,0
449,50099,30122,2,84,0
450,50099,30123,2,85,0
451,50099,30124,2,86,0
452,50099,30126,2,87,0
453,50099,30127,2,88,0
454,50099,30128,2,89,0
455,50099,30130,2,90,0
456,50099,30131,2,91,0
457,50099,30132,2,92,0
458,50099,30134,2,93,0
459,50099,30137,2,94,0
460,50099,30138,2,95,0
461,50099,30139,2,96,0
462,50099,30037,2,97,0
463,50099,30141,2,98,0
464,50099,30142,2,99,0
465,50099,30147,2,100,0
466,50099,30148,2,101,0
467,50099,30149,2,102,0
468,50099,30152,2,103,0
469,50099,30151,2,104,0
470,50099,30153,2,105,0
471,50099,30154,2,106,0
472,50099,30156,2,107,0
473,50099,30157,2,108,0
474,50099,30158,2,109,0
475,50099,30160,2,110,0
476,50099,30161,2,111,0
477,50099,30163,2,112,0
478,50099,30164,2,113,0
479,50099,30165,2,114,0
480,50099,30166,2,115,0
481,50099,30168,2,116,0
482,50099,30169,2,117,0
483,50099,30170,2,118,0
484,50099,30172,2,119,1
485,50099,30173,2,120,1
486,50099,30174,2,121,0
487,50099,30175,2,122,0
488,50099,30177,2,123,0
489,50099,30178,2,124,1
490,50099,30179,2,125,1
491,50099,30182,2,126,0
492,50099,30183,2,127,0
493,50099,30184,2,128,0
494,50099,30187,2,129,1
495,50099,30188,2,130,0
496,50099,30193,2,131,0
497,50099,30195,2,132,0
498,50099,30196,2,133,0
499,50099,30198,2,134,0
500,50099,30199,2,135,0
501,50099,30201,2,136,1
502,50099,30202,2,137,0
503,50099,30206,2,138,1
504,50099,30204,2,139,0
505,50099,30207,2,140,1
506,50099,30208,2,141,1
507,50099,30209,2,142,0
508,50099,30210,2,143,1
509,50099,30211,2,144,0
510,30277,30161,2,10,0
511,30277,30196,2,9,0
512,30277,30175,2,8,0
513,30277,30183,2,7,0
514,30277,30153,2,6,0
515,30277,30187,2,5,0
516,30277,30130,2,4,0
517,30277,30172,2,3,0
518,30277,30134,2,2,0
519,30277,30179,2,1,0
520,30283,30161,2,10,0
521,30283,30178,2,9,0
522,30283,30175,2,8,0
523,30283,30183,2,7,0
524,30283,30187,2,6,0
525,30283,30177,2,5,0
526,30283,30201,2,4,0
527,30283,30172,2,3,0
528,30283,30198,2,2,0
529,30283,30188,2,1,0
530,30291,30206,2,10,0
531,30291,30193,2,9,0
532,30291,30175,2,8,0
533,30291,30187,2,7,0
534,30291,30172,2,6,0
535,30291,30201,2,5,0
536,30291,30179,2,4,0
537,30291,30198,2,3,0
538,30291,30207,2,2,0
539,30291,30188,2,1,0
540,30299,30206,2,10,0
541,30299,30210,2,9,0
542,30299,30209,2,8,0
543,30299,30173,2,7,0
544,30299,30193,2,6,0
545,30299,30208,2,5,0
546,30299,30214,2,4,0
547,30299,30187,2,3,0
548,30299,30201,2,2,0
549,30299,30207,2,1,0
550,30307,30206,2,10,0
551,30307,30210,2,9,0
552,30307,30209,2,8,0
553,30307,30208,2,7,0
554,30307,30175,2,6,0
555,30307,30204,2,5,0
556,30307,30187,2,4,0
557,30307,30172,2,3,0
558,30307,30201,2,2,0
559,30307,30207,2,1,0
560,30313,30215,2,10,0
561,30313,30210,2,9,0
562,30313,30208,2,8,0
563,30313,30204,2,7,0
564,30313,30195,2,6,0
565,30313,30214,2,5,0
566,30313,30153,2,4,0
567,30313,30202,2,3,0
568,30313,30172,2,2,0
569,30313,30218,2,1,0
570,50145,100101,1,1,0
571,50145,100201,1,2,0
572,50145,100301,1,3,0
573,50145,100401,1,4,0
574,50145,100601,1,5,0
575,50145,101001,1,6,0
576,50145,101301,1,7,0
577,50145,101701,1,8,0
578,50145,103001,1,9,0
579,50145,101501,1,10,0
580,50145,102601,1,11,0
581,50145,102301,1,12,0
582,50145,100302,1,13,0
583,50145,101302,1,14,0
584,50145,103801,1,15,0
585,50145,105001,1,16,0
586,50145,104601,1,17,0
587,50145,101601,1,18,0
588,50145,102402,1,19,0
589,50145,101802,1,20,0
590,50145,102001,1,21,0
591,50145,101201,1,22,0
592,50145,101402,1,23,0
593,50145,101102,1,24,0
594,50145,100501,1,25,0
595,50145,104001,1,26,0
596,50145,100102,1,27,0
597,50145,100402,1,28,0
598,50145,105801,1,29,0
599,50145,103701,1,30,0
600,50145,105602,1,31,0
601,50145,102801,1,32,0
602,50145,101901,1,33,0
603,50145,103002,1,34,0
604,50145,104502,1,35,0
605,50145,103901,1,36,0
606,50145,102501,1,37,0
607,50145,101702,1,38,0
608,50145,104002,1,39,0
609,50145,104801,1,40,0
610,50145,105901,1,41,0
611,50145,100602,1,42,0
612,50145,102302,1,43,0
613,50145,102201,1,44,0
614,50145,102101,1,45,0
615,50145,105202,1,46,0
616,50145,101502,1,47,0
617,50145,106901,1,48,0
618,50145,102602,1,49,0
619,50145,103702,1,50,0
620,50145,107101,1,51,0
621,50145,103301,1,52,0
622,50145,106801,1,53,0
623,50145,106701,1,54,0
624,50145,107401,1,55,0
625,50145,102002,1,56,0
626,50145,100502,1,57,0
627,50145,105101,1,58,0
628,50145,107201,1,59,0
629,50145,106002,1,60,0
630,50145,106102,1,61,0
631,50145,103101,1,62,0
632,50145,106401,1,63,0
633,50145,103802,1,64,0
634,50145,102202,1,65,0
635,50145,103401,1,66,0
636,50145,104401,1,67,0
637,50145,101002,1,68,0
638,50145,105902,1,69,0
639,50145,103601,1,70,0
640,50145,101303,1,71,0
641,50145,100702,1,72,0
642,50145,105301,1,73,0
643,50145,109801,1,74,1
644,50145,104602,1,75,0
645,50145,103502,1,76,0
646,50145,105002,1,77,0
647,50145,102901,1,78,0
648,50145,104201,1,79,0
649,50145,101902,1,80,0
650,50145,105802,1,81,0
651,50145,108701,1,82,0
652,50145,107801,1,83,0
653,50145,102102,1,84,0
654,50145,103402,1,85,0
655,50145,104901,1,86,0
656,50145,110001,1,87,0
657,50145,100802,1,88,0
658,50145,100902,1,89,0
659,50145,104701,1,90,0
660,50145,101602,1,91,0
661,50145,106802,1,92,0
662,50145,106702,1,93,0
663,50145,109901,1,94,0
664,50145,106501,1,95,0
665,50145,103102,1,96,0
666,50145,102702,1,97,0
667,50145,104301,1,98,0
668,50145,105701,1,99,0
669,50145,108501,1,100,0
670,50145,108301,1,101,0
671,50145,107102,1,102,0
672,50145,106902,1,103,0
673,50145,107601,1,104,0
674,50145,110501,1,105,0
675,50145,106202,1,106,0
676,50145,104102,1,107,0
677,50145,110601,1,108,0
678,50145,108401,1,109,0
679,50145,105102,1,110,0
680,50145,101202,1,111,0
681,50145,105501,1,112,0
682,50145,105302,1,113,1
683,50145,104802,1,114,0
684,50145,110401,1,115,0
685,50145,107001,1,116,0
686,50145,103202,1,117,0
687,50145,100202,1,118,0
688,50145,107701,1,119,0
689,50145,100703,1,120,0
690,50145,106703,1,121,0
691,50145,109301,1,122,0
692,50145,103602,1,123,0
693,50145,108302,1,124,0
694,50145,108601,1,125,0
695,50145,103902,1,126,0
696,50145,100303,1,127,0
697,50145,110701,1,128,0
698,50145,106402,1,129,0
699,50145,107402,1,130,0
700,50145,108801,1,131,0
701,50145,108901,1,132,0
702,50145,106803,1,133,1
703,50145,106003,1,134,0
704,50145,109101,1,135,0
705,50145,102902,1,136,0
706,50145,102502,1,137,0
707,50145,110801,1,138,0
708,50145,108001,1,139,0
709,50145,110901,1,140,0
710,50145,108502,1,141,0
711,50145,106502,1,142,0
712,50145,103503,1,143,0
713,50145,110201,1,144,0
714,50145,104503,1,145,0
715,50145,107202,1,146,0
716,50145,103203,1,147,0
717,50145,108201,1,148,0
718,50145,106103,1,149,0
719,50145,104402,1,150,0
720,50145,111901,1,151,0
721,50145,103003,1,152,0
722,50145,112001,1,153,0
723,50145,103703,1,154,1
724,50145,109902,1,155,1
725,50145,110502,1,156,0
726,50145,104702,1,157,0
727,50145,111001,1,158,0
728,50145,112101,1,159,0
729,50145,104202,1,160,0
730,50145,102403,1,161,1
731,50145,112401,1,162,0
732,50145,102303,1,163,0
733,50145,105003,1,164,0
734,50145,111101,1,165,0
735,50145,107702,1,166,0
736,50145,103302,1,167,0
737,50145,111701,1,168,0
738,50145,101103,1,169,0
739,50145,110402,1,170,1
740,50145,105702,1,171,0
741,50145,100403,1,172,1
742,50145,107901,1,173,0
743,50145,108702,1,174,1
744,50145,107802,1,175,1
745,50150,30001,2,1,0
746,50150,30002,2,2,0
747,50150,30003,2,3,0
748,50150,30004,2,4,0
749,50150,30005,2,5,0
750,50150,30006,2,6,0
751,50150,30007,2,7,0
752,50150,30008,2,8,0
753,50150,30009,2,9,0
754,50150,30010,2,10,0
755,50150,30011,2,11,0
756,50150,30012,2,12,0
757,50150,30013,2,13,0
758,50150,30014,2,14,0
759,50150,30015,2,15,0
760,50150,30016,2,16,0
761,50150,30017,2,17,0
762,50150,30018,2,18,0
763,50150,30020,2,19,0
764,50150,30021,2,20,0
765,50150,30024,2,21,0
766,50150,30026,2,22,0
767,50150,30027,2,23,0
768,50150,30028,2,24,0
769,50150,30029,2,25,0
770,50150,30031,2,26,0
771,50150,30032,2,27,0
772,50150,30038,2,28,0
773,50150,30039,2,29,0
774,50150,30040,2,30,0
775,50150,30042,2,31,0
776,50150,30055,2,32,0
777,50150,30056,2,33,0
778,50150,30048,2,34,0
779,50150,30045,2,35,0
780,50150,30046,2,36,0
781,50150,30054,2,37,0
782,50150,30034,2,38,0
783,50150,30036,2,39,0
784,50150,30063,2,40,0
785,50150,30064,2,41,0
786,50150,30065,2,42,0
787,50150,30043,2,43,0
788,50150,30068,2,44,0
789,50150,30069,2,45,0
790,50150,30071,2,46,0
791,50150,30072,2,47,0
792,50150,30073,2,48,0
793,50150,30075,2,49,0
794,50150,30077,2,50,0
795,50150,30078,2,51,0
796,50150,30080,2,52,0
797,50150,30082,2,53,0
798,50150,30083,2,54,0
799,50150,30085,2,55,0
800,50150,30086,2,56,0
801,50150,30089,2,57,0
802,50150,30090,2,58,0
803,50150,30091,2,59,0
804,50150,30093,2,60,0
805,50150,30094,2,61,0
806,50150,30095,2,62,0
807,50150,30097,2,63,0
808,50150,30098,2,64,0
809,50150,30099,2,65,0
810,50150,30053,2,66,0
811,50150,30102,2,67,0
812,50150,30103,2,68,0
813,50150,30106,2,69,0
814,50150,30067,2,70,0
815,50150,30107,2,71,0
816,50150,30108,2,72,0
817,50150,30110,2,73,0
818,50150,30052,2,74,0
819,50150,30101,2,75,0
820,50150,30111,2,76,0
821,50150,30112,2,77,0
822,50150,30114,2,78,0
823,50150,30115,2,79,0
824,50150,30116,2,80,0
825,50150,30118,2,81,0
826,50150,30146,2,82,0
827,50150,30120,2,83,0
828,50150,30122,2,84,0
829,50150,30123,2,85,0
830,50150,30124,2,86,0
831,50150,30126,2,87,0
832,50150,30127,2,88,0
833,50150,30128,2,89,0
834,50150,30130,2,90,0
835,50150,30131,2,91,0
836,50150,30132,2,92,0
837,50150,30134,2,93,0
838,50150,30137,2,94,0
839,50150,30138,2,95,0
840,50150,30139,2,96,0
841,50150,30037,2,97,0
842,50150,30141,2,98,0
843,50150,30142,2,99,0
844,50150,30147,2,100,0
845,50150,30148,2,101,0
846,50150,30149,2,102,0
847,50150,30152,2,103,0
848,50150,30151,2,104,0
849,50150,30153,2,105,0
850,50150,30154,2,106,0
851,50150,30156,2,107,0
852,50150,30157,2,108,0
853,50150,30158,2,109,0
854,50150,30160,2,110,0
855,50150,30161,2,111,0
856,50150,30163,2,112,0
857,50150,30164,2,113,0
858,50150,30165,2,114,0
859,50150,30166,2,115,0
860,50150,30168,2,116,0
861,50150,30169,2,117,0
862,50150,30170,2,118,0
863,50150,30172,2,119,0
864,50150,30173,2,120,0
865,50150,30174,2,121,0
866,50150,30175,2,122,0
867,50150,30177,2,123,0
868,50150,30178,2,124,0
869,50150,30179,2,125,0
870,50150,30182,2,126,0
871,50150,30183,2,127,0
872,50150,30184,2,128,0
873,50150,30187,2,129,1
874,50150,30188,2,130,0
875,50150,30193,2,131,0
876,50150,30195,2,132,0
877,50150,30196,2,133,0
878,50150,30198,2,134,0
879,50150,30199,2,135,0
880,50150,30201,2,136,0
881,50150,30202,2,137,0
882,50150,30206,2,138,1
883,50150,30204,2,139,0
884,50150,30207,2,140,0
885,50150,30208,2,141,0
886,50150,30209,2,142,0
887,50150,30210,2,143,0
888,50150,30211,2,144,0
889,50150,30214,2,145,0
890,50150,30215,2,146,1
891,50150,30218,2,147,0
892,50150,30219,2,148,1
893,50150,30222,2,149,0
894,50150,30223,2,150,0
895,50150,30224,2,151,1
896,50150,30226,2,152,1
897,50150,30227,2,153,1
898,50150,30228,2,154,1
899,50150,30229,2,155,0
900,50150,30230,2,156,0
901,50150,30232,2,157,0
902,50150,30233,2,158,1
903,50150,30234,2,159,1
904,50150,30236,2,160,0
905,50150,30237,2,161,0
906,50150,30238,2,162,0
907,30321,30215,2,10,0
908,30321,30210,2,9,0
909,30321,30224,2,8,0
910,30321,30226,2,7,0
911,30321,30234,2,6,0
912,30321,30228,2,5,0
913,30321,30208,2,4,0
914,30321,30219,2,3,0
915,30321,30227,2,2,0
916,30321,30201,2,1,0
917,30339,30215,2,10,0
918,30339,30210,2,9,0
919,30339,30224,2,8,0
920,30339,30226,2,7,0
921,30339,30234,2,6,0
922,30339,30228,2,5,0
923,30339,30208,2,4,0
924,30339,30219,2,3,0
925,30339,30227,2,2,0
926,30339,30201,2,1,0
927,30329,30215,2,10,0
928,30329,30210,2,9,0
929,30329,30226,2,8,0
930,30329,30173,2,7,0
931,30329,30193,2,6,0
932,30329,30228,2,5,0
933,30329,30223,2,4,0
934,30329,30219,2,3,0
935,30329,30227,2,2,0
936,30329,30201,2,1,0
937,50160,30242,2,15,0
938,50160,30215,2,14,0
939,50160,30210,2,13,0
940,50160,30224,2,12,0
941,50160,30226,2,11,0
942,50160,30209,2,10,0
943,50160,30234,2,9,0
944,50160,30228,2,8,0
945,50160,30222,2,7,0
946,50160,30214,2,6,0
947,50160,30219,2,5,0
948,50160,30233,2,4,0
949,50160,30227,2,3,0
950,50160,30211,2,2,0
951,50160,30241,2,1,0
952,30341,30215,2,10,0
953,30341,30210,2,9,0
954,30341,30226,2,8,0
955,30341,30182,2,7,0
956,30341,30228,2,6,0
957,30341,30222,2,5,0
958,30341,30208,2,4,0
959,30341,30187,2,3,0
960,30341,30227,2,2,0
961,30341,30211,2,1,0
962,30347,30215,2,10,0
963,30347,30210,2,9,0
964,30347,30226,2,8,0
965,30347,30209,2,7,0
966,30347,30234,2,6,0
967,30347,30232,2,5,0
968,30347,30214,2,4,0
969,30347,30233,2,3,0
970,30347,30227,2,2,0
971,30347,30201,2,1,0
972,30355,30242,2,10,0
973,30355,30246,2,9,0
974,30355,30230,2,8,0
975,30355,30224,2,7,0
976,30355,30226,2,6,0
977,30355,30209,2,5,0
978,30355,30228,2,4,0
979,30355,30232,2,3,0
980,30355,30214,2,2,0
981,30355,30233,2,1,0
982,30361,30242,2,10,0
983,30361,30246,2,9,0
984,30361,30224,2,8,0
985,30361,30226,2,7,0
986,30361,30209,2,6,0
987,30361,30228,2,5,0
988,30361,30232,2,4,0
989,30361,30248,2,3,0
990,30361,30227,2,2,0
991,30361,30201,2,1,0
992,50174,30001,2,1,0
993,50174,30002,2,2,0
994,50174,30003,2,3,0
995,50174,30004,2,4,0
996,50174,30005,2,5,0
