factor_id,factor_group_id,rarity,grade,factor_type,effect_group_id,succession_search_hidden,start_date,end_date
1000503,10005,3,1,5,53,0,1483196400,2524575600
1000601,10006,1,1,5,51,0,1483196400,2524575600
1000602,10006,2,1,5,52,0,1483196400,2524575600
1000603,10006,3,1,5,53,0,1483196400,2524575600
1000701,10007,1,1,5,51,0,1483196400,2524575600
1000702,10007,2,1,5,52,0,1483196400,2524575600
1000703,10007,3,1,5,53,0,1483196400,2524575600
1000801,10008,1,1,5,51,0,1483196400,2524575600
1000802,10008,2,1,5,52,0,1483196400,2524575600
1000803,10008,3,1,5,53,0,1483196400,2524575600
1000901,10009,1,1,5,51,0,1483196400,2524575600
1000902,10009,2,1,5,52,0,1483196400,2524575600
1000903,10009,3,1,5,53,0,1483196400,2524575600
1001001,10010,1,1,5,51,0,1483196400,2524575600
1001002,10010,2,1,5,52,0,1483196400,2524575600
1001003,10010,3,1,5,53,0,1483196400,2524575600
1001101,10011,1,1,5,51,0,1483196400,2524575600
1001102,10011,2,1,5,52,0,1483196400,2524575600
1001103,10011,3,1,5,53,0,1483196400,2524575600
1001201,10012,1,1,5,51,0,1483196400,2524575600
1001202,10012,2,1,5,52,0,1483196400,2524575600
1001203,10012,3,1,5,53,0,1483196400,2524575600
1001301,10013,1,1,5,51,0,1483196400,2524575600
1001302,10013,2,1,5,52,0,1483196400,2524575600
1001303,10013,3,1,5,53,0,1483196400,2524575600
1001401,10014,1,1,5,51,0,1483196400,2524575600
1001402,10014,2,1,5,52,0,1483196400,2524575600
1001403,10014,3,1,5,53,0,1483196400,2524575600
1001501,10015,1,1,5,51,0,1483196400,2524575600
1001502,10015,2,1,5,52,0,1483196400,2524575600
1001503,10015,3,1,5,53,0,1483196400,2524575600
1001601,10016,1,1,5,51,0,1483196400,2524575600
1001602,10016,2,1,5,52,0,1483196400,2524575600
1001603,10016,3,1,5,53,0,1483196400,2524575600
1001701,10017,1,1,5,51,0,1483196400,2524575600
1001702,10017,2,1,5,52,0,1483196400,2524575600
1001703,10017,3,1,5,53,0,1483196400,2524575600
1001801,10018,1,1,5,51,0,1483196400,2524575600
1001802,10018,2,1,5,52,0,1483196400,2524575600
1001803,10018,3,1,5,53,0,1483196400,2524575600
1001901,10019,1,1,5,51,0,1483196400,2524575600
1001902,10019,2,1,5,52,0,1483196400,2524575600
1001903,10019,3,1,5,53,0,1483196400,2524575600
1002001,10020,1,1,5,51,0,1483196400,2524575600
1002002,10020,2,1,5,52,0,1483196400,2524575600
1002003,10020,3,1,5,53,0,1483196400,2524575600
1002101,10021,1,1,5,51,0,1483196400,2524575600
1002102,10021,2,1,5,52,0,1483196400,2524575600
1002103,10021,3,1,5,53,0,1483196400,2524575600
1002201,10022,1,1,5,51,0,1483196400,2524575600
1002202,10022,2,1,5,52,0,1483196400,2524575600
1002203,10022,3,1,5,53,0,1483196400,2524575600
1002301,10023,1,1,5,51,0,1483196400,2524575600
1002302,10023,2,1,5,52,0,1483196400,2524575600
1002303,10023,3,1,5,53,0,1483196400,2524575600
1002401,10024,1,1,5,51,0,1483196400,2524575600
1002402,10024,2,1,5,52,0,1483196400,2524575600
1002403,10024,3,1,5,53,0,1483196400,2524575600
1002501,10025,1,1,5,51,0,1483196400,2524575600
1002502,10025,2,1,5,52,0,1483196400,2524575600
1002503,10025,3,1,5,53,0,1483196400,2524575600
1002601,10026,1,1,5,51,0,1483196400,2524575600
1002602,10026,2,1,5,52,0,1483196400,2524575600
1002603,10026,3,1,5,53,0,1483196400,2524575600
1002701,10027,1,1,5,51,0,1483196400,2524575600
1002702,10027,2,1,5,52,0,1483196400,2524575600
1002703,10027,3,1,5,53,0,1483196400,2524575600
1002801,10028,1,1,5,51,0,1483196400,2524575600
1002802,10028,2,1,5,52,0,1483196400,2524575600
1002803,10028,3,1,5,53,0,1483196400,2524575600
1002901,10029,1,1,5,51,0,1483196400,2524575600
1002902,10029,2,1,5,52,0,1483196400,2524575600
1002903,10029,3,1,5,53,0,1483196400,2524575600
1003001,10030,1,1,5,51,0,1483196400,2524575600
1003002,10030,2,1,5,52,0,1483196400,2524575600
1003003,10030,3,1,5,53,0,1483196400,2524575600
1003101,10031,1,1,5,51,0,1483196400,2524575600
1003102,10031,2,1,5,52,0,1483196400,2524575600
1003103,10031,3,1,5,53,0,1483196400,2524575600
1003201,10032,1,1,5,51,0,1483196400,2524575600
1003202,10032,2,1,5,52,0,1483196400,2524575600
1003203,10032,3,1,5,53,0,1483196400,2524575600
1003301,10033,1,1,5,51,0,1483196400,2524575600
1003302,10033,2,1,5,52,0,1483196400,2524575600
1003303,10033,3,1,5,53,0,1483196400,2524575600
1003401,10034,1,1,5,51,0,1483196400,2524575600
1003402,10034,2,1,5,52,0,1483196400,2524575600
1003403,10034,3,1,5,53,0,1483196400,2524575600
1003501,10035,1,1,5,51,0,1483196400,2524575600
1003502,10035,2,1,5,52,0,1483196400,2524575600
1003503,10035,3,1,5,53,0,1483196400,2524575600
1003601,10036,1,1,5,51,0,1483196400,2524575600
1003602,10036,2,1,5,52,0,1483196400,2524575600
1003603,10036,3,1,5,53,0,1483196400,2524575600
1003701,10037,1,1,5,51,0,1483196400,2524575600
1003702,10037,2,1,5,52,0,1483196400,2524575600
1003703,10037,3,1,5,53,0,1483196400,2524575600
2000101,20001,1,1,4,41,0,1483196400,2524575600
2000102,20001,2,1,4,42,0,1483196400,2524575600
2000103,20001,3,1,4,43,0,1483196400,2524575600
2000201,20002,1,1,4,41,0,1483196400,2524575600
2000202,20002,2,1,4,42,0,1483196400,2524575600
2000203,20002,3,1,4,43,0,1483196400,2524575600
2000301,20003,1,1,4,41,0,1483196400,2524575600
2000302,20003,2,1,4,42,0,1483196400,2524575600
2000303,20003,3,1,4,43,0,1483196400,2524575600
2000401,20004,1,1,4,41,0,1483196400,2524575600
2000402,20004,2,1,4,42,0,1483196400,2524575600
2000403,20004,3,1,4,43,0,1483196400,2524575600
2000501,20005,1,1,4,41,0,1483196400,2524575600
2000502,20005,2,1,4,42,0,1483196400,2524575600
2000503,20005,3,1,4,43,0,1483196400,2524575600
2000601,20006,1,1,4,41,0,1483196400,2524575600
2000602,20006,2,1,4,42,0,1483196400,2524575600
2000603,20006,3,1,4,43,0,1483196400,2524575600
2000701,20007,1,1,4,41,0,1483196400,2524575600
2000702,20007,2,1,4,42,0,1483196400,2524575600
2000703,20007,3,1,4,43,0,1483196400,2524575600
2000801,20008,1,1,4,41,0,1483196400,2524575600
2000802,20008,2,1,4,42,0,1483196400,2524575600
2000803,20008,3,1,4,43,0,1483196400,2524575600
2000901,20009,1,1,4,41,0,1483196400,2524575600
2000902,20009,2,1,4,42,0,1483196400,2524575600
2000903,20009,3,1,4,43,0,1483196400,2524575600
2001001,20010,1,1,4,41,0,1483196400,2524575600
2001002,20010,2,1,4,42,0,1483196400,2524575600
2001003,20010,3,1,4,43,0,1483196400,2524575600
2001101,20011,1,1,4,41,0,1483196400,2524575600
2001102,20011,2,1,4,42,0,1483196400,2524575600
2001103,20011,3,1,4,43,0,1483196400,2524575600
2001201,20012,1,1,4,41,0,1483196400,2524575600
2001202,20012,2,1,4,42,0,1483196400,2524575600
2001203,20012,3,1,4,43,0,1483196400,2524575600
2001301,20013,1,1,4,41,0,1483196400,2524575600
2001302,20013,2,1,4,42,0,1483196400,2524575600
2001303,20013,3,1,4,43,0,1483196400,2524575600
2001401,20014,1,1,4,41,0,1483196400,2524575600
2001402,20014,2,1,4,42,0,1483196400,2524575600
2001403,20014,3,1,4,43,0,1483196400,2524575600
2001501,20015,1,1,4,41,0,1483196400,2524575600
2001502,20015,2,1,4,42,0,1483196400,2524575600
2001503,20015,3,1,4,43,0,1483196400,2524575600
2001601,20016,1,1,4,41,0,1483196400,2524575600
2001602,20016,2,1,4,42,0,1483196400,2524575600
2001603,20016,3,1,4,43,0,1483196400,2524575600
2001701,20017,1,1,4,41,0,1483196400,2524575600
2001702,20017,2,1,4,42,0,1483196400,2524575600
2001703,20017,3,1,4,43,0,1483196400,2524575600
2001801,20018,1,1,4,41,0,1483196400,2524575600
2001802,20018,2,1,4,42,0,1483196400,2524575600
2001803,20018,3,1,4,43,0,1483196400,2524575600
2001901,20019,1,1,4,41,0,1483196400,2524575600
2001902,20019,2,1,4,42,0,1483196400,2524575600
2001903,20019,3,1,4,43,0,1483196400,2524575600
2002001,20020,1,1,4,41,0,1483196400,2524575600
2002002,20020,2,1,4,42,0,1483196400,2524575600
2002003,20020,3,1,4,43,0,1483196400,2524575600
2002101,20021,1,1,4,41,0,1483196400,2524575600
2002102,20021,2,1,4,42,0,1483196400,2524575600
2002103,20021,3,1,4,43,0,1483196400,2524575600
2002201,20022,1,1,4,41,0,1483196400,2524575600
2002202,20022,2,1,4,42,0,1483196400,2524575600
2002203,20022,3,1,4,43,0,1483196400,2524575600
2002301,20023,1,1,4,41,0,1483196400,2524575600
2002302,20023,2,1,4,42,0,1483196400,2524575600
2002303,20023,3,1,4,43,0,1483196400,2524575600
2002401,20024,1,1,4,41,0,1483196400,2524575600
2002402,20024,2,1,4,42,0,1483196400,2524575600
2002403,20024,3,1,4,43,0,1483196400,2524575600
2002501,20025,1,1,4,41,0,1483196400,2524575600
2002502,20025,2,1,4,42,0,1483196400,2524575600
2002503,20025,3,1,4,43,0,1483196400,2524575600
2002601,20026,1,1,4,41,0,1483196400,2524575600
2002602,20026,2,1,4,42,0,1483196400,2524575600
2002603,20026,3,1,4,43,0,1483196400,2524575600
2002701,20027,1,1,4,41,0,1483196400,2524575600
2002702,20027,2,1,4,42,0,1483196400,2524575600
2002703,20027,3,1,4,43,0,1483196400,2524575600
2002801,20028,1,1,4,41,0,1483196400,2524575600
2002802,20028,2,1,4,42,0,1483196400,2524575600
2002803,20028,3,1,4,43,0,1483196400,2524575600
2002901,20029,1,1,4,41,0,1483196400,2524575600
2002902,20029,2,1,4,42,0,1483196400,2524575600
2002903,20029,3,1,4,43,0,1483196400,2524575600
2003001,20030,1,1,4,41,0,1483196400,2524575600
2003002,20030,2,1,4,42,0,1483196400,2524575600
2003003,20030,3,1,4,43,0,1483196400,2524575600
2003301,20033,1,1,4,41,0,1483196400,2524575600
2003302,20033,2,1,4,42,0,1483196400,2524575600
2003303,20033,3,1,4,43,0,1483196400,2524575600
2003401,20034,1,1,4,41,0,1483196400,2524575600
2003402,20034,2,1,4,42,0,1483196400,2524575600
2003403,20034,3,1,4,43,0,1483196400,2524575600
2003501,20035,1,1,4,41,0,1483196400,2524575600
2003502,20035,2,1,4,42,0,1483196400,2524575600
2003503,20035,3,1,4,43,0,1483196400,2524575600
2003601,20036,1,1,4,41,0,1483196400,2524575600
2003602,20036,2,1,4,42,0,1483196400,2524575600
2003603,20036,3,1,4,43,0,1483196400,2524575600
2003701,20037,1,1,4,41,0,1483196400,2524575600
2003702,20037,2,1,4,42,0,1483196400,2524575600
2003703,20037,3,1,4,43,0,1483196400,2524575600
2003801,20038,1,1,4,41,0,1483196400,2524575600
2003802,20038,2,1,4,42,0,1483196400,2524575600
2003803,20038,3,1,4,43,0,1483196400,2524575600
2004301,20043,1,1,4,41,0,1483196400,2524575600
2004302,20043,2,1,4,42,0,1483196400,2524575600
2004303,20043,3,1,4,43,0,1483196400,2524575600
2004401,20044,1,1,4,41,0,1483196400,2524575600
2004402,20044,2,1,4,42,0,1483196400,2524575600
2004403,20044,3,1,4,43,0,1483196400,2524575600
2004501,20045,1,1,4,41,0,1483196400,2524575600
2004502,20045,2,1,4,42,0,1483196400,2524575600
2004503,20045,3,1,4,43,0,1483196400,2524575600
2004601,20046,1,1,4,41,0,1483196400,2524575600
2004602,20046,2,1,4,42,0,1483196400,2524575600
2004603,20046,3,1,4,43,0,1483196400,2524575600
2004701,20047,1,1,4,41,0,1483196400,2524575600
2004702,20047,2,1,4,42,0,1483196400,2524575600
2004703,20047,3,1,4,43,0,1483196400,2524575600
2004801,20048,1,1,4,41,0,1483196400,2524575600
2004802,20048,2,1,4,42,0,1483196400,2524575600
2004803,20048,3,1,4,43,0,1483196400,2524575600
2004901,20049,1,1,4,41,0,1483196400,2524575600
2004902,20049,2,1,4,42,0,1483196400,2524575600
2004903,20049,3,1,4,43,0,1483196400,2524575600
2005001,20050,1,1,4,41,0,1483196400,2524575600
2005002,20050,2,1,4,42,0,1483196400,2524575600
2005003,20050,3,1,4,43,0,1483196400,2524575600
2005101,20051,1,1,4,41,0,1483196400,2524575600
2005102,20051,2,1,4,42,0,1483196400,2524575600
2005103,20051,3,1,4,43,0,1483196400,2524575600
2005301,20053,1,1,4,41,0,1483196400,2524575600
2005302,20053,2,1,4,42,0,1483196400,2524575600
2005303,20053,3,1,4,43,0,1483196400,2524575600
2005401,20054,1,1,4,41,0,1483196400,2524575600
2005402,20054,2,1,4,42,0,1483196400,2524575600
2005403,20054,3,1,4,43,0,1483196400,2524575600
2005501,20055,1,1,4,41,0,1483196400,2524575600
2005502,20055,2,1,4,42,0,1483196400,2524575600
2005503,20055,3,1,4,43,0,1483196400,2524575600
2005601,20056,1,1,4,41,0,1483196400,2524575600
2005602,20056,2,1,4,42,0,1483196400,2524575600
2005603,20056,3,1,4,43,0,1483196400,2524575600
2005701,20057,1,1,4,41,0,1483196400,2524575600
2005702,20057,2,1,4,42,0,1483196400,2524575600
2005703,20057,3,1,4,43,0,1483196400,2524575600
2005801,20058,1,1,4,41,0,1483196400,2524575600
2005802,20058,2,1,4,42,0,1483196400,2524575600
2005803,20058,3,1,4,43,0,1483196400,2524575600
2005901,20059,1,1,4,41,0,1483196400,2524575600
2005902,20059,2,1,4,42,0,1483196400,2524575600
2005903,20059,3,1,4,43,0,1483196400,2524575600
2006001,20060,1,1,4,41,0,1483196400,2524575600
2006002,20060,2,1,4,42,0,1483196400,2524575600
2006003,20060,3,1,4,43,0,1483196400,2524575600
2006101,20061,1,1,4,41,0,1483196400,2524575600
2006102,20061,2,1,4,42,0,1483196400,2524575600
2006103,20061,3,1,4,43,0,1483196400,2524575600
2006201,20062,1,1,4,41,0,1483196400,2524575600
2006202,20062,2,1,4,42,0,1483196400,2524575600
2006203,20062,3,1,4,43,0,1483196400,2524575600
2006301,20063,1,1,4,41,0,1483196400,2524575600
2006302,20063,2,1,4,42,0,1483196400,2524575600
2006303,20063,3,1,4,43,0,1483196400,2524575600
2006401,20064,1,1,4,41,0,1483196400,2524575600
2006402,20064,2,1,4,42,0,1483196400,2524575600
2006403,20064,3,1,4,43,0,1483196400,2524575600
2006501,20065,1,1,4,41,0,1483196400,2524575600
2006502,20065,2,1,4,42,0,1483196400,2524575600
2006503,20065,3,1,4,43,0,1483196400,2524575600
2006601,20066,1,1,4,41,0,1483196400,2524575600
2006602,20066,2,1,4,42,0,1483196400,2524575600
2006603,20066,3,1,4,43,0,1483196400,2524575600
2006701,20067,1,1,4,41,0,1483196400,2524575600
2006702,20067,2,1,4,42,0,1483196400,2524575600
2006703,20067,3,1,4,43,0,1483196400,2524575600
2006801,20068,1,1,4,41,0,1483196400,2524575600
2006802,20068,2,1,4,42,0,1483196400,2524575600
2006803,20068,3,1,4,43,0,1483196400,2524575600
2006901,20069,1,1,4,41,0,1483196400,2524575600
2006902,20069,2,1,4,42,0,1483196400,2524575600
2006903,20069,3,1,4,43,0,1483196400,2524575600
2007001,20070,1,1,4,41,0,1483196400,2524575600
2007002,20070,2,1,4,42,0,1483196400,2524575600
2007003,20070,3,1,4,43,0,1483196400,2524575600
2007101,20071,1,1,4,41,0,1483196400,2524575600
2007102,20071,2,1,4,42,0,1483196400,2524575600
2007103,20071,3,1,4,43,0,1483196400,2524575600
2007201,20072,1,1,4,41,0,1483196400,2524575600
2007202,20072,2,1,4,42,0,1483196400,2524575600
2007203,20072,3,1,4,43,0,1483196400,2524575600
2007301,20073,1,1,4,41,0,1483196400,2524575600
2007302,20073,2,1,4,42,0,1483196400,2524575600
2007303,20073,3,1,4,43,0,1483196400,2524575600
2007401,20074,1,1,4,41,0,1483196400,2524575600
2007402,20074,2,1,4,42,0,1483196400,2524575600
2007403,20074,3,1,4,43,0,1483196400,2524575600
2007501,20075,1,1,4,41,0,1483196400,2524575600
2007502,20075,2,1,4,42,0,1483196400,2524575600
2007503,20075,3,1,4,43,0,1483196400,2524575600
2007601,20076,1,1,4,41,0,1483196400,2524575600
2007602,20076,2,1,4,42,0,1483196400,2524575600
2007603,20076,3,1,4,43,0,1483196400,2524575600
2007701,20077,1,1,4,41,0,1483196400,2524575600
2007702,20077,2,1,4,42,0,1483196400,2524575600
2007703,20077,3,1,4,43,0,1483196400,2524575600
2007801,20078,1,1,4,41,0,1483196400,2524575600
2007802,20078,2,1,4,42,0,1483196400,2524575600
2007803,20078,3,1,4,43,0,1483196400,2524575600
2007901,20079,1,1,4,41,0,1483196400,2524575600
2007902,20079,2,1,4,42,0,1483196400,2524575600
2007903,20079,3,1,4,43,0,1483196400,2524575600
2008001,20080,1,1,4,41,0,1483196400,2524575600
2008002,20080,2,1,4,42,0,1483196400,2524575600
2008003,20080,3,1,4,43,0,1483196400,2524575600
2008101,20081,1,1,4,41,0,1483196400,2524575600
2008102,20081,2,1,4,42,0,1483196400,2524575600
2008103,20081,3,1,4,43,0,1483196400,2524575600
2008201,20082,1,1,4,41,0,1483196400,2524575600
2008202,20082,2,1,4,42,0,1483196400,2524575600
2008203,20082,3,1,4,43,0,1483196400,2524575600
2008301,20083,1,1,4,41,0,1483196400,2524575600
2008302,20083,2,1,4,42,0,1483196400,2524575600
2008303,20083,3,1,4,43,0,1483196400,2524575600
2008401,20084,1,1,4,41,0,1483196400,2524575600
2008402,20084,2,1,4,42,0,1483196400,2524575600
2008403,20084,3,1,4,43,0,1483196400,2524575600
2008501,20085,1,1,4,41,0,1483196400,2524575600
2008502,20085,2,1,4,42,0,1483196400,2524575600
2008503,20085,3,1,4,43,0,1483196400,2524575600
2008601,20086,1,1,4,41,0,1483196400,2524575600
2008602,20086,2,1,4,42,0,1483196400,2524575600
2008603,20086,3,1,4,43,0,1483196400,2524575600
2008701,20087,1,1,4,41,0,1483196400,2524575600
2008702,20087,2,1,4,42,0,1483196400,2524575600
2008703,20087,3,1,4,43,0,1483196400,2524575600
2008801,20088,1,1,4,41,0,1483196400,2524575600
2008802,20088,2,1,4,42,0,1483196400,2524575600
2008803,20088,3,1,4,43,0,1483196400,2524575600
2008901,20089,1,1,4,41,0,1483196400,2524575600
2008902,20089,2,1,4,42,0,1483196400,2524575600
2008903,20089,3,1,4,43,0,1483196400,2524575600
2009001,20090,1,1,4,41,0,1483196400,2524575600
2009002,20090,2,1,4,42,0,1483196400,2524575600
2009003,20090,3,1,4,43,0,1483196400,2524575600
2009101,20091,1,1,4,41,0,1483196400,2524575600
2009102,20091,2,1,4,42,0,1483196400,2524575600
2009103,20091,3,1,4,43,0,1483196400,2524575600
2009201,20092,1,1,4,41,0,1483196400,2524575600
2009202,20092,2,1,4,42,0,1483196400,2524575600
2009203,20092,3,1,4,43,0,1483196400,2524575600
2009301,20093,1,1,4,41,0,1483196400,2524575600
2009302,20093,2,1,4,42,0,1483196400,2524575600
2009303,20093,3,1,4,43,0,1483196400,2524575600
2009401,20094,1,1,4,41,0,1483196400,2524575600
2009402,20094,2,1,4,42,0,1483196400,2524575600
2009403,20094,3,1,4,43,0,1483196400,2524575600
2009501,20095,1,1,4,41,0,1483196400,2524575600
2009502,20095,2,1,4,42,0,1483196400,2524575600
2009503,20095,3,1,4,43,0,1483196400,2524575600
2009601,20096,1,1,4,41,0,1483196400,2524575600
2009602,20096,2,1,4,42,0,1483196400,2524575600
2009603,20096,3,1,4,43,0,1483196400,2524575600
2009701,20097,1,1,4,41,0,1483196400,2524575600
2009702,20097,2,1,4,42,0,1483196400,2524575600
2009703,20097,3,1,4,43,0,1483196400,2524575600
2009801,20098,1,1,4,41,0,1483196400,2524575600
2009802,20098,2,1,4,42,0,1483196400,2524575600
2009803,20098,3,1,4,43,0,1483196400,2524575600
2009901,20099,1,1,4,41,0,1483196400,2524575600
2009902,20099,2,1,4,42,0,1483196400,2524575600
2009903,20099,3,1,4,43,0,1483196400,2524575600
2010001,20100,1,1,4,41,0,1483196400,2524575600
2010002,20100,2,1,4,42,0,1483196400,2524575600
2010003,20100,3,1,4,43,0,1483196400,2524575600
2010101,20101,1,1,4,41,0,1483196400,2524575600
2010102,20101,2,1,4,42,0,1483196400,2524575600
2010103,20101,3,1,4,43,0,1483196400,2524575600
2010201,20102,1,1,4,41,0,1483196400,2524575600
2010202,20102,2,1,4,42,0,1483196400,2524575600
2010203,20102,3,1,4,43,0,1483196400,2524575600
2010301,20103,1,1,4,41,0,1483196400,2524575600
2010302,20103,2,1,4,42,0,1483196400,2524575600
2010303,20103,3,1,4,43,0,1483196400,2524575600
2010401,20104,1,1,4,41,0,1483196400,2524575600
2010402,20104,2,1,4,42,0,1483196400,2524575600
2010403,20104,3,1,4,43,0,1483196400,2524575600
2010501,20105,1,1,4,41,0,1483196400,2524575600
2010502,20105,2,1,4,42,0,1483196400,2524575600
2010503,20105,3,1,4,43,0,1483196400,2524575600
2010601,20106,1,1,4,41,0,1483196400,2524575600
2010602,20106,2,1,4,42,0,1483196400,2524575600
2010603,20106,3,1,4,43,0,1483196400,2524575600
2010701,20107,1,1,4,41,0,1483196400,2524575600
2010702,20107,2,1,4,42,0,1483196400,2524575600
2010703,20107,3,1,4,43,0,1483196400,2524575600
2010801,20108,1,1,4,41,0,1483196400,2524575600
2010802,20108,2,1,4,42,0,1483196400,2524575600
2010803,20108,3,1,4,43,0,1483196400,2524575600
2010901,20109,1,1,4,41,0,1483196400,2524575600
2010902,20109,2,1,4,42,0,1483196400,2524575600
2010903,20109,3,1,4,43,0,1483196400,2524575600
2011001,20110,1,1,4,41,0,1483196400,2524575600
2011002,20110,2,1,4,42,0,1483196400,2524575600
2011003,20110,3,1,4,43,0,1483196400,2524575600
2011101,20111,1,1,4,41,0,1483196400,2524575600
2011102,20111,2,1,4,42,0,1483196400,2524575600
2011103,20111,3,1,4,43,0,1483196400,2524575600
2011201,20112,1,1,4,41,0,1483196400,2524575600
2011202,20112,2,1,4,42,0,1483196400,2524575600
2011203,20112,3,1,4,43,0,1483196400,2524575600
2011301,20113,1,1,4,41,0,1483196400,2524575600
2011302,20113,2,1,4,42,0,1483196400,2524575600
2011303,20113,3,1,4,43,0,1483196400,2524575600
2011401,20114,1,1,4,41,0,1483196400,2524575600
2011402,20114,2,1,4,42,0,1483196400,2524575600
2011403,20114,3,1,4,43,0,1483196400,2524575600
2011501,20115,1,1,4,41,0,1483196400,2524575600
2011502,20115,2,1,4,42,0,1483196400,2524575600
2011503,20115,3,1,4,43,0,1483196400,2524575600
2011601,20116,1,1,4,41,0,1483196400,2524575600
2011602,20116,2,1,4,42,0,1483196400,2524575600
2011603,20116,3,1,4,43,0,1483196400,2524575600
2011701,20117,1,1,4,41,0,1483196400,2524575600
2011702,20117,2,1,4,42,0,1483196400,2524575600
2011703,20117,3,1,4,43,0,1483196400,2524575600
2011801,20118,1,1,4,41,0,1483196400,2524575600
2011802,20118,2,1,4,42,0,1483196400,2524575600
2011803,20118,3,1,4,43,0,1483196400,2524575600
2011901,20119,1,1,4,41,0,1483196400,2524575600
2011902,20119,2,1,4,42,0,1483196400,2524575600
2011903,20119,3,1,4,43,0,1483196400,2524575600
2012001,20120,1,1,4,41,0,1483196400,2524575600
2012002,20120,2,1,4,42,0,1483196400,2524575600
2012003,20120,3,1,4,43,0,1483196400,2524575600
2012101,20121,1,1,4,41,0,1483196400,2524575600
2012102,20121,2,1,4,42,0,1483196400,2524575600
2012103,20121,3,1,4,43,0,1483196400,2524575600
2012201,20122,1,1,4,41,0,1483196400,2524575600
2012202,20122,2,1,4,42,0,1483196400,2524575600
2012203,20122,3,1,4,43,0,1483196400,2524575600
2012301,20123,1,1,4,41,0,1483196400,2524575600
2012302,20123,2,1,4,42,0,1483196400,2524575600
2012303,20123,3,1,4,43,0,1483196400,2524575600
2012401,20124,1,1,4,41,0,1483196400,2524575600
2012402,20124,2,1,4,42,0,1483196400,2524575600
2012403,20124,3,1,4,43,0,1483196400,2524575600
2012501,20125,1,1,4,41,0,1483196400,2524575600
2012502,20125,2,1,4,42,0,1483196400,2524575600
2012503,20125,3,1,4,43,0,1483196400,2524575600
2012601,20126,1,1,4,41,0,1483196400,2524575600
2012602,20126,2,1,4,42,0,1483196400,2524575600
2012603,20126,3,1,4,43,0,1483196400,2524575600
2012701,20127,1,1,4,41,0,1483196400,2524575600
2012702,20127,2,1,4,42,0,1483196400,2524575600
2012703,20127,3,1,4,43,0,1483196400,2524575600
2012801,20128,1,1,4,41,0,1483196400,2524575600
2012802,20128,2,1,4,42,0,1483196400,2524575600
