id,command_group_id,chara_type,se_cue_name,se_cuesheet_name
54,4022,3,snd_sfx_UI_cooking_eat_4022_c_l,snd_sfx_home_002_cooking
55,4022,4,snd_sfx_UI_cooking_eat_4022_n_d,snd_sfx_home_002_cooking
56,4022,5,snd_sfx_UI_cooking_eat_4022_l_d,snd_sfx_home_002_cooking
57,4022,6,snd_sfx_UI_cooking_eat_4022_c_d,snd_sfx_home_002_cooking
58,5022,1,snd_sfx_UI_cooking_eat_5022_n,snd_sfx_home_002_cooking
59,5022,2,snd_sfx_UI_cooking_eat_5022_l,snd_sfx_home_002_cooking
60,5022,3,snd_sfx_UI_cooking_eat_5022_c,snd_sfx_home_002_cooking
61,9000,1,snd_sfx_UI_cooking_eat_9000_n,snd_sfx_home_002_cooking
62,9000,2,snd_sfx_UI_cooking_eat_9000_l,snd_sfx_home_002_cooking
63,9000,3,snd_sfx_UI_cooking_eat_9000_l,snd_sfx_home_002_cooking
64,9010,1,snd_sfx_UI_cooking_eat_9000_n,snd_sfx_home_002_cooking
65,9010,2,snd_sfx_UI_cooking_eat_9000_l,snd_sfx_home_002_cooking
66,9010,3,snd_sfx_UI_cooking_eat_9000_l,snd_sfx_home_002_cooking
