id,facility_id,state_id,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
300,105,10531,2,3,30,3605,0
301,105,10531,201,2,60,106,0
302,105,10531,201,3,60,106,0
303,105,10541,1,9,5,5,0
304,105,10541,1,9,1,30,0
305,105,10541,2,0,15,0,0
306,105,10541,2,1,15,0,0
307,105,10541,201,0,50,106,0
308,105,10541,201,1,50,106,0
309,105,10541,2,2,40,3605,0
310,105,10541,2,3,40,3605,0
311,105,10541,201,2,80,106,0
312,105,10541,201,3,80,106,0
313,105,10551,1,9,7,5,0
314,105,10551,1,9,1,1,0
315,105,10551,1,9,2,30,0
316,105,10551,2,0,25,0,0
317,105,10551,2,1,25,0,0
318,105,10551,201,0,80,106,0
319,105,10551,201,1,80,106,0
320,105,10551,2,2,60,3605,0
321,105,10551,2,3,60,3605,0
322,105,10551,201,2,100,106,0
323,105,10551,201,3,100,106,0
324,105,10532,1,9,2,5,0
325,105,10532,2,0,5,0,0
326,105,10532,2,1,5,0,0
327,105,10532,2,2,20,3605,0
328,105,10532,2,3,20,3605,0
329,105,10532,204,2,200,3605,0
330,105,10532,204,3,200,3605,0
331,105,10532,201,2,20,106,0
332,105,10532,201,3,20,106,0
333,105,10542,1,9,2,5,0
334,105,10542,1,9,1,30,0
335,105,10542,2,0,10,0,0
336,105,10542,2,1,10,0,0
337,105,10542,2,2,25,3605,0
338,105,10542,2,3,25,3605,0
339,105,10542,101,2,0,3605,0
340,105,10542,101,3,0,3605,0
341,105,10542,201,2,30,106,0
342,105,10542,201,3,30,106,0
343,105,10552,1,9,3,5,0
344,105,10552,1,9,1,1,0
345,105,10552,1,9,1,30,0
346,105,10552,2,0,15,0,0
347,105,10552,2,1,15,0,0
348,105,10552,2,2,30,3605,0
349,105,10552,2,3,30,3605,0
350,105,10552,101,2,0,3605,0
351,105,10552,101,3,0,3605,0
352,105,10552,102,2,0,3605,0
353,105,10552,102,3,0,3605,0
354,105,10552,201,2,50,106,0
355,105,10552,201,3,50,106,0
356,106,10610,103,9,500,0,0
357,106,10610,1,9,1,30,0
358,106,10610,2,0,5,0,0
359,106,10610,2,1,5,0,0
360,106,10610,205,9,10,0,0
361,106,10620,103,9,500,0,0
362,106,10620,1,9,1,30,0
363,106,10620,2,0,10,0,0
364,106,10620,2,1,10,0,0
365,106,10620,205,9,10,0,0
366,106,10620,204,9,100,0,0
367,106,10630,103,9,500,0,0
368,106,10630,1,9,1,30,0
369,106,10630,2,0,15,0,0
370,106,10630,2,1,15,0,0
371,106,10630,205,9,20,0,0
372,106,10630,204,9,200,0,0
373,106,10630,206,9,200,1,0
374,106,10610,104,0,25,2,0
375,106,10610,104,0,65,3,0
376,106,10610,104,0,70,4,0
377,106,10610,104,0,75,5,0
378,106,10610,104,1,25,2,0
379,106,10610,104,1,65,3,0
380,106,10610,104,1,70,4,0
381,106,10610,104,1,75,5,0
382,106,10620,104,0,25,2,0
383,106,10620,104,0,65,3,0
384,106,10620,104,0,70,4,0
385,106,10620,104,0,75,5,0
386,106,10620,104,1,25,2,0
387,106,10620,104,1,65,3,0
388,106,10620,104,1,70,4,0
389,106,10620,104,1,75,5,0
390,106,10630,104,0,25,2,0
391,106,10630,104,0,65,3,0
392,106,10630,104,0,70,4,0
393,106,10630,104,0,75,5,0
394,106,10630,104,1,25,2,0
395,106,10630,104,1,65,3,0
396,106,10630,104,1,70,4,0
397,106,10630,104,1,75,5,0
398,106,10610,104,0,80,6,0
399,106,10610,104,1,80,6,0
400,106,10620,104,0,80,6,0
401,106,10620,104,1,80,6,0
402,106,10630,104,0,80,6,0
403,106,10630,104,1,80,6,0
