id,type,init,limit_lv5,limit_lv10,limit_lv15,limit_lv20,limit_lv25,limit_lv30,limit_lv35,limit_lv40,limit_lv45,limit_lv50
10007,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10007,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10007,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10007,19,5,-1,-1,-1,35,-1,-1,-1,50,-1,-1
10008,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10008,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10008,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10008,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10008,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10008,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10008,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10009,1,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10009,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10009,6,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10009,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10009,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10009,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10009,19,5,-1,-1,-1,35,-1,-1,-1,50,-1,-1
10010,1,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10010,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10010,6,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10010,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10010,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10010,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10010,19,5,-1,-1,-1,35,-1,-1,-1,50,-1,-1
10011,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10011,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10011,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10011,11,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10011,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10011,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10011,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10011,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10012,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10012,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10012,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10012,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10012,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10012,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10012,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10013,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10013,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10013,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10013,13,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10013,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10013,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10013,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10013,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10013,31,1,-1,-1,-1,2,-1,-1,-1,3,-1,-1
10014,1,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10014,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10014,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10014,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10014,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10014,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10014,19,5,-1,-1,-1,35,-1,-1,-1,50,-1,-1
10015,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10015,2,10,-1,-1,-1,25,-1,-1,-1,35,-1,-1
10015,6,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10015,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10015,17,-1,1,-1,1,1,-1,-1,2,-1,-1,-1
10015,18,-1,5,-1,20,20,-1,-1,30,-1,-1,-1
10015,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10016,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10016,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10016,6,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10016,12,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10016,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10016,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10016,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10016,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10017,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10017,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10017,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10017,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10017,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10017,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10017,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10018,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10018,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10018,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10018,9,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10018,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10018,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10018,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10018,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10019,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10019,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10019,8,1,-1,-1,-1,5,-1,-1,-1,10,-1,-1
10019,10,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10019,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10019,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10019,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10020,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10020,8,1,-1,-1,-1,5,-1,-1,-1,10,-1,-1
10020,12,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10020,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10020,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10020,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10020,30,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10021,8,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
10021,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10021,25,10,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10021,26,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10021,27,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10021,28,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10022,8,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1
10022,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10022,25,10,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10022,26,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10022,27,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10022,28,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10023,1,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10023,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10023,7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10023,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10023,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10023,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10023,19,5,-1,-1,-1,35,-1,-1,-1,50,-1,-1
10023,31,1,-1,-1,-1,2,-1,-1,-1,3,-1,-1
10024,1,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10024,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10024,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10024,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10024,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10024,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10024,19,5,-1,-1,-1,35,-1,-1,-1,50,-1,-1
10025,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10025,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10025,6,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10025,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10025,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10025,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10025,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10025,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10025,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10026,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10026,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10026,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10026,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10026,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10026,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10026,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10026,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10026,30,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10027,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10027,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10027,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10027,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10027,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10027,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10027,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10027,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10027,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10028,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10028,7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10028,8,1,-1,-1,-1,5,-1,-1,-1,10,-1,-1
10028,13,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10028,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10028,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10028,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10028,31,1,-1,-1,-1,2,-1,-1,-1,3,-1,-1
10029,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10029,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10029,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10029,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10029,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10029,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10029,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10029,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10029,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10030,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10030,8,1,-1,-1,-1,5,-1,-1,-1,10,-1,-1
10030,10,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10030,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10030,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10030,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10030,30,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10031,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10031,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10031,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10031,10,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10031,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10031,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10031,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10031,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10032,1,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10032,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10032,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10032,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10032,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10032,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10032,19,5,-1,-1,-1,35,-1,-1,-1,50,-1,-1
10033,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10033,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10033,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10033,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10033,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10033,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10033,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10034,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10034,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10034,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10034,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10034,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10034,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10034,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10035,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10035,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10035,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10035,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10035,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10035,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10035,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10035,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10035,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10036,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10036,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10036,7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10036,13,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10036,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10036,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10036,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10036,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10036,31,1,-1,-1,-1,2,-1,-1,-1,3,-1,-1
10037,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10037,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10037,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10037,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10037,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10037,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10037,30,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10037,31,1,-1,-1,-1,2,-1,-1,-1,3,-1,-1
10038,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10038,2,10,-1,-1,-1,25,-1,-1,-1,35,-1,-1
10038,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10038,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10038,17,-1,1,-1,1,1,-1,-1,2,-1,-1,-1
10038,18,-1,5,-1,20,20,-1,-1,30,-1,-1,-1
10038,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10039,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10039,2,10,-1,-1,-1,25,-1,-1,-1,35,-1,-1
10039,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10039,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10039,17,-1,1,-1,1,1,-1,-1,2,-1,-1,-1
10039,18,-1,5,-1,20,20,-1,-1,30,-1,-1,-1
10039,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10040,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10040,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10040,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10040,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10040,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10040,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10040,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10040,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10040,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10041,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10041,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10041,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10041,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10041,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10041,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10041,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10041,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10041,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10042,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10042,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10042,8,1,-1,-1,-1,5,-1,-1,-1,10,-1,-1
10042,9,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10042,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10042,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10042,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10043,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10043,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10043,7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10043,13,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10043,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10043,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10043,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10043,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10043,31,1,-1,-1,-1,2,-1,-1,-1,3,-1,-1
10044,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10044,2,10,-1,-1,-1,25,-1,-1,-1,35,-1,-1
10044,7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10044,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10044,17,-1,1,-1,1,1,-1,-1,2,-1,-1,-1
10044,18,-1,5,-1,20,20,-1,-1,30,-1,-1,-1
10044,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10044,31,1,-1,-1,-1,2,-1,-1,-1,3,-1,-1
10045,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10045,6,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10045,8,1,-1,-1,-1,5,-1,-1,-1,10,-1,-1
10045,12,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10045,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10045,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10045,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10046,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10046,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10046,7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10046,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10046,14,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10046,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10046,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10046,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10046,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10046,31,1,-1,-1,-1,2,-1,-1,-1,3,-1,-1
10047,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10047,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10047,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10047,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10047,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10047,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10047,30,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10048,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10048,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10048,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10048,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10048,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10048,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10048,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10049,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10049,2,10,-1,-1,-1,25,-1,-1,-1,35,-1,-1
10049,7,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10049,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10049,17,-1,1,-1,1,1,-1,-1,2,-1,-1,-1
10049,18,-1,5,-1,20,20,-1,-1,30,-1,-1,-1
10049,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10049,31,1,-1,-1,-1,2,-1,-1,-1,3,-1,-1
10050,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10050,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10050,13,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10050,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10050,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10050,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10050,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10050,30,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10051,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10051,2,10,-1,-1,-1,25,-1,-1,-1,35,-1,-1
10051,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10051,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10051,17,-1,1,-1,1,1,-1,-1,2,-1,-1,-1
10051,18,-1,5,-1,20,20,-1,-1,30,-1,-1,-1
10051,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10052,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10052,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10052,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10052,11,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10052,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10052,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10052,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10052,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10053,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10053,8,1,-1,-1,-1,5,-1,-1,-1,10,-1,-1
