id,trained_chara_rank,trade_item_category,trade_item_id,trade_item_num
110,110,91,59,2676
111,111,91,59,2684
112,112,91,59,2692
113,113,91,59,2700
114,114,91,59,2708
115,115,91,59,2716
116,116,91,59,2724
117,117,91,59,2732
118,118,91,59,2740
119,119,91,59,2748
120,120,91,59,2756
121,121,91,59,2764
122,122,91,59,2772
123,123,91,59,2780
124,124,91,59,2788
125,125,91,59,2796
126,126,91,59,2804
127,127,91,59,2812
128,128,91,59,2820
129,129,91,59,2828
130,130,91,59,2836
131,131,91,59,2844
132,132,91,59,2852
133,133,91,59,2860
134,134,91,59,2868
135,135,91,59,2876
136,136,91,59,2884
137,137,91,59,2892
138,138,91,59,2900
139,139,91,59,2908
140,140,91,59,2916
141,141,91,59,2924
142,142,91,59,2932
143,143,91,59,2940
144,144,91,59,2948
145,145,91,59,2956
146,146,91,59,2964
147,147,91,59,2972
148,148,91,59,2980
149,149,91,59,2988
150,150,91,59,2996
151,151,91,59,3004
152,152,91,59,3012
153,153,91,59,3020
154,154,91,59,3028
155,155,91,59,3036
156,156,91,59,3044
157,157,91,59,3052
158,158,91,59,3060
159,159,91,59,3068
160,160,91,59,3076
161,161,91,59,3084
162,162,91,59,3092
163,163,91,59,3100
164,164,91,59,3108
165,165,91,59,3116
166,166,91,59,3124
167,167,91,59,3132
168,168,91,59,3140
169,169,91,59,3148
170,170,91,59,3156
171,171,91,59,3164
172,172,91,59,3172
173,173,91,59,3180
174,174,91,59,3188
175,175,91,59,3196
176,176,91,59,3204
177,177,91,59,3212
178,178,91,59,3220
179,179,91,59,3228
180,180,91,59,3236
181,181,91,59,3244
182,182,91,59,3252
183,183,91,59,3260
184,184,91,59,3268
185,185,91,59,3276
186,186,91,59,3284
187,187,91,59,3292
188,188,91,59,3300
189,189,91,59,3308
190,190,91,59,3316
191,191,91,59,3324
192,192,91,59,3332
193,193,91,59,3340
194,194,91,59,3348
195,195,91,59,3356
196,196,91,59,3364
197,197,91,59,3372
198,198,91,59,3380
199,199,91,59,3388
200,200,91,59,3396
201,201,91,59,3404
202,202,91,59,3412
203,203,91,59,3420
204,204,91,59,3428
205,205,91,59,3436
206,206,91,59,3444
207,207,91,59,3452
208,208,91,59,3460
209,209,91,59,3468
210,210,91,59,3476
211,211,91,59,3484
212,212,91,59,3492
213,213,91,59,3500
214,214,91,59,3508
215,215,91,59,3516
216,216,91,59,3524
217,217,91,59,3532
218,218,91,59,3540
219,219,91,59,3548
220,220,91,59,3556
221,221,91,59,3564
222,222,91,59,3572
223,223,91,59,3580
224,224,91,59,3588
225,225,91,59,3596
226,226,91,59,3604
227,227,91,59,3612
228,228,91,59,3620
229,229,91,59,3628
230,230,91,59,3636
231,231,91,59,3644
232,232,91,59,3652
233,233,91,59,3660
234,234,91,59,3668
235,235,91,59,3676
236,236,91,59,3684
237,237,91,59,3692
238,238,91,59,3700
239,239,91,59,3708
240,240,91,59,3716
241,241,91,59,3724
242,242,91,59,3732
243,243,91,59,3740
244,244,91,59,3748
245,245,91,59,3756
246,246,91,59,3764
247,247,91,59,3772
248,248,91,59,3780
249,249,91,59,3788
250,250,91,59,3796
251,251,91,59,3804
252,252,91,59,3812
253,253,91,59,3820
254,254,91,59,3828
255,255,91,59,3836
256,256,91,59,3844
257,257,91,59,3852
258,258,91,59,3860
259,259,91,59,3868
260,260,91,59,3876
261,261,91,59,3884
262,262,91,59,3892
263,263,91,59,3900
264,264,91,59,3908
265,265,91,59,3916
266,266,91,59,3924
267,267,91,59,3932
268,268,91,59,3940
269,269,91,59,3948
270,270,91,59,3956
271,271,91,59,3964
272,272,91,59,3972
273,273,91,59,3980
274,274,91,59,3988
275,275,91,59,3996
276,276,91,59,4004
277,277,91,59,4012
278,278,91,59,4020
279,279,91,59,4028
280,280,91,59,4036
281,281,91,59,4044
282,282,91,59,4052
283,283,91,59,4060
284,284,91,59,4068
285,285,91,59,4076
286,286,91,59,4084
287,287,91,59,4092
288,288,91,59,4100
289,289,91,59,4108
290,290,91,59,4116
291,291,91,59,4124
292,292,91,59,4132
293,293,91,59,4140
294,294,91,59,4148
295,295,91,59,4156
296,296,91,59,4164
297,297,91,59,4172
298,298,91,59,4180
