id,chara_id,default_rarity,limited_chara,available_skill_set_id,talent_speed,talent_stamina,talent_pow,talent_guts,talent_wiz,talent_group_id,bg_id,get_piece_id,running_style
106001,1060,1,0,106001,0,0,20,0,10,106001,48,106001,3
106002,1060,3,0,106002,0,10,10,0,10,106002,418,106002,3
106003,1060,3,0,106003,14,0,8,0,8,106003,87,106003,3
106101,1061,1,0,106101,0,0,20,10,0,106101,51,106101,3
106102,1061,3,0,106102,10,0,10,10,0,106102,425,106102,3
106103,1061,3,0,106103,0,0,10,10,10,106103,291,106103,3
106201,1062,2,0,106201,0,20,0,10,0,106201,48,106201,3
106202,1062,3,0,106202,10,0,20,0,0,106202,524,106202,3
106301,1063,2,0,106301,0,0,0,20,10,106301,55,106301,2
106302,1063,3,0,106302,0,10,10,10,0,106302,816,106302,2
106401,1064,3,0,106401,10,10,0,10,0,106401,155,106401,1
106402,1064,3,0,106402,10,20,0,0,0,106402,593,106402,1
106501,1065,3,0,106501,15,0,15,0,0,106501,127,106501,2
106502,1065,3,0,106502,8,0,14,8,0,106502,646,106502,1
106601,1066,1,0,106601,30,0,0,0,0,106601,21,106601,1
106701,1067,3,0,106701,0,15,0,0,15,106701,30,106701,3
106702,1067,3,0,106702,15,15,0,0,0,106702,487,106702,3
106703,1067,3,0,106703,8,14,0,8,0,106703,547,106703,3
106801,1068,3,0,106801,20,10,0,0,0,106801,21,106801,1
106802,1068,3,0,106802,10,0,10,0,10,106802,494,106802,1
106803,1068,3,0,106803,10,0,0,20,0,106803,285,106803,1
106901,1069,3,0,106901,10,0,0,10,10,106901,8,106901,2
106902,1069,3,0,106902,8,0,14,0,8,106902,419,106902,2
107001,1070,3,0,107001,0,0,10,0,20,107001,1,107001,2
107002,1070,3,0,107002,0,0,10,20,0,107002,582,107002,3
107101,1071,3,0,107101,10,0,0,0,20,107101,61,107101,2
107102,1071,3,0,107102,8,8,0,0,14,107102,514,107102,2
107201,1072,3,0,107201,0,0,20,10,0,107201,53,107201,2
107202,1072,3,0,107202,0,6,12,12,0,107202,657,107202,2
107301,1073,2,0,107301,0,0,20,10,0,107301,61,107301,2
107401,1074,3,0,107401,0,14,0,8,8,107401,25,107401,3
107402,1074,3,0,107402,0,20,0,0,10,107402,592,107402,3
107601,1076,3,0,107601,0,20,10,0,0,107601,25,107601,3
107602,1076,3,0,107602,0,10,0,20,0,107602,872,107602,3
107701,1077,3,0,107701,20,10,0,0,0,107701,63,107701,2
107702,1077,3,0,107702,0,10,20,0,0,107702,730,107702,2
107703,1077,3,0,107703,0,5,10,0,15,107703,920,107703,2
107801,1078,3,0,107801,10,0,0,10,10,107801,152,107801,2
107802,1078,3,0,107802,0,0,15,15,0,107802,405,107802,2
107901,1079,3,0,107901,20,0,0,10,0,107901,740,107901,2
108001,1080,3,0,108001,10,0,10,0,10,108001,126,108001,1
108002,1080,3,0,108002,0,0,15,0,15,108002,721,108002,1
108101,1081,3,0,108101,0,0,10,20,0,108101,466,108101,2
108201,1082,3,0,108201,20,0,0,0,10,108201,41,108201,2
108202,1082,3,0,108202,15,0,0,0,15,108202,894,108202,4
108301,1083,3,0,108301,0,15,15,0,0,108301,54,108301,3
108302,1083,3,0,108302,15,0,15,0,0,108302,353,108302,3
108401,1084,3,0,108401,0,0,30,0,0,108401,158,108401,4
108402,1084,3,0,108402,10,0,10,10,0,108402,759,108402,4
108501,1085,3,0,108501,0,0,20,0,10,108501,239,108501,3
108502,1085,3,0,108502,6,0,12,0,12,108502,410,108502,3
108601,1086,3,0,108601,15,0,0,0,15,108601,395,108601,2
108602,1086,3,0,108602,0,0,15,5,10,108602,792,108602,2
108701,1087,3,0,108701,20,0,0,10,0,108701,3,108701,1
108702,1087,3,0,108702,10,0,10,10,0,108702,754,108702,1
108801,1088,3,0,108801,0,0,15,15,0,108801,28,108801,3
108802,1088,3,0,108802,0,10,6,14,0,108802,802,108802,3
108901,1089,3,0,108901,0,10,0,10,10,108901,126,108901,2
108902,1089,3,0,108902,0,10,0,20,0,108902,803,108902,2
109001,1090,3,0,109001,0,0,15,15,0,109001,44,109001,1
109101,1091,3,0,109101,10,0,10,0,10,109101,1,109101,3
109102,1091,3,0,109102,10,0,0,10,10,109102,804,109102,3
109201,1092,3,0,109201,0,10,0,20,0,109201,21,109201,2
109301,1093,3,0,109301,15,0,0,15,0,109301,21,109301,2
109302,1093,3,0,109302,15,0,15,0,0,109302,510,109302,2
109401,1094,3,0,109401,10,10,10,0,0,109401,466,109401,3
109402,1094,3,0,109402,0,7,10,13,0,109402,927,109402,3
109501,1095,3,0,109501,0,0,10,10,10,109501,835,109501,2
109601,1096,3,0,109601,0,20,0,0,10,109601,26,109601,3
109701,1097,3,0,109701,0,10,10,10,0,109701,15,109701,3
109801,1098,3,0,109801,0,0,10,0,20,109801,127,109801,2
109802,1098,3,0,109802,0,10,5,10,5,109802,779,109802,1
109901,1099,3,0,109901,10,10,0,0,10,109901,41,109901,2
109902,1099,3,0,109902,15,10,0,0,5,109902,684,109902,2
110001,1100,3,0,110001,0,0,0,15,15,110001,28,110001,2
110002,1100,3,0,110002,0,10,10,10,0,110002,806,110002,2
110201,1102,3,0,110201,0,10,10,10,0,110201,239,110201,3
110202,1102,3,0,110202,0,14,8,8,0,110202,867,110202,2
110301,1103,2,0,110301,0,0,10,0,20,110301,53,110301,2
110401,1104,3,0,110401,10,0,10,10,0,110401,239,110401,1
110402,1104,3,0,110402,5,0,10,15,0,110402,735,110402,1
110501,1105,3,0,110501,0,0,0,0,30,110501,57,110501,3
110502,1105,3,0,110502,0,0,7,10,13,110502,698,110502,3
110601,1106,3,0,110601,7,8,7,8,0,110601,30,110601,3
110602,1106,3,0,110602,0,14,8,8,0,110602,818,110602,3
110701,1107,3,0,110701,10,0,10,10,0,110701,51,110701,1
110702,1107,3,0,110702,10,0,0,20,0,110702,758,110702,1
110801,1108,3,0,110801,20,0,10,0,0,110801,395,110801,4
110901,1109,3,0,110901,0,0,15,15,0,110901,127,110901,2
110902,1109,3,1,110902,5,0,15,0,10,110902,122,110902,2
111001,1110,3,0,111001,10,0,10,0,10,111001,155,111001,3
111002,1110,3,0,111002,0,0,10,20,0,111002,293,111002,2
111101,1111,3,0,111101,0,0,15,0,15,111101,27,111101,3
111201,1112,3,0,111201,0,0,0,20,10,111201,35,111201,2
111301,1113,3,0,111301,0,10,0,10,10,111301,27,111301,2
111401,1114,3,0,111401,10,0,10,0,10,111401,1,111401,4
111501,1115,3,0,111501,10,10,10,0,0,111501,56,111501,4
111601,1116,3,0,111601,10,10,10,0,0,111601,53,111601,2
111602,1116,3,0,111602,0,0,10,10,10,111602,937,111602,3
111701,1117,3,0,111701,10,0,10,10,0,111701,51,111701,4
111801,1118,3,0,111801,10,0,0,10,10,111801,39,111801,3
111901,1119,3,0,111901,0,10,10,0,10,111901,671,111901,4
111902,1119,3,0,111902,20,10,0,0,0,111902,845,111902,4
112001,1120,3,0,112001,15,0,15,0,0,112001,30,112001,1
112101,1121,3,0,112101,20,0,10,0,0,112101,3,112101,4
112401,1124,3,0,112401,20,0,0,10,0,112401,26,112401,2
112402,1124,3,0,112402,0,0,10,20,0,112402,873,112402,2
112701,1127,3,0,112701,0,10,0,20,0,112701,466,112701,2
112901,1129,3,0,112901,10,10,10,0,0,112901,25,112901,2
113001,1130,3,0,113001,0,0,10,10,10,113001,127,113001,2
113101,1131,3,0,113101,0,0,10,20,0,113101,37,113101,3
113201,1132,3,0,113201,10,10,0,10,0,113201,4,113201,3
113202,1132,3,0,113202,0,10,0,10,10,113202,839,113202,2
113301,1133,3,0,113301,10,10,0,10,0,113301,75,113301,2
113401,1134,3,0,113401,0,10,0,10,10,113401,754,113401,2
113501,1135,3,0,113501,0,10,0,20,0,113501,14,113501,3
113601,1136,3,0,113601,10,0,0,10,10,113601,273,113601,3
113701,1137,3,0,113701,10,0,0,10,10,113701,835,113701,1
114301,1143,3,0,114301,0,10,0,10,10,114301,754,114301,3
9100101,1001,0,0,0,0,0,0,0,0,0,8,0,3
9101101,1011,0,0,0,0,0,0,0,0,0,21,0,3
