id,item_pack_id,item_category,item_id,item_num,start_date,end_date
29,2000,51,30028,1,2017-01-01 12:00:00,2050-01-10 00:00:00
30,2000,51,30010,1,2017-01-01 12:00:00,2050-01-10 00:00:00
31,2000,51,30002,1,2017-01-01 12:00:00,2050-01-10 00:00:00
32,2000,51,30103,1,2017-01-01 12:00:00,2050-01-10 00:00:00
33,2000,51,30019,5,2017-01-01 12:00:00,2050-01-10 00:00:00
34,2000,51,30186,5,2017-01-01 12:00:00,2050-01-10 00:00:00
35,2000,51,20007,5,2017-01-01 12:00:00,2050-01-10 00:00:00
36,2000,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
37,2000,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
38,2001,51,30028,1,2017-01-01 12:00:00,2050-01-10 00:00:00
39,2001,51,30010,1,2017-01-01 12:00:00,2050-01-10 00:00:00
40,2001,51,30002,1,2017-01-01 12:00:00,2050-01-10 00:00:00
41,2001,51,30103,1,2017-01-01 12:00:00,2050-01-10 00:00:00
42,2001,51,30015,5,2017-01-01 12:00:00,2050-01-10 00:00:00
43,2001,51,30070,5,2017-01-01 12:00:00,2050-01-10 00:00:00
44,2001,51,20060,5,2017-01-01 12:00:00,2050-01-10 00:00:00
45,2001,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
46,2001,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
47,2002,51,30028,1,2017-01-01 12:00:00,2050-01-10 00:00:00
48,2002,51,30010,1,2017-01-01 12:00:00,2050-01-10 00:00:00
49,2002,51,30002,1,2017-01-01 12:00:00,2050-01-10 00:00:00
50,2002,51,30103,1,2017-01-01 12:00:00,2050-01-10 00:00:00
51,2002,51,30205,5,2017-01-01 12:00:00,2050-01-10 00:00:00
52,2002,51,30216,5,2017-01-01 12:00:00,2050-01-10 00:00:00
53,2002,51,20024,5,2017-01-01 12:00:00,2050-01-10 00:00:00
54,2002,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
55,2002,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
56,2003,51,30028,1,2017-01-01 12:00:00,2050-01-10 00:00:00
57,2003,51,30010,1,2017-01-01 12:00:00,2050-01-10 00:00:00
58,2003,51,30002,1,2017-01-01 12:00:00,2050-01-10 00:00:00
59,2003,51,30103,1,2017-01-01 12:00:00,2050-01-10 00:00:00
60,2003,51,30069,5,2017-01-01 12:00:00,2050-01-10 00:00:00
61,2003,51,30084,5,2017-01-01 12:00:00,2050-01-10 00:00:00
62,2003,51,20038,5,2017-01-01 12:00:00,2050-01-10 00:00:00
63,2003,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
64,2003,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
65,2004,51,30028,1,2017-01-01 12:00:00,2050-01-10 00:00:00
66,2004,51,30010,1,2017-01-01 12:00:00,2050-01-10 00:00:00
67,2004,51,30002,1,2017-01-01 12:00:00,2050-01-10 00:00:00
68,2004,51,30103,1,2017-01-01 12:00:00,2050-01-10 00:00:00
69,2004,51,30113,5,2017-01-01 12:00:00,2050-01-10 00:00:00
70,2004,51,30129,5,2017-01-01 12:00:00,2050-01-10 00:00:00
71,2004,51,20017,5,2017-01-01 12:00:00,2050-01-10 00:00:00
72,2004,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
73,2004,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
74,1021,41,278,1,2017-01-01 12:00:00,2030-01-10 00:00:00
75,1022,185,5003,1,2017-01-01 12:00:00,2030-01-10 00:00:00
76,1022,20,32,10,2017-01-01 12:00:00,2030-01-10 00:00:00
77,1022,11,162,10,2017-01-01 12:00:00,2030-01-10 00:00:00
78,1022,11,163,10,2017-01-01 12:00:00,2030-01-10 00:00:00
79,1023,41,289,1,2017-01-01 12:00:00,2030-01-10 00:00:00
80,1024,42,290,1,2017-01-01 12:00:00,2030-01-10 00:00:00
81,1025,185,5004,1,2017-01-01 12:00:00,2030-01-10 00:00:00
82,1025,20,32,10,2017-01-01 12:00:00,2030-01-10 00:00:00
83,1025,11,162,10,2017-01-01 12:00:00,2030-01-10 00:00:00
84,1025,11,163,10,2017-01-01 12:00:00,2030-01-10 00:00:00
85,1026,91,59,240000,2017-01-01 12:00:00,2030-01-10 00:00:00
86,1026,11,160,12,2017-01-01 12:00:00,2030-01-10 00:00:00
87,1026,11,161,6,2017-01-01 12:00:00,2030-01-10 00:00:00
88,1027,41,298,1,2017-01-01 12:00:00,2030-01-10 00:00:00
89,1028,185,5005,1,2017-01-01 12:00:00,2030-01-10 00:00:00
90,1028,20,32,10,2017-01-01 12:00:00,2030-01-10 00:00:00
91,1028,11,162,10,2017-01-01 12:00:00,2030-01-10 00:00:00
92,1028,11,163,10,2017-01-01 12:00:00,2030-01-10 00:00:00
93,1029,185,5006,1,2017-01-01 12:00:00,2030-01-10 00:00:00
94,1029,20,32,10,2017-01-01 12:00:00,2030-01-10 00:00:00
95,1029,11,162,10,2017-01-01 12:00:00,2030-01-10 00:00:00
96,1029,11,163,10,2017-01-01 12:00:00,2030-01-10 00:00:00
97,2005,51,30107,1,2017-01-01 12:00:00,2050-01-10 00:00:00
98,2005,51,30031,1,2017-01-01 12:00:00,2050-01-10 00:00:00
99,2005,51,30072,1,2017-01-01 12:00:00,2050-01-10 00:00:00
100,2005,51,30082,1,2017-01-01 12:00:00,2050-01-10 00:00:00
101,2005,51,30086,5,2017-01-01 12:00:00,2050-01-10 00:00:00
102,2005,51,30005,5,2017-01-01 12:00:00,2050-01-10 00:00:00
103,2005,51,20079,5,2017-01-01 12:00:00,2050-01-10 00:00:00
104,2005,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
105,2005,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
106,2006,51,30107,1,2017-01-01 12:00:00,2050-01-10 00:00:00
107,2006,51,30031,1,2017-01-01 12:00:00,2050-01-10 00:00:00
108,2006,51,30072,1,2017-01-01 12:00:00,2050-01-10 00:00:00
109,2006,51,30082,1,2017-01-01 12:00:00,2050-01-10 00:00:00
110,2006,51,30159,5,2017-01-01 12:00:00,2050-01-10 00:00:00
111,2006,51,30056,5,2017-01-01 12:00:00,2050-01-10 00:00:00
112,2006,51,20029,5,2017-01-01 12:00:00,2050-01-10 00:00:00
113,2006,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
114,2006,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
115,2007,51,30107,1,2017-01-01 12:00:00,2050-01-10 00:00:00
116,2007,51,30031,1,2017-01-01 12:00:00,2050-01-10 00:00:00
117,2007,51,30072,1,2017-01-01 12:00:00,2050-01-10 00:00:00
118,2007,51,30082,1,2017-01-01 12:00:00,2050-01-10 00:00:00
119,2007,51,30243,5,2017-01-01 12:00:00,2050-01-10 00:00:00
120,2007,51,30094,5,2017-01-01 12:00:00,2050-01-10 00:00:00
121,2007,51,20023,5,2017-01-01 12:00:00,2050-01-10 00:00:00
122,2007,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
123,2007,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
124,2008,51,30107,1,2017-01-01 12:00:00,2050-01-10 00:00:00
125,2008,51,30031,1,2017-01-01 12:00:00,2050-01-10 00:00:00
126,2008,51,30072,1,2017-01-01 12:00:00,2050-01-10 00:00:00
127,2008,51,30082,1,2017-01-01 12:00:00,2050-01-10 00:00:00
128,2008,51,30269,5,2017-01-01 12:00:00,2050-01-10 00:00:00
129,2008,51,30090,5,2017-01-01 12:00:00,2050-01-10 00:00:00
130,2008,51,20022,5,2017-01-01 12:00:00,2050-01-10 00:00:00
131,2008,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
132,2008,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
133,2009,51,30107,1,2017-01-01 12:00:00,2050-01-10 00:00:00
134,2009,51,30031,1,2017-01-01 12:00:00,2050-01-10 00:00:00
135,2009,51,30072,1,2017-01-01 12:00:00,2050-01-10 00:00:00
136,2009,51,30082,1,2017-01-01 12:00:00,2050-01-10 00:00:00
137,2009,51,30247,5,2017-01-01 12:00:00,2050-01-10 00:00:00
138,2009,51,30016,5,2017-01-01 12:00:00,2050-01-10 00:00:00
139,2009,51,20085,5,2017-01-01 12:00:00,2050-01-10 00:00:00
140,2009,20,32,5,2017-01-01 12:00:00,2050-01-10 00:00:00
141,2009,21,34,5,2017-01-01 12:00:00,2050-01-10 00:00:00
142,1030,41,326,1,2017-01-01 12:00:00,2050-01-10 00:00:00
143,1031,42,327,1,2017-01-01 12:00:00,2050-01-10 00:00:00
144,1032,185,5007,1,2017-01-01 12:00:00,2050-01-10 00:00:00
145,1032,20,32,10,2017-01-01 12:00:00,2050-01-10 00:00:00
146,1032,11,162,10,2017-01-01 12:00:00,2050-01-10 00:00:00
147,1032,11,163,10,2017-01-01 12:00:00,2050-01-10 00:00:00
148,1033,91,59,240000,2017-01-01 12:00:00,2050-01-10 00:00:00
149,1033,11,160,12,2017-01-01 12:00:00,2050-01-10 00:00:00
150,1033,11,161,6,2017-01-01 12:00:00,2050-01-10 00:00:00
151,1034,41,336,1,2017-01-01 12:00:00,2050-01-10 00:00:00
152,1035,91,59,470000,2017-01-01 12:00:00,2050-01-10 00:00:00
153,1035,11,10,205,2017-01-01 12:00:00,2050-01-10 00:00:00
154,1035,11,74,45,2017-01-01 12:00:00,2050-01-10 00:00:00
155,1035,11,78,50,2017-01-01 12:00:00,2050-01-10 00:00:00
156,1035,11,83,45,2017-01-01 12:00:00,2050-01-10 00:00:00
157,1035,11,87,50,2017-01-01 12:00:00,2050-01-10 00:00:00
158,1035,93,44,12,2017-01-01 12:00:00,2050-01-10 00:00:00
159,1036,91,59,470000,2017-01-01 12:00:00,2050-01-10 00:00:00
160,1036,11,7,205,2017-01-01 12:00:00,2050-01-10 00:00:00
161,1036,11,73,45,2017-01-01 12:00:00,2050-01-10 00:00:00
162,1036,11,78,50,2017-01-01 12:00:00,2050-01-10 00:00:00
163,1036,11,87,45,2017-01-01 12:00:00,2050-01-10 00:00:00
164,1036,11,91,50,2017-01-01 12:00:00,2050-01-10 00:00:00
165,1036,93,44,12,2017-01-01 12:00:00,2050-01-10 00:00:00
166,1037,185,5008,1,2017-01-01 12:00:00,2050-01-10 00:00:00
167,1037,20,32,10,2017-01-01 12:00:00,2050-01-10 00:00:00
168,1037,11,162,10,2017-01-01 12:00:00,2050-01-10 00:00:00
169,1037,11,163,10,2017-01-01 12:00:00,2050-01-10 00:00:00
