id,pos_index,priority,height,width,posi_vertical,posi_horizontal,detail_value,url_value,url,start_date,end_date
1071,1,4,256,180,-11,-80,1,1,https://movie-umamusume.jp/,1716474600,1721573999
1072,1,4,256,180,-11,-80,1,1,https://hachamecha-umamusume.jp/,1723604400,1726801199
1073,2,4,256,192,-11,3,1,0,,1723863600,1724122799
1074,2,4,256,192,-11,3,1,1,https://www.kfc.co.jp/campaign/umamusume,1724122800,1726239599
1075,3,4,256,180,-11,85,1,1,https://www.lawson.co.jp/lab/campaign/umamusume/,1724122800,1725289199
1076,3,4,256,180,-11,85,1,1,https://anime-cinderellagray.com/,1726801200,1735268399
1077,1,4,256,180,-11,-80,1,1,https://hachamecha-umamusume.jp/,1728615600,1735268399
1078,2,4,176,256,-11,3,1,1,https://www.tokyomegaillumi.jp/umamusume-tmi-collabo.html,1730516400,1733774399
1079,2,4,205,256,-11,3,1,1,https://www.family.co.jp/campaign/spot/2412_umamusume_cp.html,1733799600,1734965999
1080,2,4,256,181,-11,3,1,1,https://realdgame.jp/s/umamusume2025/,1735131600,1745981999
1081,3,4,256,180,-11,85,1,1,https://anime-cinderellagray.com/?utm_source=banner&utm_medium=referral&utm_campaign=poster1,1735268400,1740236399
1082,1,4,256,150,-11,-75,1,1,https://umamusume.jp/contents/event/tnf6th/,1740279600,1748228399
1083,3,4,256,180,-11,85,1,1,https://anime-cinderellagray.com/?utm_source=banner&utm_medium=referral&utm_campaign=poster2,1740366000,1748807999
1084,2,5,173,256,-11,5,1,1,https://boczwen.umamusume.jp,1743476400,1744253999
1085,2,5,144,256,-11,5,1,1,https://www.youtube.com/playlist?list=PLzFNGS7Rcf-PdE85nUVwFcON2ikZwHT-m,1745982000,1747796399
1086,2,4,256,172,-11,3,1,1,https://mobile.suntory.co.jp/cpn/softdrink/boss/20250602/,1748822400,1756652399
1087,3,4,256,181,-11,85,1,1,https://anime-cinderellagray.com/?utm_source=poster&utm_medium=referral&utm_campaign=3,1748808000,1751183999
1088,1,4,256,150,-11,-75,1,1,https://umamusume.jp/contents/event/tnf6th/,1748228400,1749394799
1089,1,4,256,149,-11,-75,1,1,https://umamusume.jp/contents/event/tnf6th-autumn/,1750993200,1760929199
1090,1,4,256,149,-11,-75,1,1,https://umamusume.jp/contents/event/tnf6th-autumn/,1760929200,1762181999
1091,3,4,256,179,-11,85,1,1,https://hachamecha-umamusume.jp/ja/products/,1756479600,1757516399
1092,2,4,256,180,-11,3,1,1,https://zombielandsaga-movie.com/,1760670000,1764273599
1093,3,4,256,181,-11,85,1,1,https://anime-cinderellagray.com/,1759719600,1764489599
1094,2,4,256,199,-11,3,1,0,,1759114800,1759978799
1095,2,4,256,199,-11,3,1,1,https://shadowverse-wb.com/ja/news/detail/?id=01K4M3WA216QY2MZ2QEH8SSJM0,1759978800,1760669999
1096,3,4,256,181,-11,85,1,1,https://anime-cinderellagray.com/,1765422000,1766329199
1097,2,4,205,256,-11,3,1,1,https://www.family.co.jp/campaign/spot/2512_umamusume_cp_7ehUkGE.html,1765854000,1767020399
1098,1,4,202,256,-11,-75,1,1,https://umamusume2026.cocos.jp/,1768359600,1768877999
1099,1,4,202,256,-11,-75,1,1,https://umamusume2026.cocos.jp/,1768878000,1773673199
1100,3,4,256,180,-11,85,1,0,,1773025200,1773370799
1101,3,4,256,180,-11,85,1,1,https://www.family.co.jp/campaign/spot/2603_umamusume_cp.html,1773370800,1775487599
1102,1,4,192,256,-11,-75,1,1,https://ts7th.umamusume.jp/?utm_source=game_app&utm_medium=app&utm_campaign=game_app_poster,1774839600,1782097199
1103,2,4,157,256,-11,3,1,1,https://makibao.umamusume.jp/,1774969200,1775789999
1104,3,4,144,256,-11,85,1,1,https://umamusume.jp/special/gw/goldweek/,1777518000,1779220799
1105,3,4,144,256,-11,85,1,1,https://umamusume.jp/special/gw/goldweek/,1779220800,1779245999
1106,2,4,256,174,-11,3,1,1,https://zone-energy.jp/UMMSM/,1777690800,1779764399
1107,1,5,192,256,-11,-75,1,1,https://www.allnightnippon.com/umamusume/,1777518000,1778252399
1108,1,5,192,256,-11,-75,1,1,https://www.allnightnippon.com/umamusume/,1778252400,1778857199
1109,2,4,256,174,-11,3,1,1,https://zone-energy.jp/UMMSM/,1779764400,1788188399
1110,1,4,192,256,-11,-75,1,1,https://ts7th.umamusume.jp/?utm_source=game_app&utm_medium=app&utm_campaign=game_app_poster,1782097200,1783263599
