id,reward_set_id,line_num,item_category,item_id,item_num
212,26,4,150,116,1
213,26,5,20,32,1
214,26,6,164,150,1
215,26,7,90,43,150
216,26,8,51,30096,1
217,27,1,30,110,1000
218,27,2,91,59,2000
219,27,3,21,34,1
220,27,4,150,116,1
221,27,5,20,32,1
222,27,6,164,150,1
223,27,7,90,43,150
224,27,8,51,30096,1
225,28,1,103,98,500
226,28,2,30,110,1000
227,28,3,21,34,1
228,28,4,150,116,1
229,28,5,20,32,1
230,28,6,164,150,1
231,28,7,90,43,150
232,28,8,51,30100,1
233,29,1,30,110,1000
234,29,2,91,59,2000
235,29,3,21,34,1
236,29,4,150,116,1
237,29,5,20,32,1
238,29,6,164,150,1
239,29,7,90,43,150
240,29,8,51,30100,1
241,30,1,103,98,500
242,30,2,30,110,1000
243,30,3,21,34,1
244,30,4,150,116,1
245,30,5,20,32,1
246,30,6,164,150,1
247,30,7,90,43,150
248,30,8,51,30104,1
249,31,1,30,110,1000
250,31,2,91,59,2000
251,31,3,21,34,1
252,31,4,150,116,1
253,31,5,20,32,1
254,31,6,164,150,1
255,31,7,90,43,150
256,31,8,51,30104,1
257,32,1,103,98,500
258,32,2,30,110,1000
259,32,3,21,34,1
260,32,4,150,116,1
261,32,5,20,32,1
262,32,6,164,150,1
263,32,7,90,43,150
264,32,8,51,30109,1
265,33,1,30,110,1000
266,33,2,91,59,2000
267,33,3,21,34,1
268,33,4,150,116,1
269,33,5,20,32,1
270,33,6,164,150,1
271,33,7,90,43,150
272,33,8,51,30109,1
273,34,1,103,98,500
274,34,2,30,110,1000
275,34,3,21,34,1
276,34,4,150,116,1
277,34,5,20,32,1
278,34,6,164,150,1
279,34,7,90,43,150
280,34,8,51,30113,1
281,35,1,30,110,1000
282,35,2,91,59,2000
283,35,3,21,34,1
284,35,4,150,116,1
285,35,5,20,32,1
286,35,6,164,150,1
287,35,7,90,43,150
288,35,8,51,30113,1
289,36,1,103,98,500
290,36,2,30,110,1000
291,36,3,21,34,1
292,36,4,150,116,1
293,36,5,20,32,1
294,36,6,164,150,1
295,36,7,90,43,150
296,36,8,51,30117,1
297,37,1,30,110,1000
298,37,2,91,59,2000
299,37,3,21,34,1
300,37,4,150,116,1
301,37,5,20,32,1
302,37,6,164,150,1
303,37,7,90,43,150
304,37,8,51,30117,1
305,38,1,103,98,500
306,38,2,30,110,1000
307,38,3,21,34,1
308,38,4,150,116,1
309,38,5,20,32,1
310,38,6,164,150,1
311,38,7,90,43,150
312,38,8,51,30119,1
313,39,1,30,110,1000
314,39,2,91,59,2000
315,39,3,21,34,1
316,39,4,150,116,1
317,39,5,20,32,1
318,39,6,164,150,1
319,39,7,90,43,150
320,39,8,51,30119,1
321,40,1,103,98,500
322,40,2,30,110,1000
323,40,3,21,34,1
324,40,4,150,116,1
325,40,5,20,32,1
326,40,6,164,150,1
327,40,7,90,43,150
328,40,8,51,30125,1
329,41,1,30,110,1000
330,41,2,91,59,2000
331,41,3,21,34,1
332,41,4,150,116,1
333,41,5,20,32,1
334,41,6,164,150,1
335,41,7,90,43,150
336,41,8,51,30125,1
337,42,1,103,98,500
338,42,2,30,110,1000
339,42,3,21,34,1
340,42,4,150,116,1
341,42,5,20,32,1
342,42,6,164,150,1
343,42,7,90,43,150
344,42,8,51,30129,1
345,43,1,30,110,1000
346,43,2,91,59,2000
347,43,3,21,34,1
348,43,4,150,116,1
349,43,5,20,32,1
350,43,6,164,150,1
351,43,7,90,43,150
352,43,8,51,30129,1
353,44,1,103,98,500
354,44,2,30,110,1000
355,44,3,21,34,1
356,44,4,150,116,1
357,44,5,20,32,1
358,44,6,164,150,1
359,44,7,90,43,150
360,44,8,51,30133,1
361,45,1,30,110,1000
362,45,2,91,59,2000
363,45,3,21,34,1
364,45,4,150,116,1
365,45,5,20,32,1
366,45,6,164,150,1
367,45,7,90,43,150
368,45,8,51,30133,1
369,46,1,103,98,500
370,46,2,30,110,1000
371,46,3,21,34,1
372,46,4,150,116,1
373,46,5,20,32,1
374,46,6,164,150,1
375,46,7,90,43,150
376,46,8,51,30135,1
377,47,1,30,110,1000
378,47,2,91,59,2000
379,47,3,21,34,1
380,47,4,150,116,1
381,47,5,20,32,1
382,47,6,164,150,1
383,47,7,90,43,150
384,47,8,51,30135,1
385,48,1,103,98,500
386,48,2,30,110,1000
387,48,3,21,34,1
388,48,4,150,116,1
389,48,5,20,32,1
390,48,6,164,150,1
391,48,7,90,43,150
392,48,8,51,30140,1
393,49,1,30,110,1000
394,49,2,91,59,2000
395,49,3,21,34,1
396,49,4,150,116,1
397,49,5,20,32,1
398,49,6,164,150,1
399,49,7,90,43,150
400,49,8,51,30140,1
401,50,1,103,98,500
402,50,2,30,110,1000
403,50,3,21,34,1
404,50,4,150,116,1
405,50,5,20,32,1
406,50,6,164,150,1
407,50,7,90,43,150
408,50,8,51,30143,1
409,51,1,30,110,1000
410,51,2,91,59,2000
411,51,3,21,34,1
412,51,4,150,116,1
413,51,5,20,32,1
414,51,6,164,150,1
415,51,7,90,43,150
416,51,8,51,30143,1
417,52,1,103,98,500
418,52,2,30,110,1000
419,52,3,21,34,1
420,52,4,150,116,1
421,52,5,20,32,1
422,52,6,164,150,1
423,52,7,90,43,150
424,52,8,51,30150,1
425,53,1,30,110,1000
426,53,2,91,59,2000
427,53,3,21,34,1
428,53,4,150,116,1
429,53,5,20,32,1
430,53,6,164,150,1
431,53,7,90,43,150
432,53,8,51,30150,1
433,54,1,103,98,500
434,54,2,30,110,1000
435,54,3,21,34,1
436,54,4,150,116,1
437,54,5,20,32,1
438,54,6,164,150,1
439,54,7,90,43,150
440,54,8,51,30155,1
441,55,1,30,110,1000
442,55,2,91,59,2000
443,55,3,21,34,1
444,55,4,150,116,1
445,55,5,20,32,1
446,55,6,164,150,1
447,55,7,90,43,150
448,55,8,51,30155,1
449,56,1,103,98,500
450,56,2,30,110,1000
451,56,3,21,34,1
452,56,4,150,116,1
453,56,5,20,32,1
454,56,6,164,150,1
455,56,7,90,43,150
456,56,8,51,30159,1
457,57,1,30,110,1000
458,57,2,91,59,2000
459,57,3,21,34,1
460,57,4,150,116,1
461,57,5,20,32,1
462,57,6,164,150,1
463,57,7,90,43,150
464,57,8,51,30159,1
465,58,1,103,98,500
466,58,2,30,110,1000
467,58,3,21,34,1
468,58,4,150,116,1
469,58,5,20,32,1
470,58,6,164,150,1
471,58,7,90,43,150
472,58,8,51,30167,1
473,59,1,30,110,1000
474,59,2,91,59,2000
475,59,3,21,34,1
476,59,4,150,116,1
477,59,5,20,32,1
478,59,6,164,150,1
479,59,7,90,43,150
480,59,8,51,30167,1
481,60,1,103,98,500
482,60,2,30,110,1000
483,60,3,21,34,1
484,60,4,150,116,1
485,60,5,20,32,1
486,60,6,164,150,1
487,60,7,90,43,150
488,60,8,51,30171,1
489,61,1,30,110,1000
490,61,2,91,59,2000
491,61,3,21,34,1
492,61,4,150,116,1
493,61,5,20,32,1
494,61,6,164,150,1
495,61,7,90,43,150
496,61,8,51,30171,1
497,62,1,103,98,500
498,62,2,30,110,1000
499,62,3,21,34,1
500,62,4,150,116,1
501,62,5,20,32,1
502,62,6,164,150,1
503,62,7,90,43,150
504,62,8,51,30176,1
505,63,1,30,110,1000
506,63,2,91,59,2000
507,63,3,21,34,1
508,63,4,150,116,1
509,63,5,20,32,1
510,63,6,164,150,1
511,63,7,90,43,150
512,63,8,51,30176,1
513,64,1,103,98,500
514,64,2,30,110,1000
515,64,3,21,34,1
516,64,4,150,116,1
517,64,5,164,150,1
518,64,6,51,30181,1
519,64,7,90,43,150
520,64,8,51,30180,1
521,65,1,30,110,1000
522,65,2,91,59,2000
523,65,3,21,34,1
524,65,4,20,32,1
525,65,5,164,150,1
526,65,6,51,30181,1
527,65,7,90,43,150
528,65,8,51,30180,1
529,66,1,103,98,500
530,66,2,30,110,1000
531,66,3,21,34,1
532,66,4,150,116,1
533,66,5,20,32,1
534,66,6,164,150,1
535,66,7,90,43,150
536,66,8,51,30185,1
537,67,1,30,110,1000
538,67,2,91,59,2000
539,67,3,21,34,1
540,67,4,150,116,1
541,67,5,20,32,1
542,67,6,164,150,1
543,67,7,90,43,150
544,67,8,51,30185,1
545,68,1,103,98,500
546,68,2,30,110,1000
547,68,3,21,34,1
548,68,4,150,116,1
549,68,5,20,32,1
550,68,6,164,150,1
551,68,7,90,43,150
552,68,8,51,30197,1
553,69,1,30,110,1000
554,69,2,91,59,2000
555,69,3,21,34,1
556,69,4,150,116,1
557,69,5,20,32,1
558,69,6,164,150,1
559,69,7,90,43,150
560,69,8,51,30197,1
561,70,1,103,98,500
562,70,2,30,110,1000
563,70,3,21,34,1
564,70,4,150,116,1
565,70,5,20,32,1
566,70,6,164,150,1
567,70,7,90,43,150
568,70,8,51,30200,1
569,71,1,30,110,1000
570,71,2,91,59,2000
571,71,3,21,34,1
572,71,4,150,116,1
573,71,5,20,32,1
574,71,6,164,150,1
575,71,7,90,43,150
576,71,8,51,30200,1
577,72,1,103,98,500
578,72,2,30,110,1000
579,72,3,21,34,1
580,72,4,150,116,1
581,72,5,20,32,1
582,72,6,164,150,1
583,72,7,90,43,150
584,72,8,51,30205,1
585,73,1,30,110,1000
586,73,2,91,59,2000
587,73,3,21,34,1
588,73,4,150,116,1
589,73,5,20,32,1
590,73,6,164,150,1
591,73,7,90,43,150
592,73,8,51,30205,1
593,74,1,103,98,500
594,74,2,30,110,1000
595,74,3,21,34,1
596,74,4,150,116,1
597,74,5,20,32,1
598,74,6,164,150,1
599,74,7,90,43,150
600,74,8,51,30212,1
601,75,1,30,110,1000
602,75,2,91,59,2000
603,75,3,21,34,1
604,75,4,150,116,1
605,75,5,20,32,1
606,75,6,164,150,1
607,75,7,90,43,150
608,75,8,51,30212,1
609,76,1,103,98,1000
610,76,2,30,110,5000
611,76,3,21,34,1
612,76,4,150,116,1
613,76,5,20,32,1
614,76,6,164,150,1
615,76,7,90,43,150
616,76,8,51,30220,1
617,77,1,30,110,5000
618,77,2,91,59,30000
619,77,3,21,34,1
620,77,4,150,116,1
621,77,5,20,32,1
622,77,6,164,150,1
623,77,7,90,43,150
624,77,8,51,30220,1
625,78,1,91,59,1000
626,78,2,103,98,200
627,78,3,30,110,1000
628,78,4,91,59,5000
629,78,5,150,116,1
630,78,6,34,95,1
631,78,7,21,34,1
632,78,8,97,115,1
633,79,1,103,98,1000
634,79,2,30,110,5000
635,79,3,21,34,1
636,79,4,150,116,1
637,79,5,20,32,1
638,79,6,164,150,1
639,79,7,90,43,150
640,79,8,51,30225,1
641,80,1,30,110,5000
642,80,2,91,59,30000
643,80,3,21,34,1
644,80,4,150,116,1
645,80,5,20,32,1
646,80,6,164,150,1
647,80,7,90,43,150
648,80,8,51,30225,1
649,81,1,103,98,1000
650,81,2,30,110,5000
651,81,3,21,34,1
652,81,4,150,116,1
653,81,5,20,32,1
654,81,6,164,150,1
655,81,7,90,43,150
656,81,8,51,30231,1
657,82,1,30,110,5000
658,82,2,91,59,30000
659,82,3,21,34,1
660,82,4,150,116,1
661,82,5,20,32,1
662,82,6,164,150,1
663,82,7,90,43,150
664,82,8,51,30231,1
665,83,1,103,98,1000
666,83,2,30,110,5000
667,83,3,21,34,1
668,83,4,150,116,1
669,83,5,20,32,1
670,83,6,164,150,1
671,83,7,90,43,150
672,83,8,51,30235,1
673,84,1,30,110,5000
674,84,2,91,59,30000
675,84,3,21,34,1
676,84,4,150,116,1
677,84,5,20,32,1
678,84,6,164,150,1
679,84,7,90,43,150
680,84,8,51,30235,1
681,85,1,103,98,1000
682,85,2,30,110,5000
683,85,3,21,34,1
684,85,4,150,116,1
685,85,5,20,32,1
686,85,6,164,150,1
687,85,7,90,43,150
688,85,8,51,30239,1
689,86,1,30,110,5000
690,86,2,91,59,30000
691,86,3,21,34,1
692,86,4,150,116,1
693,86,5,20,32,1
694,86,6,164,150,1
695,86,7,90,43,150
696,86,8,51,30239,1
697,87,1,103,98,1000
698,87,2,30,110,5000
699,87,3,21,34,1
700,87,4,150,116,1
701,87,5,20,32,1
702,87,6,164,150,1
703,87,7,90,43,150
704,87,8,51,30247,1
705,88,1,30,110,5000
706,88,2,91,59,30000
707,88,3,21,34,1
708,88,4,150,116,1
709,88,5,20,32,1
710,88,6,164,150,1
711,88,7,90,43,150
712,88,8,51,30247,1
713,89,1,91,59,1000
714,89,2,103,98,200
715,89,3,30,110,1000
716,89,4,91,59,5000
717,89,5,150,116,1
718,89,6,34,95,1
719,89,7,21,34,1
720,89,8,93,44,1
721,90,1,103,98,1000
722,90,2,30,110,5000
723,90,3,21,34,1
724,90,4,150,116,1
725,90,5,20,32,1
726,90,6,164,150,1
727,90,7,90,43,150
728,90,8,51,30251,1
729,91,1,30,110,5000
730,91,2,91,59,30000
731,91,3,21,34,1
732,91,4,150,116,1
733,91,5,20,32,1
734,91,6,164,150,1
735,91,7,90,43,150
736,91,8,51,30251,1
737,92,1,103,98,1000
738,92,2,30,110,5000
739,92,3,21,34,1
740,92,4,150,116,1
741,92,5,20,32,1
742,92,6,164,150,1
743,92,7,90,43,150
744,92,8,51,30255,1
745,93,1,30,110,5000
746,93,2,91,59,30000
747,93,3,21,34,1
748,93,4,150,116,1
749,93,5,20,32,1
750,93,6,164,150,1
751,93,7,90,43,150
752,93,8,51,30255,1
753,94,1,103,98,1000
754,94,2,30,110,5000
755,94,3,21,34,1
756,94,4,150,116,1
757,94,5,20,32,1
758,94,6,164,150,1
759,94,7,90,43,150
760,94,8,51,30263,1
761,95,1,30,110,5000
762,95,2,91,59,30000
763,95,3,21,34,1
764,95,4,150,116,1
765,95,5,20,32,1
766,95,6,164,150,1
767,95,7,90,43,150
768,95,8,51,30263,1
769,96,1,103,98,1000
770,96,2,30,110,5000
771,96,3,21,34,1
772,96,4,150,116,1
773,96,5,20,32,1
774,96,6,164,150,1
775,96,7,90,43,150
776,96,8,51,30269,1
777,97,1,30,110,5000
778,97,2,91,59,30000
779,97,3,21,34,1
780,97,4,150,116,1
781,97,5,20,32,1
782,97,6,164,150,1
783,97,7,90,43,150
784,97,8,51,30269,1
785,98,1,91,59,30000
786,98,2,103,98,1000
787,98,3,21,34,1
788,98,4,150,116,1
789,98,5,20,32,1
790,98,6,164,150,1
791,98,7,90,43,150
792,98,8,51,30273,1
793,99,1,91,59,1000
794,99,2,103,98,200
795,99,3,91,59,5000
796,99,4,103,98,400
797,99,5,150,116,1
798,99,6,34,95,1
799,99,7,21,34,1
800,99,8,97,115,1
801,100,1,91,59,1000
802,100,2,103,98,200
803,100,3,91,59,5000
804,100,4,103,98,400
805,100,5,150,116,1
806,100,6,34,95,1
807,100,7,21,34,1
808,100,8,93,44,1
809,101,1,91,59,30000
810,101,2,103,98,1000
811,101,3,21,34,1
812,101,4,150,116,1
813,101,5,20,32,1
814,101,6,164,150,1
815,101,7,90,43,150
816,101,8,51,30280,1
817,102,1,91,59,30000
818,102,2,103,98,1000
819,102,3,21,34,1
820,102,4,150,116,1
821,102,5,20,32,1
822,102,6,164,150,1
823,102,7,90,43,150
824,102,8,51,30284,1
825,103,1,91,59,30000
826,103,2,103,98,1000
827,103,3,21,34,1
828,103,4,150,116,1
829,103,5,20,32,1
830,103,6,164,150,1
831,103,7,90,43,150
832,103,8,51,30288,1
833,104,1,91,59,30000
834,104,2,103,98,1000
835,104,3,21,34,1
836,104,4,150,116,1
837,104,5,20,32,1
838,104,6,164,150,1
839,104,7,90,43,150
840,104,8,51,30295,1
841,105,1,11,319,1
842,105,2,103,98,200
843,105,3,91,59,6000
844,105,4,103,98,400
845,105,5,150,116,1
846,105,6,34,95,1
847,105,7,21,34,1
848,105,8,97,115,1
849,106,1,91,59,30000
850,106,2,103,98,1000
851,106,3,21,34,1
852,106,4,150,116,1
853,106,5,20,32,1
854,106,6,164,150,1
855,106,7,90,43,150
856,106,8,51,30299,1
857,107,1,91,59,30000
858,107,2,103,98,1000
859,107,3,21,34,1
860,107,4,150,116,1
861,107,5,20,32,1
862,107,6,164,150,1
863,107,7,90,43,150
864,107,8,51,30303,1
