id,target_type,card_id,count,item_category_1,item_id_1,item_num_1
228,8,104803,1,20,10228,1
229,8,109201,1,20,10229,1
230,8,108002,1,20,10230,1
231,8,110002,1,20,10231,1
232,8,111401,1,20,10232,1
233,8,104902,1,20,10233,1
234,8,111902,1,20,10234,1
235,8,100603,1,20,10235,1
236,8,113501,1,20,10236,1
237,8,106302,1,20,10237,1
238,8,107602,1,20,10238,1
239,8,112402,1,20,10239,1
240,8,113701,1,20,10240,1
241,8,101003,1,20,10241,1
242,8,110202,1,20,10242,1
243,8,110301,1,20,10243,1
