id,mission_type,condition_type,condition_value_1,condition_value_2,condition_value_3,condition_value_4,condition_num,step_group_id,step_order,disp_order,item_category,item_id,item_num,event_id,date_check_flg,transition_type,start_date,end_date
301027,3,100004,1,0,0,0,550,20,28,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301028,3,100004,1,0,0,0,600,20,29,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301029,3,100004,1,0,0,0,650,20,30,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301030,3,100004,1,0,0,0,700,20,31,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301031,3,100004,1,0,0,0,750,20,32,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301032,3,100004,1,0,0,0,800,20,33,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301033,3,100004,1,0,0,0,850,20,34,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301034,3,100004,1,0,0,0,900,20,35,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301035,3,100004,1,0,0,0,950,20,36,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301036,3,100004,1,0,0,0,1000,20,37,29,90,43,500,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301037,3,100004,1,0,0,0,1050,20,38,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301038,3,100004,1,0,0,0,1100,20,39,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301039,3,100004,1,0,0,0,1150,20,40,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301040,3,100004,1,0,0,0,1200,20,41,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301041,3,100004,1,0,0,0,1250,20,42,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301042,3,100004,1,0,0,0,1300,20,43,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301043,3,100004,1,0,0,0,1350,20,44,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301044,3,100004,1,0,0,0,1400,20,45,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301045,3,100004,1,0,0,0,1450,20,46,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301046,3,100004,1,0,0,0,1500,20,47,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301047,3,100004,1,0,0,0,1550,20,48,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301048,3,100004,1,0,0,0,1600,20,49,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301049,3,100004,1,0,0,0,1650,20,50,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301050,3,100004,1,0,0,0,1700,20,51,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301051,3,100004,1,0,0,0,1750,20,52,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301052,3,100004,1,0,0,0,1800,20,53,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301053,3,100004,1,0,0,0,1850,20,54,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301054,3,100004,1,0,0,0,1900,20,55,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301055,3,100004,1,0,0,0,1950,20,56,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301056,3,100004,1,0,0,0,2000,20,57,29,90,43,500,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301100,3,100007,100,1,0,0,1,30,1,30,91,59,1000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301101,3,100007,100,1,0,0,5,30,2,30,91,59,2000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301102,3,100007,100,1,0,0,10,30,3,30,91,59,3000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301103,3,100007,100,1,0,0,20,30,4,30,91,59,3000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301104,3,100007,100,1,0,0,30,30,5,30,91,59,3000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301105,3,100007,100,1,0,0,40,30,6,30,91,59,4000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301106,3,100007,100,1,0,0,50,30,7,30,91,59,4000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301107,3,100007,100,1,0,0,60,30,8,30,91,59,5000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301108,3,100007,100,1,0,0,70,30,9,30,91,59,5000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301109,3,100007,100,1,0,0,80,30,10,30,91,59,5000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301110,3,100007,100,1,0,0,90,30,11,30,91,59,5000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301111,3,100007,100,1,0,0,100,30,12,30,91,59,10000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301200,3,100007,200,1,0,0,1,40,1,40,91,59,1000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301201,3,100007,200,1,0,0,5,40,2,40,91,59,2000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301202,3,100007,200,1,0,0,10,40,3,40,91,59,3000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301203,3,100007,200,1,0,0,20,40,4,40,91,59,3000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301204,3,100007,200,1,0,0,30,40,5,40,91,59,3000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301205,3,100007,200,1,0,0,40,40,6,40,91,59,4000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301206,3,100007,200,1,0,0,50,40,7,40,91,59,4000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301207,3,100007,200,1,0,0,60,40,8,40,91,59,5000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301208,3,100007,200,1,0,0,70,40,9,40,91,59,5000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301209,3,100007,200,1,0,0,80,40,10,40,91,59,5000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301210,3,100007,200,1,0,0,90,40,11,40,91,59,5000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301211,3,100007,200,1,0,0,100,40,12,40,91,59,10000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301300,3,100007,300,1,0,0,1,50,1,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301301,3,100007,300,1,0,0,5,50,2,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301302,3,100007,300,1,0,0,10,50,3,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301303,3,100007,300,1,0,0,20,50,4,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301304,3,100007,300,1,0,0,30,50,5,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301305,3,100007,300,1,0,0,40,50,6,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301306,3,100007,300,1,0,0,50,50,7,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301307,3,100007,300,1,0,0,60,50,8,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301308,3,100007,300,1,0,0,70,50,9,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301309,3,100007,300,1,0,0,80,50,10,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301310,3,100007,300,1,0,0,90,50,11,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301311,3,100007,300,1,0,0,100,50,12,50,20,32,2,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301400,3,100005,100,1,0,0,3,60,1,60,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301401,3,100005,100,1,0,0,5,60,2,60,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301402,3,100005,100,1,0,0,10,60,3,60,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301403,3,100005,100,1,0,0,15,60,4,60,90,43,150,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301404,3,100005,100,1,0,0,20,60,5,60,90,43,300,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301500,3,100005,0,1,0,0,10,70,1,70,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301501,3,100005,0,1,0,0,15,70,2,70,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301502,3,100005,0,1,0,0,20,70,3,70,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301503,3,100005,0,1,0,0,25,70,4,70,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301504,3,100005,0,1,0,0,30,70,5,70,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301505,3,100005,0,1,0,0,35,70,6,70,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301506,3,100005,0,1,0,0,40,70,7,70,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301507,3,100005,0,1,0,0,45,70,8,70,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301508,3,100005,0,1,0,0,50,70,9,70,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301509,3,100005,0,1,0,0,55,70,10,70,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301510,3,100005,0,1,0,0,60,70,11,70,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301511,3,100005,0,1,0,0,65,70,12,70,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301512,3,100005,0,1,0,0,70,70,13,70,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301513,3,100005,0,1,0,0,75,70,14,70,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301514,3,100005,0,1,0,0,80,70,15,70,90,43,150,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301515,3,100005,0,1,0,0,85,70,16,70,90,43,150,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301516,3,100005,0,1,0,0,90,70,17,70,90,43,150,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301517,3,100005,0,1,0,0,95,70,18,70,90,43,150,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301518,3,100005,0,1,0,0,100,70,19,70,90,43,300,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
302700,3,100022,0,0,0,0,1,140,1,140,91,59,2000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
302701,3,100022,0,0,0,0,5,140,2,140,91,59,4000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
302702,3,100022,0,0,0,0,10,140,3,140,91,59,6000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
302703,3,100022,0,0,0,0,30,140,4,140,91,59,10000,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303000,3,100012,5,0,0,0,1,151,1,151,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303001,3,100012,10,0,0,0,1,152,2,152,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303002,3,100012,15,0,0,0,1,153,3,153,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303003,3,100012,20,0,0,0,1,154,4,154,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303004,3,100012,21,0,0,0,1,155,5,155,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303005,3,100012,22,0,0,0,1,156,6,156,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303006,3,100012,23,0,0,0,1,157,7,157,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303007,3,100012,24,0,0,0,1,158,8,158,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303008,3,100012,25,0,0,0,1,159,9,159,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303009,3,100012,26,0,0,0,1,160,10,160,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303010,3,100012,27,0,0,0,1,161,11,161,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303011,3,100012,28,0,0,0,1,162,12,162,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303012,3,100012,29,0,0,0,1,163,13,163,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303013,3,100012,30,0,0,0,1,164,14,164,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303100,3,100004,3,0,0,0,1,171,1,171,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303101,3,100004,4,0,0,0,1,172,2,172,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303102,3,100004,5,0,0,0,1,173,3,173,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303103,3,100004,6,0,0,0,1,174,4,174,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303104,3,100004,7,0,0,0,1,175,5,175,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303105,3,100004,8,0,0,0,1,176,5,176,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303106,3,100004,9,0,0,0,1,177,5,177,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303107,3,100004,10,0,0,0,1,178,5,178,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303108,3,100004,11,0,0,0,1,179,5,179,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303109,3,100004,12,0,0,0,1,180,5,180,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303110,3,100004,13,0,0,0,1,181,5,181,90,43,150,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303111,3,100004,14,0,0,0,1,182,5,182,90,43,150,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303112,3,100004,15,0,0,0,1,183,5,183,90,43,300,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303113,3,100004,16,0,0,0,1,184,5,184,90,43,300,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303114,3,100004,17,0,0,0,1,185,5,185,90,43,300,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
303115,3,100004,18,0,0,0,1,303115,5,185,90,43,300,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303116,3,100004,19,0,0,0,1,303116,5,185,90,43,500,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303117,3,100004,20,0,0,0,1,303117,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303118,3,100004,21,0,0,0,1,303118,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303119,3,100004,22,0,0,0,1,303119,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303120,3,100004,23,0,0,0,1,303120,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303121,3,100004,24,0,0,0,1,303121,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303122,3,100004,25,0,0,0,1,303122,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303123,3,100004,26,0,0,0,1,303123,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303124,3,100004,27,0,0,0,1,303124,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303125,3,100004,28,0,0,0,1,303125,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303126,3,100004,29,0,0,0,1,303126,5,185,90,43,500,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303127,3,100004,30,0,0,0,1,303127,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303128,3,100004,31,0,0,0,1,303128,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303129,3,100004,32,0,0,0,1,303129,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303130,3,100004,33,0,0,0,1,303130,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303131,3,100004,34,0,0,0,1,303131,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303132,3,100004,35,0,0,0,1,303132,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303133,3,100004,36,0,0,0,1,303133,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303134,3,100004,37,0,0,0,1,303134,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303135,3,100004,38,0,0,0,1,303135,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303136,3,100004,39,0,0,0,1,303136,5,185,90,43,500,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303137,3,100004,40,0,0,0,1,303137,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303138,3,100004,41,0,0,0,1,303138,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303139,3,100004,42,0,0,0,1,303139,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303140,3,100004,43,0,0,0,1,303140,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303141,3,100004,44,0,0,0,1,303141,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303142,3,100004,45,0,0,0,1,303142,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303143,3,100004,46,0,0,0,1,303143,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303144,3,100004,47,0,0,0,1,303144,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303145,3,100004,48,0,0,0,1,303145,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303146,3,100004,49,0,0,0,1,303146,5,185,90,43,500,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303147,3,100004,50,0,0,0,1,303147,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303148,3,100004,51,0,0,0,1,303148,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303149,3,100004,52,0,0,0,1,303149,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303150,3,100004,53,0,0,0,1,303150,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303151,3,100004,54,0,0,0,1,303151,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303152,3,100004,55,0,0,0,1,303152,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303153,3,100004,56,0,0,0,1,303153,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303154,3,100004,57,0,0,0,1,303154,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303155,3,100004,58,0,0,0,1,303155,5,185,90,43,100,0,1,10001,2023/08/24 12:00:00,2050/01/01 4:59:59
303156,3,100004,59,0,0,0,1,303156,5,185,90,43,500,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303157,3,100004,60,0,0,0,1,303157,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303158,3,100004,61,0,0,0,1,303158,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303159,3,100004,62,0,0,0,1,303159,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303160,3,100004,63,0,0,0,1,303160,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303161,3,100004,64,0,0,0,1,303161,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303162,3,100004,65,0,0,0,1,303162,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303163,3,100004,66,0,0,0,1,303163,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303164,3,100004,67,0,0,0,1,303164,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303165,3,100004,68,0,0,0,1,303165,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303166,3,100004,69,0,0,0,1,303166,5,185,90,43,500,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303167,3,100004,70,0,0,0,1,303167,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303168,3,100004,71,0,0,0,1,303168,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303169,3,100004,72,0,0,0,1,303169,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
303170,3,100004,73,0,0,0,1,303170,5,185,90,43,100,0,1,10001,2024/02/24 12:00:00,2050/01/01 4:59:59
