id,rental_rank,rental_num,use_value1,use_value2
420,42,10,14650,7860
421,43,1,14650,7860
422,43,2,14650,7860
423,43,3,14650,7860
424,43,4,14650,7860
425,43,5,14650,7860
426,43,6,14650,7860
427,43,7,14650,7860
428,43,8,14650,7860
429,43,9,14650,7860
430,43,10,14650,7860
431,44,1,14650,7860
432,44,2,14650,7860
433,44,3,14650,7860
434,44,4,14650,7860
435,44,5,14650,7860
436,44,6,14650,7860
437,44,7,14650,7860
438,44,8,14650,7860
439,44,9,14650,7860
440,44,10,14650,7860
441,45,1,14650,7860
442,45,2,14650,7860
443,45,3,14650,7860
444,45,4,14650,7860
445,45,5,14650,7860
446,45,6,14650,7860
447,45,7,14650,7860
448,45,8,14650,7860
449,45,9,14650,7860
450,45,10,14650,7860
451,46,1,14650,7860
452,46,2,14650,7860
453,46,3,14650,7860
454,46,4,14650,7860
455,46,5,14650,7860
456,46,6,14650,7860
457,46,7,14650,7860
458,46,8,14650,7860
459,46,9,14650,7860
460,46,10,14650,7860
461,47,1,14650,7860
462,47,2,14650,7860
463,47,3,14650,7860
464,47,4,14650,7860
465,47,5,14650,7860
466,47,6,14650,7860
467,47,7,14650,7860
468,47,8,14650,7860
469,47,9,14650,7860
470,47,10,14650,7860
471,48,1,14650,7860
472,48,2,14650,7860
473,48,3,14650,7860
474,48,4,14650,7860
475,48,5,14650,7860
476,48,6,14650,7860
477,48,7,14650,7860
478,48,8,14650,7860
479,48,9,14650,7860
480,48,10,14650,7860
481,49,1,14650,7860
482,49,2,14650,7860
483,49,3,14650,7860
484,49,4,14650,7860
485,49,5,14650,7860
486,49,6,14650,7860
487,49,7,14650,7860
488,49,8,14650,7860
489,49,9,14650,7860
490,49,10,14650,7860
491,50,1,14650,7860
492,50,2,14650,7860
493,50,3,14650,7860
494,50,4,14650,7860
495,50,5,14650,7860
496,50,6,14650,7860
497,50,7,14650,7860
498,50,8,14650,7860
499,50,9,14650,7860
500,50,10,14650,7860
501,51,1,14650,7860
502,51,2,14650,7860
503,51,3,14650,7860
504,51,4,14650,7860
505,51,5,14650,7860
506,51,6,14650,7860
507,51,7,14650,7860
508,51,8,14650,7860
509,51,9,14650,7860
510,51,10,14650,7860
511,52,1,14650,7860
512,52,2,14650,7860
513,52,3,14650,7860
514,52,4,14650,7860
515,52,5,14650,7860
516,52,6,14650,7860
517,52,7,14650,7860
518,52,8,14650,7860
519,52,9,14650,7860
520,52,10,14650,7860
521,53,1,14650,7860
522,53,2,14650,7860
523,53,3,14650,7860
524,53,4,14650,7860
525,53,5,14650,7860
526,53,6,14650,7860
527,53,7,14650,7860
528,53,8,14650,7860
529,53,9,14650,7860
530,53,10,14650,7860
531,54,1,14650,7860
532,54,2,14650,7860
533,54,3,14650,7860
534,54,4,14650,7860
535,54,5,14650,7860
536,54,6,14650,7860
537,54,7,14650,7860
538,54,8,14650,7860
539,54,9,14650,7860
540,54,10,14650,7860
541,55,1,14650,7860
542,55,2,14650,7860
543,55,3,14650,7860
544,55,4,14650,7860
545,55,5,14650,7860
546,55,6,14650,7860
547,55,7,14650,7860
548,55,8,14650,7860
549,55,9,14650,7860
550,55,10,14650,7860
551,56,1,14650,7860
552,56,2,14650,7860
553,56,3,14650,7860
554,56,4,14650,7860
555,56,5,14650,7860
556,56,6,14650,7860
557,56,7,14650,7860
558,56,8,14650,7860
559,56,9,14650,7860
560,56,10,14650,7860
561,57,1,14650,7860
562,57,2,14650,7860
563,57,3,14650,7860
564,57,4,14650,7860
565,57,5,14650,7860
566,57,6,14650,7860
567,57,7,14650,7860
568,57,8,14650,7860
569,57,9,14650,7860
570,57,10,14650,7860
571,58,1,14650,7860
572,58,2,14650,7860
573,58,3,14650,7860
574,58,4,14650,7860
575,58,5,14650,7860
576,58,6,14650,7860
577,58,7,14650,7860
578,58,8,14650,7860
579,58,9,14650,7860
580,58,10,14650,7860
581,59,1,14650,7860
582,59,2,14650,7860
583,59,3,14650,7860
584,59,4,14650,7860
585,59,5,14650,7860
586,59,6,14650,7860
587,59,7,14650,7860
588,59,8,14650,7860
589,59,9,14650,7860
590,59,10,14650,7860
591,60,1,14650,7860
592,60,2,14650,7860
593,60,3,14650,7860
594,60,4,14650,7860
595,60,5,14650,7860
596,60,6,14650,7860
597,60,7,14650,7860
598,60,8,14650,7860
599,60,9,14650,7860
600,60,10,14650,7860
601,61,1,14650,7860
602,61,2,14650,7860
603,61,3,14650,7860
604,61,4,14650,7860
605,61,5,14650,7860
606,61,6,14650,7860
607,61,7,14650,7860
608,61,8,14650,7860
609,61,9,14650,7860
610,61,10,14650,7860
611,62,1,14650,7860
612,62,2,14650,7860
613,62,3,14650,7860
614,62,4,14650,7860
615,62,5,14650,7860
616,62,6,14650,7860
617,62,7,14650,7860
618,62,8,14650,7860
619,62,9,14650,7860
620,62,10,14650,7860
621,63,1,14650,7860
622,63,2,14650,7860
623,63,3,14650,7860
624,63,4,14650,7860
625,63,5,14650,7860
626,63,6,14650,7860
627,63,7,14650,7860
628,63,8,14650,7860
629,63,9,14650,7860
630,63,10,14650,7860
631,64,1,14650,7860
632,64,2,14650,7860
633,64,3,14650,7860
634,64,4,14650,7860
635,64,5,14650,7860
636,64,6,14650,7860
637,64,7,14650,7860
638,64,8,14650,7860
639,64,9,14650,7860
640,64,10,14650,7860
641,65,1,14650,7860
642,65,2,14650,7860
643,65,3,14650,7860
644,65,4,14650,7860
645,65,5,14650,7860
646,65,6,14650,7860
647,65,7,14650,7860
648,65,8,14650,7860
649,65,9,14650,7860
650,65,10,14650,7860
651,66,1,14650,7860
652,66,2,14650,7860
653,66,3,14650,7860
654,66,4,14650,7860
655,66,5,14650,7860
656,66,6,14650,7860
657,66,7,14650,7860
658,66,8,14650,7860
659,66,9,14650,7860
660,66,10,14650,7860
661,67,1,14650,7860
662,67,2,14650,7860
663,67,3,14650,7860
664,67,4,14650,7860
665,67,5,14650,7860
666,67,6,14650,7860
667,67,7,14650,7860
668,67,8,14650,7860
669,67,9,14650,7860
670,67,10,14650,7860
671,68,1,14650,7860
672,68,2,14650,7860
673,68,3,14650,7860
674,68,4,14650,7860
675,68,5,14650,7860
676,68,6,14650,7860
677,68,7,14650,7860
678,68,8,14650,7860
679,68,9,14650,7860
680,68,10,14650,7860
681,69,1,14650,7860
682,69,2,14650,7860
683,69,3,14650,7860
684,69,4,14650,7860
685,69,5,14650,7860
686,69,6,14650,7860
687,69,7,14650,7860
688,69,8,14650,7860
689,69,9,14650,7860
690,69,10,14650,7860
691,70,1,14650,7860
692,70,2,14650,7860
693,70,3,14650,7860
694,70,4,14650,7860
695,70,5,14650,7860
696,70,6,14650,7860
697,70,7,14650,7860
698,70,8,14650,7860
699,70,9,14650,7860
700,70,10,14650,7860
701,71,1,14650,7860
702,71,2,14650,7860
703,71,3,14650,7860
704,71,4,14650,7860
705,71,5,14650,7860
706,71,6,14650,7860
707,71,7,14650,7860
708,71,8,14650,7860
709,71,9,14650,7860
710,71,10,14650,7860
711,72,1,14650,7860
712,72,2,14650,7860
713,72,3,14650,7860
714,72,4,14650,7860
715,72,5,14650,7860
716,72,6,14650,7860
717,72,7,14650,7860
718,72,8,14650,7860
719,72,9,14650,7860
720,72,10,14650,7860
721,73,1,14650,7860
722,73,2,14650,7860
723,73,3,14650,7860
724,73,4,14650,7860
725,73,5,14650,7860
726,73,6,14650,7860
727,73,7,14650,7860
728,73,8,14650,7860
729,73,9,14650,7860
730,73,10,14650,7860
731,74,1,14650,7860
732,74,2,14650,7860
733,74,3,14650,7860
734,74,4,14650,7860
735,74,5,14650,7860
736,74,6,14650,7860
737,74,7,14650,7860
738,74,8,14650,7860
739,74,9,14650,7860
740,74,10,14650,7860
741,75,1,14650,7860
742,75,2,14650,7860
743,75,3,14650,7860
744,75,4,14650,7860
745,75,5,14650,7860
746,75,6,14650,7860
747,75,7,14650,7860
748,75,8,14650,7860
749,75,9,14650,7860
750,75,10,14650,7860
751,76,1,14650,7860
752,76,2,14650,7860
753,76,3,14650,7860
754,76,4,14650,7860
755,76,5,14650,7860
756,76,6,14650,7860
757,76,7,14650,7860
758,76,8,14650,7860
759,76,9,14650,7860
760,76,10,14650,7860
761,77,1,14650,7860
762,77,2,14650,7860
763,77,3,14650,7860
764,77,4,14650,7860
765,77,5,14650,7860
766,77,6,14650,7860
767,77,7,14650,7860
768,77,8,14650,7860
769,77,9,14650,7860
770,77,10,14650,7860
771,78,1,14650,7860
772,78,2,14650,7860
773,78,3,14650,7860
774,78,4,14650,7860
775,78,5,14650,7860
776,78,6,14650,7860
777,78,7,14650,7860
778,78,8,14650,7860
779,78,9,14650,7860
780,78,10,14650,7860
781,79,1,14650,7860
782,79,2,14650,7860
783,79,3,14650,7860
784,79,4,14650,7860
785,79,5,14650,7860
786,79,6,14650,7860
787,79,7,14650,7860
788,79,8,14650,7860
789,79,9,14650,7860
790,79,10,14650,7860
791,80,1,14650,7860
792,80,2,14650,7860
793,80,3,14650,7860
794,80,4,14650,7860
795,80,5,14650,7860
796,80,6,14650,7860
797,80,7,14650,7860
798,80,8,14650,7860
799,80,9,14650,7860
800,80,10,14650,7860
801,81,1,14650,7860
802,81,2,14650,7860
803,81,3,14650,7860
804,81,4,14650,7860
805,81,5,14650,7860
806,81,6,14650,7860
807,81,7,14650,7860
808,81,8,14650,7860
809,81,9,14650,7860
810,81,10,14650,7860
811,82,1,14650,7860
812,82,2,14650,7860
813,82,3,14650,7860
814,82,4,14650,7860
815,82,5,14650,7860
816,82,6,14650,7860
817,82,7,14650,7860
818,82,8,14650,7860
819,82,9,14650,7860
820,82,10,14650,7860
821,83,1,14650,7860
822,83,2,14650,7860
823,83,3,14650,7860
824,83,4,14650,7860
825,83,5,14650,7860
826,83,6,14650,7860
827,83,7,14650,7860
828,83,8,14650,7860
829,83,9,14650,7860
830,83,10,14650,7860
831,84,1,14650,7860
832,84,2,14650,7860
833,84,3,14650,7860
834,84,4,14650,7860
835,84,5,14650,7860
836,84,6,14650,7860
837,84,7,14650,7860
838,84,8,14650,7860
839,84,9,14650,7860
840,84,10,14650,7860
841,85,1,14650,7860
842,85,2,14650,7860
843,85,3,14650,7860
844,85,4,14650,7860
845,85,5,14650,7860
846,85,6,14650,7860
847,85,7,14650,7860
848,85,8,14650,7860
849,85,9,14650,7860
850,85,10,14650,7860
851,86,1,14650,7860
852,86,2,14650,7860
853,86,3,14650,7860
854,86,4,14650,7860
855,86,5,14650,7860
856,86,6,14650,7860
857,86,7,14650,7860
858,86,8,14650,7860
859,86,9,14650,7860
860,86,10,14650,7860
861,87,1,14650,7860
862,87,2,14650,7860
863,87,3,14650,7860
864,87,4,14650,7860
865,87,5,14650,7860
866,87,6,14650,7860
867,87,7,14650,7860
868,87,8,14650,7860
869,87,9,14650,7860
870,87,10,14650,7860
871,88,1,14650,7860
872,88,2,14650,7860
873,88,3,14650,7860
874,88,4,14650,7860
875,88,5,14650,7860
876,88,6,14650,7860
877,88,7,14650,7860
878,88,8,14650,7860
879,88,9,14650,7860
880,88,10,14650,7860
881,89,1,14650,7860
882,89,2,14650,7860
883,89,3,14650,7860
884,89,4,14650,7860
885,89,5,14650,7860
886,89,6,14650,7860
887,89,7,14650,7860
888,89,8,14650,7860
889,89,9,14650,7860
890,89,10,14650,7860
891,90,1,14650,7860
892,90,2,14650,7860
893,90,3,14650,7860
894,90,4,14650,7860
895,90,5,14650,7860
896,90,6,14650,7860
897,90,7,14650,7860
898,90,8,14650,7860
899,90,9,14650,7860
900,90,10,14650,7860
901,91,1,14650,7860
902,91,2,14650,7860
903,91,3,14650,7860
904,91,4,14650,7860
905,91,5,14650,7860
906,91,6,14650,7860
907,91,7,14650,7860
908,91,8,14650,7860
909,91,9,14650,7860
910,91,10,14650,7860
911,92,1,14650,7860
912,92,2,14650,7860
913,92,3,14650,7860
914,92,4,14650,7860
915,92,5,14650,7860
916,92,6,14650,7860
917,92,7,14650,7860
918,92,8,14650,7860
919,92,9,14650,7860
920,92,10,14650,7860
921,93,1,14650,7860
922,93,2,14650,7860
923,93,3,14650,7860
924,93,4,14650,7860
925,93,5,14650,7860
926,93,6,14650,7860
927,93,7,14650,7860
928,93,8,14650,7860
929,93,9,14650,7860
930,93,10,14650,7860
931,94,1,14650,7860
932,94,2,14650,7860
933,94,3,14650,7860
934,94,4,14650,7860
935,94,5,14650,7860
936,94,6,14650,7860
937,94,7,14650,7860
938,94,8,14650,7860
939,94,9,14650,7860
940,94,10,14650,7860
941,95,1,14650,7860
942,95,2,14650,7860
943,95,3,14650,7860
944,95,4,14650,7860
945,95,5,14650,7860
946,95,6,14650,7860
947,95,7,14650,7860
948,95,8,14650,7860
949,95,9,14650,7860
950,95,10,14650,7860
951,96,1,14650,7860
952,96,2,14650,7860
953,96,3,14650,7860
954,96,4,14650,7860
955,96,5,14650,7860
956,96,6,14650,7860
957,96,7,14650,7860
958,96,8,14650,7860
959,96,9,14650,7860
960,96,10,14650,7860
961,97,1,14650,7860
962,97,2,14650,7860
963,97,3,14650,7860
964,97,4,14650,7860
965,97,5,14650,7860
966,97,6,14650,7860
967,97,7,14650,7860
968,97,8,14650,7860
969,97,9,14650,7860
970,97,10,14650,7860
971,98,1,14650,7860
972,98,2,14650,7860
973,98,3,14650,7860
974,98,4,14650,7860
975,98,5,14650,7860
976,98,6,14650,7860
977,98,7,14650,7860
978,98,8,14650,7860
979,98,9,14650,7860
980,98,10,14650,7860
981,1,11,20,10
982,1,12,20,10
983,1,13,20,10
984,1,14,20,10
985,1,15,20,10
986,2,11,50,30
987,2,12,50,30
988,2,13,50,30
989,2,14,50,30
990,2,15,50,30
991,3,11,100,60
992,3,12,100,60
993,3,13,100,60
994,3,14,100,60
995,3,15,100,60
996,4,11,170,100
997,4,12,170,100
998,4,13,170,100
999,4,14,170,100
1000,4,15,170,100
1001,5,11,260,150
1002,5,12,260,150
1003,5,13,260,150
1004,5,14,260,150
1005,5,15,260,150
1006,6,11,380,220
1007,6,12,380,220
1008,6,13,380,220
1009,6,14,380,220
1010,6,15,380,220
1011,7,11,530,310
1012,7,12,530,310
1013,7,13,530,310
1014,7,14,530,310
1015,7,15,530,310
1016,8,11,710,410
1017,8,12,710,410
1018,8,13,710,410
1019,8,14,710,410
1020,8,15,710,410
1021,9,11,920,520
1022,9,12,920,520
1023,9,13,920,520
1024,9,14,920,520
1025,9,15,920,520
1026,10,11,1170,660
1027,10,12,1170,660
1028,10,13,1170,660
1029,10,14,1170,660
1030,10,15,1170,660
1031,11,11,1460,820
1032,11,12,1460,820
1033,11,13,1460,820
1034,11,14,1460,820
1035,11,15,1460,820
1036,12,11,1790,1000
1037,12,12,1790,1000
1038,12,13,1790,1000
1039,12,14,1790,1000
1040,12,15,1790,1000
1041,13,11,2480,1380
1042,13,12,2480,1380
1043,13,13,2480,1380
1044,13,14,2480,1380
1045,13,15,2480,1380
1046,14,11,3370,1860
1047,14,12,3370,1860
1048,14,13,3370,1860
1049,14,14,3370,1860
1050,14,15,3370,1860
1051,15,11,4940,2720
1052,15,12,4940,2720
1053,15,13,4940,2720
1054,15,14,4940,2720
1055,15,15,4940,2720
1056,16,11,7100,3880
1057,16,12,7100,3880
1058,16,13,7100,3880
1059,16,14,7100,3880
1060,16,15,7100,3880
1061,17,11,10020,5440
1062,17,12,10020,5440
1063,17,13,10020,5440
1064,17,14,10020,5440
1065,17,15,10020,5440
1066,18,11,13920,7520
1067,18,12,13920,7520
1068,18,13,13920,7520
1069,18,14,13920,7520
1070,18,15,13920,7520
1071,19,11,14650,7860
1072,19,12,14650,7860
1073,19,13,14650,7860
1074,19,14,14650,7860
1075,19,15,14650,7860
1076,20,11,14650,7860
1077,20,12,14650,7860
1078,20,13,14650,7860
1079,20,14,14650,7860
1080,20,15,14650,7860
1081,21,11,14650,7860
1082,21,12,14650,7860
1083,21,13,14650,7860
1084,21,14,14650,7860
1085,21,15,14650,7860
1086,22,11,14650,7860
1087,22,12,14650,7860
1088,22,13,14650,7860
1089,22,14,14650,7860
1090,22,15,14650,7860
1091,23,11,14650,7860
1092,23,12,14650,7860
1093,23,13,14650,7860
1094,23,14,14650,7860
1095,23,15,14650,7860
1096,24,11,14650,7860
1097,24,12,14650,7860
1098,24,13,14650,7860
1099,24,14,14650,7860
1100,24,15,14650,7860
1101,25,11,14650,7860
1102,25,12,14650,7860
1103,25,13,14650,7860
1104,25,14,14650,7860
1105,25,15,14650,7860
1106,26,11,14650,7860
1107,26,12,14650,7860
1108,26,13,14650,7860
1109,26,14,14650,7860
1110,26,15,14650,7860
1111,27,11,14650,7860
1112,27,12,14650,7860
1113,27,13,14650,7860
1114,27,14,14650,7860
1115,27,15,14650,7860
1116,28,11,14650,7860
1117,28,12,14650,7860
1118,28,13,14650,7860
1119,28,14,14650,7860
1120,28,15,14650,7860
1121,29,11,14650,7860
1122,29,12,14650,7860
1123,29,13,14650,7860
1124,29,14,14650,7860
1125,29,15,14650,7860
1126,30,11,14650,7860
1127,30,12,14650,7860
1128,30,13,14650,7860
1129,30,14,14650,7860
1130,30,15,14650,7860
1131,31,11,14650,7860
1132,31,12,14650,7860
1133,31,13,14650,7860
1134,31,14,14650,7860
1135,31,15,14650,7860
1136,32,11,14650,7860
1137,32,12,14650,7860
1138,32,13,14650,7860
1139,32,14,14650,7860
1140,32,15,14650,7860
1141,33,11,14650,7860
1142,33,12,14650,7860
1143,33,13,14650,7860
1144,33,14,14650,7860
1145,33,15,14650,7860
1146,34,11,14650,7860
1147,34,12,14650,7860
1148,34,13,14650,7860
1149,34,14,14650,7860
1150,34,15,14650,7860
1151,35,11,14650,7860
1152,35,12,14650,7860
1153,35,13,14650,7860
1154,35,14,14650,7860
1155,35,15,14650,7860
1156,36,11,14650,7860
1157,36,12,14650,7860
1158,36,13,14650,7860
1159,36,14,14650,7860
1160,36,15,14650,7860
1161,37,11,14650,7860
1162,37,12,14650,7860
1163,37,13,14650,7860
1164,37,14,14650,7860
1165,37,15,14650,7860
1166,38,11,14650,7860
1167,38,12,14650,7860
1168,38,13,14650,7860
1169,38,14,14650,7860
1170,38,15,14650,7860
1171,39,11,14650,7860
1172,39,12,14650,7860
1173,39,13,14650,7860
