id,color_r1,color_r2,color_g1,color_g2,color_b1,color_b2,toon_color_r1,toon_color_r2,toon_color_g1,toon_color_g2,toon_color_b1,toon_color_b2
8059,#A1605D,#A1372F,#FFE1BB,#A1372F,#D7DE72,#D7DE72,#7B404B,#6E1F26,#F7B39E,#6E1F26,#B6AB53,#B6AB53
8060,#68b366,#ffe7cb,#ffe7cb,#68b366,#68b366,#68b366,#258b76,#fabbad,#fabbad,#258b76,#258b76,#258b76
8061,#EAB3CE,#D7DE72,#FFE7CB,#6E5260,#EAB3CE,#EAB3CE,#A47FC8,#B6AB53,#FABBAD,#4E234F,#A47FC8,#A47FC8
8062,#99d2d9,#68b366,#ffebd9,#99d2d9,#99d2d9,#99d2d9,#8fa8e0,#258b76,#ffbebe,#8fa8e0,#8fa8e0,#8fa8e0
8063,#6C3875,#FFE7CB,#FFE7CB,#756D75,#6C3875,#6C3875,#2C1A53,#FABBAD,#FABBAD,#493853,#2C1A53,#2C1A53
8064,#3E3638,#E9ECF0,#601275,#6C3875,#6C3875,#3E3638,#291A25,#C0DCDA,#24123F,#2C1A53,#2C1A53,#291A25
8065,#e9ecf0,#a1372f,#f0b370,#99d2d9,#99d2d9,#e9ecf0,#c3b7d9,#702111,#c37641,#8fa8e0,#8fa8e0,#c3b7d9
8066,#A1372F,#5260B8,#50171C,#EAB3CE,#EAB3CE,#A1372F,#6E1F26,#454074,#310B0C,#A47FC8,#A47FC8,#6E1F26
8067,#5260b8,#ffe1bb,#ffe1bb,#68b366,#68b366,#5260b8,#4f408d,#f7b39e,#f7b39e,#258b76,#258b76,#4f408d
8068,#55A34E,#FFE7CB,#6C3875,#6C3875,#D7DE72,#D7DE72,#3C6563,#FABBAD,#2C1A53,#2C1A53,#B6AB53,#B6AB53
8069,#68b366,#ffe1bb,#ffe1bb,#5260b8,#5260b8,#68b366,#258b76,#f7b39e,#f7b39e,#4f408d,#4f408d,#258b76
8070,#eab3ce,#ffebd9,#ffebd9,#a1372f,#a1372f,#eab3ce,#d78bce,#ffbebe,#ffbebe,#702111,#702111,#d78bce
8071,#99d2d9,#f0b370,#f0b370,#e9ecf0,#e9ecf0,#99d2d9,#8fa8e0,#c37641,#c37641,#c3b7d9,#c3b7d9,#8fa8e0
8072,#6C3875,#FFE1BB,#B57EBF,#3E3638,#3E3638,#6C3875,#2C1A53,#F7B39E,#674E9C,#291A25,#291A25,#2C1A53
8073,#3E3638,#A1372F,#FFE7CB,#B85A71,#3E3638,#3E3638,#291A25,#6E1F26,#FABBAD,#944658,#291A25,#291A25
8074,#e9ecf0,#ffebd9,#ffebd9,#e9ecf0,#e9ecf0,#e9ecf0,#c3b7d9,#ffbebe,#ffbebe,#c3b7d9,#c3b7d9,#c3b7d9
8075,#A1372F,#FFEBD9,#4B1675,#6C3875,#6C3875,#A1372F,#6E1F26,#FFBEBE,#250F3E,#2C1A53,#2C1A53,#6E1F26
8076,#5260B8,#FFEBD9,#7B7B7B,#7B7B7B,#7B7B7B,#5260B8,#454074,#FFBEBE,#5D4E54,#5D4E54,#5D4E54,#454074
8077,#d7de72,#f0b370,#f0b370,#eab3ce,#eab3ce,#d7de72,#e3ae6c,#c37641,#c37641,#d78bce,#d78bce,#e3ae6c
8078,#68B366,#F0B370,#254027,#68B366,#68B366,#68B366,#3C8D95,#C37641,#0F291D,#3C8D95,#3C8D95,#3C8D95
8079,#EAB3CE,#6C3875,#CBDE30,#D7DE72,#D7DE72,#EAB3CE,#A47FC8,#2C1A53,#D0C14B,#B6AB53,#B6AB53,#A47FC8
8080,#99D2D9,#3E3638,#927778,#924040,#847376,#99D2D9,#6486AC,#291A25,#704C60,#6C2F2E,#62475A,#6486AC
8081,#6c3875,#ffe7cb,#ffe7cb,#a1372f,#a1372f,#6c3875,#511960,#fabbad,#fabbad,#702111,#702111,#511960
8082,#3e3638,#ffebd9,#ffebd9,#e9ecf0,#e9ecf0,#3e3638,#30101f,#ffbebe,#ffbebe,#c3b7d9,#c3b7d9,#30101f
8083,#e9ecf0,#d7de72,#ffebd9,#3e3638,#3e3638,#e9ecf0,#c3b7d9,#e3ae6c,#ffbebe,#30101f,#30101f,#c3b7d9
8084,#A1372F,#FFEBD9,#FFEBD9,#A1746F,#A1372F,#A1372F,#6E1F26,#FFBEBE,#FFBEBE,#825066,#6E1F26,#6E1F26
8085,#5260B8,#FFE1BB,#FFE1BB,#2C304B,#5260B8,#5260B8,#454074,#F7B39E,#F7B39E,#191827,#454074,#454074
8086,#d7de72,#ffebd9,#ffebd9,#6c3875,#6c3875,#d7de72,#e3ae6c,#ffbebe,#ffbebe,#511960,#511960,#e3ae6c
8087,#68B366,#6C3875,#A87BB0,#99D2D9,#99D2D9,#68B366,#3C8D95,#2C1A53,#614B8E,#6486AC,#6486AC,#3C8D95
8088,#EAB3CE,#FFE7CB,#FFE7CB,#494245,#EAB3CE,#EAB3CE,#A47FC8,#FABBAD,#FABBAD,#342334,#A47FC8,#A47FC8
8089,#99D2D9,#E9ECF0,#405A59,#68B366,#68B366,#99D2D9,#6486AC,#C0DCDA,#1D204C,#3C8D95,#3C8D95,#6486AC
8090,#6C3875,#F0B370,#742175,#D7DE72,#D7DE72,#6C3875,#2C1A53,#C37641,#2D1735,#B6AB53,#B6AB53,#2C1A53
8091,#3E3638,#836470,#713343,#B68C96,#64585D,#3E3638,#291A25,#5F3B5C,#52212A,#945C87,#473654,#291A25
8092,#E9ECF0,#FFEBD9,#7E7F82,#A1372F,#A1372F,#E9ECF0,#C0DCDA,#FFBEBE,#4D4F65,#6E1F26,#6E1F26,#C0DCDA
8093,#a1372f,#eab3ce,#f0b370,#e9ecf0,#e9ecf0,#a1372f,#702111,#d78bce,#c37641,#c3b7d9,#c3b7d9,#702111
8094,#5260B8,#28285A,#FFE7CB,#3E3638,#3E3638,#5260B8,#454074,#19171F,#FABBAD,#291A25,#291A25,#454074
8095,#D7DE72,#6C3875,#671675,#D7DE72,#D7DE72,#D7DE72,#B6AB53,#2C1A53,#28143E,#B6AB53,#B6AB53,#B6AB53
8096,#68b366,#f0b370,#f0b370,#68b366,#68b366,#68b366,#258b76,#c37641,#c37641,#258b76,#258b76,#258b76
8097,#EAB3CE,#E9ECF0,#726075,#6C3875,#6C3875,#EAB3CE,#A47FC8,#C0DCDA,#3E3750,#2C1A53,#2C1A53,#A47FC8
8098,#99D2D9,#A1372F,#33939F,#99D2D9,#99D2D9,#99D2D9,#6486AC,#6E1F26,#405486,#6486AC,#6486AC,#6486AC
8099,#6c3875,#5260b8,#ffebd9,#eab3ce,#eab3ce,#6c3875,#511960,#4f408d,#ffbebe,#d78bce,#d78bce,#511960
8100,#3E3638,#FFE7CB,#1D5D1B,#68B366,#68B366,#3E3638,#291A25,#FABBAD,#0C1E1F,#3C8D95,#3C8D95,#291A25
8101,#E9ECF0,#F0B370,#675C35,#D7DE72,#D7DE72,#E9ECF0,#C0DCDA,#C37641,#505020,#B6AB53,#B6AB53,#C0DCDA
8102,#A1372F,#99D2D9,#3736B8,#5260B8,#5260B8,#A1372F,#6E1F26,#6486AC,#2B2C7D,#454074,#454074,#6E1F26
8103,#5260b8,#6c3875,#ffe7cb,#a1372f,#a1372f,#5260b8,#4f408d,#511960,#fabbad,#702111,#702111,#4f408d
8104,#D7DE72,#3E3638,#7C7D80,#E9ECF0,#E9ECF0,#D7DE72,#B6AB53,#291A25,#4B4B63,#C0DCDA,#C0DCDA,#B6AB53
8105,#68B366,#FFEBD9,#325733,#3E3638,#3E3638,#68B366,#3C8D95,#FFBEBE,#1A3B2D,#291A25,#291A25,#3C8D95
8106,#eab3ce,#f0b370,#f0b370,#eab3ce,#eab3ce,#eab3ce,#d78bce,#c37641,#c37641,#d78bce,#d78bce,#d78bce
8107,#99D2D9,#E35F33,#F0B370,#E38A29,#99D2D9,#99D2D9,#6486AC,#B64233,#C37641,#BB623B,#6486AC,#6486AC
8108,#6C3875,#D7DE72,#621F75,#6C3875,#6C3875,#6C3875,#2C1A53,#B6AB53,#281638,#2C1A53,#2C1A53,#2C1A53
8109,#3E3638,#68B366,#547177,#99D2D9,#99D2D9,#3E3638,#291A25,#3C8D95,#2E485B,#6486AC,#6486AC,#291A25
8110,#E9ECF0,#FFE7CB,#4F3D46,#EAB3CE,#EAB3CE,#E9ECF0,#C0DCDA,#FABBAD,#35192C,#A47FC8,#A47FC8,#C0DCDA
8111,#a1372f,#99d2d9,#ffe1bb,#68b366,#68b366,#a1372f,#702111,#8fa8e0,#f7b39e,#258b76,#258b76,#702111
8112,#5260B8,#FFE1BB,#DEBB22,#D7DE72,#D7DE72,#5260B8,#454074,#F7B39E,#CA923F,#B6AB53,#B6AB53,#454074
8113,#D7DE72,#DED131,#DED131,#3E3638,#3E3638,#D7DE72,#B6AB53,#CEA74C,#CEA74C,#291A25,#291A25,#B6AB53
8114,#68B366,#FFE7CB,#A16466,#A1372F,#A1372F,#68B366,#3C8D95,#FABBAD,#814659,#6E1F26,#6E1F26,#3C8D95
8115,#EAB3CE,#A1372F,#A74274,#E9ECF0,#E9ECF0,#EAB3CE,#A47FC8,#6E1F26,#6B2D56,#C0DCDA,#C0DCDA,#A47FC8
8116,#99D2D9,#FFEBD9,#A1DEE4,#3E3638,#3E3638,#99D2D9,#6486AC,#FFBEBE,#6A92B6,#291A25,#291A25,#6486AC
8117,#6c3875,#d7de72,#ffe7cb,#6c3875,#6c3875,#6c3875,#511960,#e3ae6c,#fabbad,#511960,#511960,#511960
8118,#3E3638,#99D2D9,#FFEBD9,#917F81,#3E3638,#3E3638,#291A25,#6486AC,#FFBEBE,#735D6C,#291A25,#291A25
8119,#E9ECF0,#FFEBD9,#4F1575,#6C3875,#6C3875,#E9ECF0,#C0DCDA,#FFBEBE,#270F3E,#2C1A53,#2C1A53,#C0DCDA
8120,#A1372F,#FFE7CB,#3D6469,#99D2D9,#99D2D9,#A1372F,#6E1F26,#FABBAD,#1C175A,#6486AC,#6486AC,#6E1F26
8121,#5260B8,#E9ECF0,#272D56,#EAB3CE,#EAB3CE,#5260B8,#454074,#C0DCDA,#27252E,#A47FC8,#A47FC8,#454074
8122,#D7DE72,#A1372F,#2C4D2E,#68B366,#68B366,#D7DE72,#B6AB53,#6E1F26,#133626,#3C8D95,#3C8D95,#B6AB53
8123,#68b366,#5260b8,#f0b370,#d7de72,#d7de72,#68b366,#258b76,#4f408d,#c37641,#e3ae6c,#e3ae6c,#258b76
8124,#eab3ce,#d7de72,#ffe7cb,#5260b8,#5260b8,#eab3ce,#d78bce,#e3ae6c,#fabbad,#4f408d,#4f408d,#d78bce
8125,#99d2d9,#ffe7cb,#ffe7cb,#a1372f,#a1372f,#99d2d9,#8fa8e0,#fabbad,#fabbad,#702111,#702111,#8fa8e0
8126,#6c3875,#ffebd9,#ffebd9,#e9ecf0,#e9ecf0,#6c3875,#511960,#ffbebe,#ffbebe,#c3b7d9,#c3b7d9,#511960
8127,#3e3638,#f0b370,#f0b370,#3e3638,#3e3638,#3e3638,#30101f,#c37641,#c37641,#30101f,#30101f,#30101f
8128,#E9ECF0,#FFE1BB,#4B4C4E,#E9ECF0,#E9ECF0,#E9ECF0,#C0DCDA,#F7B39E,#2E413C,#C0DCDA,#C0DCDA,#C0DCDA
8129,#A1372F,#3E3638,#FFE7CB,#8BDCFF,#A1372F,#A1372F,#6E1F26,#291A25,#FABBAD,#5297C5,#6E1F26,#6E1F26
8130,#5260b8,#ffe1bb,#ffe1bb,#5260b8,#5260b8,#5260b8,#4f408d,#f7b39e,#f7b39e,#4f408d,#4f408d,#4f408d
8131,#D7DE72,#FFE1BB,#FFE1BB,#717F41,#D7DE72,#D7DE72,#B6AB53,#F7B39E,#F7B39E,#216137,#B6AB53,#B6AB53
8132,#403A33,#F0B370,#837D77,#6D4D29,#192D40,#F0A830,#2D1A1A,#C37641,#655858,#56161B,#28383B,#CC7E48
8133,#EAB3CE,#D7DE72,#864E69,#EAB3CE,#EAB3CE,#EAB3CE,#A47FC8,#B6AB53,#663056,#A47FC8,#A47FC8,#A47FC8
8134,#99D2D9,#FFE1BB,#FFE1BB,#FFE133,#99D2D9,#99D2D9,#6486AC,#F7B39E,#F7B39E,#F1B653,#6486AC,#6486AC
8135,#6C3875,#EAB3CE,#FFE1BB,#5EBF5C,#6C3875,#6C3875,#2C1A53,#A47FC8,#F7B39E,#4C8181,#2C1A53,#2C1A53
8136,#3e3638,#ffebd9,#ffebd9,#6c3875,#6c3875,#3e3638,#30101f,#ffbebe,#ffbebe,#511960,#511960,#30101f
8137,#E9ECF0,#F0B370,#39CDD9,#99D2D9,#99D2D9,#E9ECF0,#C0DCDA,#C37641,#6288B9,#6486AC,#6486AC,#C0DCDA
8138,#a1372f,#5260b8,#f0b370,#eab3ce,#eab3ce,#a1372f,#702111,#4f408d,#c37641,#d78bce,#d78bce,#702111
8139,#5260b8,#ffe7cb,#ffe7cb,#68b366,#68b366,#5260b8,#4f408d,#fabbad,#fabbad,#258b76,#258b76,#4f408d
8140,#3672FF,#FFE7CB,#FFE7CB,#D7DE72,#D7DE72,#99D2D9,#4046B9,#FABBAD,#FABBAD,#B6AB53,#B6AB53,#6486AC
8141,#68b366,#ffe7cb,#ffe7cb,#5260b8,#5260b8,#68b366,#258b76,#fabbad,#fabbad,#4f408d,#4f408d,#258b76
8142,#EAB3CE,#FFE1BB,#903260,#A1372F,#A1372F,#EAB3CE,#A47FC8,#F7B39E,#3D1D37,#6E1F26,#6E1F26,#A47FC8
8143,#99d2d9,#ffebd9,#ffebd9,#e9ecf0,#e9ecf0,#99d2d9,#8fa8e0,#ffbebe,#ffbebe,#c3b7d9,#c3b7d9,#8fa8e0
8144,#6C3875,#FFEBD9,#847970,#3E3638,#3E3638,#6C3875,#2C1A53,#FFBEBE,#665355,#291A25,#291A25,#2C1A53
8145,#3e3638,#ffe1bb,#ffe1bb,#3e3638,#3e3638,#3e3638,#30101f,#f7b39e,#f7b39e,#30101f,#30101f,#30101f
8146,#E9ECF0,#5260B8,#FFE7CB,#F0D465,#E9ECF0,#E9ECF0,#C0DCDA,#454074,#FABBAD,#C89748,#C0DCDA,#C0DCDA
8147,#A1372F,#FFE7CB,#A16661,#6C3875,#6C3875,#A1372F,#6E1F26,#FABBAD,#7C424D,#2C1A53,#2C1A53,#6E1F26
8148,#5260B8,#FFE1BB,#232B4F,#7E4F2F,#B97C2E,#5260B8,#454074,#F7B39E,#201F26,#5B2721,#8B4A25,#454074
8149,#d7de72,#ffe1bb,#ffe1bb,#eab3ce,#eab3ce,#d7de72,#e3ae6c,#f7b39e,#f7b39e,#d78bce,#d78bce,#e3ae6c
8150,#66604A,#FFE1BB,#313243,#E9ECF0,#152766,#6C3875,#4C5021,#F7B39E,#161E35,#C0DCDA,#16152A,#2C1A53
8151,#EAB3CE,#6C3875,#CEDA26,#D7DE72,#D7DE72,#EAB3CE,#A47FC8,#2C1A53,#CCB641,#B6AB53,#B6AB53,#A47FC8
8152,#99D2D9,#FFE7CB,#FFE7CB,#9B362B,#D97A71,#99D2D9,#6486AC,#FABBAD,#FABBAD,#671C21,#B2555B,#6486AC
8153,#6c3875,#e9ecf0,#ffe7cb,#a1372f,#a1372f,#6c3875,#511960,#c3b7d9,#fabbad,#702111,#702111,#511960
8154,#3e3638,#5260b8,#ffebd9,#e9ecf0,#e9ecf0,#3e3638,#30101f,#4f408d,#ffbebe,#c3b7d9,#c3b7d9,#30101f
8155,#E9ECF0,#D7DE72,#7A7D7E,#3E3638,#3E3638,#E9ECF0,#C0DCDA,#B6AB53,#4A5562,#291A25,#291A25,#C0DCDA
8156,#a1372f,#ffe1bb,#ffe1bb,#a1372f,#a1372f,#a1372f,#702111,#f7b39e,#f7b39e,#702111,#702111,#702111
8157,#5260b8,#ffe7cb,#ffe7cb,#5260b8,#5260b8,#5260b8,#4f408d,#fabbad,#fabbad,#4f408d,#4f408d,#4f408d
8158,#D7DE72,#99D2D9,#A37DA9,#6C3875,#6C3875,#D7DE72,#B6AB53,#6486AC,#604D87,#2C1A53,#2C1A53,#B6AB53
8159,#68b366,#6c3875,#ffebd9,#99d2d9,#99d2d9,#68b366,#258b76,#511960,#ffbebe,#8fa8e0,#8fa8e0,#258b76
8160,#EAB3CE,#3E3638,#523F46,#EAB3CE,#EAB3CE,#EAB3CE,#A47FC8,#291A25,#371C29,#A47FC8,#A47FC8,#A47FC8
8161,#99D2D9,#FFEBD9,#465A45,#68B366,#68B366,#99D2D9,#6486AC,#FFBEBE,#1E4147,#3C8D95,#3C8D95,#6486AC
8162,#6C3875,#FFE7CB,#7A2289,#D7DE72,#D7DE72,#6C3875,#2C1A53,#FABBAD,#371F52,#B6AB53,#B6AB53,#2C1A53
8163,#3E3638,#FFEBD9,#3C2DB8,#5260B8,#5260B8,#3E3638,#291A25,#FFBEBE,#2D247C,#454074,#454074,#291A25
8164,#e9ecf0,#68b366,#ffebd9,#a1372f,#a1372f,#e9ecf0,#c3b7d9,#258b76,#ffbebe,#702111,#702111,#c3b7d9
8165,#a1372f,#ffe7cb,#ffe7cb,#e9ecf0,#e9ecf0,#a1372f,#702111,#fabbad,#fabbad,#c3b7d9,#c3b7d9,#702111
8166,#5260B8,#3E3638,#F0B370,#3E3638,#3E3638,#5260B8,#454074,#291A25,#C37641,#291A25,#291A25,#454074
8167,#d7de72,#6c3875,#f0b370,#d7de72,#d7de72,#d7de72,#e3ae6c,#511960,#c37641,#e3ae6c,#e3ae6c,#e3ae6c
8168,#FFB06E,#FFE7CB,#FFE7CB,#6C572F,#6C572F,#385D80,#D57247,#FABBAD,#FABBAD,#582523,#582523,#2C3E63
8169,#eab3ce,#ffebd9,#ffebd9,#6c3875,#6c3875,#eab3ce,#d78bce,#ffbebe,#ffbebe,#511960,#511960,#d78bce
8170,#99D2D9,#FFEBD9,#FFEBD9,#D94F68,#99D2D9,#99D2D9,#6486AC,#FFBEBE,#FFBEBE,#9D3E60,#6486AC,#6486AC
8171,#6C3875,#F0B370,#664E57,#EAB3CE,#EAB3CE,#6C3875,#2C1A53,#C37641,#4B253A,#A47FC8,#A47FC8,#2C1A53
8172,#3e3638,#68b366,#f0b370,#68b366,#68b366,#3e3638,#30101f,#258b76,#c37641,#258b76,#258b76,#30101f
