id,default_npc_group_id,default_npc_team_id,card_rarity_data_id,chara_id,race_dress_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_id,skill_level,skill_set_id
29,2001,10,10310103,1031,103101,632,569,653,597,579,1,7,7,5,7,5,1,1,7,1,100311,3,510101
30,2001,10,10400103,1040,104001,663,691,587,643,449,2,7,6,6,2,7,7,2,7,4,100401,3,510122
31,2001,11,10420103,1042,104201,725,478,697,617,518,7,7,3,1,5,7,7,6,7,2,100421,3,510122
32,2001,11,10440103,1044,104401,648,545,665,523,623,3,7,7,4,1,1,7,7,7,1,100441,3,510132
33,2001,11,10510103,1051,105101,671,465,661,655,578,7,7,3,1,2,7,7,1,7,2,100511,3,510112
34,2001,12,10530103,1053,105301,700,506,700,583,525,7,7,5,1,1,3,7,5,7,4,100531,3,510121
35,2001,12,10590103,1059,105901,711,622,671,530,469,3,7,7,2,5,6,7,1,7,1,100591,3,510122
36,2001,12,10690103,1069,106901,608,588,558,630,618,3,7,7,3,6,7,2,1,7,1,100691,3,510111
37,2002,13,10010103,1001,100101,581,608,573,621,541,2,5,7,7,1,7,7,5,7,1,100011,3,510221
38,2002,13,10020103,1002,100201,688,584,413,522,523,4,7,7,3,7,5,3,1,7,1,100021,3,510201
39,2002,13,10030103,1003,100301,621,541,617,548,498,2,3,7,6,4,7,5,3,7,1,100031,3,510211
40,2002,14,10060103,1006,100601,644,590,514,707,675,3,7,7,6,2,7,7,4,7,6,100061,3,510222
41,2002,14,10070103,1007,100701,690,618,510,636,515,1,5,7,7,1,6,6,7,7,1,100071,3,510231
42,2002,14,10080103,1008,100801,682,534,549,524,541,2,7,7,2,5,6,7,2,7,1,100081,3,510221
43,2002,15,10090103,1009,100901,672,525,504,660,536,2,7,7,6,7,7,3,1,7,1,100091,3,510201
44,2002,15,10130103,1013,101301,703,617,591,574,544,1,2,7,7,6,7,4,2,7,3,100131,3,510211
45,2002,15,10140103,1014,101401,619,560,555,543,667,2,7,7,6,3,7,7,5,7,6,100141,3,510212
46,2002,16,10170103,1017,101701,630,599,680,686,565,3,5,7,7,6,7,7,5,7,1,100171,3,510211
47,2002,16,10180103,1018,101801,664,566,604,605,613,5,6,7,3,4,7,7,1,7,1,100181,3,510211
48,2002,16,10240103,1024,102401,642,710,521,610,692,4,4,7,7,7,7,6,6,7,3,100241,3,510212
49,2002,17,10270103,1027,102701,624,626,686,588,689,3,5,7,6,2,7,7,2,7,1,100271,3,510211
50,2002,17,10300103,1030,103001,526,700,512,595,661,3,5,7,7,6,7,5,1,7,1,100301,3,510212
51,2002,17,10320103,1032,103201,625,706,712,531,651,1,4,7,6,3,7,6,2,7,1,100321,3,510211
52,2002,18,10350103,1035,103501,646,634,571,621,684,1,2,7,6,1,6,7,1,7,1,100351,3,510222
53,2002,18,10450103,1045,104501,615,558,649,575,580,1,1,7,7,4,7,6,1,7,1,100451,3,510212
54,2002,18,10560103,1056,105601,640,657,681,501,687,2,5,7,7,1,6,7,2,7,2,100561,3,510221
55,2002,19,10600103,1060,106001,508,643,705,540,708,1,5,7,7,2,6,7,4,7,1,100601,3,510222
56,2002,19,10120103,1012,101201,638,572,607,662,704,4,7,7,6,1,6,5,7,7,3,100121,3,510231
57,2002,19,10150103,1015,101501,530,711,633,629,569,1,3,7,7,5,7,7,1,7,3,100151,3,510212
58,2002,20,10160103,1016,101601,538,630,699,650,647,2,6,7,7,1,7,7,4,7,1,100161,3,510211
59,2002,20,10190103,1019,101901,533,598,683,709,668,2,7,7,1,1,7,7,6,7,7,100191,3,510221
60,2002,20,10200103,1020,102001,623,554,559,676,498,1,5,7,7,7,6,4,3,7,1,100201,3,510202
61,2002,21,10210103,1021,102101,691,550,582,612,665,1,3,7,7,1,7,7,7,7,2,100211,3,510211
62,2002,21,10220103,1022,102201,573,557,499,583,609,2,7,7,5,4,7,3,5,7,1,100221,3,510212
63,2002,21,10230103,1023,102301,671,685,587,628,500,2,5,7,7,3,7,6,3,7,2,100231,3,510211
64,2002,22,10260103,1026,102601,552,637,606,601,679,5,6,7,6,7,3,1,1,7,1,100261,3,510201
65,2002,22,10290103,1029,102901,614,656,627,523,542,4,7,7,3,5,7,2,1,7,6,100291,3,510212
66,2002,22,10310103,1031,103101,674,579,688,695,659,1,7,7,5,7,5,1,1,7,1,100311,3,510202
67,2002,23,10330103,1033,103301,619,550,669,589,681,2,5,7,5,1,1,6,7,7,1,100331,3,510231
68,2002,23,10340103,1034,103401,548,532,694,511,654,2,6,7,7,1,6,6,7,7,7,100341,3,510232
69,2002,23,10360103,1036,103601,666,632,603,608,696,1,3,7,7,1,5,7,7,7,1,100361,3,510231
70,2002,24,10370103,1037,103701,505,600,645,639,561,1,2,7,7,1,6,7,5,7,1,100371,3,510222
71,2002,24,10390103,1039,103901,622,547,520,535,663,4,6,7,2,1,5,7,4,7,1,100391,3,510221
72,2002,24,10440103,1044,104401,592,594,602,677,576,3,7,7,4,1,1,7,7,7,1,100441,3,510231
73,2002,25,10470103,1047,104701,611,519,529,653,556,1,3,7,7,1,7,7,3,7,1,100471,3,510212
74,2002,25,10480103,1048,104801,585,527,702,672,518,1,2,7,6,5,7,6,1,7,1,100481,3,510211
75,2002,25,10490103,1049,104901,568,553,597,616,635,1,5,7,6,1,7,7,4,7,1,100491,3,510221
76,2002,26,10500103,1050,105001,641,516,678,599,698,2,4,7,7,1,2,6,7,7,1,100501,3,510232
77,2002,26,10580103,1058,105801,567,596,545,517,697,1,2,7,7,2,7,6,3,7,3,100581,3,510212
78,2002,26,10590103,1059,105901,584,513,551,562,670,3,7,7,2,5,6,7,1,7,1,100591,3,510222
79,2002,27,10620103,1062,106201,589,503,581,648,564,1,4,7,7,2,7,7,3,7,1,100621,3,510221
80,2002,27,10640103,1064,106401,631,546,506,528,537,1,2,7,7,7,3,2,1,7,1,100641,3,510201
81,2002,27,10670103,1067,106701,652,509,563,577,620,1,5,7,7,1,6,7,4,7,1,100671,3,510221
82,2002,28,10680103,1068,106801,658,578,713,522,507,3,5,7,7,7,6,5,1,7,1,100681,3,510202
83,2002,28,10740103,1074,107401,674,579,688,601,612,2,5,7,7,1,4,7,7,7,1,100741,3,510221
84,2002,28,10710103,1071,107101,619,655,669,673,701,3,6,7,4,5,7,4,1,7,2,100711,3,510212
85,2002,29,10690103,1069,106901,548,532,694,511,654,3,7,7,3,6,7,2,1,7,1,100691,3,510211
86,2002,29,10720103,1072,107201,666,632,603,608,696,1,6,7,3,2,7,7,1,7,3,100721,3,510212
87,2002,29,10020103,1002,100201,538,630,699,650,647,4,7,7,3,7,5,3,1,7,1,100021,3,510202
88,2003,30,10010103,1001,100101,608,581,573,621,541,2,5,7,7,1,7,7,5,7,1,100011,3,510321
89,2003,30,10070103,1007,100701,688,584,413,522,523,1,5,7,7,1,6,6,7,7,1,100071,3,510331
90,2003,30,10110103,1011,101101,621,541,617,548,498,1,7,6,7,2,7,7,2,7,1,100111,3,510322
91,2003,31,10130103,1013,101301,644,590,514,707,675,1,2,7,7,6,7,4,2,7,3,100131,3,510312
92,2003,31,10170103,1017,101701,690,618,510,636,515,3,5,7,7,6,7,7,5,7,1,100171,3,510311
93,2003,31,10240103,1024,102401,682,534,549,524,541,4,4,7,7,7,7,6,6,7,3,100241,3,510301
94,2003,32,10300103,1030,103001,672,525,504,660,536,3,5,7,7,6,7,5,1,7,1,100301,3,510312
95,2003,32,10450103,1045,104501,703,617,591,574,544,1,1,7,7,4,7,6,1,7,1,100451,3,510311
96,2003,32,10560103,1056,105601,619,560,555,543,667,2,5,7,7,1,6,7,2,7,2,100561,3,510321
97,2003,33,10600103,1060,106001,630,599,680,686,565,1,5,7,7,2,6,7,4,7,1,100601,3,510322
98,2003,33,10150103,1015,101501,664,566,604,605,613,1,3,7,7,5,7,7,1,7,3,100151,3,510312
99,2003,33,10160103,1016,101601,710,642,521,610,692,2,6,7,7,1,7,7,4,7,1,100161,3,510311
100,2003,34,10200103,1020,102001,624,626,686,588,689,1,5,7,7,7,6,4,3,7,1,100201,3,510302
101,2003,34,10210103,1021,102101,700,526,512,595,661,1,3,7,7,1,7,7,7,7,2,100211,3,510332
102,2003,34,10230103,1023,102301,706,625,712,531,651,2,5,7,7,3,7,6,3,7,2,100231,3,510312
103,2003,35,10250103,1025,102501,646,634,571,621,684,1,2,6,7,1,5,7,5,7,1,100251,3,510321
104,2003,35,10340103,1034,103401,615,558,649,575,580,2,6,7,7,1,6,6,7,7,7,100341,3,510331
105,2003,35,10360103,1036,103601,640,657,681,501,687,1,3,7,7,1,5,7,7,7,1,100361,3,510332
106,2003,36,10370103,1037,103701,643,508,705,540,708,1,2,7,7,1,6,7,5,7,1,100371,3,510322
107,2003,36,10500103,1050,105001,638,572,607,662,704,2,4,7,7,1,2,6,7,7,1,100501,3,510331
108,2003,36,10580103,1058,105801,711,530,633,629,569,1,2,7,7,2,7,6,3,7,3,100581,3,510311
109,2003,37,10620103,1062,106201,630,538,699,650,647,1,4,7,7,2,7,7,3,7,1,100621,3,510321
110,2003,37,10640103,1064,106401,601,533,683,709,668,1,2,7,7,7,3,2,1,7,1,100641,3,510302
111,2003,37,10670103,1067,106701,623,554,559,676,498,1,5,7,7,1,6,7,4,7,1,100671,3,510322
112,2003,38,10680103,1068,106801,691,550,582,612,665,3,5,7,7,7,6,5,1,7,1,100681,3,510301
113,2003,38,10740103,1074,107401,673,557,499,583,609,2,5,7,7,1,4,7,7,7,1,100741,3,510321
114,2003,38,10070103,1007,100701,685,671,587,628,500,1,5,7,7,1,6,6,7,7,1,100071,3,510332
130,2011,44,10060103,1006,100601,718,523,673,605,540,3,7,7,6,2,7,7,4,7,6,100061,3,511112
131,2011,44,10100103,1010,101001,650,560,640,543,650,7,7,3,1,5,7,3,1,7,6,100101,3,511111
132,2011,44,10140103,1014,101401,618,525,678,610,618,2,7,7,6,3,7,7,5,7,6,100141,3,511112
133,2011,45,10520103,1052,105201,638,525,698,548,598,7,6,1,1,1,1,7,6,1,7,100521,3,511122
134,2011,45,10190103,1019,101901,648,575,658,615,525,2,7,7,1,1,7,7,6,7,7,100191,3,511112
135,2011,45,10290103,1029,102901,701,467,721,558,605,4,7,7,3,5,7,2,1,7,6,100291,3,511111
136,2011,46,10340103,1034,103401,605,558,585,623,640,2,6,7,7,1,6,6,7,7,7,100341,3,511131
137,2011,46,10430103,1043,104301,630,593,593,640,610,5,7,6,1,1,7,6,2,2,7,100431,3,511112
138,2011,46,10460103,1046,104601,705,477,628,650,550,6,7,7,3,7,4,1,1,3,7,100461,3,511101
139,2011,47,10980103,1098,109801,663,598,718,440,585,5,7,7,1,7,7,5,1,2,7,100981,3,511102
140,2011,47,11000103,1100,110001,689,506,599,570,653,4,7,7,3,5,7,5,3,1,7,101001,3,511112
141,2011,47,10100103,1010,101001,650,560,640,543,650,7,7,3,1,5,7,3,1,7,6,100101,3,511111
142,2011,48,10520103,1052,105201,638,525,698,548,598,7,6,1,1,1,1,7,6,1,7,100521,3,511121
143,2011,48,10430103,1043,104301,630,593,593,640,610,5,7,6,1,1,7,6,2,2,7,100431,3,511111
144,2011,48,11000103,1100,110001,689,506,599,570,653,4,7,7,3,5,7,5,3,1,7,101001,3,511112
145,2012,49,10060103,1006,100601,618,525,678,610,618,3,7,7,6,2,7,7,4,7,6,100061,3,511222
146,2012,49,10140103,1014,101401,630,593,593,640,610,2,7,7,6,3,7,7,5,7,6,100141,3,511211
147,2012,49,10190103,1019,101901,694,510,603,575,658,2,7,7,1,1,7,7,6,7,7,100191,3,511221
148,2012,50,10290103,1029,102901,641,545,601,641,619,4,7,7,3,5,7,2,1,7,6,100291,3,511212
149,2012,50,10340103,1034,103401,668,707,603,603,426,2,6,7,7,1,6,6,7,7,7,100341,3,511231
150,2012,50,10430103,1043,104301,726,541,644,612,509,5,7,6,1,1,7,6,2,2,7,100431,3,511211
151,2012,51,10460103,1046,104601,693,490,588,693,568,6,7,7,3,7,4,1,1,3,7,100461,3,511201
152,2012,51,10980103,1098,109801,648,528,660,578,635,5,7,7,1,7,7,5,1,2,7,100981,3,511202
153,2012,51,11000103,1100,110001,592,547,565,663,645,4,7,7,3,5,7,5,3,1,7,101001,3,511212
154,2012,52,10290103,1029,102901,636,541,596,636,615,4,7,7,3,5,7,2,1,7,6,100291,3,511211
155,2012,52,10980103,1098,109801,642,523,655,573,630,5,7,7,1,7,7,5,1,2,7,100981,3,511212
156,2012,52,10140103,1014,101401,630,593,593,640,610,2,7,7,6,3,7,7,5,7,6,100141,3,511221
157,2012,53,10460103,1046,104601,693,490,588,693,568,6,7,7,3,7,4,1,1,3,7,100461,3,511202
158,2012,53,10430103,1043,104301,729,543,646,614,511,5,7,6,1,1,7,6,2,2,7,100431,3,511212
159,2012,53,11000103,1100,110001,602,556,574,673,655,4,7,7,3,5,7,5,3,1,7,101001,3,511212
175,2020,59,10870103,1087,108701,681,411,573,621,551,7,6,1,1,7,7,1,1,7,1,100871,3,512012
176,2020,59,10410103,1041,104101,722,407,551,522,583,7,6,1,1,7,7,2,1,7,1,100411,3,512002
177,2020,59,10610103,1061,106101,699,384,617,548,578,7,6,6,5,1,6,7,4,7,1,100611,3,512021
178,2020,60,10280103,1028,102801,674,389,534,707,675,7,6,2,1,6,7,5,1,7,2,100281,3,512011
179,2020,60,10380103,1038,103801,690,351,539,636,625,7,4,1,1,6,7,3,1,7,2,100381,3,512012
180,2020,60,10420103,1042,104201,682,326,589,594,581,7,7,3,1,5,7,7,6,7,2,100421,3,512022
181,2020,61,10930103,1093,109301,722,383,544,660,536,7,6,1,1,3,7,6,5,7,1,100931,3,512011
182,2020,61,10530103,1053,105301,703,372,591,574,544,7,7,5,1,1,3,7,5,7,4,100531,3,512022
183,2020,61,10410103,1041,104101,689,356,555,543,667,7,6,1,1,7,7,2,1,7,1,100411,3,512002
184,2020,62,10530103,1053,105301,703,372,591,574,565,7,7,5,1,1,3,7,5,7,4,100531,3,512022
185,2020,62,10870103,1087,108701,681,411,573,621,613,7,6,1,1,7,7,1,1,7,1,100871,3,512012
186,2020,62,10280103,1028,102801,642,344,521,610,692,7,6,2,1,6,7,5,1,7,2,100281,3,512011
187,2020,63,10930103,1093,109301,722,383,544,660,536,7,6,1,1,3,7,6,5,7,1,100931,3,512011
188,2020,63,10380103,1038,103801,684,404,512,595,661,7,4,1,1,6,7,3,1,7,2,100381,3,512012
189,2020,63,10610103,1061,106101,701,333,697,531,651,7,6,6,5,1,6,7,4,7,1,100611,3,512021
