id,race_additional_reward_id,item_category,item_id,reward_type,reward_value,reward_rate
68,23,102,102101,2,1,5000
69,23,102,102101,2,2,5000
70,24,102,104602,1,5,10000
71,24,102,104602,2,1,5000
72,24,102,104602,2,2,5000
73,25,102,105202,1,5,10000
74,25,102,105202,2,1,5000
75,25,102,105202,2,2,5000
76,26,102,106102,1,5,10000
77,26,102,106102,2,1,5000
78,26,102,106102,2,2,5000
79,27,102,101201,1,5,10000
80,27,102,101201,2,1,5000
81,27,102,101201,2,2,5000
82,28,102,100601,1,5,10000
83,28,102,100601,2,1,5000
84,28,102,100601,2,2,5000
85,29,102,101501,1,5,10000
86,29,102,101501,2,1,5000
87,29,102,101501,2,2,5000
88,30,102,100502,1,5,10000
89,30,102,100502,2,1,5000
90,30,102,100502,2,2,5000
91,40,102,104001,1,5,10000
92,40,102,104001,2,1,5000
93,40,102,104001,2,2,5000
94,41,102,101902,1,5,10000
95,41,102,101902,2,1,5000
96,41,102,101902,2,2,5000
97,42,102,100401,1,5,10000
98,42,102,100401,2,1,5000
99,42,102,100401,2,2,5000
100,43,102,100302,1,5,10000
101,43,102,100302,2,1,5000
102,43,102,100302,2,2,5000
103,44,102,105001,1,5,10000
104,44,102,105001,2,1,5000
105,44,102,105001,2,2,5000
106,45,102,103401,1,5,10000
107,45,102,103401,2,1,5000
108,45,102,103401,2,2,5000
109,46,102,102102,1,5,10000
110,46,102,102102,2,1,5000
111,46,102,102102,2,2,5000
112,47,102,104201,1,5,10000
113,47,102,104201,2,1,5000
114,47,102,104201,2,2,5000
115,48,102,107401,1,5,10000
116,48,102,107401,2,1,5000
117,48,102,107401,2,2,5000
118,49,102,103702,1,5,10000
119,49,102,103702,2,1,5000
120,49,102,103702,2,2,5000
121,50,102,104801,1,5,10000
122,50,102,104801,2,1,5000
123,50,102,104801,2,2,5000
124,51,102,109901,1,5,10000
125,51,102,109901,2,1,5000
126,51,102,109901,2,2,5000
127,52,102,101901,1,5,10000
128,52,102,101901,2,1,5000
129,52,102,101901,2,2,5000
130,53,102,103801,1,5,10000
131,53,102,103801,2,1,5000
132,53,102,103801,2,2,5000
133,54,102,101302,1,5,10000
134,54,102,101302,2,1,5000
135,54,102,101302,2,2,5000
136,55,102,100901,1,5,10000
137,55,102,100901,2,1,5000
138,55,102,100901,2,2,5000
139,56,102,102001,1,5,10000
140,56,102,102001,2,1,5000
141,56,102,102001,2,2,5000
142,57,102,102501,1,5,10000
143,57,102,102501,2,1,5000
144,57,102,102501,2,2,5000
145,58,102,110001,1,5,10000
146,58,102,110001,2,1,5000
147,58,102,110001,2,2,5000
148,59,102,101401,1,5,10000
149,59,102,101401,2,1,5000
150,59,102,101401,2,2,5000
151,60,102,100801,1,5,10000
152,60,102,100801,2,1,5000
153,60,102,100801,2,2,5000
154,61,102,103901,1,5,10000
155,61,102,103901,2,1,5000
156,61,102,103901,2,2,5000
157,62,102,101601,1,5,10000
158,62,102,101601,2,1,5000
159,62,102,101601,2,2,5000
160,63,102,101001,1,5,10000
161,63,102,101001,2,1,5000
162,63,102,101001,2,2,5000
163,64,102,102301,1,5,10000
164,64,102,102301,2,1,5000
165,64,102,102301,2,2,5000
166,65,102,104601,1,5,10000
167,65,102,104601,2,1,5000
168,65,102,104601,2,2,5000
169,66,102,100501,1,5,10000
170,66,102,100501,2,1,5000
171,66,102,100501,2,2,5000
172,67,102,105901,1,5,10000
173,67,102,105901,2,1,5000
174,67,102,105901,2,2,5000
175,68,102,106701,1,5,10000
176,68,102,106701,2,1,5000
177,68,102,106701,2,2,5000
178,69,102,102101,1,5,10000
179,69,102,102101,2,1,5000
180,69,102,102101,2,2,5000
181,70,102,104602,1,5,10000
182,70,102,104602,2,1,5000
183,70,102,104602,2,2,5000
184,71,102,105202,1,5,10000
185,71,102,105202,2,1,5000
186,71,102,105202,2,2,5000
187,72,102,106102,1,5,10000
188,72,102,106102,2,1,5000
189,72,102,106102,2,2,5000
190,73,102,101201,1,5,10000
191,73,102,101201,2,1,5000
192,73,102,101201,2,2,5000
193,74,102,100601,1,5,10000
194,74,102,100601,2,1,5000
195,74,102,100601,2,2,5000
196,75,102,101501,1,5,10000
197,75,102,101501,2,1,5000
198,75,102,101501,2,2,5000
199,76,102,100502,1,5,10000
200,76,102,100502,2,1,5000
201,76,102,100502,2,2,5000
202,77,102,104001,1,5,10000
203,77,102,104001,2,1,5000
204,77,102,104001,2,2,5000
205,78,102,101902,1,5,10000
206,78,102,101902,2,1,5000
207,78,102,101902,2,2,5000
208,79,102,100401,1,5,10000
209,79,102,100401,2,1,5000
210,79,102,100401,2,2,5000
211,80,102,100302,1,5,10000
212,80,102,100302,2,1,5000
213,80,102,100302,2,2,5000
214,81,102,105001,1,5,10000
215,81,102,105001,2,1,5000
216,81,102,105001,2,2,5000
217,82,102,103401,1,5,10000
218,82,102,103401,2,1,5000
219,82,102,103401,2,2,5000
220,83,102,107601,1,5,10000
221,83,102,107601,2,1,5000
222,83,102,107601,2,2,5000
223,84,102,105102,1,5,10000
224,84,102,105102,2,1,5000
225,84,102,105102,2,2,5000
226,85,102,101402,1,5,10000
227,85,102,101402,2,1,5000
228,85,102,101402,2,2,5000
229,86,102,100802,1,5,10000
230,86,102,100802,2,1,5000
231,86,102,100802,2,2,5000
232,87,102,101001,1,5,10000
233,87,102,101001,2,1,5000
234,87,102,101001,2,2,5000
235,88,102,102301,1,5,10000
236,88,102,102301,2,1,5000
237,88,102,102301,2,2,5000
238,89,102,104601,1,5,10000
239,89,102,104601,2,1,5000
240,89,102,104601,2,2,5000
241,90,102,108701,1,5,10000
242,90,102,108701,2,1,5000
243,90,102,108701,2,2,5000
244,91,102,108301,1,5,10000
245,91,102,108301,2,1,5000
246,91,102,108301,2,2,5000
247,92,102,109101,1,5,10000
248,92,102,109101,2,1,5000
249,92,102,109101,2,2,5000
250,93,102,107701,1,5,10000
251,93,102,107701,2,1,5000
252,93,102,107701,2,2,5000
253,94,102,105701,1,5,10000
254,94,102,105701,2,1,5000
255,94,102,105701,2,2,5000
256,95,102,102202,1,5,10000
257,95,102,102202,2,1,5000
258,95,102,102202,2,2,5000
259,96,102,106501,1,5,10000
260,96,102,106501,2,1,5000
261,96,102,106501,2,2,5000
262,97,102,108901,1,5,10000
263,97,102,108901,2,1,5000
264,97,102,108901,2,2,5000
265,98,102,108001,1,5,10000
266,98,102,108001,2,1,5000
267,98,102,108001,2,2,5000
268,99,102,105902,1,5,10000
269,99,102,105902,2,1,5000
270,99,102,105902,2,2,5000
271,100,102,111901,1,5,10000
272,100,102,111901,2,1,5000
273,100,102,111901,2,2,5000
274,101,102,101602,1,5,10000
275,101,102,101602,2,1,5000
276,101,102,101602,2,2,5000
277,102,102,103301,1,5,10000
278,102,102,103301,2,1,5000
279,102,102,103301,2,2,5000
280,103,102,103402,1,5,10000
281,103,102,103402,2,1,5000
282,103,102,103402,2,2,5000
283,104,102,108401,1,5,10000
284,104,102,108401,2,1,5000
285,104,102,108401,2,2,5000
286,105,102,107402,1,5,10000
287,105,102,107402,2,1,5000
288,105,102,107402,2,2,5000
289,106,102,104802,1,5,10000
290,106,102,104802,2,1,5000
291,106,102,104802,2,2,5000
292,107,102,104301,1,5,10000
293,107,102,104301,2,1,5000
294,107,102,104301,2,2,5000
295,108,102,105302,1,5,10000
296,108,102,105302,2,1,5000
297,108,102,105302,2,2,5000
298,109,102,110501,1,5,10000
299,109,102,110501,2,1,5000
300,109,102,110501,2,2,5000
301,110,102,109902,1,5,10000
302,110,102,109902,2,1,5000
303,110,102,109902,2,2,5000
304,111,102,108601,1,5,10000
305,111,102,108601,2,1,5000
306,111,102,108601,2,2,5000
307,112,102,102602,1,5,10000
308,112,102,102602,2,1,5000
309,112,102,102602,2,2,5000
310,113,102,102303,1,5,10000
311,113,102,102303,2,1,5000
312,113,102,102303,2,2,5000
313,114,102,110901,1,5,10000
314,114,102,110901,2,1,5000
315,114,102,110901,2,2,5000
316,115,102,111001,1,5,10000
317,115,102,111001,2,1,5000
318,115,102,111001,2,2,5000
319,116,102,110801,1,5,10000
320,116,102,110801,2,1,5000
321,116,102,110801,2,2,5000
322,117,102,108502,1,5,10000
323,117,102,108502,2,1,5000
324,117,102,108502,2,2,5000
325,118,102,108801,1,5,10000
326,118,102,108801,2,1,5000
327,118,102,108801,2,2,5000
328,119,102,109802,1,5,10000
329,119,102,109802,2,1,5000
330,119,102,109802,2,2,5000
331,120,102,104603,1,5,10000
332,120,102,104603,2,1,5000
333,120,102,104603,2,2,5000
334,121,102,103703,1,5,10000
335,121,102,103703,2,1,5000
336,121,102,103703,2,2,5000
