id,partner_id,scenario_id,chara_id,period,training_placement,gain_flag_id,is_support_featured_stock,gain_role_id
409,111,4,9044,0,1,9044,0,409044
410,112,4,9047,0,1,9047,0,409047
411,113,4,9049,0,1,9049,0,409049
412,114,4,9050,0,1,9050,0,409050
413,115,4,1139,0,1,1139,0,401139
501,101,5,9001,0,1,0,0,509001
502,102,5,9002,2,0,9002,1,509002
503,103,5,9003,2,0,0,0,509003
504,104,5,9004,0,1,9004,0,509004
505,106,5,9006,0,1,9006,0,509006
506,108,5,9008,0,1,9008,0,509008
507,109,5,9040,0,0,0,0,509040
508,110,5,9043,0,1,9043,0,509043
509,111,5,9044,0,1,9044,0,509044
510,112,5,9047,0,1,9047,0,509047
511,113,5,9049,0,1,9049,0,509049
512,114,5,9050,0,1,9050,0,509050
513,115,5,1139,0,1,1139,0,501139
601,101,6,9001,0,1,0,0,609001
602,102,6,9002,2,0,9002,1,609002
603,103,6,9003,2,0,0,0,609003
604,104,6,9004,0,1,9004,0,609004
605,106,6,9006,0,1,9006,0,609006
606,108,6,9008,0,1,9008,0,609008
607,109,6,9040,0,1,9040,0,609040
608,110,6,9043,3,0,0,1,609043
609,111,6,9044,0,1,9044,0,609044
610,112,6,9047,0,1,9047,0,609047
611,113,6,9049,0,1,9049,0,609049
612,114,6,9050,0,1,9050,0,609050
613,115,6,1139,0,1,1139,0,601139
701,101,7,9001,0,1,0,0,709001
702,102,7,9002,2,0,9002,1,709002
703,103,7,9003,2,0,0,0,709003
704,104,7,9004,0,1,9004,0,709004
705,106,7,9006,0,1,9006,0,709006
706,108,7,9008,0,1,9008,0,709008
707,109,7,9040,0,1,9040,0,709040
708,110,7,9043,0,1,9043,0,709043
709,111,7,9044,2,0,0,1,709044
710,112,7,9047,0,1,9047,0,709047
711,113,7,9049,0,1,9049,0,709049
712,114,7,9050,0,1,9050,0,709050
713,115,7,1139,0,1,1139,0,701139
801,101,8,9001,0,1,0,0,809001
802,102,8,9002,2,0,0,1,809002
803,103,8,9003,2,0,0,0,809003
804,104,8,9004,0,1,9004,0,809004
805,106,8,9006,0,1,9006,0,809006
806,108,8,9008,0,1,9008,0,809008
807,109,8,9040,0,1,9040,0,809040
808,110,8,9043,0,1,9043,0,809043
809,111,8,9044,0,1,9044,0,809044
810,112,8,9047,0,1,9047,0,809047
811,113,8,9049,0,1,9049,0,809049
812,114,8,9050,0,1,9050,0,809050
813,115,8,1139,0,1,1139,0,801139
901,101,9,9001,0,1,0,0,909001
902,102,9,9002,2,0,9002,1,909002
903,103,9,9003,2,0,0,0,909003
904,104,9,9004,0,1,9004,0,909004
905,106,9,9006,0,1,9006,0,909006
906,108,9,9008,0,1,9008,0,909008
907,109,9,9040,0,1,9040,0,909040
908,110,9,9043,0,1,9043,0,909043
909,111,9,9044,0,1,9044,0,909044
910,112,9,9047,0,1,9047,0,909047
911,113,9,9049,0,1,9049,0,909049
912,114,9,9050,0,1,9050,0,909050
913,115,9,1139,0,1,1139,0,901139
1001,101,10,9001,0,1,0,0,1009001
1002,102,10,9002,2,0,9002,1,1009002
1003,103,10,9003,2,0,0,0,1009003
1004,104,10,9004,0,1,9004,0,1009004
1005,106,10,9006,0,1,9006,0,1009006
1006,108,10,9008,0,1,9008,0,1009008
1007,109,10,9040,0,1,9040,0,1009040
1008,110,10,9043,0,1,9043,0,1009043
1009,111,10,9044,0,1,9044,0,1009044
1010,112,10,9047,0,1,0,0,1009047
1011,113,10,9049,0,1,9049,0,1009049
1012,114,10,9050,0,1,9050,0,1009050
1013,115,10,1139,0,1,1139,0,1001139
1101,101,11,9001,0,1,0,0,1109001
1102,102,11,9002,2,0,9002,1,1109002
1103,103,11,9003,2,0,0,0,1109003
1104,104,11,9004,0,1,9004,0,1109004
1105,106,11,9006,0,1,9006,0,1109006
1106,108,11,9008,0,1,9008,0,1109008
1107,109,11,9040,0,1,9040,0,1109040
1108,110,11,9043,0,1,9043,0,1109043
1109,111,11,9044,0,1,9044,0,1109044
1110,112,11,9047,0,1,9047,0,1109047
1111,113,11,9049,2,0,0,1,1109049
1112,114,11,9050,0,1,9050,0,1109050
1113,115,11,1139,0,1,1139,0,1101139
1201,101,12,9001,0,1,0,0,1209001
1202,102,12,9002,2,0,9002,1,1209002
1203,103,12,9003,2,0,0,0,1209003
1204,104,12,9004,0,1,9004,0,1209004
1205,106,12,9006,0,1,9006,0,1209006
1206,108,12,9008,0,1,9008,0,1209008
1207,109,12,9040,0,1,9040,0,1209040
1208,110,12,9043,0,1,9043,0,1209043
1209,111,12,9044,0,1,9044,0,1209044
1210,112,12,9047,0,1,9047,0,1209047
1211,113,12,9049,0,1,9049,0,1209049
1212,114,12,9050,2,0,0,1,1209050
1213,115,12,1139,0,1,1139,0,1201139
1301,101,13,9001,0,1,0,0,1309001
1302,102,13,9002,2,0,9002,1,1309002
1303,103,13,9003,2,0,0,0,1309003
1304,104,13,9004,0,1,9004,0,1309004
1305,106,13,9006,0,1,9006,0,1309006
1306,108,13,9008,0,1,9008,0,1309008
1307,109,13,9040,0,1,9040,0,1309040
1308,110,13,9043,0,1,9043,0,1309043
1309,111,13,9044,0,1,9044,0,1309044
1310,112,13,9047,0,1,9047,0,1309047
1311,113,13,9049,0,1,9049,0,1309049
1312,114,13,9050,0,1,9050,0,1309050
1313,115,13,1139,2,0,0,1,1301139
1401,101,14,9001,2,0,0,1,1409001
1402,102,14,9002,2,0,9002,1,1409002
1403,103,14,9003,2,0,0,0,1409003
1404,104,14,9004,0,1,9004,0,1409004
1405,106,14,9006,0,1,9006,0,1409006
1406,108,14,9008,0,1,9008,0,1409008
1407,109,14,9040,0,1,9040,0,1409040
1408,110,14,9043,0,1,9043,0,1409043
1409,111,14,9044,0,1,9044,0,1409044
1410,112,14,9047,0,1,9047,0,1409047
1411,113,14,9049,0,1,9049,0,1409049
1412,114,14,9050,0,1,9050,0,1409050
1413,115,14,1139,0,1,1139,0,1401139
