audience_id,chara_face_model,chara_skin_color,chara_hair_model,chara_hair_color,prop_id_1,prop_attach_node_name_type_1,prop_id_2,prop_attach_node_name_type_2,chara_height,shape,chara_bust_size,dress_id,dress_color_id
1105,1,3,2,1105,0,0,0,0,170,0,0,20,1105
1106,1,2,2,1106,0,0,0,0,175,0,0,22,1106
1107,1,2,3,1107,0,0,0,0,179,0,0,20,1107
1108,1,2,3,1108,0,0,0,0,170,0,0,22,1108
1109,1,3,2,1109,0,0,0,0,175,0,0,20,1109
1110,1,2,2,1110,0,0,0,0,169,0,0,22,1110
1111,1,2,2,1111,0,3,0,0,170,0,0,20,1111
1112,1,2,3,1112,0,0,0,0,172,0,0,22,1112
1113,1,3,2,1113,0,0,0,0,165,0,0,20,1113
1114,1,2,3,1114,0,0,0,0,167,0,0,22,1114
1115,1,3,2,1115,0,0,0,0,173,0,0,20,1115
1116,1,2,3,1116,0,0,0,0,166,0,0,22,1116
1117,1,3,3,1117,0,0,0,0,167,0,0,20,1117
1201,1,3,3,1201,0,0,0,0,168,0,0,24,1201
1202,1,2,2,1202,0,0,0,0,170,0,0,24,1202
1203,1,2,3,1203,0,0,0,0,175,0,0,24,1203
1204,1,3,2,1204,0,0,0,0,165,0,0,24,1204
1205,1,3,3,1205,0,0,0,0,171,0,0,24,1205
60001,0,0,0,60001,0,0,0,0,153,0,1,17,60001
60002,0,0,1,60002,0,0,0,0,156,1,2,15,2
60003,0,0,1,60003,0,0,0,0,159,2,3,17,3
60004,0,0,0,60004,0,0,0,0,161,0,4,15,4
60005,0,3,0,60005,0,0,0,0,153,1,1,17,5
60006,0,0,1,60006,0,0,0,0,156,2,3,15,6
60007,0,0,1,60007,0,0,0,0,159,1,1,17,7
60008,0,3,0,60008,0,0,0,0,161,2,3,15,60008
60009,0,0,1,60009,0,0,0,0,156,1,1,17,9
60010,0,0,1,60010,0,0,0,0,150,2,3,15,10
60011,0,0,0,60011,0,0,0,0,159,0,3,15,11
60012,0,0,1,60012,0,0,0,0,161,1,4,17,12
60013,0,2,1,60013,0,0,0,0,153,0,1,15,13
60014,0,0,0,60014,0,0,0,0,160,1,2,17,14
60015,0,0,0,60015,0,0,0,0,155,2,3,15,15
60016,0,0,1,60016,0,0,0,0,148,0,4,17,16
60017,0,3,0,60017,0,0,0,0,157,1,1,15,17
60101,0,0,0,60101,0,0,0,0,156,0,2,18,60101
60102,0,0,1,60102,0,0,0,0,159,1,3,16,102
60103,0,0,1,60103,0,0,0,0,161,2,3,18,103
60104,0,0,0,60104,0,0,0,0,153,0,1,16,104
60105,0,3,0,60105,0,0,0,0,156,1,2,18,105
60106,0,0,1,60106,0,0,0,0,159,2,3,16,106
60107,0,0,1,60107,0,0,0,0,159,1,1,18,107
60108,0,3,0,60108,0,0,0,0,161,2,3,16,60108
60109,0,0,1,60109,0,0,0,0,156,1,1,18,109
60110,0,0,1,60110,0,0,0,0,150,2,3,16,110
60111,0,0,0,60111,0,0,0,0,161,0,4,16,111
60112,0,0,1,60112,0,0,0,0,153,1,1,18,112
60113,0,2,1,60113,0,0,0,0,153,0,1,16,113
60114,0,0,0,60114,0,0,0,0,160,1,2,18,114
60115,0,0,0,60115,0,0,0,0,155,2,3,16,115
60116,0,0,1,60116,0,0,0,0,148,0,4,18,116
60117,0,3,0,60117,0,0,0,0,157,1,1,16,117
60201,0,3,0,60201,0,0,0,0,159,0,3,23,201
60202,0,0,1,60202,0,0,0,0,161,1,4,23,202
60203,0,0,0,60203,0,0,0,0,153,0,3,23,203
60204,0,0,1,60204,0,0,0,0,156,1,4,23,204
60205,0,0,0,60205,0,0,0,0,156,0,3,23,205
61001,1,2,2,61001,0,0,0,0,165,0,0,19,1001
61002,1,0,2,61002,0,0,0,0,168,0,0,21,1002
61003,1,3,3,61003,0,0,0,0,170,0,0,19,1003
61004,1,0,3,61004,0,0,0,0,175,0,0,21,1004
61005,1,0,2,61005,0,0,0,0,179,0,0,19,1005
61006,1,3,2,61006,0,0,0,0,165,0,0,21,1006
61007,1,0,3,61007,0,0,0,0,168,0,0,19,1007
61008,1,0,3,61008,0,0,0,0,170,0,0,21,1008
61009,1,0,2,61009,0,0,0,0,175,0,0,19,1009
61010,1,0,2,61010,0,0,0,0,169,0,0,21,1010
61011,1,0,2,61011,0,3,0,0,170,0,0,21,1011
61012,1,0,3,61012,0,0,0,0,172,0,0,19,1012
61013,1,0,2,61013,0,0,0,0,162,0,0,21,1013
61014,1,0,3,61014,0,0,0,0,167,0,0,19,61014
61015,1,0,2,61015,0,0,0,0,173,0,0,21,1015
61016,1,0,3,61016,0,0,0,0,166,0,0,19,1016
61017,1,0,3,61017,0,0,0,0,167,0,0,21,1017
61101,1,2,2,61101,0,0,0,0,175,0,0,20,1101
61102,1,0,2,61102,0,0,0,0,179,0,0,22,1102
61103,1,3,3,61103,0,0,0,0,165,0,0,20,1103
61104,1,0,3,61104,0,0,0,0,168,0,0,22,1104
61105,1,0,2,61105,0,0,0,0,170,0,0,20,1105
61106,1,3,2,61106,0,0,0,0,175,0,0,22,1106
61107,1,0,3,61107,0,0,0,0,179,0,0,20,1107
61108,1,0,3,61108,0,0,0,0,170,0,0,22,1108
61109,1,0,2,61109,0,0,0,0,175,0,0,20,1109
61110,1,0,2,61110,0,0,0,0,169,0,0,22,1110
61111,1,0,2,61111,0,3,0,0,170,0,0,20,1111
61112,1,0,3,61112,0,0,0,0,172,0,0,22,1112
61113,1,0,2,61113,0,0,0,0,165,0,0,20,1113
61114,1,0,3,61114,0,0,0,0,167,0,0,22,61114
61115,1,0,2,61115,0,0,0,0,173,0,0,20,1115
61116,1,0,3,61116,0,0,0,0,166,0,0,22,1116
61117,1,0,3,61117,0,0,0,0,167,0,0,20,1117
61201,1,0,3,61201,0,0,0,0,168,0,0,24,1201
61202,1,0,2,61202,0,0,0,0,170,0,0,24,1202
61203,1,3,3,61203,0,0,0,0,175,0,0,24,1203
61204,1,3,2,61204,0,0,0,0,165,0,0,24,1204
61205,1,3,3,61205,0,0,0,0,171,0,0,24,1205
62001,0,4,4,62001,0,0,0,0,153,0,1,17,62001
62002,0,4,4,62002,0,0,0,0,156,1,2,15,62002
62003,0,4,4,62003,0,0,0,0,159,2,3,17,102
62004,0,4,4,62004,0,0,0,0,161,1,1,15,62101
62101,0,4,4,62101,0,0,0,0,156,1,2,18,103
62102,0,4,4,62102,0,0,0,0,159,2,3,16,62102
62103,0,4,4,62103,0,0,0,0,156,1,2,18,62103
62104,0,4,4,62104,0,0,0,0,159,2,3,16,107
62201,0,4,4,62201,0,0,0,0,159,0,3,23,204
62202,0,4,4,62202,0,0,0,0,159,0,3,23,205
63001,1,4,5,63001,0,0,0,0,165,0,0,19,1101
63002,1,4,5,63002,0,0,0,0,168,0,0,21,1102
63003,1,4,5,63003,0,0,0,0,168,0,0,19,1103
63004,1,4,5,63004,0,0,0,0,170,0,0,21,1104
63101,1,4,5,63101,0,0,0,0,175,0,0,20,1105
63102,1,4,5,63102,0,0,0,0,179,0,0,22,1106
63103,1,4,5,63103,0,0,0,0,175,0,0,20,1107
63104,1,4,5,63104,0,0,0,0,179,0,0,22,1108
63201,1,4,5,63201,0,0,0,0,168,0,0,24,1203
63202,1,4,5,63202,0,0,0,0,168,0,0,24,63202
