id,story_event_id,ending_flag,character_id,dress_id,dress_color,chara_dress_color_set_id,menu_bg_id,menu_bg_sub_id,bgm_cue_name,bgm_cuesheet_name,env_cue_name,env_cuesheet_name
12,1006,1,1045,104540,0,0,34,7131,snd_bgm_GM129_sys_02,snd_bgm_GM129,snd_sfx_atmos_yuuenti_n,snd_sfx_atmos_yuuenti_n
13,1007,0,1029,5,0,0,67,110,snd_bgm_GM138_sys,snd_bgm_GM138,snd_sfx_atmos_inn_d,snd_sfx_atmos_inn_d
14,1007,1,1029,5,0,0,67,110,snd_bgm_GM138_sys,snd_bgm_GM138,snd_sfx_atmos_inn_d,snd_sfx_atmos_inn_d
15,1008,0,1055,901055,0,0,157,6310,snd_bgm_DM014_Winter_Short_sys,snd_bgm_DM014_Winter_Short,snd_sfx_atmos_namiki_winter_d,snd_sfx_atmos_namiki_winter_d
16,1008,1,1055,901055,0,0,51,310,snd_bgm_DM014_Winter_Short_sys,snd_bgm_DM014_Winter_Short,snd_sfx_atmos_namiki_winter_d,snd_sfx_atmos_namiki_winter_d
17,1009,0,1052,6,0,0,162,110,snd_bgm_GM162_sys,snd_bgm_GM162,snd_sfx_atmos_gymnasium_d,snd_sfx_atmos_gymnasium_d
18,1009,1,1052,105210,0,0,160,111,snd_bgm_GM162_sys,snd_bgm_GM162,snd_sfx_atmos_wide_room_quiet,snd_sfx_atmos_wide_room_quiet
19,1010,0,1037,103713,0,0,90,13000,snd_bgm_DM014_Feb_sys_02,snd_bgm_DM014_Feb,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
20,1010,1,1037,103713,0,0,90,13000,snd_bgm_DM014_Feb_sys_02,snd_bgm_DM014_Feb,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
21,1011,0,1074,5,0,0,27,10,snd_bgm_GM176_sys,snd_bgm_GM176,snd_sfx_atmos_room_n_noext,snd_sfx_atmos_room_n_noext
22,1011,1,1074,5,0,0,8,111,snd_bgm_GM176_sys,snd_bgm_GM176,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
23,1012,0,1036,5,0,0,52,110,snd_bgm_AM044_sys,snd_bgm_AM044,snd_sfx_atmos_kousyaura_d,snd_sfx_atmos_kousyaura_d
24,1012,1,1036,5,0,0,170,131,snd_bgm_AM044_sys,snd_bgm_AM044,snd_sfx_atmos_hall_party_mob,snd_sfx_atmos_hall_party_mob
25,1013,0,1039,103901,0,0,2,110,snd_bgm_GM192_ver1_sys,snd_bgm_GM192_ver1,snd_sfx_atmos_hiroba_d,snd_sfx_atmos_hiroba_d
26,1013,1,1039,103901,0,0,2,120,snd_bgm_GM192_ver1_sys,snd_bgm_GM192_ver1,snd_sfx_atmos_hiroba_e,snd_sfx_atmos_hiroba_e
27,1014,0,1030,901030,0,0,183,0,snd_bgm_GM194_sys,snd_bgm_GM194,snd_sfx_atmos_room_n_noext,snd_sfx_atmos_room_n_noext
28,1014,1,1030,2,0,0,11,110,snd_bgm_GM194_sys,snd_bgm_GM194,snd_sfx_atmos_cafe_d,snd_sfx_atmos_cafe_d
29,1015,0,1047,901047,0,0,27,10,snd_bgm_GM206_sys,snd_bgm_GM206,snd_sfx_atmos_room_n_noext,snd_sfx_atmos_room_n_noext
30,1015,1,1047,901047,0,0,190,111,snd_bgm_GM206_sys,snd_bgm_GM206,snd_sfx_atmos_gassyuku_d,snd_sfx_atmos_gassyuku_d
31,1016,0,1069,3,0,0,193,110,snd_bgm_DM018B_02_sys,snd_bgm_DM018,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
32,1016,1,1069,2,0,0,7,110,snd_bgm_DM027_sys,snd_bgm_DM027,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
33,1017,0,1023,2,0,0,196,111,snd_bgm_GM224_sys,snd_bgm_GM224,Story_bg_9002_General_Outdoor,Story_bg_9002_General_Outdoor
34,1017,1,1023,2,0,0,20,110,snd_bgm_GM224_sys,snd_bgm_GM224,snd_sfx_atmos_gymnasium_d,snd_sfx_atmos_gymnasium_d
35,1018,0,1043,2,0,0,6,8113,snd_bgm_GM230_sys,snd_bgm_GM230,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
36,1018,1,1043,2,0,0,33,120,snd_bgm_GM230_sys,snd_bgm_GM230,snd_sfx_atmos_kasenjiki_e,snd_sfx_atmos_kasenjiki_e
37,1019,0,1071,6,0,0,207,0,snd_bgm_GM236_sys_02,snd_bgm_GM236,snd_sfx_atmos_wide_room_quiet,snd_sfx_atmos_wide_room_quiet
38,1019,1,1071,6,0,0,76,110,snd_bgm_GM234_sys_02,snd_bgm_GM234,snd_sfx_atmos_race_track_d,snd_sfx_atmos_race_track_d
39,1020,0,1076,5,0,0,211,6112,snd_bgm_GM245_sys,snd_bgm_GM245,snd_sfx_atmos_zawazawa_d,snd_sfx_atmos_zawazawa_d
40,1020,1,1076,5,0,0,211,6132,snd_bgm_GM245_sys,snd_bgm_GM245,snd_sfx_atmos_stagemob_d,snd_sfx_atmos_stagemob_d
41,1021,0,1011,5,0,0,161,0,snd_bgm_GM250_sys,snd_bgm_GM250,snd_sfx_atmos_room_d,snd_sfx_atmos_room_d
42,1021,1,1011,26,0,0,111,120,snd_bgm_GM250_sys,snd_bgm_GM250,snd_sfx_atmos_namiki_e,snd_sfx_atmos_namiki_e
43,1022,0,1028,901028,0,0,139,110,snd_bgm_GM255_sys,snd_bgm_GM255,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
44,1022,1,1028,901028,0,0,218,120,snd_bgm_GM255_sys,snd_bgm_GM255,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
45,1023,0,1017,5,0,0,22,110,snd_bgm_GM271_sys,snd_bgm_GM271,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
46,1023,1,1017,5,0,0,16,130,snd_bgm_GM271_sys,snd_bgm_GM271,snd_sfx_atmos_roof_n,snd_sfx_atmos_roof_n
47,1024,0,1003,6,0,0,229,110,snd_bgm_GM282_sys,snd_bgm_GM282,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
48,1024,1,1003,6,0,0,169,132,snd_bgm_GM282_sys,snd_bgm_GM282,snd_sfx_atmos_hall_party_mob,snd_sfx_atmos_hall_party_mob
49,1025,0,1063,6,0,0,20,110,snd_bgm_GM298_sys,snd_bgm_GM298,snd_sfx_atmos_gymnasium_d,snd_sfx_atmos_gymnasium_d
50,1025,1,1063,6,0,0,74,10112,snd_bgm_GM298_sys,snd_bgm_GM298,snd_sfx_atmos_stand_d_mob,snd_sfx_atmos_stand_d_mob
51,1026,0,1008,2,0,0,126,110,snd_bgm_GM300_sys,snd_bgm_GM300,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
52,1026,1,1008,2,0,0,127,110,snd_bgm_GM300_sys,snd_bgm_GM300,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
53,1027,0,1065,901065,0,0,42,2110,snd_bgm_GM302_sys,snd_bgm_GM302,snd_sfx_atmos_beach_nomob_d,snd_sfx_atmos_beach_nomob_d
54,1027,1,1065,901065,0,0,42,2120,snd_bgm_GM302_sys,snd_bgm_GM302,snd_sfx_atmos_beach_nomob_e,snd_sfx_atmos_beach_nomob_e
55,1028,0,1018,3,0,0,246,110,snd_bgm_CS024_sys,snd_bgm_CS024,snd_sfx_atmos_wide_room_quiet,snd_sfx_atmos_wide_room_quiet
56,1028,1,1018,3,0,0,247,2,snd_bgm_CS024_sys,snd_bgm_CS024,snd_sfx_atmos_cafe_d,snd_sfx_atmos_cafe_d
57,1029,0,1022,2,0,0,6,8113,snd_bgm_GM316_sys,snd_bgm_GM316,snd_sfx_atmos_kyousitu_d,snd_sfx_atmos_kyousitu_d
58,1029,1,1022,2,0,0,104,112,snd_bgm_GM316_sys,snd_bgm_GM316,snd_sfx_atmos_gymnasium_d,snd_sfx_atmos_gymnasium_d
59,1030,0,1052,5,0,0,260,110,snd_bgm_GM150_Autumn_sys,snd_bgm_GM150_Autumn,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
60,1030,1,1052,5,0,0,260,133,snd_bgm_GM150_Autumn_sys,snd_bgm_GM150_Autumn,snd_sfx_atmos_namiki_n,snd_sfx_atmos_namiki_n
61,1031,0,1027,901027,0,0,229,110,snd_bgm_GM320_sys,snd_bgm_GM320,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
62,1031,1,1027,102701,0,0,34,6131,snd_bgm_GM320_sys,snd_bgm_GM320,snd_sfx_atmos_yuuenti_n,snd_sfx_atmos_yuuenti_n
63,1032,0,1066,6,0,0,10,110,snd_bgm_GM335_sys,snd_bgm_GM335,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
64,1032,1,1066,5,0,0,39,9111,snd_bgm_GM335_sys,snd_bgm_GM335,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
65,1033,0,1082,5,0,0,271,0,snd_bgm_GM337_Strings_sys,snd_bgm_GM337_Strings,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
66,1033,1,1082,5,0,0,271,0,snd_bgm_GM337_Strings_sys,snd_bgm_GM337_Strings,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
67,1034,0,1053,5,0,0,7,110,snd_bgm_GM347_sys,snd_bgm_GM347,snd_sfx_atmos_rouka_d,snd_sfx_atmos_rouka_d
68,1034,1,1053,5,0,0,169,132,snd_bgm_GM347_sys,snd_bgm_GM347,snd_sfx_atmos_hall_party_mob,snd_sfx_atmos_hall_party_mob
69,1035,0,1096,5,0,0,285,110,snd_bgm_GM364B_sys,snd_bgm_GM364B,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
70,1035,1,1096,5,0,0,10,8123,snd_bgm_GM364B_sys,snd_bgm_GM364B,snd_sfx_atmos_campfire_e_mob,snd_sfx_atmos_campfire_e_mob
71,1036,0,1090,5,0,0,291,0,snd_bgm_GM345_sys,snd_bgm_GM345,snd_sfx_atmos_horror_indoor,snd_sfx_atmos_horror_indoor
72,1036,1,1090,5,0,0,126,110,snd_bgm_GM345_sys,snd_bgm_GM345,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
73,1037,0,1100,2,0,0,240,110,snd_bgm_GM374_sys,snd_bgm_GM374,snd_sfx_atmos_resort_pool_outdoor_d,snd_sfx_atmos_resort_pool_outdoor_d
74,1037,1,1100,2,0,0,301,120,snd_bgm_GM374_sys,snd_bgm_GM374,snd_sfx_atmos_beach_nomob_e,snd_sfx_atmos_beach_nomob_e
75,1038,0,1083,3,0,0,9,110,snd_bgm_GM376_sys,snd_bgm_GM376,snd_sfx_atmos_training_d,snd_sfx_atmos_training_d
76,1038,1,1083,3,0,0,96,110,snd_bgm_GM376_sys,snd_bgm_GM376,snd_sfx_atmos_training_d,snd_sfx_atmos_training_d
77,1039,0,1056,2,0,0,14,110,snd_bgm_GM392_sys,snd_bgm_GM392,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
78,1039,1,1056,2,0,0,313,0,snd_bgm_GM392_sys,snd_bgm_GM392,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
79,1040,0,1015,901015,0,0,317,6111,snd_bgm_RT021_sys,snd_bgm_RT021,snd_sfx_atmos_yuuenti_d,snd_sfx_atmos_yuuenti_d
80,1040,1,1015,901015,0,0,146,6111,snd_bgm_RT021_sys,snd_bgm_RT021,snd_sfx_atmos_zawazawa_d,snd_sfx_atmos_zawazawa_d
81,1041,0,1004,6,0,0,321,112,snd_bgm_GM396_sys,snd_bgm_GM396,snd_sfx_atmos_gymnasium_d,snd_sfx_atmos_gymnasium_d
82,1041,1,1004,100410,0,0,70,4315,snd_bgm_GM396_sys,snd_bgm_GM396,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
83,1042,0,1060,5,0,0,11,130,snd_bgm_GM398_sys,snd_bgm_GM398,snd_sfx_atmos_cafe_n,snd_sfx_atmos_cafe_n
84,1042,1,1060,901060,0,0,330,0,snd_bgm_GM398_sys,snd_bgm_GM398,snd_sfx_atmos_room_d,snd_sfx_atmos_room_d
85,1043,0,1083,5,0,0,11,111,snd_bgm_GM414_wet_sys,snd_bgm_GM414_wet,snd_sfx_atmos_cafe_d,snd_sfx_atmos_cafe_d
86,1043,1,1083,5,0,0,2,130,snd_bgm_GM414_wet_sys,snd_bgm_GM414_wet,snd_sfx_atmos_hiroba_n,snd_sfx_atmos_hiroba_n
87,1044,0,1081,901081,0,0,4,130,snd_bgm_GM416_sys,snd_bgm_GM416,snd_sfx_atmos_namiki_n,snd_sfx_atmos_namiki_n
88,1044,1,1081,6,0,0,10,17132,snd_bgm_GM416_sys,snd_bgm_GM416,snd_sfx_atmos_stagemob_d,snd_sfx_atmos_stagemob_d
89,1045,0,1111,3,0,0,9,110,snd_bgm_GM083_Ver5_dry_sys,snd_bgm_GM083_Ver5_dry,snd_sfx_atmos_training_d,snd_sfx_atmos_training_d
90,1045,1,1111,901111,0,0,346,110,snd_bgm_GM083_Ver5_dry_sys,snd_bgm_GM083_Ver5_dry,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
91,1046,0,1091,901091,0,0,240,110,snd_bgm_GM433_sys,snd_bgm_GM433,snd_sfx_atmos_resort_pool_outdoor_d,snd_sfx_atmos_resort_pool_outdoor_d
92,1046,1,1091,901091,0,0,240,120,snd_bgm_GM433_sys,snd_bgm_GM433,snd_sfx_atmos_resort_pool_outdoor_n,snd_sfx_atmos_resort_pool_outdoor_n
93,1047,0,1092,2,0,0,223,110,snd_bgm_GM008_Ver2_sys,snd_bgm_GM008_Ver2,snd_sfx_atmos_cafe_d,snd_sfx_atmos_cafe_d
94,1047,1,1092,3,0,0,17,130,snd_bgm_GM008_Ver2_sys,snd_bgm_GM008_Ver2,snd_sfx_atmos_room_n,snd_sfx_atmos_room_n
95,1048,0,1005,2,0,0,10,110,snd_bgm_GM439_sys,snd_bgm_GM439,snd_sfx_atmos_namiki_e,snd_sfx_atmos_namiki_e
96,1048,1,1005,100501,0,0,366,0,snd_bgm_GM439_sys,snd_bgm_GM439,snd_sfx_atmos_gymnasium_r,snd_sfx_atmos_gymnasium_r
97,1049,0,1115,5,0,0,329,0,snd_bgm_GM099_Lp01_sys,snd_bgm_GM099_Lp01,snd_sfx_atmos_koubai_d,snd_sfx_atmos_koubai_d
98,1049,1,1115,901115,0,0,2,6130,snd_bgm_FX010_Lp01_sys,snd_bgm_FX010_Lp01,snd_sfx_atmos_winter_wind_howling,snd_sfx_atmos_winter_wind_howling
99,1050,0,1124,26,0,0,380,111,snd_bgm_SM071_Ver3_NewYear_sys,snd_bgm_SM071_Ver3_NewYear,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
100,1050,1,1124,26,0,0,3,9110,snd_bgm_SM071_Ver3_NewYear_sys,snd_bgm_SM071_Ver3_NewYear,snd_sfx_atmos_namiki_winter_d,snd_sfx_atmos_namiki_winter_d
101,1051,0,1002,5,0,0,90,0,snd_bgm_GM452_sys,snd_bgm_GM452,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
102,1051,1,1002,5,0,0,6,111,snd_bgm_GM452_sys,snd_bgm_GM452,snd_sfx_atmos_kyousitu_d,snd_sfx_atmos_kyousitu_d
103,1052,0,1134,5,0,0,6,111,snd_bgm_FX012_Lp_sys,snd_bgm_FX012_Lp,snd_sfx_atmos_kyousitu_d,snd_sfx_atmos_kyousitu_d
104,1052,1,1134,5,0,0,387,131,snd_bgm_FX012_Lp_sys,snd_bgm_FX012_Lp,snd_sfx_atmos_hall_party_mob,snd_sfx_atmos_hall_party_mob
105,1053,0,1032,6,0,0,53,110,snd_bgm_GM193_ver1_drums_sys,snd_bgm_GM193_ver1_drums,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
106,1053,1,1032,6,0,0,74,10112,snd_bgm_GM193_ver1_drums_sys,snd_bgm_GM193_ver1_drums,snd_sfx_atmos_stand_d_mob,snd_sfx_atmos_stand_d_mob
107,1054,0,1128,3,0,0,291,0,snd_bgm_AM218A_sys,snd_bgm_AM218A,snd_sfx_atmos_horror_indoor,snd_sfx_atmos_horror_indoor
108,1054,1,1128,2,0,0,127,120,snd_bgm_AM218A_sys,snd_bgm_AM218A,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
