id,team_rank,team_rank_group,team_min_value,team_max_value,item_category,item_id,item_num
89,89,14,749500,760999,90,43,500
90,90,14,761000,772499,90,43,500
91,91,14,772500,783999,90,43,500
92,92,14,784000,795499,90,43,500
93,93,14,795500,806999,90,43,500
94,94,14,807000,818499,90,43,500
95,95,14,818500,829999,90,43,500
96,96,15,830000,842499,90,43,500
97,97,15,842500,854999,90,43,500
98,98,15,855000,867499,90,43,500
99,99,15,867500,879999,90,43,500
100,100,15,880000,892499,90,43,500
101,101,15,892500,904999,90,43,500
102,102,15,905000,917499,90,43,500
103,103,15,917500,929999,90,43,500
104,104,15,930000,942499,90,43,500
105,105,15,942500,954999,90,43,500
106,106,16,955000,972999,90,43,500
107,107,16,973000,990999,90,43,500
108,108,16,991000,1008999,90,43,500
109,109,16,1009000,1026999,90,43,500
110,110,16,1027000,1044999,90,43,500
111,111,16,1045000,1062999,90,43,500
112,112,16,1063000,1080999,90,43,500
113,113,16,1081000,1098999,90,43,500
114,114,16,1099000,1116999,90,43,500
115,115,16,1117000,1143999,90,43,500
116,116,17,1144000,1152999,90,43,200
117,117,17,1153000,1161999,90,43,200
118,118,17,1162000,1170999,90,43,200
119,119,17,1171000,1181499,90,43,200
120,120,17,1181500,1190499,90,43,200
121,121,17,1190500,1199499,90,43,200
122,122,17,1199500,1209999,90,43,200
123,123,17,1210000,1218999,90,43,200
124,124,17,1219000,1229499,90,43,200
125,125,17,1229500,1238499,90,43,200
126,126,17,1238500,1248999,90,43,200
127,127,17,1249000,1257999,90,43,200
128,128,17,1258000,1268499,90,43,200
129,129,17,1268500,1277499,90,43,200
130,130,17,1277500,1287999,90,43,200
131,131,17,1288000,1296999,90,43,200
132,132,17,1297000,1304499,90,43,200
133,133,17,1304500,1313499,90,43,200
134,134,17,1313500,1322499,90,43,200
135,135,17,1322500,1331499,90,43,200
136,136,17,1331500,1340499,90,43,200
137,137,17,1340500,1349499,90,43,200
138,138,17,1349500,1358499,90,43,200
139,139,17,1358500,1367499,90,43,200
140,140,17,1367500,1374999,90,43,200
141,141,18,1375000,1383999,90,43,200
142,142,18,1384000,1392999,90,43,200
143,143,18,1393000,1401999,90,43,200
144,144,18,1402000,1410999,90,43,200
145,145,18,1411000,1419999,90,43,200
146,146,18,1420000,1428999,90,43,200
147,147,18,1429000,1437999,90,43,200
148,148,18,1438000,1448499,90,43,200
149,149,18,1448500,1457499,90,43,200
150,150,18,1457500,1466499,90,43,200
151,151,18,1466500,1473999,90,43,200
152,152,18,1474000,1481499,90,43,200
153,153,18,1481500,1488999,90,43,200
154,154,18,1489000,1497999,90,43,200
155,155,18,1498000,1505499,90,43,200
156,156,18,1505500,1512999,90,43,200
157,157,18,1513000,1520499,90,43,200
158,158,18,1520500,1529499,90,43,200
159,159,18,1529500,1536999,90,43,200
160,160,18,1537000,1544499,90,43,200
161,161,18,1544500,1551999,90,43,200
162,162,18,1552000,1560999,90,43,200
163,163,18,1561000,1568499,90,43,200
164,164,18,1568500,1575999,90,43,200
165,165,18,1576000,9999999,90,43,200
