id,command_id,sub_id,result_state,target_type,effect_value,scenario_id
76,106,1,2,5,6,2
77,106,1,2,30,5,2
78,106,1,2,10,5,2
79,301,1,2,10,10,2
80,301,1,2,20,1,2
81,302,1,2,20,2,2
82,303,1,2,10,30,2
83,303,1,2,20,1,2
84,303,2,2,10,20,2
85,303,2,2,20,1,2
86,303,3,2,10,10,2
87,303,3,2,20,1,2
88,601,1,2,1,12,2
89,601,1,2,3,6,2
90,601,1,2,30,4,2
91,601,1,2,10,-25,2
92,602,1,2,2,12,2
93,602,1,2,4,8,2
94,602,1,2,30,4,2
95,602,1,2,10,-26,2
96,603,1,2,2,6,2
97,603,1,2,3,13,2
98,603,1,2,30,4,2
99,603,1,2,10,-26,2
100,604,1,2,1,4,2
101,604,1,2,3,4,2
102,604,1,2,4,10,2
103,604,1,2,30,4,2
104,604,1,2,10,-26,2
105,605,1,2,10,5,2
106,605,1,2,1,4,2
107,605,1,2,5,10,2
108,605,1,2,30,5,2
109,605,1,1,10,5,2
110,304,1,2,10,40,2
111,304,1,2,20,1,2
112,304,1,2,101,0,1
113,304,1,2,101,0,2
3001,101,1,2,1,8,3
3002,101,1,2,3,4,3
3003,101,1,2,30,4,3
3004,101,1,2,10,-19,3
3005,105,1,2,2,8,3
3006,105,1,2,4,6,3
3007,105,1,2,30,4,3
3008,105,1,2,10,-20,3
3009,102,1,2,2,4,3
3010,102,1,2,3,9,3
3011,102,1,2,30,4,3
3012,102,1,2,10,-20,3
3013,103,1,2,1,2,3
3014,103,1,2,3,2,3
3015,103,1,2,4,7,3
3016,103,1,2,30,4,3
3017,103,1,2,10,-20,3
3018,106,1,1,10,5,3
3019,106,1,2,1,2,3
3020,106,1,2,5,6,3
3021,106,1,2,30,5,3
3022,106,1,2,10,5,3
3023,301,1,2,10,10,3
3024,301,1,2,20,1,3
3025,302,1,2,20,2,3
3026,303,1,2,10,30,3
3027,303,1,2,20,1,3
3028,303,2,2,10,20,3
3029,303,2,2,20,1,3
3030,303,3,2,10,10,3
3031,303,3,2,20,1,3
3032,601,1,2,1,12,3
3033,601,1,2,3,6,3
3034,601,1,2,30,4,3
3035,601,1,2,10,-25,3
3036,602,1,2,2,12,3
3037,602,1,2,4,8,3
3038,602,1,2,30,4,3
3039,602,1,2,10,-26,3
3040,603,1,2,2,6,3
3041,603,1,2,3,13,3
3042,603,1,2,30,4,3
3043,603,1,2,10,-26,3
3044,604,1,2,1,3,3
3045,604,1,2,3,3,3
3046,604,1,2,4,11,3
3047,604,1,2,30,4,3
3048,604,1,2,10,-26,3
3049,605,1,2,10,5,3
3050,605,1,2,1,4,3
3051,605,1,2,5,10,3
3052,605,1,2,30,5,3
3053,605,1,1,10,5,3
3054,304,1,2,10,40,3
3055,304,1,2,20,1,3
3056,304,1,2,101,0,3
4001,101,1,2,1,8,4
4002,101,1,2,3,4,4
4003,101,1,2,30,2,4
4004,101,1,2,10,-19,4
4005,105,1,2,2,7,4
4006,105,1,2,4,3,4
4007,105,1,2,30,2,4
4008,105,1,2,10,-17,4
4009,102,1,2,2,4,4
4010,102,1,2,3,6,4
4011,102,1,2,30,2,4
4012,102,1,2,10,-18,4
4013,103,1,2,1,3,4
4014,103,1,2,3,3,4
4015,103,1,2,4,6,4
4016,103,1,2,30,2,4
4017,103,1,2,10,-20,4
4018,106,1,1,10,5,4
4019,106,1,2,1,2,4
4020,106,1,2,5,6,4
4021,106,1,2,30,3,4
4022,106,1,2,10,5,4
4023,301,1,2,10,10,4
4024,301,1,2,20,1,4
4025,302,1,2,20,2,4
4026,303,1,2,10,30,4
4027,303,1,2,20,1,4
4028,303,2,2,10,20,4
4029,303,2,2,20,1,4
4030,303,3,2,10,10,4
4031,303,3,2,20,1,4
4032,601,1,2,1,12,4
4033,601,1,2,3,6,4
4034,601,1,2,30,2,4
4035,601,1,2,10,-25,4
4036,602,1,2,2,11,4
4037,602,1,2,4,5,4
4038,602,1,2,30,2,4
4039,602,1,2,10,-23,4
4040,603,1,2,2,6,4
4041,603,1,2,3,10,4
4042,603,1,2,30,2,4
4043,603,1,2,10,-24,4
4044,604,1,2,1,4,4
4045,604,1,2,3,4,4
4046,604,1,2,4,10,4
4047,604,1,2,30,2,4
4048,604,1,2,10,-26,4
4049,605,1,2,10,5,4
4050,605,1,2,1,4,4
4051,605,1,2,5,10,4
4052,605,1,2,30,3,4
4053,605,1,1,10,5,4
4054,304,1,2,10,40,4
4055,304,1,2,20,1,4
4056,304,1,2,101,0,4
5001,101,1,2,1,10,5
5002,101,1,2,3,3,5
5003,101,1,2,30,5,5
5004,101,1,2,10,-19,5
5005,105,1,2,2,8,5
5006,105,1,2,4,6,5
5007,105,1,2,30,5,5
5008,105,1,2,10,-20,5
5009,102,1,2,2,4,5
5010,102,1,2,3,9,5
5011,102,1,2,30,5,5
5012,102,1,2,10,-20,5
5013,103,1,2,1,2,5
5014,103,1,2,3,3,5
5015,103,1,2,4,9,5
5016,103,1,2,30,5,5
5017,103,1,2,10,-20,5
5018,106,1,1,10,5,5
5019,106,1,2,1,2,5
5020,106,1,2,5,8,5
5021,106,1,2,30,5,5
5022,106,1,2,10,5,5
5023,301,1,2,10,10,5
5024,301,1,2,20,1,5
5025,302,1,2,20,2,5
5026,303,1,2,10,30,5
5027,303,1,2,20,1,5
5028,303,2,2,10,20,5
5029,303,2,2,20,1,5
5030,303,3,2,10,10,5
5031,303,3,2,20,1,5
5032,601,1,2,1,14,5
5033,601,1,2,3,5,5
5034,601,1,2,30,5,5
5035,601,1,2,10,-25,5
5036,602,1,2,2,12,5
5037,602,1,2,4,8,5
5038,602,1,2,30,5,5
5039,602,1,2,10,-26,5
5040,603,1,2,2,6,5
5041,603,1,2,3,13,5
5042,603,1,2,30,5,5
5043,603,1,2,10,-26,5
5044,604,1,2,1,3,5
5045,604,1,2,3,4,5
5046,604,1,2,4,13,5
5047,604,1,2,30,5,5
5048,604,1,2,10,-26,5
5049,605,1,2,10,5,5
5050,605,1,2,1,4,5
5051,605,1,2,5,12,5
5052,605,1,2,30,5,5
5053,605,1,1,10,5,5
5054,304,1,2,10,40,5
5055,304,1,2,20,1,5
5056,304,1,2,101,0,5
6001,101,1,2,1,10,6
6002,101,1,2,3,3,6
6003,101,1,2,30,6,6
6004,101,1,2,10,-21,6
6005,105,1,2,2,9,6
6006,105,1,2,4,4,6
6007,105,1,2,30,6,6
6008,105,1,2,10,-19,6
6009,102,1,2,2,5,6
6010,102,1,2,3,11,6
6011,102,1,2,30,6,6
6012,102,1,2,10,-20,6
6013,103,1,2,1,3,6
6014,103,1,2,3,2,6
6015,103,1,2,4,10,6
6016,103,1,2,30,6,6
6017,103,1,2,10,-21,6
6018,106,1,1,10,5,6
6019,106,1,2,1,2,6
6020,106,1,2,5,9,6
6021,106,1,2,30,6,6
6022,106,1,2,10,5,6
6023,301,1,2,10,10,6
6024,301,1,2,20,1,6
6025,302,1,2,20,2,6
6026,303,1,2,10,30,6
6027,303,1,2,20,1,6
6028,303,2,2,10,20,6
6029,303,2,2,20,1,6
6030,303,3,2,10,10,6
6031,303,3,2,20,1,6
6032,1101,1,2,1,16,6
6033,1101,1,2,3,5,6
6034,1101,1,2,30,6,6
6035,1101,1,2,10,-21,6
6036,1102,1,2,2,15,6
6037,1102,1,2,4,7,6
6038,1102,1,2,30,6,6
6039,1102,1,2,10,-19,6
6040,1103,1,2,2,9,6
6041,1103,1,2,3,17,6
6042,1103,1,2,30,6,6
6043,1103,1,2,10,-20,6
6044,1104,1,2,1,6,6
6045,1104,1,2,3,5,6
6046,1104,1,2,4,16,6
6047,1104,1,2,30,6,6
6048,1104,1,2,10,-21,6
6049,1105,1,2,10,6,6
6050,1105,1,2,1,5,6
6051,1105,1,2,5,14,6
6052,1105,1,2,30,6,6
6053,1105,1,1,10,6,6
6054,1106,1,2,10,50,6
6055,1106,1,2,20,1,6
6056,1106,1,2,101,0,6
7001,2101,1,2,1,12,7
7002,2101,1,2,3,1,7
7003,2101,1,2,30,6,7
7004,2101,1,2,10,-15,7
7005,2102,1,2,2,11,7
7006,2102,1,2,4,2,7
7007,2102,1,2,30,6,7
7008,2102,1,2,10,-15,7
7009,2103,1,2,2,2,7
7010,2103,1,2,3,11,7
7011,2103,1,2,30,6,7
7012,2103,1,2,10,-15,7
7013,2104,1,2,1,1,7
7014,2104,1,2,3,1,7
7015,2104,1,2,4,12,7
7016,2104,1,2,30,6,7
7017,2104,1,2,10,-15,7
7018,2105,1,2,1,2,7
7019,2105,1,2,5,11,7
7020,2105,1,2,30,6,7
7021,2105,1,2,10,-15,7
7022,2201,1,2,1,8,7
7023,2201,1,2,3,1,7
7024,2201,1,2,30,10,7
7025,2201,1,2,10,-15,7
7026,2202,1,2,2,7,7
7027,2202,1,2,4,2,7
7028,2202,1,2,30,10,7
7029,2202,1,2,10,-15,7
7030,2203,1,2,2,2,7
7031,2203,1,2,3,7,7
7032,2203,1,2,30,10,7
7033,2203,1,2,10,-15,7
7034,2204,1,2,1,1,7
7035,2204,1,2,3,1,7
7036,2204,1,2,4,8,7
7037,2204,1,2,30,10,7
7038,2204,1,2,10,-15,7
7039,2205,1,2,1,2,7
7040,2205,1,2,5,7,7
7041,2205,1,2,30,10,7
7042,2205,1,2,10,-15,7
7043,2301,1,2,1,14,7
7044,2301,1,2,3,1,7
7045,2301,1,2,30,4,7
7046,2301,1,2,10,-15,7
7047,2302,1,2,1,1,7
7048,2302,1,2,2,10,7
7049,2302,1,2,4,2,7
7050,2302,1,2,30,6,7
7051,2302,1,2,10,-15,7
7052,2303,1,2,1,1,7
7053,2303,1,2,2,2,7
7054,2303,1,2,3,10,7
7055,2303,1,2,30,6,7
7056,2303,1,2,10,-15,7
7057,2304,1,2,1,2,7
7058,2304,1,2,3,1,7
7059,2304,1,2,4,12,7
7060,2304,1,2,30,5,7
7061,2304,1,2,10,-15,7
7062,2305,1,2,1,4,7
7063,2305,1,2,5,10,7
7064,2305,1,2,30,5,7
7065,2305,1,2,10,-15,7
7066,301,1,2,10,10,7
7067,301,1,2,20,1,7
7068,302,1,2,20,2,7
7069,303,1,2,10,30,7
7070,303,1,2,20,1,7
7071,303,2,2,10,20,7
7072,303,2,2,20,1,7
7073,303,3,2,10,10,7
7074,303,3,2,20,1,7
7075,601,1,2,1,14,7
7076,601,1,2,3,5,7
7077,601,1,2,30,5,7
7078,601,1,2,10,-25,7
7079,602,1,2,2,12,7
7080,602,1,2,4,8,7
7081,602,1,2,30,5,7
7082,602,1,2,10,-26,7
7083,603,1,2,2,6,7
7084,603,1,2,3,13,7
7085,603,1,2,30,5,7
7086,603,1,2,10,-26,7
7087,604,1,2,1,3,7
7088,604,1,2,3,4,7
7089,604,1,2,4,13,7
7090,604,1,2,30,5,7
7091,604,1,2,10,-26,7
7092,605,1,2,10,5,7
7093,605,1,2,1,4,7
7094,605,1,2,5,12,7
7095,605,1,2,30,5,7
7096,605,1,1,10,5,7
7097,304,1,2,10,40,7
7098,304,1,2,20,1,7
7099,304,1,2,101,0,7
8001,101,1,2,1,11,8
8002,101,1,2,3,2,8
8003,101,1,2,30,5,8
8004,101,1,2,10,-19,8
8005,105,1,2,2,8,8
8006,105,1,2,4,5,8
8007,105,1,2,30,5,8
8008,105,1,2,10,-20,8
8009,102,1,2,2,4,8
8010,102,1,2,3,9,8
8011,102,1,2,30,5,8
8012,102,1,2,10,-20,8
8013,103,1,2,1,2,8
8014,103,1,2,3,2,8
8015,103,1,2,4,10,8
8016,103,1,2,30,5,8
8017,103,1,2,10,-20,8
8018,106,1,1,10,5,8
8019,106,1,2,1,2,8
8020,106,1,2,5,8,8
8021,106,1,2,30,5,8
8022,106,1,2,10,5,8
8023,301,1,2,10,10,8
8024,301,1,2,20,1,8
8025,302,1,2,20,2,8
8026,303,1,2,10,30,8
8027,303,1,2,20,1,8
8028,303,2,2,10,20,8
8029,303,2,2,20,1,8
8030,303,3,2,10,10,8
8031,303,3,2,20,1,8
8032,601,1,2,1,15,8
8033,601,1,2,3,4,8
8034,601,1,2,30,5,8
8035,601,1,2,10,-25,8
8036,602,1,2,2,12,8
8037,602,1,2,4,8,8
8038,602,1,2,30,5,8
8039,602,1,2,10,-26,8
8040,603,1,2,2,6,8
8041,603,1,2,3,13,8
8042,603,1,2,30,5,8
8043,603,1,2,10,-26,8
8044,604,1,2,1,3,8
8045,604,1,2,3,3,8
8046,604,1,2,4,14,8
8047,604,1,2,30,5,8
8048,604,1,2,10,-26,8
8049,605,1,2,10,5,8
8051,605,1,2,5,12,8
8052,605,1,2,30,5,8
8053,605,1,1,10,5,8
8054,304,1,2,10,40,8
8055,304,1,2,20,1,8
8056,304,1,2,101,0,8
8080,605,1,2,1,4,8
9001,901,1,2,1,11,9
9002,901,1,2,3,2,9
9003,901,1,2,30,5,9
9004,901,1,2,10,-19,9
9005,105,1,2,2,10,9
9006,105,1,2,4,4,9
9007,105,1,2,30,5,9
9008,105,1,2,10,-20,9
9009,902,1,2,2,4,9
9010,902,1,2,3,10,9
9011,902,1,2,30,5,9
9012,902,1,2,10,-20,9
9013,103,1,2,1,2,9
9014,103,1,2,3,2,9
9015,103,1,2,4,9,9
9016,103,1,2,30,5,9
9017,103,1,2,10,-20,9
9018,906,1,1,10,5,9
9019,906,1,2,1,2,9
9020,906,1,2,5,8,9
9021,906,1,2,30,5,9
9022,906,1,2,10,5,9
9023,301,1,2,10,10,9
9024,301,1,2,20,1,9
9025,302,1,2,20,2,9
9026,303,1,2,10,30,9
9027,303,1,2,20,1,9
9028,303,2,2,10,20,9
9029,303,2,2,20,1,9
9030,303,3,2,10,10,9
9031,303,3,2,20,1,9
9032,601,1,2,1,15,9
9033,601,1,2,3,4,9
9034,601,1,2,30,5,9
9035,601,1,2,10,-25,9
9036,602,1,2,2,14,9
9037,602,1,2,4,6,9
9038,602,1,2,30,5,9
9039,602,1,2,10,-26,9
9040,603,1,2,2,6,9
9041,603,1,2,3,14,9
9042,603,1,2,30,5,9
9043,603,1,2,10,-26,9
9044,604,1,2,1,4,9
9045,604,1,2,3,3,9
9046,604,1,2,4,13,9
9047,604,1,2,30,5,9
9048,604,1,2,10,-26,9
9049,605,1,2,10,5,9
9050,605,1,2,1,4,9
9051,605,1,2,5,12,9
9052,605,1,2,30,5,9
9053,605,1,1,10,5,9
9054,304,1,2,10,40,9
9055,304,1,2,20,1,9
9056,304,1,2,101,0,9
10001,101,1,2,1,11,10
10002,101,1,2,3,2,10
10003,101,1,2,30,7,10
10004,101,1,2,10,-20,10
10005,105,1,2,2,8,10
10006,105,1,2,4,6,10
10007,105,1,2,30,7,10
10008,105,1,2,10,-21,10
10009,102,1,2,2,4,10
10010,102,1,2,3,10,10
10011,102,1,2,30,7,10
10012,102,1,2,10,-21,10
10013,103,1,2,1,2,10
10014,103,1,2,3,2,10
10015,103,1,2,4,10,10
10016,103,1,2,30,7,10
10017,103,1,2,10,-21,10
10018,106,1,1,10,5,10
10019,106,1,2,1,3,10
10020,106,1,2,5,7,10
10021,106,1,2,30,5,10
10022,106,1,2,10,5,10
10023,301,1,2,10,10,10
10024,301,1,2,20,1,10
10025,302,1,2,20,2,10
10026,303,1,2,10,30,10
10027,303,1,2,20,1,10
10028,303,2,2,10,20,10
10029,303,2,2,20,1,10
10030,303,3,2,10,10,10
10031,303,3,2,20,1,10
10032,601,1,2,1,15,10
10033,601,1,2,3,4,10
10034,601,1,2,30,7,10
10035,601,1,2,10,-26,10
10036,602,1,2,2,12,10
10037,602,1,2,4,8,10
10038,602,1,2,30,7,10
10039,602,1,2,10,-27,10
10040,603,1,2,2,6,10
10041,603,1,2,3,14,10
10042,603,1,2,30,7,10
10043,603,1,2,10,-27,10
10044,604,1,2,1,3,10
10045,604,1,2,3,3,10
10046,604,1,2,4,14,10
10047,604,1,2,30,7,10
10048,604,1,2,10,-27,10
10049,605,1,2,10,5,10
10050,605,1,2,1,5,10
10051,605,1,2,5,11,10
10052,605,1,2,30,5,10
10053,605,1,1,10,5,10
10054,304,1,2,10,40,10
10055,304,1,2,20,1,10
10056,304,1,2,101,0,10
11001,101,1,2,1,12,11
11002,101,1,2,3,1,11
11003,101,1,2,30,6,11
11004,101,1,2,10,-20,11
11005,105,1,2,2,9,11
11006,105,1,2,4,5,11
11007,105,1,2,30,6,11
11008,105,1,2,10,-20,11
11009,102,1,2,2,3,11
11010,102,1,2,3,11,11
11011,102,1,2,30,6,11
11012,102,1,2,10,-20,11
11013,103,1,2,1,2,11
11014,103,1,2,3,2,11
11015,103,1,2,4,10,11
11016,103,1,2,30,6,11
11017,103,1,2,10,-20,11
11018,106,1,1,10,5,11
11019,106,1,2,1,5,11
11020,106,1,2,5,8,11
11021,106,1,2,30,6,11
11022,106,1,2,10,5,11
11023,301,1,2,10,10,11
11024,301,1,2,20,1,11
11025,302,1,2,20,2,11
11026,303,1,2,10,30,11
11027,303,1,2,20,1,11
11028,303,2,2,10,20,11
11029,303,2,2,20,1,11
11030,303,3,2,10,10,11
11031,303,3,2,20,1,11
11032,3601,1,2,1,15,11
11033,3601,1,2,3,4,11
11034,3601,1,2,30,5,11
11035,3601,1,2,10,-25,11
11036,3602,1,2,2,13,11
11037,3602,1,2,4,7,11
11038,3602,1,2,30,5,11
11039,3602,1,2,10,-26,11
11040,3603,1,2,2,6,11
11041,3603,1,2,3,14,11
11042,3603,1,2,30,5,11
11043,3603,1,2,10,-26,11
11044,3604,1,2,1,3,11
11045,3604,1,2,3,3,11
11046,3604,1,2,4,14,11
11047,3604,1,2,30,5,11
11048,3604,1,2,10,-26,11
11049,3605,1,2,10,5,11
11050,3605,1,2,1,4,11
11051,3605,1,2,5,12,11
11052,3605,1,2,30,5,11
11053,3605,1,1,10,5,11
11054,304,1,2,10,40,11
11055,304,1,2,20,1,11
11056,304,1,2,101,0,11
11057,3606,1,2,10,40,11
11058,3606,1,2,20,1,11
11059,3606,1,2,101,0,11
12001,101,1,2,1,12,12
12002,101,1,2,3,2,12
12003,101,1,2,30,7,12
12004,101,1,2,10,-20,12
12005,105,1,2,2,11,12
12006,105,1,2,4,3,12
12007,105,1,2,30,7,12
12008,105,1,2,10,-22,12
12009,102,1,2,2,3,12
12010,102,1,2,3,11,12
12011,102,1,2,30,7,12
12012,102,1,2,10,-22,12
12013,103,1,2,1,2,12
12014,103,1,2,3,2,12
12015,103,1,2,4,12,12
12016,103,1,2,30,7,12
12017,103,1,2,10,-22,12
12018,106,1,1,10,5,12
12019,106,1,2,1,2,12
12020,106,1,2,5,11,12
12021,106,1,2,30,7,12
12022,106,1,2,10,5,12
12023,301,1,2,10,10,12
12024,301,1,2,20,1,12
12025,302,1,2,20,2,12
12026,303,1,2,10,30,12
12027,303,1,2,20,1,12
12028,303,2,2,10,20,12
12029,303,2,2,20,1,12
12030,303,3,2,10,10,12
12031,303,3,2,20,1,12
12032,601,1,2,1,23,12
12033,601,1,2,3,6,12
12034,601,1,2,30,7,12
12035,601,1,2,10,-40,12
12036,602,1,2,2,23,12
12037,602,1,2,4,8,12
12038,602,1,2,30,7,12
12039,602,1,2,10,-42,12
12040,603,1,2,2,8,12
12041,603,1,2,3,23,12
12042,603,1,2,30,7,12
12043,603,1,2,10,-42,12
12044,604,1,2,1,4,12
12045,604,1,2,3,3,12
12046,604,1,2,4,24,12
12047,604,1,2,30,7,12
12048,604,1,2,10,-42,12
12049,605,1,2,10,5,12
12050,605,1,2,1,3,12
12051,605,1,2,5,15,12
12052,605,1,2,30,7,12
12053,605,1,1,10,5,12
12054,304,1,2,10,40,12
12055,304,1,2,20,1,12
12056,304,1,2,101,0,12
13001,101,1,2,1,11,13
13002,101,1,2,3,2,13
13003,101,1,2,30,7,13
13004,101,1,2,10,-20,13
13005,105,1,2,2,8,13
13006,105,1,2,4,6,13
13007,105,1,2,30,7,13
13008,105,1,2,10,-20,13
13009,102,1,2,2,4,13
13010,102,1,2,3,10,13
13011,102,1,2,30,7,13
13012,102,1,2,10,-20,13
13013,103,1,2,1,2,13
13014,103,1,2,3,2,13
13015,103,1,2,4,9,13
13016,103,1,2,30,7,13
13017,103,1,2,10,-20,13
13018,106,1,1,10,5,13
13019,106,1,2,1,2,13
13020,106,1,2,5,8,13
13021,106,1,2,30,7,13
13022,106,1,2,10,5,13
13023,301,1,2,10,10,13
13024,301,1,2,20,1,13
13025,302,1,2,20,2,13
13026,303,1,2,10,30,13
13027,303,1,2,20,1,13
13028,303,2,2,10,20,13
13029,303,2,2,20,1,13
13030,303,3,2,10,10,13
13031,303,3,2,20,1,13
13032,601,1,2,1,15,13
13033,601,1,2,3,4,13
13034,601,1,2,30,7,13
13035,601,1,2,10,-25,13
13036,602,1,2,2,12,13
13037,602,1,2,4,8,13
13038,602,1,2,30,7,13
13039,602,1,2,10,-26,13
13040,603,1,2,2,6,13
13041,603,1,2,3,14,13
13042,603,1,2,30,7,13
13043,603,1,2,10,-26,13
13044,604,1,2,1,4,13
13045,604,1,2,3,3,13
13046,604,1,2,4,13,13
13047,604,1,2,30,7,13
13048,604,1,2,10,-26,13
13049,605,1,2,10,5,13
13050,605,1,2,1,4,13
13051,605,1,2,5,12,13
13052,605,1,2,30,7,13
13053,605,1,1,10,5,13
13054,304,1,2,10,40,13
13055,304,1,2,20,1,13
13056,304,1,2,101,0,13
14001,101,1,2,1,11,14
14002,101,1,2,3,2,14
14003,101,1,2,30,7,14
14004,101,1,2,10,-20,14
14005,105,1,2,2,10,14
14006,105,1,2,4,3,14
14007,105,1,2,30,7,14
14008,105,1,2,10,-20,14
14009,102,1,2,2,6,14
14010,102,1,2,3,9,14
14011,102,1,2,30,7,14
14012,102,1,2,10,-21,14
14013,103,1,2,1,2,14
14014,103,1,2,3,2,14
14015,103,1,2,4,11,14
14016,103,1,2,30,7,14
14017,103,1,2,10,-21,14
14018,106,1,1,10,5,14
14019,106,1,2,1,3,14
14020,106,1,2,5,7,14
14021,106,1,2,30,7,14
14022,106,1,2,10,5,14
14023,301,1,2,10,10,14
14024,301,1,2,20,1,14
14025,302,1,2,20,2,14
14026,303,1,2,10,30,14
14027,303,1,2,20,1,14
14028,303,2,2,10,20,14
14029,303,2,2,20,1,14
14030,303,3,2,10,10,14
14031,303,3,2,20,1,14
14032,601,1,2,1,15,14
14033,601,1,2,3,4,14
14034,601,1,2,30,7,14
14035,601,1,2,10,-25,14
14036,602,1,2,2,14,14
14037,602,1,2,4,6,14
14038,602,1,2,30,7,14
14039,602,1,2,10,-26,14
14040,603,1,2,2,8,14
14041,603,1,2,3,13,14
14042,603,1,2,30,7,14
14043,603,1,2,10,-27,14
14044,604,1,2,1,3,14
14045,604,1,2,3,3,14
14046,604,1,2,4,15,14
14047,604,1,2,30,7,14
14048,604,1,2,10,-27,14
14049,605,1,2,10,5,14
14050,605,1,2,1,5,14
14051,605,1,2,5,11,14
14052,605,1,2,30,7,14
14053,605,1,1,10,5,14
14054,304,1,2,10,40,14
14055,304,1,2,20,1,14
14056,304,1,2,101,0,14
