id,factor_research_event_id,ending_flag,character_id,dress_id,menu_bg_id,menu_bg_sub_id,bgm_cue_name,bgm_cuesheet_name,env_cue_name,env_cuesheet_name
27,1011,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
28,1011,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
29,1012,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
30,1012,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
31,1013,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
32,1013,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
33,1014,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
34,1014,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
35,1015,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
36,1015,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
37,1016,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
38,1016,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
39,1017,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
40,1017,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
41,1018,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
42,1018,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
43,1019,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
44,1019,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
45,1020,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
46,1020,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
47,1021,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
48,1021,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
49,1022,0,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
50,1022,1,1032,103201,140,110,snd_bgm_GM285_sys,snd_bgm_GM285,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
